Os03t0259400-00,(RAP-DB) Os03g0259400,Similar to Leucoanthocyanidin reductase (EC 1.17.1.3) (Leucocyanidin reductase).,KO:K13081,EC:1.17.1.3,
Os12t0240900-00,(RAP-DB) Os12g0240900,Similar to Eugenol O-methyltransferase.,KO:K22440,EC:2.1.1.232,
Os05t0526800-01,(RAP-DB) Os05g0526800,UDP-glucuronosyl/UDP-glucosyltransferase family protein.,KO:K22845,EC:2.4.1.357,
Os05t0526900-01,(RAP-DB) Os05g0526900,UDP-glucuronosyl/UDP-glucosyltransferase family protein.,KO:K22845,EC:2.4.1.357,
Os01t0735900-01,(RAP-DB) Os01g0735900,UDP-glucuronosyl/UDP-glucosyltransferase family protein.,KO:K22845,EC:2.4.1.357,
Os02t0611800-01,(RAP-DB) Os02g0611800,Similar to Hydroxyanthranilate hydroxycinnamoyltransferase 3.,KO:K13065,EC:2.3.1.133,
Os04t0500700-01,(RAP-DB) Os04g0500700,Similar to Hydroxyanthranilate hydroxycinnamoyltransferase 3.,KO:K13065,EC:2.3.1.133,
Os06t0184900-01,(RAP-DB) Os06g0184900,Transferase family protein.,KO:K13065,EC:2.3.1.133,
Os05t0116800-00,(RAP-DB) Os05g0116800,Transferase domain containing protein.,KO:K13065,EC:2.3.1.133,
Os08t0543400-01,(RAP-DB) Os08g0543400,Transferase family protein.,KO:K13065,EC:2.3.1.133,
Os09t0422000-01,(RAP-DB) Os09g0422000,Transferase family protein.,KO:K13065,EC:2.3.1.133,
Os05t0494000-01,(RAP-DB) Os05g0494000,Similar to Cytochrome P450 98A1 (EC 1.14.-.-).,KO:K09754,EC:1.14.14.96,
Os09t0481400-01,(RAP-DB) Os09g0481400,Similar to Caffeoyl-CoA O-methyltransferase (EC 2.1.1.104) (Trans-caffeoyl-CoA 3- O-methyltransferase) (CCoAMT) (CCoAOMT).,KO:K00588,EC:2.1.1.104,
Os06t0165800-01,(RAP-DB) Os06g0165800,Similar to Caffeoyl-CoA 3-O-methyltransferase (Fragment).,KO:K00588,EC:2.1.1.104,
Os08t0498600-01,(RAP-DB) Os08g0498600,Similar to Caffeoyl-CoA 3-O-methyltransferase (Fragment).,KO:K00588,EC:2.1.1.104,

