Sorghum Bicolor (Sorghum), phenylalanine ammonia-lyase, KO:K10775, EC:4.3.1.24, Sorghum Bicolor (Sorghum), phenylalanine ammonia-lyase, KO:K10775, EC:4.3.1.24, 
Sorghum Bicolor (Sorghum), phenylalanine ammonia-lyase, KO:K10775, EC:4.3.1.24, Sorghum Bicolor (Sorghum), phenylalanine ammonia-lyase, KO:K10775, 
hydroxycinnamoyltransferase 2, KO:K13065, EC:2.3.1.133, Sorghum Bicolor (Sorghum), hydroxycinnamoyltransferase 1, KO:K13065, EC:2.3.1.133, 
Sorghum Bicolor (Sorghum), hydroxycinnamoyltransferase 4, KO:K13065, EC:2.3.1.133, Sorghum Bicolor (Sorghum), hydroxycinnamoyltransferase 4, KO:K13065, 
EC:2.3.1.133, Sorghum Bicolor (Sorghum), hydroxycinnamoyltransferase 4, KO:K13065, EC:2.3.1.133, Sorghum Bicolor (Sorghum), putrescine hydroxycinnamoyltransferase 1, 
KO:K13065, EC:2.3.1.133, Sorghum Bicolor (Sorghum), putrescine hydroxycinnamoyltransferase 1, KO:K13065, EC:2.3.1.133, Sorghum Bicolor (Sorghum), 
hydroxycinnamoyltransferase 4 isoform X1, KO:K13065, EC:2.3.1.133, Sorghum Bicolor (Sorghum), hydroxycinnamoyltransferase 4, KO:K13065, EC:2.3.1.133, 
Sorghum Bicolor (Sorghum), hydroxycinnamoyltransferase 4 isoform X1, KO:K13065, EC:2.3.1.133, Sorghum Bicolor (Sorghum), putrescine hydroxycinnamoyltransferase 1, KO:K13065, 
EC:2.3.1.133, Sorghum Bicolor (Sorghum), putrescine hydroxycinnamoyltransferase 1, KO:K13065, EC:2.3.1.133, Sorghum Bicolor (Sorghum), putrescine hydroxycinnamoyltransferase 1, 
KO:K13065, EC:2.3.1.133, Sorghum Bicolor (Sorghum), hydroxycinnamoyltransferase 4, KO:K13065, EC:2.3.1.133, Sorghum Bicolor (Sorghum), 
putrescine hydroxycinnamoyltransferase 1, KO:K13065, EC:2.3.1.133, Sorghum Bicolor (Sorghum), hydroxycinnamoyltransferase 4, KO:K13065, EC:2.3.1.133, 
Sorghum Bicolor (Sorghum), hydroxycinnamoyltransferase 4-like, KO:K13065, EC:2.3.1.133, Sorghum Bicolor (Sorghum), hydroxycinnamoyltransferase 4-like, KO:K13065, 
EC:2.3.1.133, Sorghum Bicolor (Sorghum), hydroxycinnamoyltransferase 4 isoform X1, KO:K13065, EC:2.3.1.133, Sorghum Bicolor (Sorghum), hydroxycinnamoyltransferase 4, 
KO:K13065, EC:2.3.1.133, Sorghum Bicolor (Sorghum), cytochrome P450 98A1, KO:K09754, EC:1.14.14.96, Sorghum Bicolor (Sorghum), 
cytochrome P450 98A1-like, KO:K09754, EC:1.14.14.96, Sorghum Bicolor (Sorghum), caffeoylshikimate esterase, KO:K18368, EC:3.1.1.-, 
Sorghum Bicolor (Sorghum), caffeoylshikimate esterase isoform X1, KO:K18368, EC:3.1.1.-, Sorghum Bicolor (Sorghum), caffeoylshikimate esterase isoform X1, KO:K18368, 
EC:3.1.1.-, Sorghum Bicolor (Sorghum), caffeoylshikimate esterase-like, KO:K18368, EC:3.1.1.-, Sorghum Bicolor (Sorghum), caffeoyl-CoA O-methyltransferase 1 isoform X2, 
KO:K00588, EC:2.1.1.104, Sorghum Bicolor (Sorghum), caffeoyl-CoA O-methyltransferase 6, KO:K00588, EC:2.1.1.104, Sorghum Bicolor (Sorghum), 
cinnamoyl-CoA reductase 1 isoform X1, KO:K09753, EC:1.2.1.44, Sorghum Bicolor (Sorghum), cinnamoyl-CoA reductase 1 isoform X1, KO:K09753, EC:1.2.1.44, 
Sorghum Bicolor (Sorghum), cinnamoyl-CoA reductase 1, KO:K09753, EC:1.2.1.44, Sorghum Bicolor (Sorghum), cinnamoyl-CoA reductase 1, KO:K09753, 
EC:1.2.1.44, Sorghum Bicolor (Sorghum), cinnamoyl-CoA reductase 1, KO:K09753, EC:1.2.1.44, Sorghum Bicolor (Sorghum), cinnamoyl-CoA reductase 1, 
KO:K09753, EC:1.2.1.44, Sorghum Bicolor (Sorghum), cinnamoyl-CoA reductase 1-like, KO:K09753, EC:1.2.1.44, Sorghum Bicolor (Sorghum), 
cinnamoyl-CoA reductase 2, KO:K09753, EC:1.2.1.44, Sorghum Bicolor (Sorghum), uncharacterized protein LOC8063719, KO:K09753, EC:1.2.1.44, 
Sorghum Bicolor (Sorghum), aldehyde dehydrogenase family 2 member C4, KO:K12355, EC:1.2.1.68, Sorghum Bicolor (Sorghum), aldehyde dehydrogenase family 2 member C4, KO:K12355, 
EC:1.2.1.68, Sorghum Bicolor (Sorghum), aldehyde dehydrogenase family 2 member C4-like, KO:K12355, EC:1.2.1.68, Sorghum Bicolor (Sorghum), cytochrome P450 84A1, 
KO:K09755, EC:1.14.-.-, Sorghum Bicolor (Sorghum), probable cinnamyl alcohol dehydrogenase 1, KO:K00083, EC:1.1.1.195, Sorghum Bicolor (Sorghum), 
probable cinnamyl alcohol dehydrogenase 6, KO:K00083, EC:1.1.1.195, Sorghum Bicolor (Sorghum), probable cinnamyl alcohol dehydrogenase, KO:K00083, EC:1.1.1.195, 
Sorghum Bicolor (Sorghum), probable cinnamyl alcohol dehydrogenase 1 isoform X1, KO:K00083, EC:1.1.1.195, Sorghum Bicolor (Sorghum), probable cinnamyl alcohol dehydrogenase 1 isoform X1, KO:K00083, 
EC:1.1.1.195, Sorghum Bicolor (Sorghum), probable cinnamyl alcohol dehydrogenase 1, KO:K00083, EC:1.1.1.195, Sorghum Bicolor (Sorghum), probable cinnamyl alcohol dehydrogenase 5, 
KO:K00083, EC:1.1.1.195, Sorghum Bicolor (Sorghum), berberine bridge enzyme-like 13, KO:K22395, EC:1.1.1.195, Sorghum Bicolor (Sorghum), 
berberine bridge enzyme-like 8, KO:K22395, EC:1.1.1.195, Sorghum Bicolor (Sorghum), 1-Cys peroxiredoxin PER1, KO:K11188, EC:1.11.1.7 1.11.1.27 3.1.1.-, 
Sorghum Bicolor (Sorghum), peroxidase 2, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase 2, KO:K00430, 
EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase 2, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase 42, 
KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase 5, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), 
peroxidase 1 isoform X2, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase 16, KO:K00430, EC:1.11.1.7, 
Sorghum Bicolor (Sorghum), peroxidase 2, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase 2, KO:K00430, 
EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase 5, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase 2, 
KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase 2, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), 
peroxidase 2, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase 2, KO:K00430, EC:1.11.1.7, 
Sorghum Bicolor (Sorghum), peroxidase 2, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase P7, KO:K00430, 
EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase P7, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase 1, 
KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase 1, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), 
peroxidase 45, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase 45, KO:K00430, EC:1.11.1.7, 
Sorghum Bicolor (Sorghum), peroxidase 1, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase 5, KO:K00430, 
EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase P7, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase 17, 
KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase 11, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), 
peroxidase 72, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase 9, KO:K00430, EC:1.11.1.7, 
Sorghum Bicolor (Sorghum), peroxidase 7, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase 3, KO:K00430, 
EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase 64, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase N, 
KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase 70, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), 
peroxidase 1, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase 70, KO:K00430, EC:1.11.1.7, 
Sorghum Bicolor (Sorghum), cationic peroxidase 1, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase P7, KO:K00430, 
EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase 4, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase 19, 
KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), cationic peroxidase SPC4, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), 
peroxidase 12, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), cationic peroxidase SPC4-like, KO:K00430, EC:1.11.1.7, 
Sorghum Bicolor (Sorghum), peroxidase 2 isoform X2, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase 57 isoform X1, KO:K00430, 
EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase 1, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), cationic peroxidase 1, 
KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase 1, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), 
peroxidase 1, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase 1, KO:K00430, EC:1.11.1.7, 
Sorghum Bicolor (Sorghum), peroxidase 2, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase 2, KO:K00430, 
EC:1.11.1.7, Sorghum Bicolor (Sorghum), cationic peroxidase 2, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase P7, 
KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase 4, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), 
peroxidase 4, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase 72, KO:K00430, EC:1.11.1.7, 
Sorghum Bicolor (Sorghum), peroxidase N, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase 40, KO:K00430, 
EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase A2, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase 47, 
KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase 51 isoform X4, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), 
peroxidase 65, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase 29, KO:K00430, EC:1.11.1.7, 
Sorghum Bicolor (Sorghum), peroxidase 5, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase 5, KO:K00430, 
EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase 2, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase 2, 
KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase 39, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), 
peroxidase 1, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase 2, KO:K00430, EC:1.11.1.7, 
Sorghum Bicolor (Sorghum), peroxidase 1, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase 2, KO:K00430, 
EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase 5, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase 57, 
KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase 57, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), 
peroxidase 50, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase 4, KO:K00430, EC:1.11.1.7, 
Sorghum Bicolor (Sorghum), peroxidase 2, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase 2, KO:K00430, 
EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase 2, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase 2, 
KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase 2, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), 
peroxidase 2, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase E5, KO:K00430, EC:1.11.1.7, 
Sorghum Bicolor (Sorghum), peroxidase 2, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), cationic peroxidase 1, KO:K00430, 
EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase 70, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase 42, 
KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase 1, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), 
peroxidase 3, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), LOW QUALITY PROTEIN: peroxidase 50, KO:K00430, EC:1.11.1.7, 
Sorghum Bicolor (Sorghum), cationic peroxidase 2, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase 27, KO:K00430, 
EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase P7, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase 70, 
KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase 2-like, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), 
peroxidase P7-like, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase 31-like, KO:K00430, EC:1.11.1.7, 
Sorghum Bicolor (Sorghum), peroxidase 44, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase A2, KO:K00430, 
EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase 72, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase 57, 
KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), cationic peroxidase SPC4-like, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), 
peroxidase 21, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase 16, KO:K00430, EC:1.11.1.7, 
Sorghum Bicolor (Sorghum), peroxidase 16, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase A2, KO:K00430, 
EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase 3, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase 44, 
KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase 5, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), 
peroxidase 5, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase 43, KO:K00430, EC:1.11.1.7, 
Sorghum Bicolor (Sorghum), peroxidase 43 isoform X2, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase 57, KO:K00430, 
EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase 1, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase 55, 
KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase 25, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), 
peroxidase 18, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase 2, KO:K00430, EC:1.11.1.7, 
Sorghum Bicolor (Sorghum), peroxidase 72, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase 51, KO:K00430, 
EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase 35, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase 1, 
KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase 5, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), 
peroxidase 5, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase 70, KO:K00430, EC:1.11.1.7, 
Sorghum Bicolor (Sorghum), peroxidase 5, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase P7, KO:K00430, 
EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase 2, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase P7, 
KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase P7, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), 
peroxidase 5, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase 5, KO:K00430, EC:1.11.1.7, 
Sorghum Bicolor (Sorghum), peroxidase P7, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), peroxidase 5, KO:K00430, 
EC:1.11.1.7, Sorghum Bicolor (Sorghum), putative Peroxidase 48, KO:K00430, EC:1.11.1.7, Sorghum Bicolor (Sorghum), beta-glucosidase 12, 
KO:K01188, EC:3.2.1.21, Sorghum Bicolor (Sorghum), beta-glucosidase 30, KO:K01188, EC:3.2.1.21, Sorghum Bicolor (Sorghum), 
beta-glucosidase 4, KO:K01188, EC:3.2.1.21, Sorghum Bicolor (Sorghum), beta-glucosidase 25 isoform X1, KO:K01188, EC:3.2.1.21, 
Sorghum Bicolor (Sorghum), beta-glucosidase 5 isoform X2, KO:K01188, EC:3.2.1.21, Sorghum Bicolor (Sorghum), beta-glucosidase 20 isoform X1, KO:K01188, 
EC:3.2.1.21, Sorghum Bicolor (Sorghum), beta-glucosidase 31, KO:K01188, EC:3.2.1.21, Sorghum Bicolor (Sorghum), 4-hydroxy-7-methoxy-3-oxo-3,4-dihydro-2H-1, 4-benzoxazin-2-yl glucoside beta-D-glucosidase 2, chloroplastic, 
KO:K01188, EC:3.2.1.21, Sorghum Bicolor (Sorghum), beta-glucosidase 22-like, KO:K01188, EC:3.2.1.21, Sorghum Bicolor (Sorghum), 
uncharacterized protein LOC110431790 isoform X1, KO:K01188, EC:3.2.1.21, Sorghum Bicolor (Sorghum), beta-glucosidase 31-like, KO:K01188, EC:3.2.1.21, 
Sorghum Bicolor (Sorghum), beta-glucosidase 6, KO:K01188, EC:3.2.1.21, Sorghum Bicolor (Sorghum), beta-glucosidase 34, KO:K01188, 
EC:3.2.1.21, Sorghum Bicolor (Sorghum), beta-glucosidase 12, KO:K01188, EC:3.2.1.21, Sorghum Bicolor (Sorghum), beta-glucosidase 6, 
KO:K01188, EC:3.2.1.21, Sorghum Bicolor (Sorghum), beta-glucosidase 24 isoform X2, KO:K01188, EC:3.2.1.21, Sorghum Bicolor (Sorghum), 
beta-glucosidase 12, KO:K01188, EC:3.2.1.21, Sorghum Bicolor (Sorghum), uncharacterized protein LOC8069923, KO:K05349, EC:3.2.1.21, 
Sorghum Bicolor (Sorghum), uncharacterized protein LOC110430318 isoform X1, KO:K05349, EC:3.2.1.21, Sorghum Bicolor (Sorghum), uncharacterized protein LOC8057509 isoform X1, KO:K05349, 
EC:3.2.1.21, Sorghum Bicolor (Sorghum), uncharacterized protein LOC8069922, KO:K05349, EC:3.2.1.21, Sorghum Bicolor (Sorghum), uncharacterized protein LOC110437359, 
KO:K05349, EC:3.2.1.21, Sorghum Bicolor (Sorghum), uncharacterized protein LOC8085936, KO:K05349, EC:3.2.1.21, Sorghum Bicolor (Sorghum), 
uncharacterized protein LOC8072136 isoform X1, KO:K05349, EC:3.2.1.21, Sorghum Bicolor (Sorghum), probable inactive beta-glucosidase 14, KO:K05350, EC:3.2.1.21, 
Sorghum Bicolor (Sorghum), probable inactive beta-glucosidase 14, KO:K05350, EC:3.2.1.21, Sorghum Bicolor (Sorghum), beta-glucosidase 16, KO:K05350, 
EC:3.2.1.21, Sorghum Bicolor (Sorghum), beta-glucosidase 16 isoform X2, KO:K05350, EC:3.2.1.21, Sorghum Bicolor (Sorghum), beta-glucosidase 7, 
KO:K05350, EC:3.2.1.21, Sorghum Bicolor (Sorghum), beta-glucosidase 1, KO:K05350, EC:3.2.1.21, Sorghum Bicolor (Sorghum), 
beta-glucosidase 8, KO:K05350, EC:3.2.1.21, Sorghum Bicolor (Sorghum), beta-glucosidase 7, KO:K05350, EC:3.2.1.21, 
Sorghum Bicolor (Sorghum), beta-glucosidase 38, KO:K05350, EC:3.2.1.21, Sorghum Bicolor (Sorghum), LOW QUALITY PROTEIN: probable inactive beta-glucosidase 14, KO:K05350, 
EC:3.2.1.21, Sorghum Bicolor (Sorghum), probable inactive beta-glucosidase 14, KO:K05350, EC:3.2.1.21, Sorghum Bicolor (Sorghum), beta-glucosidase 26, 
KO:K05350, EC:3.2.1.21, Sorghum Bicolor (Sorghum), probable inactive beta-glucosidase 14 isoform X1, KO:K05350, EC:3.2.1.21, Sorghum Bicolor (Sorghum), 
beta-glucosidase 18, KO:K05350, EC:3.2.1.21, Sorghum Bicolor (Sorghum), beta-glucosidase 18 isoform X1, KO:K05350, EC:3.2.1.21, 
Sorghum Bicolor (Sorghum), beta-glucosidase 16 isoform X1, KO:K05350, EC:3.2.1.21, Sorghum Bicolor (Sorghum), scopoletin glucosyltransferase, KO:K23260, 
EC:2.4.1.128, 
