Ipomoea nil (Japanese morning glory), CHS-E, chalcone synthase E, KO:K00660, EC:2.3.1.74, Ipomoea nil (Japanese morning glory), CHSB, chalcone synthase B, 
KO:K00660, EC:2.3.1.74, Ipomoea nil (Japanese morning glory), CHSA, chalcone synthase A, KO:K00660, EC:2.3.1.74, 
Ipomoea nil (Japanese morning glory), salutaridinol 7-O-acetyltransferase-like, KO:K13065, EC:2.3.1.133, Ipomoea nil (Japanese morning glory), salutaridinol 7-O-acetyltransferase-like, KO:K13065, 
EC:2.3.1.133, Ipomoea nil (Japanese morning glory), salutaridinol 7-O-acetyltransferase-like, KO:K13065, EC:2.3.1.133, Ipomoea nil (Japanese morning glory), agmatine coumaroyltransferase-2-like, 
KO:K13065, EC:2.3.1.133, Ipomoea nil (Japanese morning glory), agmatine coumaroyltransferase-2-like, KO:K13065, EC:2.3.1.133, Ipomoea nil (Japanese morning glory), 
agmatine coumaroyltransferase-2-like, KO:K13065, EC:2.3.1.133, Ipomoea nil (Japanese morning glory), vinorine synthase-like, KO:K13065, EC:2.3.1.133, 
Ipomoea nil (Japanese morning glory), vinorine synthase-like, KO:K13065, EC:2.3.1.133, Ipomoea nil (Japanese morning glory), vinorine synthase-like, KO:K13065, 
EC:2.3.1.133, Ipomoea nil (Japanese morning glory), vinorine synthase-like, KO:K13065, EC:2.3.1.133, Ipomoea nil (Japanese morning glory), spermidine hydroxycinnamoyl transferase-like, 
KO:K13065, EC:2.3.1.133, Ipomoea nil (Japanese morning glory), salutaridinol 7-O-acetyltransferase-like, KO:K13065, EC:2.3.1.133, Ipomoea nil (Japanese morning glory), 
vinorine synthase-like, KO:K13065, EC:2.3.1.133, Ipomoea nil (Japanese morning glory), vinorine synthase-like, KO:K13065, EC:2.3.1.133, 
Ipomoea nil (Japanese morning glory), vinorine synthase-like, KO:K13065, EC:2.3.1.133, Ipomoea nil (Japanese morning glory), spermidine hydroxycinnamoyl transferase-like, KO:K13065, 
EC:2.3.1.133, Ipomoea nil (Japanese morning glory), shikimate O-hydroxycinnamoyltransferase, KO:K13065, EC:2.3.1.133, Ipomoea nil (Japanese morning glory), acetyl-CoA-benzylalcohol acetyltransferase-like, 
KO:K13065, EC:2.3.1.133, Ipomoea nil (Japanese morning glory), shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, Ipomoea nil (Japanese morning glory), 
spermidine hydroxycinnamoyl transferase-like, KO:K13065, EC:2.3.1.133, Ipomoea nil (Japanese morning glory), cytochrome P450 98A3, KO:K09754, EC:1.14.14.96, 
Ipomoea nil (Japanese morning glory), probable caffeoyl-CoA O-methyltransferase At4g26220, KO:K00588, EC:2.1.1.104, Ipomoea nil (Japanese morning glory), In04, probable caffeoyl-CoA O-methyltransferase At4g26220, 
KO:K00588, EC:2.1.1.104, Ipomoea nil (Japanese morning glory), probable caffeoyl-CoA O-methyltransferase At4g26220, KO:K00588, EC:2.1.1.104, Ipomoea nil (Japanese morning glory), 
caffeoyl-CoA O-methyltransferase 5, KO:K00588, EC:2.1.1.104, Ipomoea nil (Japanese morning glory), caffeoyl-CoA O-methyltransferase-like, KO:K00588, EC:2.1.1.104, 
Ipomoea nil (Japanese morning glory), caffeoyl-CoA O-methyltransferase, KO:K00588, EC:2.1.1.104, Ipomoea nil (Japanese morning glory), caffeoyl-CoA O-methyltransferase-like, KO:K00588, 
EC:2.1.1.104, 
