Nicotiana Tomentosiformis (Yungas Valley Tobacco), phenylalanine ammonia-lyase G4-like, KO:K10775, EC:4.3.1.24, Nicotiana Tomentosiformis (Yungas Valley Tobacco), phenylalanine ammonia-lyase G4-like, KO:K10775, EC:4.3.1.24, 
Nicotiana Tomentosiformis (Yungas Valley Tobacco), phenylalanine ammonia-lyase, KO:K10775, EC:4.3.1.24, Nicotiana Tomentosiformis (Yungas Valley Tobacco), phenylalanine ammonia-lyase, KO:K10775, 
KO:K13065, EC:2.3.1.133, Nicotiana Tomentosiformis (Yungas Valley Tobacco), acetyl-CoA-benzylalcohol acetyltransferase-like, KO:K13065, EC:2.3.1.133, Nicotiana Tomentosiformis (Yungas Valley Tobacco), 
agmatine coumaroyltransferase-2-like, KO:K13065, EC:2.3.1.133, Nicotiana Tomentosiformis (Yungas Valley Tobacco), pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like, KO:K13065, EC:2.3.1.133, 
Nicotiana Tomentosiformis (Yungas Valley Tobacco), shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, Nicotiana Tomentosiformis (Yungas Valley Tobacco), agmatine coumaroyltransferase-2-like, KO:K13065, 
EC:2.3.1.133, Nicotiana Tomentosiformis (Yungas Valley Tobacco), acylsugar acyltransferase 3-like, KO:K13065, EC:2.3.1.133, Nicotiana Tomentosiformis (Yungas Valley Tobacco), acylsugar acyltransferase 3-like, 
KO:K13065, EC:2.3.1.133, Nicotiana Tomentosiformis (Yungas Valley Tobacco), cytochrome P450 98A2-like, KO:K09754, EC:1.14.14.96, Nicotiana Tomentosiformis (Yungas Valley Tobacco), 
cytochrome P450 98A2-like, KO:K09754, EC:1.14.14.96, Nicotiana Tomentosiformis (Yungas Valley Tobacco), cytochrome P450 98A2-like isoform X1, KO:K09754, EC:1.14.14.96, 
Nicotiana Tomentosiformis (Yungas Valley Tobacco), cytochrome P450 98A3-like, KO:K09754, EC:1.14.14.96, Nicotiana Tomentosiformis (Yungas Valley Tobacco), caffeoylshikimate esterase isoform X1, KO:K18368, 
EC:3.1.1.-, Nicotiana Tomentosiformis (Yungas Valley Tobacco), caffeoylshikimate esterase-like, KO:K18368, EC:3.1.1.-, Nicotiana Tomentosiformis (Yungas Valley Tobacco), caffeoylshikimate esterase, 
KO:K18368, EC:3.1.1.-, Nicotiana Tomentosiformis (Yungas Valley Tobacco), caffeoylshikimate esterase-like isoform X1, KO:K18368, EC:3.1.1.-, Nicotiana Tomentosiformis (Yungas Valley Tobacco), 
caffeoylshikimate esterase, KO:K18368, EC:3.1.1.-, Nicotiana Tomentosiformis (Yungas Valley Tobacco), caffeoyl-CoA O-methyltransferase 5, KO:K00588, EC:2.1.1.104, 
Nicotiana Tomentosiformis (Yungas Valley Tobacco), caffeoyl-CoA O-methyltransferase 2, KO:K00588, EC:2.1.1.104, Nicotiana Tomentosiformis (Yungas Valley Tobacco), caffeoyl-CoA O-methyltransferase 3, KO:K00588, 
EC:2.1.1.104, Nicotiana Tomentosiformis (Yungas Valley Tobacco), probable caffeoyl-CoA O-methyltransferase At4g26220, KO:K00588, EC:2.1.1.104, Nicotiana Tomentosiformis (Yungas Valley Tobacco), caffeoyl-CoA O-methyltransferase 6, 
KO:K00588, EC:2.1.1.104, Nicotiana Tomentosiformis (Yungas Valley Tobacco), probable caffeoyl-CoA O-methyltransferase At4g26220, KO:K00588, EC:2.1.1.104, Nicotiana Tomentosiformis (Yungas Valley Tobacco), 
cinnamoyl-CoA reductase 2-like, KO:K09753, EC:1.2.1.44, Nicotiana Tomentosiformis (Yungas Valley Tobacco), cinnamoyl-CoA reductase 1-like, KO:K09753, EC:1.2.1.44, 
Nicotiana Tomentosiformis (Yungas Valley Tobacco), aldehyde dehydrogenase family 2 member C4 isoform X1, KO:K12355, EC:1.2.1.68, Nicotiana Tomentosiformis (Yungas Valley Tobacco), LOW QUALITY PROTEIN: caffeic acid 3-O-methyltransferase, KO:K13066, 
EC:2.1.1.68, Nicotiana Tomentosiformis (Yungas Valley Tobacco), caffeic acid 3-O-methyltransferase-like isoform X1, KO:K13066, EC:2.1.1.68, Nicotiana Tomentosiformis (Yungas Valley Tobacco), caffeic acid 3-O-methyltransferase-like, 
KO:K13066, EC:2.1.1.68, Nicotiana Tomentosiformis (Yungas Valley Tobacco), caffeic acid 3-O-methyltransferase 1-like, KO:K13066, EC:2.1.1.68, Nicotiana Tomentosiformis (Yungas Valley Tobacco), 
probable cinnamyl alcohol dehydrogenase 1, KO:K00083, EC:1.1.1.195, Nicotiana Tomentosiformis (Yungas Valley Tobacco), probable cinnamyl alcohol dehydrogenase 1, KO:K00083, EC:1.1.1.195, 
Nicotiana Tomentosiformis (Yungas Valley Tobacco), probable cinnamyl alcohol dehydrogenase 6, KO:K00083, EC:1.1.1.195, Nicotiana Tomentosiformis (Yungas Valley Tobacco), probable cinnamyl alcohol dehydrogenase 6, KO:K00083, 
EC:1.1.1.195, Nicotiana Tomentosiformis (Yungas Valley Tobacco), flavin-dependent oxidoreductase FOX2-like, KO:K22395, EC:1.1.1.195, Nicotiana Tomentosiformis (Yungas Valley Tobacco), reticuline oxidase-like, 
KO:K22395, EC:1.1.1.195, Nicotiana Tomentosiformis (Yungas Valley Tobacco), reticuline oxidase-like, KO:K22395, EC:1.1.1.195, Nicotiana Tomentosiformis (Yungas Valley Tobacco), 
reticuline oxidase-like, KO:K22395, EC:1.1.1.195, Nicotiana Tomentosiformis (Yungas Valley Tobacco), flavin-dependent oxidoreductase FOX1-like, KO:K22395, EC:1.1.1.195, 
Nicotiana Tomentosiformis (Yungas Valley Tobacco), flavin-dependent oxidoreductase FOX2-like, KO:K22395, EC:1.1.1.195, Nicotiana Tomentosiformis (Yungas Valley Tobacco), 1-Cys peroxiredoxin, KO:K11188, 
EC:1.11.1.7 1.11.1.27 3.1.1.-, Nicotiana Tomentosiformis (Yungas Valley Tobacco), lignin-forming anionic peroxidase-like, KO:K00430, EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), peroxidase 43-like, 
KO:K00430, EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), cationic peroxidase 2-like, KO:K00430, EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), 
peroxidase 17-like, KO:K00430, EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), peroxidase 63-like, KO:K00430, EC:1.11.1.7, 
Nicotiana Tomentosiformis (Yungas Valley Tobacco), peroxidase 72-like, KO:K00430, EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), cationic peroxidase 1-like, KO:K00430, 
EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), peroxidase 2-like, KO:K00430, EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), peroxidase 2-like, 
KO:K00430, EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), putative Peroxidase 48, KO:K00430, EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), 
peroxidase 3-like isoform X2, KO:K00430, EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), lignin-forming anionic peroxidase, KO:K00430, EC:1.11.1.7, 
Nicotiana Tomentosiformis (Yungas Valley Tobacco), peroxidase N isoform X1, KO:K00430, EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), peroxidase 3-like, KO:K00430, 
EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), peroxidase 5-like, KO:K00430, EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), cationic peroxidase 1-like, 
KO:K00430, EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), peroxidase 5-like, KO:K00430, EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), 
peroxidase 72-like, KO:K00430, EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), peroxidase 44, KO:K00430, EC:1.11.1.7, 
Nicotiana Tomentosiformis (Yungas Valley Tobacco), lignin-forming anionic peroxidase-like, KO:K00430, EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), peroxidase 60, KO:K00430, 
EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), putative Peroxidase 48, KO:K00430, EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), peroxidase P7-like, 
KO:K00430, EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), peroxidase P7-like, KO:K00430, EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), 
peroxidase 19, KO:K00430, EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), probable peroxidase 61, KO:K00430, EC:1.11.1.7, 
Nicotiana Tomentosiformis (Yungas Valley Tobacco), peroxidase 40-like, KO:K00430, EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), suberization-associated anionic peroxidase-like, KO:K00430, 
EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), suberization-associated anionic peroxidase-like, KO:K00430, EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), peroxidase 41-like, 
KO:K00430, EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), peroxidase 64-like, KO:K00430, EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), 
peroxidase 64-like, KO:K00430, EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), peroxidase 7, KO:K00430, EC:1.11.1.7, 
Nicotiana Tomentosiformis (Yungas Valley Tobacco), lignin-forming anionic peroxidase-like, KO:K00430, EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), peroxidase 29-like, KO:K00430, 
EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), peroxidase 12-like, KO:K00430, EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), peroxidase 12-like, 
KO:K00430, EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), peroxidase P7-like, KO:K00430, EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), 
peroxidase 21-like, KO:K00430, EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), lignin-forming anionic peroxidase, KO:K00430, EC:1.11.1.7, 
Nicotiana Tomentosiformis (Yungas Valley Tobacco), peroxidase 24-like, KO:K00430, EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), peroxidase 12-like, KO:K00430, 
EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), peroxidase 64-like, KO:K00430, EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), peroxidase 64-like, 
KO:K00430, EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), peroxidase 27-like, KO:K00430, EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), 
peroxidase 27-like, KO:K00430, EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), peroxidase 27-like, KO:K00430, EC:1.11.1.7, 
Nicotiana Tomentosiformis (Yungas Valley Tobacco), peroxidase 64-like, KO:K00430, EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), cationic peroxidase 1-like, KO:K00430, 
EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), peroxidase 15-like, KO:K00430, EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), peroxidase 64-like, 
KO:K00430, EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), peroxidase 41-like, KO:K00430, EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), 
peroxidase 11, KO:K00430, EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), peroxidase 47, KO:K00430, EC:1.11.1.7, 
Nicotiana Tomentosiformis (Yungas Valley Tobacco), peroxidase 51-like, KO:K00430, EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), peroxidase 66, KO:K00430, 
EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), peroxidase 46 isoform X1, KO:K00430, EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), peroxidase 10-like, 
KO:K00430, EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), peroxidase 3, KO:K00430, EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), 
peroxidase 27-like, KO:K00430, EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), peroxidase 3-like, KO:K00430, EC:1.11.1.7, 
Nicotiana Tomentosiformis (Yungas Valley Tobacco), peroxidase 43-like, KO:K00430, EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), peroxidase 24-like, KO:K00430, 
EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), peroxidase 72-like, KO:K00430, EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), peroxidase 10-like, 
KO:K00430, EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), peroxidase 3-like, KO:K00430, EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), 
peroxidase 16-like, KO:K00430, EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), peroxidase 9, KO:K00430, EC:1.11.1.7, 
Nicotiana Tomentosiformis (Yungas Valley Tobacco), lignin-forming anionic peroxidase-like, KO:K00430, EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), peroxidase 55, KO:K00430, 
EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), peroxidase 16-like, KO:K00430, EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), peroxidase 72-like, 
KO:K00430, EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), suberization-associated anionic peroxidase-like, KO:K00430, EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), 
peroxidase 42, KO:K00430, EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), peroxidase N1, KO:K00430, EC:1.11.1.7, 
Nicotiana Tomentosiformis (Yungas Valley Tobacco), putative Peroxidase 48 isoform X1, KO:K00430, EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), peroxidase 6-like, KO:K00430, 
EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), peroxidase 27-like, KO:K00430, EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), peroxidase 21, 
KO:K00430, EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), peroxidase 44-like, KO:K00430, EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), 
peroxidase 5-like, KO:K00430, EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), lignin-forming anionic peroxidase-like, KO:K00430, EC:1.11.1.7, 
Nicotiana Tomentosiformis (Yungas Valley Tobacco), peroxidase 27-like, KO:K00430, EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), peroxidase 5-like, KO:K00430, 
EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), peroxidase 51-like, KO:K00430, EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), peroxidase 17, 
KO:K00430, EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), peroxidase 3-like, KO:K00430, EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), 
peroxidase 3-like, KO:K00430, EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), suberization-associated anionic peroxidase 1-like, KO:K00430, EC:1.11.1.7, 
Nicotiana Tomentosiformis (Yungas Valley Tobacco), cationic peroxidase 1-like, KO:K00430, EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), peroxidase 5-like, KO:K00430, 
EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), peroxidase 72, KO:K00430, EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), peroxidase 9-like, 
KO:K00430, EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), peroxidase 44-like, KO:K00430, EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), 
peroxidase 3-like, KO:K00430, EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), peroxidase 43-like, KO:K00430, EC:1.11.1.7, 
Nicotiana Tomentosiformis (Yungas Valley Tobacco), peroxidase 25, KO:K00430, EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), peroxidase 57-like, KO:K00430, 
EC:1.11.1.7, Nicotiana Tomentosiformis (Yungas Valley Tobacco), anthocyanidin 3-O-glucosyltransferase 5-like, KO:K12356, EC:2.4.1.111, Nicotiana Tomentosiformis (Yungas Valley Tobacco), anthocyanidin 3-O-glucosyltransferase 5-like, 
KO:K12356, EC:2.4.1.111, Nicotiana Tomentosiformis (Yungas Valley Tobacco), anthocyanidin 3-O-glucosyltransferase 5-like, KO:K12356, EC:2.4.1.111, Nicotiana Tomentosiformis (Yungas Valley Tobacco), 
anthocyanidin 3-O-glucosyltransferase 5-like isoform X2, KO:K12356, EC:2.4.1.111, Nicotiana Tomentosiformis (Yungas Valley Tobacco), anthocyanidin 3-O-glucosyltransferase 5-like, KO:K12356, EC:2.4.1.111, 
Nicotiana Tomentosiformis (Yungas Valley Tobacco), beta-glucosidase 11-like, KO:K01188, EC:3.2.1.21, Nicotiana Tomentosiformis (Yungas Valley Tobacco), beta-glucosidase 42, KO:K01188, 
EC:3.2.1.21, Nicotiana Tomentosiformis (Yungas Valley Tobacco), putative beta-glucosidase 41 isoform X1, KO:K01188, EC:3.2.1.21, Nicotiana Tomentosiformis (Yungas Valley Tobacco), beta-glucosidase 40 isoform X2, 
KO:K01188, EC:3.2.1.21, Nicotiana Tomentosiformis (Yungas Valley Tobacco), lysosomal beta glucosidase-like, KO:K05349, EC:3.2.1.21, Nicotiana Tomentosiformis (Yungas Valley Tobacco), 
uncharacterized protein LOC104111787, KO:K05349, EC:3.2.1.21, Nicotiana Tomentosiformis (Yungas Valley Tobacco), uncharacterized protein LOC104085852, KO:K05349, EC:3.2.1.21, 
Nicotiana Tomentosiformis (Yungas Valley Tobacco), uncharacterized protein LOC104104561, KO:K05349, EC:3.2.1.21, Nicotiana Tomentosiformis (Yungas Valley Tobacco), uncharacterized protein LOC104112704, KO:K05349, 
EC:3.2.1.21, Nicotiana Tomentosiformis (Yungas Valley Tobacco), uncharacterized protein LOC104102999 isoform X1, KO:K05349, EC:3.2.1.21, Nicotiana Tomentosiformis (Yungas Valley Tobacco), uncharacterized protein LOC104103000 isoform X1, 
KO:K05349, EC:3.2.1.21, Nicotiana Tomentosiformis (Yungas Valley Tobacco), uncharacterized protein LOC104091760, KO:K05349, EC:3.2.1.21, Nicotiana Tomentosiformis (Yungas Valley Tobacco), 
uncharacterized protein LOC104098373, KO:K05349, EC:3.2.1.21, Nicotiana Tomentosiformis (Yungas Valley Tobacco), uncharacterized protein LOC104114036, KO:K05349, EC:3.2.1.21, 
Nicotiana Tomentosiformis (Yungas Valley Tobacco), beta-glucosidase 18, KO:K05350, EC:3.2.1.21, Nicotiana Tomentosiformis (Yungas Valley Tobacco), beta-glucosidase 18-like isoform X1, KO:K05350, 
EC:3.2.1.21, Nicotiana Tomentosiformis (Yungas Valley Tobacco), beta-glucosidase 18-like isoform X1, KO:K05350, EC:3.2.1.21, Nicotiana Tomentosiformis (Yungas Valley Tobacco), beta-glucosidase 18-like, 
KO:K05350, EC:3.2.1.21, Nicotiana Tomentosiformis (Yungas Valley Tobacco), beta-glucosidase 18-like, KO:K05350, EC:3.2.1.21, Nicotiana Tomentosiformis (Yungas Valley Tobacco), 
beta-glucosidase 18-like, KO:K05350, EC:3.2.1.21, Nicotiana Tomentosiformis (Yungas Valley Tobacco), beta-glucosidase 44-like, KO:K05350, EC:3.2.1.21, 
Nicotiana Tomentosiformis (Yungas Valley Tobacco), beta-glucosidase 18-like, KO:K05350, EC:3.2.1.21, Nicotiana Tomentosiformis (Yungas Valley Tobacco), beta-glucosidase 18-like, KO:K05350, 
EC:3.2.1.21, Nicotiana Tomentosiformis (Yungas Valley Tobacco), beta-glucosidase 44-like, KO:K05350, EC:3.2.1.21, Nicotiana Tomentosiformis (Yungas Valley Tobacco), feruloyl CoA ortho-hydroxylase 2-like, 
KO:K06892, EC:1.14.11.61, Nicotiana Tomentosiformis (Yungas Valley Tobacco), feruloyl CoA ortho-hydroxylase 1-like, KO:K06892, EC:1.14.11.61, Nicotiana Tomentosiformis (Yungas Valley Tobacco), 
feruloyl CoA ortho-hydroxylase 2-like, KO:K06892, EC:1.14.11.61, Nicotiana Tomentosiformis (Yungas Valley Tobacco), feruloyl CoA ortho-hydroxylase 2-like, KO:K06892, EC:1.14.11.61, 
Nicotiana Tomentosiformis (Yungas Valley Tobacco), feruloyl CoA ortho-hydroxylase 2-like, KO:K06892, EC:1.14.11.61, Nicotiana Tomentosiformis (Yungas Valley Tobacco), feruloyl CoA ortho-hydroxylase 1-like, KO:K06892, 
EC:1.14.11.61, Nicotiana Tomentosiformis (Yungas Valley Tobacco), feruloyl CoA ortho-hydroxylase 1-like, KO:K06892, EC:1.14.11.61, Nicotiana Tomentosiformis (Yungas Valley Tobacco), scopoletin glucosyltransferase-like, 
KO:K23260, EC:2.4.1.128, Nicotiana Tomentosiformis (Yungas Valley Tobacco), scopoletin glucosyltransferase, KO:K23260, EC:2.4.1.128, Nicotiana Tomentosiformis (Yungas Valley Tobacco), 
acylsugar acyltransferase 3-like, 
