Juglans regia, phenylalanine ammonia-lyase-like, KO:K10775, EC:4.3.1.24, Juglans regia, phenylalanine ammonia-lyase-like, KO:K10775, EC:4.3.1.24, 
Juglans regia, phenylalanine ammonia-lyase-like, KO:K10775, EC:4.3.1.24, Juglans regia, phenylalanine ammonia-lyase-like, KO:K10775, 
Juglans regia, cationic peroxidase 1-like, KO:K00430, EC:1.11.1.7, Juglans regia, peroxidase 2-like, KO:K00430, 
EC:1.11.1.7, Juglans regia, cationic peroxidase 1-like, KO:K00430, EC:1.11.1.7, Juglans regia, peroxidase 44-like, 
KO:K00430, EC:1.11.1.7, Juglans regia, peroxidase 65-like, KO:K00430, EC:1.11.1.7, Juglans regia, 
lignin-forming anionic peroxidase-like, KO:K00430, EC:1.11.1.7, Juglans regia, peroxidase P7-like, KO:K00430, EC:1.11.1.7, 
Juglans regia, peroxidase 16-like, KO:K00430, EC:1.11.1.7, Juglans regia, peroxidase 25-like, KO:K00430, 
EC:1.11.1.7, Juglans regia, peroxidase 12-like, KO:K00430, EC:1.11.1.7, Juglans regia, peroxidase 10-like, 
KO:K00430, EC:1.11.1.7, Juglans regia, peroxidase 42, KO:K00430, EC:1.11.1.7, Juglans regia, 
peroxidase 4-like, KO:K00430, EC:1.11.1.7, Juglans regia, peroxidase 10-like isoform X1, KO:K00430, EC:1.11.1.7, 
Juglans regia, peroxidase 5-like, KO:K00430, EC:1.11.1.7, Juglans regia, peroxidase 16-like isoform X2, KO:K00430, 
EC:1.11.1.7, Juglans regia, peroxidase 63-like, KO:K00430, EC:1.11.1.7, Juglans regia, peroxidase 64-like, 
KO:K00430, EC:1.11.1.7, Juglans regia, lignin-forming anionic peroxidase-like, KO:K00430, EC:1.11.1.7, Juglans regia, 
lignin-forming anionic peroxidase-like, KO:K00430, EC:1.11.1.7, Juglans regia, peroxidase 73-like, KO:K00430, EC:1.11.1.7, 
Juglans regia, peroxidase 3-like, KO:K00430, EC:1.11.1.7, Juglans regia, peroxidase P7-like, KO:K00430, 
EC:1.11.1.7, Juglans regia, peroxidase 65-like, KO:K00430, EC:1.11.1.7, Juglans regia, peroxidase 7-like, 
KO:K00430, EC:1.11.1.7, Juglans regia, peroxidase 3-like, KO:K00430, EC:1.11.1.7, Juglans regia, 
peroxidase 72-like, KO:K00430, EC:1.11.1.7, Juglans regia, peroxidase A2-like, KO:K00430, EC:1.11.1.7, 
Juglans regia, peroxidase A2-like, KO:K00430, EC:1.11.1.7, Juglans regia, peroxidase A2-like, KO:K00430, 
EC:1.11.1.7, Juglans regia, peroxidase 29-like isoform X3, KO:K00430, EC:1.11.1.7, Juglans regia, peroxidase 29, 
KO:K00430, EC:1.11.1.7, Juglans regia, peroxidase 43-like isoform X1, KO:K00430, EC:1.11.1.7, Juglans regia, 
lignin-forming anionic peroxidase-like, KO:K00430, EC:1.11.1.7, Juglans regia, peroxidase 5-like isoform X2, KO:K00430, EC:1.11.1.7, 
Juglans regia, peroxidase 16-like, KO:K00430, EC:1.11.1.7, Juglans regia, peroxidase 72-like, KO:K00430, 
EC:1.11.1.7, Juglans regia, LOW QUALITY PROTEIN: peroxidase 66, KO:K00430, EC:1.11.1.7, Juglans regia, peroxidase 60, 
KO:K00430, EC:1.11.1.7, Juglans regia, peroxidase 11-like, KO:K00430, EC:1.11.1.7, Juglans regia, 
peroxidase 17-like, KO:K00430, EC:1.11.1.7, Juglans regia, peroxidase 17-like, KO:K00430, EC:1.11.1.7, 
Juglans regia, peroxidase 5-like, KO:K00430, EC:1.11.1.7, Juglans regia, peroxidase 5-like, KO:K00430, 
EC:1.11.1.7, Juglans regia, peroxidase 72-like, KO:K00430, EC:1.11.1.7, Juglans regia, peroxidase 43, 
KO:K00430, EC:1.11.1.7, Juglans regia, peroxidase N1-like, KO:K00430, EC:1.11.1.7, Juglans regia, 
peroxidase N1-like, KO:K00430, EC:1.11.1.7, Juglans regia, peroxidase N1-like, KO:K00430, EC:1.11.1.7, 
Juglans regia, peroxidase 19-like, KO:K00430, EC:1.11.1.7, Juglans regia, peroxidase 3-like, KO:K00430, 
EC:1.11.1.7, Juglans regia, peroxidase 21, KO:K00430, EC:1.11.1.7, Juglans regia, peroxidase 7-like, 
KO:K00430, EC:1.11.1.7, Juglans regia, peroxidase 40-like, KO:K00430, EC:1.11.1.7, Juglans regia, 
peroxidase N, KO:K00430, EC:1.11.1.7, Juglans regia, peroxidase A2-like, KO:K00430, EC:1.11.1.7, 
Juglans regia, cationic peroxidase 1-like, KO:K00430, EC:1.11.1.7, Juglans regia, peroxidase P7-like, KO:K00430, 
EC:1.11.1.7, Juglans regia, cationic peroxidase 1-like isoform X1, KO:K00430, EC:1.11.1.7, Juglans regia, peroxidase 12-like, 
KO:K00430, EC:1.11.1.7, Juglans regia, peroxidase 4-like, KO:K00430, EC:1.11.1.7, Juglans regia, 
peroxidase 55, KO:K00430, EC:1.11.1.7, Juglans regia, lignin-forming anionic peroxidase-like, KO:K00430, EC:1.11.1.7, 
Juglans regia, cationic peroxidase 1-like, KO:K00430, EC:1.11.1.7, Juglans regia, peroxidase A2-like, KO:K00430, 
EC:1.11.1.7, Juglans regia, cationic peroxidase 1-like, KO:K00430, EC:1.11.1.7, Juglans regia, anthocyanidin 3-O-glucosyltransferase 5-like, 
KO:K12356, EC:2.4.1.111, Juglans regia, anthocyanidin 3-O-glucosyltransferase 5-like, KO:K12356, EC:2.4.1.111, Juglans regia, 
anthocyanidin 3-O-glucosyltransferase 5-like, KO:K12356, EC:2.4.1.111, Juglans regia, anthocyanidin 3-O-glucosyltransferase 5-like, KO:K12356, EC:2.4.1.111, 
Juglans regia, beta-glucosidase 11-like, KO:K01188, EC:3.2.1.21, Juglans regia, beta-glucosidase 40-like, KO:K01188, 
EC:3.2.1.21, Juglans regia, beta-glucosidase 40-like, KO:K01188, EC:3.2.1.21, Juglans regia, beta-glucosidase 42, 
KO:K01188, EC:3.2.1.21, Juglans regia, putative beta-glucosidase 41 isoform X1, KO:K01188, EC:3.2.1.21, Juglans regia, 
beta-glucosidase 11-like, KO:K01188, EC:3.2.1.21, Juglans regia, putative beta-glucosidase 41, KO:K01188, EC:3.2.1.21, 
Juglans regia, beta-glucosidase BoGH3B-like isoform X1, KO:K05349, EC:3.2.1.21, Juglans regia, beta-glucosidase BoGH3B-like, KO:K05349, 
EC:3.2.1.21, Juglans regia, beta-glucosidase BoGH3B-like isoform X1, KO:K05349, EC:3.2.1.21, Juglans regia, beta-glucosidase BoGH3B-like, 
KO:K05349, EC:3.2.1.21, Juglans regia, beta-glucosidase BoGH3B-like, KO:K05349, EC:3.2.1.21, Juglans regia, 
beta-glucosidase BoGH3B-like, KO:K05349, EC:3.2.1.21, Juglans regia, beta-glucosidase BoGH3B-like isoform X1, KO:K05349, EC:3.2.1.21, 
Juglans regia, beta-glucosidase BoGH3B-like, KO:K05349, EC:3.2.1.21, Juglans regia, beta-glucosidase BoGH3B-like isoform X1, KO:K05349, 
EC:3.2.1.21, Juglans regia, beta-glucosidase BoGH3B-like, KO:K05349, EC:3.2.1.21, Juglans regia, beta-glucosidase BoGH3B-like, 
KO:K05349, EC:3.2.1.21, Juglans regia, beta-glucosidase 47-like isoform X1, KO:K05350, EC:3.2.1.21, Juglans regia, 
beta-glucosidase 44-like, KO:K05350, EC:3.2.1.21, Juglans regia, feruloyl CoA ortho-hydroxylase F6H1-2-like, KO:K06892, EC:1.14.11.61, 
Juglans regia, feruloyl CoA ortho-hydroxylase F6H1-3-like, KO:K06892, EC:1.14.11.61, Juglans regia, scopoletin glucosyltransferase-like, KO:K23260, 
EC:2.4.1.128, Juglans regia, scopoletin glucosyltransferase-like, KO:K23260, EC:2.4.1.128, Juglans regia, scopoletin glucosyltransferase-like, 
KO:K23260, EC:2.4.1.128, Juglans regia, scopoletin glucosyltransferase-like, KO:K23260, EC:2.4.1.128, Juglans regia, 
scopoletin glucosyltransferase-like, KO:K23260, EC:2.4.1.128, Juglans regia, scopoletin glucosyltransferase-like, KO:K23260, EC:2.4.1.128, 

