Nicotiana attenuata, phenylalanine ammonia-lyase, KO:K10775, EC:4.3.1.24, Nicotiana attenuata, phenylalanine ammonia-lyase-like, KO:K10775, EC:4.3.1.24, 
Nicotiana attenuata, phenylalanine ammonia-lyase, KO:K10775, EC:4.3.1.24, Nicotiana attenuata, phenylalanine ammonia-lyase isoform X1, KO:K10775, 
EC:2.3.1.133, Nicotiana attenuata, acetyl-CoA-benzylalcohol acetyltransferase-like, KO:K13065, EC:2.3.1.133, Nicotiana attenuata, agmatine hydroxycinnamoyltransferase 1-like, 
KO:K13065, EC:2.3.1.133, Nicotiana attenuata, vinorine synthase-like, KO:K13065, EC:2.3.1.133, Nicotiana attenuata, 
acylsugar acyltransferase 3-like, KO:K13065, EC:2.3.1.133, Nicotiana attenuata, cytochrome P450 98A2-like, KO:K09754, EC:1.14.14.96, 
Nicotiana attenuata, cytochrome P450 98A2-like, KO:K09754, EC:1.14.14.96, Nicotiana attenuata, cytochrome P450 98A3-like, KO:K09754, 
EC:1.14.14.96, Nicotiana attenuata, cytochrome P450 98A2-like, KO:K09754, EC:1.14.14.96, Nicotiana attenuata, caffeoylshikimate esterase, 
KO:K18368, EC:3.1.1.-, Nicotiana attenuata, caffeoylshikimate esterase-like, KO:K18368, EC:3.1.1.-, Nicotiana attenuata, 
caffeoylshikimate esterase-like, KO:K18368, EC:3.1.1.-, Nicotiana attenuata, caffeoylshikimate esterase-like, KO:K18368, EC:3.1.1.-, 
Nicotiana attenuata, caffeoylshikimate esterase, KO:K18368, EC:3.1.1.-, Nicotiana attenuata, caffeoylshikimate esterase-like, KO:K18368, 
EC:3.1.1.-, Nicotiana attenuata, caffeoyl-CoA O-methyltransferase 1-like, KO:K00588, EC:2.1.1.104, Nicotiana attenuata, probable caffeoyl-CoA O-methyltransferase At4g26220, 
KO:K00588, EC:2.1.1.104, Nicotiana attenuata, probable caffeoyl-CoA O-methyltransferase At4g26220, KO:K00588, EC:2.1.1.104, Nicotiana attenuata, 
caffeoyl-CoA O-methyltransferase 3, KO:K00588, EC:2.1.1.104, Nicotiana attenuata, probable caffeoyl-CoA O-methyltransferase At4g26220, KO:K00588, EC:2.1.1.104, 
Nicotiana attenuata, caffeoyl-CoA O-methyltransferase 6, KO:K00588, EC:2.1.1.104, Nicotiana attenuata, caffeoyl-CoA O-methyltransferase 5, KO:K00588, 
EC:2.1.1.104, Nicotiana attenuata, cinnamoyl-CoA reductase 2-like, KO:K09753, EC:1.2.1.44, Nicotiana attenuata, cinnamoyl-CoA reductase 1-like, 
KO:K09753, EC:1.2.1.44, Nicotiana attenuata, aldehyde dehydrogenase family 2 member C4 isoform X1, KO:K12355, EC:1.2.1.68, Nicotiana attenuata, 
LOW QUALITY PROTEIN: caffeic acid 3-O-methyltransferase-like, KO:K13066, EC:2.1.1.68, Nicotiana attenuata, caffeic acid 3-O-methyltransferase-like, KO:K13066, EC:2.1.1.68, 
Nicotiana attenuata, caffeic acid 3-O-methyltransferase-like, KO:K13066, EC:2.1.1.68, Nicotiana attenuata, caffeic acid 3-O-methyltransferase-like, KO:K13066, 
EC:2.1.1.68, Nicotiana attenuata, caffeic acid 3-O-methyltransferase-like, KO:K13066, EC:2.1.1.68, Nicotiana attenuata, caffeic acid 3-O-methyltransferase 1-like, 
KO:K13066, EC:2.1.1.68, Nicotiana attenuata, probable cinnamyl alcohol dehydrogenase 1, KO:K00083, EC:1.1.1.195, Nicotiana attenuata, 
probable cinnamyl alcohol dehydrogenase 6 isoform X1, KO:K00083, EC:1.1.1.195, Nicotiana attenuata, probable cinnamyl alcohol dehydrogenase 6, KO:K00083, EC:1.1.1.195, 
Nicotiana attenuata, probable cinnamyl alcohol dehydrogenase 2, KO:K00083, EC:1.1.1.195, Nicotiana attenuata, probable cinnamyl alcohol dehydrogenase 1, KO:K00083, 
EC:1.1.1.195, Nicotiana attenuata, probable mannitol dehydrogenase, KO:K00083, EC:1.1.1.195, Nicotiana attenuata, berberine bridge enzyme-like 15, 
KO:K22395, EC:1.1.1.195, Nicotiana attenuata, berberine bridge enzyme-like 28, KO:K22395, EC:1.1.1.195, Nicotiana attenuata, 
berberine bridge enzyme-like 13, KO:K22395, EC:1.1.1.195, Nicotiana attenuata, berberine bridge enzyme-like 13, KO:K22395, EC:1.1.1.195, 
Nicotiana attenuata, reticuline oxidase-like, KO:K22395, EC:1.1.1.195, Nicotiana attenuata, reticuline oxidase-like, KO:K22395, 
EC:1.1.1.195, Nicotiana attenuata, 1-Cys peroxiredoxin A-like, KO:K11188, EC:1.11.1.7 1.11.1.27 3.1.1.-, Nicotiana attenuata, 1-Cys peroxiredoxin, 
KO:K11188, EC:1.11.1.7 1.11.1.27 3.1.1.-, Nicotiana attenuata, 1-Cys peroxiredoxin A-like, KO:K11188, EC:1.11.1.7 1.11.1.27 3.1.1.-, Nicotiana attenuata, 
LOW QUALITY PROTEIN: peroxidase 4-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, peroxidase 44-like, KO:K00430, EC:1.11.1.7, 
Nicotiana attenuata, probable peroxidase 61, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, probable peroxidase 61, KO:K00430, 
EC:1.11.1.7, Nicotiana attenuata, peroxidase 5-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, peroxidase 7, 
KO:K00430, EC:1.11.1.7, Nicotiana attenuata, peroxidase 24, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 
peroxidase 47, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, putative Peroxidase 48 isoform X1, KO:K00430, EC:1.11.1.7, 
Nicotiana attenuata, peroxidase 24-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, peroxidase 16-like, KO:K00430, 
EC:1.11.1.7, Nicotiana attenuata, peroxidase 2-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, peroxidase 44-like, 
KO:K00430, EC:1.11.1.7, Nicotiana attenuata, putative Peroxidase 48, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 
peroxidase 46-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, peroxidase 64-like, KO:K00430, EC:1.11.1.7, 
Nicotiana attenuata, peroxidase 43-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, peroxidase 44-like isoform X1, KO:K00430, 
EC:1.11.1.7, Nicotiana attenuata, putative Peroxidase 48, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, peroxidase 64-like, 
KO:K00430, EC:1.11.1.7, Nicotiana attenuata, peroxidase 6-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 
peroxidase 64-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, peroxidase 2-like, KO:K00430, EC:1.11.1.7, 
Nicotiana attenuata, peroxidase 43-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, peroxidase 51-like, KO:K00430, 
EC:1.11.1.7, Nicotiana attenuata, peroxidase 64-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, peroxidase 27-like, 
KO:K00430, EC:1.11.1.7, Nicotiana attenuata, peroxidase 3-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 
peroxidase 11-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, peroxidase 44-like, KO:K00430, EC:1.11.1.7, 
Nicotiana attenuata, cationic peroxidase 2-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, peroxidase 70-like, KO:K00430, 
EC:1.11.1.7, Nicotiana attenuata, putative Peroxidase 48, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, peroxidase 27-like, 
KO:K00430, EC:1.11.1.7, Nicotiana attenuata, peroxidase 3-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 
peroxidase 29-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, peroxidase 21, KO:K00430, EC:1.11.1.7, 
Nicotiana attenuata, peroxidase 3-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, peroxidase 60-like, KO:K00430, 
EC:1.11.1.7, Nicotiana attenuata, cationic peroxidase 1-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, peroxidase 5-like, 
KO:K00430, EC:1.11.1.7, Nicotiana attenuata, peroxidase 5-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 
peroxidase 41-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, peroxidase 5-like, KO:K00430, EC:1.11.1.7, 
Nicotiana attenuata, peroxidase 63-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, peroxidase 17, KO:K00430, 
EC:1.11.1.7, Nicotiana attenuata, LOW QUALITY PROTEIN: peroxidase 27-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, peroxidase 3-like, 
KO:K00430, EC:1.11.1.7, Nicotiana attenuata, peroxidase N1, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 
peroxidase P7-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, peroxidase 16-like, KO:K00430, EC:1.11.1.7, 
Nicotiana attenuata, peroxidase 72-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, peroxidase 72-like, KO:K00430, 
EC:1.11.1.7, Nicotiana attenuata, peroxidase 42, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, suberization-associated anionic peroxidase-like, 
KO:K00430, EC:1.11.1.7, Nicotiana attenuata, peroxidase 9-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 
peroxidase 19, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, peroxidase 64-like, KO:K00430, EC:1.11.1.7, 
Nicotiana attenuata, peroxidase 64-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, peroxidase 6-like, KO:K00430, 
EC:1.11.1.7, Nicotiana attenuata, peroxidase 9-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, peroxidase 72-like, 
KO:K00430, EC:1.11.1.7, Nicotiana attenuata, lignin-forming anionic peroxidase, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 
peroxidase N-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, peroxidase 11-like, KO:K00430, EC:1.11.1.7, 
Nicotiana attenuata, cationic peroxidase 1-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, peroxidase 9, KO:K00430, 
EC:1.11.1.7, Nicotiana attenuata, lignin-forming anionic peroxidase-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, peroxidase 55-like, 
KO:K00430, EC:1.11.1.7, Nicotiana attenuata, peroxidase P7-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 
peroxidase 27-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, peroxidase 66, KO:K00430, EC:1.11.1.7, 
Nicotiana attenuata, suberization-associated anionic peroxidase-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, peroxidase 15-like, KO:K00430, 
EC:1.11.1.7, Nicotiana attenuata, peroxidase 41-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, peroxidase 3-like, 
KO:K00430, EC:1.11.1.7, Nicotiana attenuata, peroxidase 3-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 
peroxidase 10-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, peroxidase 12-like, KO:K00430, EC:1.11.1.7, 
Nicotiana attenuata, peroxidase 10-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, lignin-forming anionic peroxidase-like, KO:K00430, 
EC:1.11.1.7, Nicotiana attenuata, lignin-forming anionic peroxidase-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, lignin-forming anionic peroxidase-like, 
KO:K00430, EC:1.11.1.7, Nicotiana attenuata, lignin-forming anionic peroxidase, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 
peroxidase 5-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, peroxidase 40-like, KO:K00430, EC:1.11.1.7, 
Nicotiana attenuata, peroxidase 72-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, peroxidase 72-like, KO:K00430, 
EC:1.11.1.7, Nicotiana attenuata, peroxidase 16-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, peroxidase 5-like, 
KO:K00430, EC:1.11.1.7, Nicotiana attenuata, peroxidase 43-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 
cationic peroxidase 1-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, cationic peroxidase 1-like, KO:K00430, EC:1.11.1.7, 
Nicotiana attenuata, peroxidase 44-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, peroxidase 21-like, KO:K00430, 
EC:1.11.1.7, Nicotiana attenuata, lignin-forming anionic peroxidase-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, peroxidase 27-like, 
KO:K00430, EC:1.11.1.7, Nicotiana attenuata, peroxidase 52-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 
peroxidase 55-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, lignin-forming anionic peroxidase, KO:K00430, EC:1.11.1.7, 
Nicotiana attenuata, peroxidase 3-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, lignin-forming anionic peroxidase-like, KO:K00430, 
EC:1.11.1.7, Nicotiana attenuata, peroxidase 12-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, peroxidase 12-like, 
KO:K00430, EC:1.11.1.7, Nicotiana attenuata, suberization-associated anionic peroxidase-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 
peroxidase 25, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, anthocyanidin 3-O-glucosyltransferase 5-like, KO:K12356, EC:2.4.1.111, 
Nicotiana attenuata, anthocyanidin 3-O-glucosyltransferase 5-like, KO:K12356, EC:2.4.1.111, Nicotiana attenuata, anthocyanidin 3-O-glucosyltransferase 5-like, KO:K12356, 
EC:2.4.1.111, Nicotiana attenuata, anthocyanidin 3-O-glucosyltransferase 5-like, KO:K12356, EC:2.4.1.111, Nicotiana attenuata, beta-glucosidase 11-like, 
KO:K01188, EC:3.2.1.21, Nicotiana attenuata, beta-glucosidase 40-like, KO:K01188, EC:3.2.1.21, Nicotiana attenuata, 
putative beta-glucosidase 41 isoform X1, KO:K01188, EC:3.2.1.21, Nicotiana attenuata, beta-glucosidase 42 isoform X1, KO:K01188, EC:3.2.1.21, 
Nicotiana attenuata, uncharacterized protein LOC109235471, KO:K05349, EC:3.2.1.21, Nicotiana attenuata, uncharacterized protein LOC109240179, KO:K05349, 
EC:3.2.1.21, Nicotiana attenuata, uncharacterized protein LOC109205647, KO:K05349, EC:3.2.1.21, Nicotiana attenuata, uncharacterized protein LOC109234023 isoform X1, 
KO:K05349, EC:3.2.1.21, Nicotiana attenuata, lysosomal beta glucosidase-like, KO:K05349, EC:3.2.1.21, Nicotiana attenuata, 
uncharacterized protein LOC109240178 isoform X1, KO:K05349, EC:3.2.1.21, Nicotiana attenuata, uncharacterized protein LOC109211436, KO:K05349, EC:3.2.1.21, 
Nicotiana attenuata, uncharacterized protein LOC109231723, KO:K05349, EC:3.2.1.21, Nicotiana attenuata, uncharacterized protein LOC109239553, KO:K05349, 
EC:3.2.1.21, Nicotiana attenuata, uncharacterized protein LOC109213055 isoform X1, KO:K05349, EC:3.2.1.21, Nicotiana attenuata, beta-glucosidase 18-like isoform X1, 
KO:K05350, EC:3.2.1.21, Nicotiana attenuata, beta-glucosidase 44-like, KO:K05350, EC:3.2.1.21, Nicotiana attenuata, 
beta-glucosidase 47-like isoform X1, KO:K05350, EC:3.2.1.21, Nicotiana attenuata, beta-glucosidase 18-like isoform X1, KO:K05350, EC:3.2.1.21, 
Nicotiana attenuata, beta-glucosidase 18-like, KO:K05350, EC:3.2.1.21, Nicotiana attenuata, beta-glucosidase 47-like, KO:K05350, 
EC:3.2.1.21, Nicotiana attenuata, beta-glucosidase 18-like, KO:K05350, EC:3.2.1.21, Nicotiana attenuata, beta-glucosidase 18-like isoform X1, 
KO:K05350, EC:3.2.1.21, Nicotiana attenuata, beta-glucosidase 18-like, KO:K05350, EC:3.2.1.21, Nicotiana attenuata, 
beta-glucosidase 18-like, KO:K05350, EC:3.2.1.21, Nicotiana attenuata, beta-glucosidase 18-like, KO:K05350, EC:3.2.1.21, 
Nicotiana attenuata, beta-glucosidase 44-like, KO:K05350, EC:3.2.1.21, Nicotiana attenuata, feruloyl CoA ortho-hydroxylase 2-like, KO:K06892, 
EC:1.14.11.61, Nicotiana attenuata, feruloyl CoA ortho-hydroxylase 1-like, KO:K06892, EC:1.14.11.61, Nicotiana attenuata, feruloyl CoA ortho-hydroxylase 2-like, 
KO:K06892, EC:1.14.11.61, Nicotiana attenuata, feruloyl CoA ortho-hydroxylase 1-like, KO:K06892, EC:1.14.11.61, Nicotiana attenuata, 
feruloyl CoA ortho-hydroxylase 2-like, KO:K06892, EC:1.14.11.61, Nicotiana attenuata, feruloyl CoA ortho-hydroxylase 2-like, KO:K06892, EC:1.14.11.61, 
Nicotiana attenuata, feruloyl CoA ortho-hydroxylase 1-like, KO:K06892, EC:1.14.11.61, Nicotiana attenuata, scopoletin glucosyltransferase-like, KO:K23260, 
EC:2.4.1.128, Nicotiana attenuata, scopoletin glucosyltransferase, KO:K23260, EC:2.4.1.128, Nicotiana attenuata, acylsugar acyltransferase 3-like, 

