Phalaenopsis equestris, 110024167, LOW QUALITY PROTEIN: phenylalanine ammonia-lyase-like, KO:K10775, EC:4.3.1.24, Phalaenopsis equestris, 110031047, phenylalanine ammonia-lyase-like, 
KO:K10775, EC:4.3.1.24, Phalaenopsis equestris, 110019442, trans-cinnamate 4-monooxygenase-like, KO:K00487, EC:1.14.14.91, 
EC:1.11.1.7, Phalaenopsis equestris, 110037642, peroxidase 3-like, KO:K00430, EC:1.11.1.7, Phalaenopsis equestris, 
110033768, peroxidase 27-like, KO:K00430, EC:1.11.1.7, Phalaenopsis equestris, 110027623, peroxidase P7-like, 
KO:K00430, EC:1.11.1.7, Phalaenopsis equestris, 110028595, peroxidase 51-like, KO:K00430, EC:1.11.1.7, 
Phalaenopsis equestris, 110026826, cationic peroxidase 1-like, KO:K00430, EC:1.11.1.7, Phalaenopsis equestris, 110028795, 
peroxidase 5-like, KO:K00430, EC:1.11.1.7, Phalaenopsis equestris, 110028801, peroxidase 5-like, KO:K00430, 
EC:1.11.1.7, Phalaenopsis equestris, 110028828, LOW QUALITY PROTEIN: peroxidase 12-like, KO:K00430, EC:1.11.1.7, Phalaenopsis equestris, 
110034831, cationic peroxidase 1-like, KO:K00430, EC:1.11.1.7, Phalaenopsis equestris, 110035860, cationic peroxidase 1-like, 
KO:K00430, EC:1.11.1.7, Phalaenopsis equestris, 110037984, peroxidase 72-like, KO:K00430, EC:1.11.1.7, 
Phalaenopsis equestris, 110038073, LOW QUALITY PROTEIN: peroxidase 12-like, KO:K00430, EC:1.11.1.7, Phalaenopsis equestris, 110038216, 
peroxidase P7-like, KO:K00430, EC:1.11.1.7, Phalaenopsis equestris, 110020128, cationic peroxidase 1-like, KO:K00430, 
EC:1.11.1.7, Phalaenopsis equestris, 110035050, peroxidase 31-like, KO:K00430, EC:1.11.1.7, Phalaenopsis equestris, 
110033925, peroxidase 4-like, KO:K00430, EC:1.11.1.7, Phalaenopsis equestris, 110031143, peroxidase 1-like, 
KO:K00430, EC:1.11.1.7, Phalaenopsis equestris, 110031148, LOW QUALITY PROTEIN: peroxidase 57-like, KO:K00430, EC:1.11.1.7, 
Phalaenopsis equestris, 110032151, peroxidase 42-like, KO:K00430, EC:1.11.1.7, Phalaenopsis equestris, 110036246, 
peroxidase 7, KO:K00430, EC:1.11.1.7, Phalaenopsis equestris, 110023242, peroxidase P7-like, KO:K00430, 
EC:1.11.1.7, Phalaenopsis equestris, 110026181, LOW QUALITY PROTEIN: peroxidase 17-like, KO:K00430, EC:1.11.1.7, Phalaenopsis equestris, 
110028145, peroxidase 64, KO:K00430, EC:1.11.1.7, Phalaenopsis equestris, 110028309, peroxidase P7-like isoform X1, 
KO:K00430, EC:1.11.1.7, Phalaenopsis equestris, 110028310, peroxidase 4-like, KO:K00430, EC:1.11.1.7, 
Phalaenopsis equestris, 110029306, peroxidase P7-like, KO:K00430, EC:1.11.1.7, Phalaenopsis equestris, 110030330, 
LOW QUALITY PROTEIN: peroxidase 5-like, KO:K00430, EC:1.11.1.7, Phalaenopsis equestris, 110019475, LOW QUALITY PROTEIN: probable peroxidase 26, KO:K00430, 
EC:1.11.1.7, Phalaenopsis equestris, 110024446, peroxidase 51-like isoform X1, KO:K00430, EC:1.11.1.7, Phalaenopsis equestris, 
110028438, cationic peroxidase 1-like, KO:K00430, EC:1.11.1.7, Phalaenopsis equestris, 110033467, peroxidase N-like, 
KO:K00430, EC:1.11.1.7, Phalaenopsis equestris, 110038366, peroxidase P7-like, KO:K00430, EC:1.11.1.7, 
Phalaenopsis equestris, 110038367, peroxidase 52-like, KO:K00430, EC:1.11.1.7, Phalaenopsis equestris, 110027479, 
peroxidase 42-like, KO:K00430, EC:1.11.1.7, Phalaenopsis equestris, 110037599, peroxidase 3-like, KO:K00430, 
EC:1.11.1.7, Phalaenopsis equestris, 110028373, cationic peroxidase 1-like, KO:K00430, EC:1.11.1.7, Phalaenopsis equestris, 
110034402, peroxidase P7-like, KO:K00430, EC:1.11.1.7, Phalaenopsis equestris, 110021580, peroxidase 47, 
KO:K00430, EC:1.11.1.7, Phalaenopsis equestris, 110024562, peroxidase 51-like, KO:K00430, EC:1.11.1.7, 
Phalaenopsis equestris, 110037439, peroxidase 72-like, KO:K00430, EC:1.11.1.7, Phalaenopsis equestris, 110029565, 
peroxidase 31-like, KO:K00430, EC:1.11.1.7, Phalaenopsis equestris, 110022896, uncharacterized protein LOC110022896, KO:K05349, 
EC:3.2.1.21, Phalaenopsis equestris, 110028803, uncharacterized protein LOC110028803, KO:K05349, EC:3.2.1.21, Phalaenopsis equestris, 
110028817, uncharacterized protein LOC110028817, KO:K05349, EC:3.2.1.21, Phalaenopsis equestris, 110024203, uncharacterized protein LOC110024203, 
KO:K05349, EC:3.2.1.21, Phalaenopsis equestris, 110024215, uncharacterized protein LOC110024215, KO:K05349, EC:3.2.1.21, 
Phalaenopsis equestris, 110020528, uncharacterized protein LOC110020528 isoform X1, KO:K05349, EC:3.2.1.21, Phalaenopsis equestris, 110024930, 
beta-glucosidase 18-like, KO:K05350, EC:3.2.1.21, Phalaenopsis equestris, 110024936, beta-glucosidase 18-like, KO:K05350, 
EC:3.2.1.21, Phalaenopsis equestris, 110025189, beta-glucosidase 1-like, KO:K05350, EC:3.2.1.21, Phalaenopsis equestris, 
110034704, scopoletin glucosyltransferase-like, KO:K23260, EC:2.4.1.128, Phalaenopsis equestris, 110027881, scopoletin glucosyltransferase-like, 
KO:K23260, EC:2.4.1.128, Phalaenopsis equestris, 110031840, scopoletin glucosyltransferase-like, KO:K23260, EC:2.4.1.128, 
Phalaenopsis equestris, 110019056, scopoletin glucosyltransferase-like, KO:K23260, EC:2.4.1.128, Phalaenopsis equestris, 110036322, 
scopoletin glucosyltransferase-like, KO:K23260, EC:2.4.1.128, Phalaenopsis equestris, 110025346, scopoletin glucosyltransferase-like, KO:K23260, 
EC:2.4.1.128, Phalaenopsis equestris, 110036370, scopoletin glucosyltransferase-like, KO:K23260, EC:2.4.1.128, Phalaenopsis equestris, 
110035431, scopoletin glucosyltransferase-like, KO:K23260, EC:2.4.1.128, Phalaenopsis equestris, 110028408, scopoletin glucosyltransferase-like, 
KO:K23260, EC:2.4.1.128, Phalaenopsis equestris, 110019528, scopoletin glucosyltransferase-like, KO:K23260, EC:2.4.1.128, 
Phalaenopsis equestris, 110019547, scopoletin glucosyltransferase-like, KO:K23260, EC:2.4.1.128, Phalaenopsis equestris, 110036965, 
scopoletin glucosyltransferase-like, KO:K23260, EC:2.4.1.128, Phalaenopsis equestris, 110036311, LOW QUALITY PROTEIN: UDP-glycosyltransferase 73B4-like, KO:K23260, 
EC:2.4.1.128, 
