Ricinus communis, phenylalanine ammonia-lyase, KO:K10775, EC:4.3.1.24, Ricinus communis, phenylalanine ammonia-lyase G4, KO:K10775, EC:4.3.1.24, 
Ricinus communis, phenylalanine ammonia-lyase, KO:K10775, EC:4.3.1.24, Ricinus communis, LOW QUALITY PROTEIN: phenylalanine ammonia-lyase-like, KO:K10775, 
EC:2.1.1.104, Ricinus communis, caffeoyl-CoA O-methyltransferase isoform X2, KO:K00588, EC:2.1.1.104, Ricinus communis, probable caffeoyl-CoA O-methyltransferase At4g26220, 
KO:K00588, EC:2.1.1.104, Ricinus communis, probable caffeoyl-CoA O-methyltransferase At4g26220, KO:K00588, EC:2.1.1.104, Ricinus communis, 
caffeoyl-CoA O-methyltransferase-like, KO:K00588, EC:2.1.1.104, Ricinus communis, caffeoyl-CoA O-methyltransferase, KO:K00588, EC:2.1.1.104, 
Ricinus communis, caffeoyl-CoA O-methyltransferase, KO:K00588, EC:2.1.1.104, Ricinus communis, cinnamoyl-CoA reductase 1, KO:K09753, 
EC:1.2.1.44, Ricinus communis, aldehyde dehydrogenase family 2 member C4, KO:K12355, EC:1.2.1.68, Ricinus communis, aldehyde dehydrogenase family 2 member C4, 
KO:K12355, EC:1.2.1.68, Ricinus communis, caffeic acid 3-O-methyltransferase 1, KO:K13066, EC:2.1.1.68, Ricinus communis, 
caffeic acid 3-O-methyltransferase, KO:K13066, EC:2.1.1.68, Ricinus communis, anthranilate N-methyltransferase, KO:K13066, EC:2.1.1.68, 
Ricinus communis, caffeic acid 3-O-methyltransferase, KO:K13066, EC:2.1.1.68, Ricinus communis, caffeic acid 3-O-methyltransferase, KO:K13066, 
EC:2.1.1.68, Ricinus communis, caffeic acid 3-O-methyltransferase isoform X1, KO:K13066, EC:2.1.1.68, Ricinus communis, LOW QUALITY PROTEIN: caffeic acid 3-O-methyltransferase 1, 
KO:K13066, EC:2.1.1.68, Ricinus communis, probable cinnamyl alcohol dehydrogenase 9, KO:K00083, EC:1.1.1.195, Ricinus communis, 
probable cinnamyl alcohol dehydrogenase 1, KO:K00083, EC:1.1.1.195, Ricinus communis, probable cinnamyl alcohol dehydrogenase 1, KO:K00083, EC:1.1.1.195, 
Ricinus communis, probable cinnamyl alcohol dehydrogenase 6, KO:K00083, EC:1.1.1.195, Ricinus communis, berberine bridge enzyme-like 13, KO:K22395, 
EC:1.1.1.195, Ricinus communis, berberine bridge enzyme-like 13, KO:K22395, EC:1.1.1.195, Ricinus communis, berberine bridge enzyme-like 13, 
KO:K22395, EC:1.1.1.195, Ricinus communis, 1-Cys peroxiredoxin, KO:K11188, EC:1.11.1.7 1.11.1.27 3.1.1.-, Ricinus communis, 
peroxidase 66, KO:K00430, EC:1.11.1.7, Ricinus communis, cationic peroxidase 2, KO:K00430, EC:1.11.1.7, 
Ricinus communis, putative Peroxidase 48, KO:K00430, EC:1.11.1.7, Ricinus communis, lignin-forming anionic peroxidase, KO:K00430, 
EC:1.11.1.7, Ricinus communis, lignin-forming anionic peroxidase, KO:K00430, EC:1.11.1.7, Ricinus communis, lignin-forming anionic peroxidase, 
KO:K00430, EC:1.11.1.7, Ricinus communis, lignin-forming anionic peroxidase, KO:K00430, EC:1.11.1.7, Ricinus communis, 
peroxidase 55, KO:K00430, EC:1.11.1.7, Ricinus communis, peroxidase 72, KO:K00430, EC:1.11.1.7, 
Ricinus communis, peroxidase A2, KO:K00430, EC:1.11.1.7, Ricinus communis, peroxidase 9, KO:K00430, 
EC:1.11.1.7, Ricinus communis, lignin-forming anionic peroxidase, KO:K00430, EC:1.11.1.7, Ricinus communis, peroxidase 3, 
KO:K00430, EC:1.11.1.7, Ricinus communis, peroxidase 64, KO:K00430, EC:1.11.1.7, Ricinus communis, 
peroxidase 73, KO:K00430, EC:1.11.1.7, Ricinus communis, peroxidase N1, KO:K00430, EC:1.11.1.7, 
Ricinus communis, peroxidase 27, KO:K00430, EC:1.11.1.7, Ricinus communis, peroxidase 65, KO:K00430, 
EC:1.11.1.7, Ricinus communis, peroxidase 4, KO:K00430, EC:1.11.1.7, Ricinus communis, peroxidase 12, 
KO:K00430, EC:1.11.1.7, Ricinus communis, peroxidase 16, KO:K00430, EC:1.11.1.7, Ricinus communis, 
peroxidase 24, KO:K00430, EC:1.11.1.7, Ricinus communis, putative Peroxidase 48, KO:K00430, EC:1.11.1.7, 
Ricinus communis, peroxidase 5, KO:K00430, EC:1.11.1.7, Ricinus communis, cationic peroxidase 1, KO:K00430, 
EC:1.11.1.7, Ricinus communis, peroxidase 47, KO:K00430, EC:1.11.1.7, Ricinus communis, peroxidase 25 isoform X1, 
KO:K00430, EC:1.11.1.7, Ricinus communis, peroxidase 12, KO:K00430, EC:1.11.1.7, Ricinus communis, 
peroxidase 27, KO:K00430, EC:1.11.1.7, Ricinus communis, peroxidase 64, KO:K00430, EC:1.11.1.7, 
Ricinus communis, peroxidase 27, KO:K00430, EC:1.11.1.7, Ricinus communis, peroxidase 60, KO:K00430, 
EC:1.11.1.7, Ricinus communis, peroxidase 44, KO:K00430, EC:1.11.1.7, Ricinus communis, peroxidase 39, 
KO:K00430, EC:1.11.1.7, Ricinus communis, peroxidase 2, KO:K00430, EC:1.11.1.7, Ricinus communis, 
lignin-forming anionic peroxidase, KO:K00430, EC:1.11.1.7, Ricinus communis, lignin-forming anionic peroxidase, KO:K00430, EC:1.11.1.7, 
Ricinus communis, LOW QUALITY PROTEIN: peroxidase 5-like, KO:K00430, EC:1.11.1.7, Ricinus communis, lignin-forming anionic peroxidase, KO:K00430, 
EC:1.11.1.7, Ricinus communis, peroxidase 15, KO:K00430, EC:1.11.1.7, Ricinus communis, probable peroxidase 61, 
KO:K00430, EC:1.11.1.7, Ricinus communis, lignin-forming anionic peroxidase, KO:K00430, EC:1.11.1.7, Ricinus communis, 
cationic peroxidase 1, KO:K00430, EC:1.11.1.7, Ricinus communis, peroxidase 20, KO:K00430, EC:1.11.1.7, 
Ricinus communis, peroxidase 5, KO:K00430, EC:1.11.1.7, Ricinus communis, peroxidase 5, KO:K00430, 
EC:1.11.1.7, Ricinus communis, peroxidase 5, KO:K00430, EC:1.11.1.7, Ricinus communis, LOW QUALITY PROTEIN: peroxidase 3, 
KO:K00430, EC:1.11.1.7, Ricinus communis, peroxidase 11, KO:K00430, EC:1.11.1.7, Ricinus communis, 
peroxidase 46-like, KO:K00430, EC:1.11.1.7, Ricinus communis, peroxidase 15, KO:K00430, EC:1.11.1.7, 
Ricinus communis, peroxidase 17, KO:K00430, EC:1.11.1.7, Ricinus communis, cationic peroxidase 1, KO:K00430, 
EC:1.11.1.7, Ricinus communis, peroxidase 12, KO:K00430, EC:1.11.1.7, Ricinus communis, peroxidase 27-like, 
KO:K00430, EC:1.11.1.7, Ricinus communis, peroxidase 3-like isoform X1, KO:K00430, EC:1.11.1.7, Ricinus communis, 
peroxidase 10, KO:K00430, EC:1.11.1.7, Ricinus communis, lignin-forming anionic peroxidase, KO:K00430, EC:1.11.1.7, 
Ricinus communis, peroxidase 24, KO:K00430, EC:1.11.1.7, Ricinus communis, peroxidase 40, KO:K00430, 
EC:1.11.1.7, Ricinus communis, peroxidase 31-like, KO:K00430, EC:1.11.1.7, Ricinus communis, peroxidase 21, 
KO:K00430, EC:1.11.1.7, Ricinus communis, peroxidase 4-like, KO:K00430, EC:1.11.1.7, Ricinus communis, 
peroxidase 19, KO:K00430, EC:1.11.1.7, Ricinus communis, peroxidase 42, KO:K00430, EC:1.11.1.7, 
Ricinus communis, peroxidase 43, KO:K00430, EC:1.11.1.7, Ricinus communis, peroxidase 5, KO:K00430, 
EC:1.11.1.7, Ricinus communis, peroxidase 7, KO:K00430, EC:1.11.1.7, Ricinus communis, peroxidase 24-like, 
KO:K00430, EC:1.11.1.7, Ricinus communis, LOW QUALITY PROTEIN: anthocyanidin 3-O-glucosyltransferase 5, KO:K12356, EC:2.4.1.111, Ricinus communis, 
uncharacterized protein LOC8281990, KO:K01188, EC:3.2.1.21, Ricinus communis, beta-glucosidase 40 isoform X1, KO:K01188, EC:3.2.1.21, 
Ricinus communis, beta-glucosidase 12, KO:K01188, EC:3.2.1.21, Ricinus communis, beta-glucosidase 17 isoform X1, KO:K01188, 
EC:3.2.1.21, Ricinus communis, beta-glucosidase 12, KO:K01188, EC:3.2.1.21, Ricinus communis, vicianin hydrolase isoform X2, 
KO:K01188, EC:3.2.1.21, Ricinus communis, beta-glucosidase 11, KO:K01188, EC:3.2.1.21, Ricinus communis, 
beta-glucosidase 11 isoform X1, KO:K01188, EC:3.2.1.21, Ricinus communis, beta-glucosidase 42, KO:K01188, EC:3.2.1.21, 
Ricinus communis, putative beta-glucosidase 41, KO:K01188, EC:3.2.1.21, Ricinus communis, uncharacterized protein LOC8281988, KO:K05349, 
EC:3.2.1.21, Ricinus communis, uncharacterized protein LOC8282390, KO:K05349, EC:3.2.1.21, Ricinus communis, uncharacterized protein LOC8276364, 
KO:K05349, EC:3.2.1.21, Ricinus communis, uncharacterized protein LOC8285423 isoform X1, KO:K05349, EC:3.2.1.21, Ricinus communis, 
beta-glucosidase 46 isoform X1, KO:K05350, EC:3.2.1.21, Ricinus communis, beta-glucosidase 44, KO:K05350, EC:3.2.1.21, 
Ricinus communis, LOW QUALITY PROTEIN: beta-glucosidase 18-like, KO:K05350, EC:3.2.1.21, Ricinus communis, uncharacterized protein LOC8272692, KO:K03186, 
EC:2.5.1.129, Ricinus communis, feruloyl CoA ortho-hydroxylase 1, KO:K06892, EC:1.14.11.61, Ricinus communis, feruloyl CoA ortho-hydroxylase 1, 
KO:K06892, EC:1.14.11.61, Ricinus communis, feruloyl CoA ortho-hydroxylase 1, KO:K06892, EC:1.14.11.61, Ricinus communis, 
feruloyl CoA ortho-hydroxylase 1 isoform X2, KO:K06892, EC:1.14.11.61, Ricinus communis, scopoletin glucosyltransferase, KO:K23260, EC:2.4.1.128, 
Ricinus communis, scopoletin glucosyltransferase, KO:K23260, EC:2.4.1.128, Ricinus communis, scopoletin glucosyltransferase, KO:K23260, 
EC:2.4.1.128, Ricinus communis, scopoletin glucosyltransferase, KO:K23260, EC:2.4.1.128, Ricinus communis, scopoletin glucosyltransferase, 
KO:K23260, EC:2.4.1.128, Ricinus communis, scopoletin glucosyltransferase, KO:K23260, EC:2.4.1.128, 
