Capsicum Annuum (Sweet And Chilli Peppers), phenylalanine ammonia-lyase, KO:K10775, EC:4.3.1.24, Capsicum Annuum (Sweet And Chilli Peppers), phenylalanine ammonia-lyase-like, KO:K10775, EC:4.3.1.24, 
Capsicum Annuum (Sweet And Chilli Peppers), phenylalanine ammonia-lyase-like, KO:K10775, EC:4.3.1.24, Capsicum Annuum (Sweet And Chilli Peppers), phenylalanine ammonia-lyase-like, KO:K10775, 
acetyl-CoA-benzylalcohol acetyltransferase-like, KO:K13065, EC:2.3.1.133, Capsicum Annuum (Sweet And Chilli Peppers), acetyl-CoA-benzylalcohol acetyltransferase-like, KO:K13065, EC:2.3.1.133, 
Capsicum Annuum (Sweet And Chilli Peppers), vinorine synthase-like, KO:K13065, EC:2.3.1.133, Capsicum Annuum (Sweet And Chilli Peppers), vinorine synthase-like, KO:K13065, 
EC:2.3.1.133, Capsicum Annuum (Sweet And Chilli Peppers), shikimate O-hydroxycinnamoyltransferase, KO:K13065, EC:2.3.1.133, Capsicum Annuum (Sweet And Chilli Peppers), shikimate O-hydroxycinnamoyltransferase-like, 
KO:K13065, EC:2.3.1.133, Capsicum Annuum (Sweet And Chilli Peppers), acetyl-CoA-benzylalcohol acetyltransferase-like, KO:K13065, EC:2.3.1.133, Capsicum Annuum (Sweet And Chilli Peppers), 
acetyl-CoA-benzylalcohol acetyltransferase-like, KO:K13065, EC:2.3.1.133, Capsicum Annuum (Sweet And Chilli Peppers), vinorine synthase-like, KO:K13065, EC:2.3.1.133, 
Capsicum Annuum (Sweet And Chilli Peppers), acetyl-CoA-benzylalcohol acetyltransferase-like, KO:K13065, EC:2.3.1.133, Capsicum Annuum (Sweet And Chilli Peppers), vinorine synthase, KO:K13065, 
EC:2.3.1.133, Capsicum Annuum (Sweet And Chilli Peppers), vinorine synthase-like, KO:K13065, EC:2.3.1.133, Capsicum Annuum (Sweet And Chilli Peppers), agmatine coumaroyltransferase-2-like, 
KO:K13065, EC:2.3.1.133, Capsicum Annuum (Sweet And Chilli Peppers), agmatine coumaroyltransferase-2-like, KO:K13065, EC:2.3.1.133, Capsicum Annuum (Sweet And Chilli Peppers), 
omega-hydroxypalmitate O-feruloyl transferase, KO:K13065, EC:2.3.1.133, Capsicum Annuum (Sweet And Chilli Peppers), cytochrome P450 98A2-like, KO:K09754, EC:1.14.14.96, 
Capsicum Annuum (Sweet And Chilli Peppers), cytochrome P450 98A2-like, KO:K09754, EC:1.14.14.96, Capsicum Annuum (Sweet And Chilli Peppers), cytochrome P450 98A2-like, KO:K09754, 
EC:1.14.14.96, Capsicum Annuum (Sweet And Chilli Peppers), caffeoylshikimate esterase-like, KO:K18368, EC:3.1.1.-, Capsicum Annuum (Sweet And Chilli Peppers), caffeoylshikimate esterase, 
KO:K18368, EC:3.1.1.-, Capsicum Annuum (Sweet And Chilli Peppers), caffeoylshikimate esterase-like, KO:K18368, EC:3.1.1.-, Capsicum Annuum (Sweet And Chilli Peppers), 
caffeoylshikimate esterase, KO:K18368, EC:3.1.1.-, Capsicum Annuum (Sweet And Chilli Peppers), caffeoylshikimate esterase-like, KO:K18368, EC:3.1.1.-, 
Capsicum Annuum (Sweet And Chilli Peppers), caffeoyl-CoA O-methyltransferase 6, KO:K00588, EC:2.1.1.104, Capsicum Annuum (Sweet And Chilli Peppers), probable caffeoyl-CoA O-methyltransferase At4g26220, KO:K00588, 
EC:2.1.1.104, Capsicum Annuum (Sweet And Chilli Peppers), probable caffeoyl-CoA O-methyltransferase At4g26220, KO:K00588, EC:2.1.1.104, Capsicum Annuum (Sweet And Chilli Peppers), caffeoyl-CoA O-methyltransferase, 
KO:K00588, EC:2.1.1.104, Capsicum Annuum (Sweet And Chilli Peppers), caffeoyl-CoA O-methyltransferase-like, KO:K00588, EC:2.1.1.104, Capsicum Annuum (Sweet And Chilli Peppers), 
probable caffeoyl-CoA O-methyltransferase At4g26220, KO:K00588, EC:2.1.1.104, Capsicum Annuum (Sweet And Chilli Peppers), probable caffeoyl-CoA O-methyltransferase At4g26220, KO:K00588, EC:2.1.1.104, 
Capsicum Annuum (Sweet And Chilli Peppers), probable caffeoyl-CoA O-methyltransferase At4g26220, KO:K00588, EC:2.1.1.104, Capsicum Annuum (Sweet And Chilli Peppers), cinnamoyl-CoA reductase 2-like, KO:K09753, 
EC:1.2.1.44, Capsicum Annuum (Sweet And Chilli Peppers), cinnamoyl-CoA reductase 1-like, KO:K09753, EC:1.2.1.44, Capsicum Annuum (Sweet And Chilli Peppers), cinnamoyl-CoA reductase 1-like, 
KO:K09753, EC:1.2.1.44, Capsicum Annuum (Sweet And Chilli Peppers), cinnamoyl-CoA reductase 2, KO:K09753, EC:1.2.1.44, Capsicum Annuum (Sweet And Chilli Peppers), 
ALDH1, aldehyde dehydrogenase family 2 member C4-like, KO:K12355, EC:1.2.1.68, Capsicum Annuum (Sweet And Chilli Peppers), aldehyde dehydrogenase family 2 member C4-like, KO:K12355, 
EC:1.2.1.68, Capsicum Annuum (Sweet And Chilli Peppers), CAOMT, caffeic acid 3-O-methyltransferase, KO:K13066, EC:2.1.1.68, Capsicum Annuum (Sweet And Chilli Peppers), 
caffeic acid 3-O-methyltransferase, KO:K13066, EC:2.1.1.68, Capsicum Annuum (Sweet And Chilli Peppers), caffeic acid 3-O-methyltransferase-like, KO:K13066, EC:2.1.1.68, 
Capsicum Annuum (Sweet And Chilli Peppers), caffeic acid 3-O-methyltransferase-like, KO:K13066, EC:2.1.1.68, Capsicum Annuum (Sweet And Chilli Peppers), caffeic acid 3-O-methyltransferase-like, KO:K13066, 
EC:2.1.1.68, Capsicum Annuum (Sweet And Chilli Peppers), caffeic acid 3-O-methyltransferase-like, KO:K13066, EC:2.1.1.68, Capsicum Annuum (Sweet And Chilli Peppers), caffeic acid 3-O-methyltransferase 1-like, 
KO:K13066, EC:2.1.1.68, Capsicum Annuum (Sweet And Chilli Peppers), probable cinnamyl alcohol dehydrogenase 1, KO:K00083, EC:1.1.1.195, Capsicum Annuum (Sweet And Chilli Peppers), 
probable cinnamyl alcohol dehydrogenase 1, KO:K00083, EC:1.1.1.195, Capsicum Annuum (Sweet And Chilli Peppers), probable cinnamyl alcohol dehydrogenase 6, KO:K00083, EC:1.1.1.195, 
Capsicum Annuum (Sweet And Chilli Peppers), probable cinnamyl alcohol dehydrogenase 6, KO:K00083, EC:1.1.1.195, Capsicum Annuum (Sweet And Chilli Peppers), flavin-dependent oxidoreductase FOX2-like, KO:K22395, 
EC:1.1.1.195, Capsicum Annuum (Sweet And Chilli Peppers), reticuline oxidase-like, KO:K22395, EC:1.1.1.195, Capsicum Annuum (Sweet And Chilli Peppers), flavin-dependent oxidoreductase FOX2-like, 
KO:K22395, EC:1.1.1.195, Capsicum Annuum (Sweet And Chilli Peppers), flavin-dependent oxidoreductase FOX2-like, KO:K22395, EC:1.1.1.195, Capsicum Annuum (Sweet And Chilli Peppers), 
flavin-dependent oxidoreductase FOX2-like, KO:K22395, EC:1.1.1.195, Capsicum Annuum (Sweet And Chilli Peppers), cannabidiolic acid synthase-like, KO:K22395, EC:1.1.1.195, 
Capsicum Annuum (Sweet And Chilli Peppers), tetrahydrocannabinolic acid synthase-like, KO:K22395, EC:1.1.1.195, Capsicum Annuum (Sweet And Chilli Peppers), cannabidiolic acid synthase-like, KO:K22395, 
EC:1.1.1.195, Capsicum Annuum (Sweet And Chilli Peppers), tetrahydrocannabinolic acid synthase-like, KO:K22395, EC:1.1.1.195, Capsicum Annuum (Sweet And Chilli Peppers), 1-Cys peroxiredoxin, 
KO:K11188, EC:1.11.1.7 1.11.1.27 3.1.1.-, Capsicum Annuum (Sweet And Chilli Peppers), peroxidase 5-like, KO:K00430, EC:1.11.1.7, Capsicum Annuum (Sweet And Chilli Peppers), 
peroxidase 63, KO:K00430, EC:1.11.1.7, Capsicum Annuum (Sweet And Chilli Peppers), putative Peroxidase 48, KO:K00430, EC:1.11.1.7, 
Capsicum Annuum (Sweet And Chilli Peppers), cationic peroxidase 1-like, KO:K00430, EC:1.11.1.7, Capsicum Annuum (Sweet And Chilli Peppers), peroxidase 5-like, KO:K00430, 
EC:1.11.1.7, Capsicum Annuum (Sweet And Chilli Peppers), peroxidase 72-like, KO:K00430, EC:1.11.1.7, Capsicum Annuum (Sweet And Chilli Peppers), suberization-associated anionic peroxidase 2-like, 
KO:K00430, EC:1.11.1.7, Capsicum Annuum (Sweet And Chilli Peppers), peroxidase 11, KO:K00430, EC:1.11.1.7, Capsicum Annuum (Sweet And Chilli Peppers), 
peroxidase 5-like, KO:K00430, EC:1.11.1.7, Capsicum Annuum (Sweet And Chilli Peppers), peroxidase 45-like, KO:K00430, EC:1.11.1.7, 
Capsicum Annuum (Sweet And Chilli Peppers), peroxidase 9-like, KO:K00430, EC:1.11.1.7, Capsicum Annuum (Sweet And Chilli Peppers), peroxidase 60, KO:K00430, 
EC:1.11.1.7, Capsicum Annuum (Sweet And Chilli Peppers), peroxidase 72-like, KO:K00430, EC:1.11.1.7, Capsicum Annuum (Sweet And Chilli Peppers), peroxidase 3-like, 
KO:K00430, EC:1.11.1.7, Capsicum Annuum (Sweet And Chilli Peppers), peroxidase 27-like, KO:K00430, EC:1.11.1.7, Capsicum Annuum (Sweet And Chilli Peppers), 
peroxidase 27-like, KO:K00430, EC:1.11.1.7, Capsicum Annuum (Sweet And Chilli Peppers), peroxidase 3-like, KO:K00430, EC:1.11.1.7, 
Capsicum Annuum (Sweet And Chilli Peppers), lignin-forming anionic peroxidase-like, KO:K00430, EC:1.11.1.7, Capsicum Annuum (Sweet And Chilli Peppers), lignin-forming anionic peroxidase-like, KO:K00430, 
EC:1.11.1.7, Capsicum Annuum (Sweet And Chilli Peppers), peroxidase N, KO:K00430, EC:1.11.1.7, Capsicum Annuum (Sweet And Chilli Peppers), lignin-forming anionic peroxidase, 
KO:K00430, EC:1.11.1.7, Capsicum Annuum (Sweet And Chilli Peppers), lignin-forming anionic peroxidase-like, KO:K00430, EC:1.11.1.7, Capsicum Annuum (Sweet And Chilli Peppers), 
peroxidase 15-like, KO:K00430, EC:1.11.1.7, Capsicum Annuum (Sweet And Chilli Peppers), putative Peroxidase 48, KO:K00430, EC:1.11.1.7, 
Capsicum Annuum (Sweet And Chilli Peppers), peroxidase 7, KO:K00430, EC:1.11.1.7, Capsicum Annuum (Sweet And Chilli Peppers), peroxidase 64-like, KO:K00430, 
EC:1.11.1.7, Capsicum Annuum (Sweet And Chilli Peppers), peroxidase 51, KO:K00430, EC:1.11.1.7, Capsicum Annuum (Sweet And Chilli Peppers), peroxidase 44-like, 
KO:K00430, EC:1.11.1.7, Capsicum Annuum (Sweet And Chilli Peppers), peroxidase 5-like, KO:K00430, EC:1.11.1.7, Capsicum Annuum (Sweet And Chilli Peppers), 
peroxidase 72-like, KO:K00430, EC:1.11.1.7, Capsicum Annuum (Sweet And Chilli Peppers), peroxidase 49-like, KO:K00430, EC:1.11.1.7, 
Capsicum Annuum (Sweet And Chilli Peppers), peroxidase 19, KO:K00430, EC:1.11.1.7, Capsicum Annuum (Sweet And Chilli Peppers), peroxidase 12-like, KO:K00430, 
EC:1.11.1.7, Capsicum Annuum (Sweet And Chilli Peppers), peroxidase 12-like, KO:K00430, EC:1.11.1.7, Capsicum Annuum (Sweet And Chilli Peppers), peroxidase 64-like, 
KO:K00430, EC:1.11.1.7, Capsicum Annuum (Sweet And Chilli Peppers), peroxidase 41-like, KO:K00430, EC:1.11.1.7, Capsicum Annuum (Sweet And Chilli Peppers), 
peroxidase 10-like, KO:K00430, EC:1.11.1.7, Capsicum Annuum (Sweet And Chilli Peppers), lignin-forming anionic peroxidase-like, KO:K00430, EC:1.11.1.7, 
Capsicum Annuum (Sweet And Chilli Peppers), peroxidase 43-like, KO:K00430, EC:1.11.1.7, Capsicum Annuum (Sweet And Chilli Peppers), peroxidase 40, KO:K00430, 
EC:1.11.1.7, Capsicum Annuum (Sweet And Chilli Peppers), peroxidase 43, KO:K00430, EC:1.11.1.7, Capsicum Annuum (Sweet And Chilli Peppers), peroxidase 3-like, 
KO:K00430, EC:1.11.1.7, Capsicum Annuum (Sweet And Chilli Peppers), peroxidase 17, KO:K00430, EC:1.11.1.7, Capsicum Annuum (Sweet And Chilli Peppers), 
peroxidase 66, KO:K00430, EC:1.11.1.7, Capsicum Annuum (Sweet And Chilli Peppers), peroxidase 41-like, KO:K00430, EC:1.11.1.7, 
Capsicum Annuum (Sweet And Chilli Peppers), cationic peroxidase 1-like, KO:K00430, EC:1.11.1.7, Capsicum Annuum (Sweet And Chilli Peppers), peroxidase 10, KO:K00430, 
EC:1.11.1.7, Capsicum Annuum (Sweet And Chilli Peppers), peroxidase, peroxidase N1-like, KO:K00430, EC:1.11.1.7, Capsicum Annuum (Sweet And Chilli Peppers), 
peroxidase 44-like, KO:K00430, EC:1.11.1.7, Capsicum Annuum (Sweet And Chilli Peppers), peroxidase 44-like, KO:K00430, EC:1.11.1.7, 
Capsicum Annuum (Sweet And Chilli Peppers), peroxidase 6, KO:K00430, EC:1.11.1.7, Capsicum Annuum (Sweet And Chilli Peppers), peroxidase 46-like, KO:K00430, 
EC:1.11.1.7, Capsicum Annuum (Sweet And Chilli Peppers), POD, peroxidase P7, KO:K00430, EC:1.11.1.7, Capsicum Annuum (Sweet And Chilli Peppers), 
probable peroxidase 26, KO:K00430, EC:1.11.1.7, Capsicum Annuum (Sweet And Chilli Peppers), peroxidase 42, KO:K00430, EC:1.11.1.7, 
Capsicum Annuum (Sweet And Chilli Peppers), peroxidase 27-like, KO:K00430, EC:1.11.1.7, Capsicum Annuum (Sweet And Chilli Peppers), PO2, lignin-forming anionic peroxidase-like, 
KO:K00430, EC:1.11.1.7, Capsicum Annuum (Sweet And Chilli Peppers), peroxidase 64-like, KO:K00430, EC:1.11.1.7, Capsicum Annuum (Sweet And Chilli Peppers), 
lignin-forming anionic peroxidase-like, KO:K00430, EC:1.11.1.7, Capsicum Annuum (Sweet And Chilli Peppers), lignin-forming anionic peroxidase-like, KO:K00430, EC:1.11.1.7, 
Capsicum Annuum (Sweet And Chilli Peppers), lignin-forming anionic peroxidase-like, KO:K00430, EC:1.11.1.7, Capsicum Annuum (Sweet And Chilli Peppers), lignin-forming anionic peroxidase-like, KO:K00430, 
EC:1.11.1.7, Capsicum Annuum (Sweet And Chilli Peppers), lignin-forming anionic peroxidase-like, KO:K00430, EC:1.11.1.7, Capsicum Annuum (Sweet And Chilli Peppers), peroxidase A2-like, 
KO:K00430, EC:1.11.1.7, Capsicum Annuum (Sweet And Chilli Peppers), cationic peroxidase 1-like, KO:K00430, EC:1.11.1.7, Capsicum Annuum (Sweet And Chilli Peppers), 
peroxidase 5-like, KO:K00430, EC:1.11.1.7, Capsicum Annuum (Sweet And Chilli Peppers), peroxidase 5-like, KO:K00430, EC:1.11.1.7, 
Capsicum Annuum (Sweet And Chilli Peppers), peroxidase 21-like, KO:K00430, EC:1.11.1.7, Capsicum Annuum (Sweet And Chilli Peppers), peroxidase 55, KO:K00430, 
EC:1.11.1.7, Capsicum Annuum (Sweet And Chilli Peppers), peroxidase 16-like, KO:K00430, EC:1.11.1.7, Capsicum Annuum (Sweet And Chilli Peppers), peroxidase P7-like, 
KO:K00430, EC:1.11.1.7, Capsicum Annuum (Sweet And Chilli Peppers), peroxidase 47-like, KO:K00430, EC:1.11.1.7, Capsicum Annuum (Sweet And Chilli Peppers), 
peroxidase 4-like, KO:K00430, EC:1.11.1.7, Capsicum Annuum (Sweet And Chilli Peppers), peroxidase 64-like, KO:K00430, EC:1.11.1.7, 
Capsicum Annuum (Sweet And Chilli Peppers), peroxidase 64-like, KO:K00430, EC:1.11.1.7, Capsicum Annuum (Sweet And Chilli Peppers), peroxidase 57-like, KO:K00430, 
EC:1.11.1.7, Capsicum Annuum (Sweet And Chilli Peppers), anthocyanidin 3-O-glucosyltransferase 5-like, KO:K12356, EC:2.4.1.111, Capsicum Annuum (Sweet And Chilli Peppers), anthocyanidin 3-O-glucosyltransferase 5, 
KO:K12356, EC:2.4.1.111, Capsicum Annuum (Sweet And Chilli Peppers), beta-glucosidase 11-like, KO:K01188, EC:3.2.1.21, Capsicum Annuum (Sweet And Chilli Peppers), 
beta-glucosidase 42, KO:K01188, EC:3.2.1.21, Capsicum Annuum (Sweet And Chilli Peppers), beta-glucosidase 11-like, KO:K01188, EC:3.2.1.21, 
Capsicum Annuum (Sweet And Chilli Peppers), furcatin hydrolase-like, KO:K01188, EC:3.2.1.21, Capsicum Annuum (Sweet And Chilli Peppers), beta-glucosidase 12-like, KO:K01188, 
EC:3.2.1.21, Capsicum Annuum (Sweet And Chilli Peppers), beta-glucosidase 40, KO:K01188, EC:3.2.1.21, Capsicum Annuum (Sweet And Chilli Peppers), putative beta-glucosidase 41, 
KO:K01188, EC:3.2.1.21, Capsicum Annuum (Sweet And Chilli Peppers), beta-glucosidase BoGH3B-like, KO:K05349, EC:3.2.1.21, Capsicum Annuum (Sweet And Chilli Peppers), 
beta-glucosidase BoGH3B-like, KO:K05349, EC:3.2.1.21, Capsicum Annuum (Sweet And Chilli Peppers), beta-glucosidase BoGH3B-like, KO:K05349, EC:3.2.1.21, 
Capsicum Annuum (Sweet And Chilli Peppers), beta-glucosidase BoGH3B-like, KO:K05349, EC:3.2.1.21, Capsicum Annuum (Sweet And Chilli Peppers), beta-glucosidase BoGH3B-like, KO:K05349, 
EC:3.2.1.21, Capsicum Annuum (Sweet And Chilli Peppers), beta-glucosidase BoGH3B-like, KO:K05349, EC:3.2.1.21, Capsicum Annuum (Sweet And Chilli Peppers), beta-glucosidase BoGH3B-like, 
KO:K05349, EC:3.2.1.21, Capsicum Annuum (Sweet And Chilli Peppers), beta-glucosidase BoGH3B-like, KO:K05349, EC:3.2.1.21, Capsicum Annuum (Sweet And Chilli Peppers), 
beta-glucosidase BoGH3B-like, KO:K05349, EC:3.2.1.21, Capsicum Annuum (Sweet And Chilli Peppers), beta-glucosidase 18-like, KO:K05350, EC:3.2.1.21, 
Capsicum Annuum (Sweet And Chilli Peppers), beta-glucosidase 18-like, KO:K05350, EC:3.2.1.21, Capsicum Annuum (Sweet And Chilli Peppers), beta-glucosidase 44-like, KO:K05350, 
EC:3.2.1.21, Capsicum Annuum (Sweet And Chilli Peppers), beta-glucosidase 18-like, KO:K05350, EC:3.2.1.21, Capsicum Annuum (Sweet And Chilli Peppers), beta-glucosidase 18-like, 
KO:K05350, EC:3.2.1.21, Capsicum Annuum (Sweet And Chilli Peppers), beta-glucosidase 18-like, KO:K05350, EC:3.2.1.21, Capsicum Annuum (Sweet And Chilli Peppers), 
beta-glucosidase 18-like, KO:K05350, EC:3.2.1.21, Capsicum Annuum (Sweet And Chilli Peppers), beta-glucosidase 44-like, KO:K05350, EC:3.2.1.21, 
Capsicum Annuum (Sweet And Chilli Peppers), feruloyl CoA ortho-hydroxylase 1-like, KO:K06892, EC:1.14.11.61, Capsicum Annuum (Sweet And Chilli Peppers), feruloyl CoA ortho-hydroxylase 1, KO:K06892, 
EC:1.14.11.61, Capsicum Annuum (Sweet And Chilli Peppers), scopoletin glucosyltransferase-like, KO:K23260, EC:2.4.1.128, Capsicum Annuum (Sweet And Chilli Peppers), scopoletin glucosyltransferase-like, 
KO:K23260, EC:2.4.1.128, Capsicum Annuum (Sweet And Chilli Peppers), scopoletin glucosyltransferase, KO:K23260, EC:2.4.1.128, Capsicum Annuum (Sweet And Chilli Peppers), 
scopoletin glucosyltransferase-like, KO:K23260, EC:2.4.1.128, Capsicum Annuum (Sweet And Chilli Peppers), scopoletin glucosyltransferase-like, KO:K23260, EC:2.4.1.128, 
Capsicum Annuum (Sweet And Chilli Peppers), scopoletin glucosyltransferase-like, KO:K23260, EC:2.4.1.128, 
