Ipomoea nil, phenylalanine ammonia-lyase G4-like, KO:K10775, EC:4.3.1.24, Ipomoea nil, phenylalanine ammonia-lyase-like, KO:K10775, EC:4.3.1.24, 
Ipomoea nil, phenylalanine ammonia-lyase-like, KO:K10775, EC:4.3.1.24, Ipomoea nil, phenylalanine ammonia-lyase-like, KO:K10775, 
Ipomoea nil, vinorine synthase-like, KO:K13065, EC:2.3.1.133, Ipomoea nil, vinorine synthase-like, KO:K13065, 
EC:2.3.1.133, Ipomoea nil, spermidine hydroxycinnamoyl transferase-like, KO:K13065, EC:2.3.1.133, Ipomoea nil, spermidine hydroxycinnamoyl transferase-like, 
KO:K13065, EC:2.3.1.133, Ipomoea nil, spermidine hydroxycinnamoyl transferase-like, KO:K13065, EC:2.3.1.133, Ipomoea nil, 
spermidine hydroxycinnamoyl transferase-like, KO:K13065, EC:2.3.1.133, Ipomoea nil, salutaridinol 7-O-acetyltransferase-like, KO:K13065, EC:2.3.1.133, 
Ipomoea nil, salutaridinol 7-O-acetyltransferase-like, KO:K13065, EC:2.3.1.133, Ipomoea nil, salutaridinol 7-O-acetyltransferase-like, KO:K13065, 
EC:2.3.1.133, Ipomoea nil, agmatine coumaroyltransferase-2-like, KO:K13065, EC:2.3.1.133, Ipomoea nil, agmatine coumaroyltransferase-2-like, 
KO:K13065, EC:2.3.1.133, Ipomoea nil, agmatine coumaroyltransferase-2-like, KO:K13065, EC:2.3.1.133, Ipomoea nil, 
vinorine synthase-like, KO:K13065, EC:2.3.1.133, Ipomoea nil, vinorine synthase-like, KO:K13065, EC:2.3.1.133, 
Ipomoea nil, vinorine synthase-like, KO:K13065, EC:2.3.1.133, Ipomoea nil, vinorine synthase-like, KO:K13065, 
EC:2.3.1.133, Ipomoea nil, spermidine hydroxycinnamoyl transferase-like, KO:K13065, EC:2.3.1.133, Ipomoea nil, salutaridinol 7-O-acetyltransferase-like, 
KO:K13065, EC:2.3.1.133, Ipomoea nil, vinorine synthase-like, KO:K13065, EC:2.3.1.133, Ipomoea nil, 
vinorine synthase-like, KO:K13065, EC:2.3.1.133, Ipomoea nil, vinorine synthase-like, KO:K13065, EC:2.3.1.133, 
Ipomoea nil, spermidine hydroxycinnamoyl transferase-like, KO:K13065, EC:2.3.1.133, Ipomoea nil, shikimate O-hydroxycinnamoyltransferase, KO:K13065, 
EC:2.3.1.133, Ipomoea nil, acetyl-CoA-benzylalcohol acetyltransferase-like, KO:K13065, EC:2.3.1.133, Ipomoea nil, shikimate O-hydroxycinnamoyltransferase-like, 
KO:K13065, EC:2.3.1.133, Ipomoea nil, spermidine hydroxycinnamoyl transferase-like, KO:K13065, EC:2.3.1.133, Ipomoea nil, 
cytochrome P450 98A3, KO:K09754, EC:1.14.14.96, Ipomoea nil, caffeoylshikimate esterase, KO:K18368, EC:3.1.1.-, 
Ipomoea nil, caffeoylshikimate esterase-like, KO:K18368, EC:3.1.1.-, Ipomoea nil, caffeoylshikimate esterase-like, KO:K18368, 
EC:3.1.1.-, Ipomoea nil, caffeoylshikimate esterase-like, KO:K18368, EC:3.1.1.-, Ipomoea nil, caffeoylshikimate esterase-like, 
KO:K18368, EC:3.1.1.-, Ipomoea nil, caffeoylshikimate esterase-like, KO:K18368, EC:3.1.1.-, Ipomoea nil, 
caffeoylshikimate esterase-like, KO:K18368, EC:3.1.1.-, Ipomoea nil, caffeoylshikimate esterase, KO:K18368, EC:3.1.1.-, 
Ipomoea nil, caffeoylshikimate esterase, KO:K18368, EC:3.1.1.-, Ipomoea nil, probable caffeoyl-CoA O-methyltransferase At4g26220, KO:K00588, 
EC:2.1.1.104, Ipomoea nil, In04, probable caffeoyl-CoA O-methyltransferase At4g26220, KO:K00588, EC:2.1.1.104, Ipomoea nil, 
probable caffeoyl-CoA O-methyltransferase At4g26220, KO:K00588, EC:2.1.1.104, Ipomoea nil, caffeoyl-CoA O-methyltransferase 5, KO:K00588, EC:2.1.1.104, 
Ipomoea nil, caffeoyl-CoA O-methyltransferase-like, KO:K00588, EC:2.1.1.104, Ipomoea nil, caffeoyl-CoA O-methyltransferase, KO:K00588, 
EC:2.1.1.104, Ipomoea nil, caffeoyl-CoA O-methyltransferase-like, KO:K00588, EC:2.1.1.104, Ipomoea nil, cinnamoyl-CoA reductase 1-like, 
KO:K09753, EC:1.2.1.44, Ipomoea nil, cinnamoyl-CoA reductase 1-like, KO:K09753, EC:1.2.1.44, Ipomoea nil, 
cinnamoyl-CoA reductase 1-like, KO:K09753, EC:1.2.1.44, Ipomoea nil, cinnamoyl-CoA reductase 1-like, KO:K09753, EC:1.2.1.44, 
Ipomoea nil, aldehyde dehydrogenase family 2 member C4-like, KO:K12355, EC:1.2.1.68, Ipomoea nil, aldehyde dehydrogenase family 2 member C4-like, KO:K12355, 
EC:1.2.1.68, Ipomoea nil, aldehyde dehydrogenase family 2 member C4-like, KO:K12355, EC:1.2.1.68, Ipomoea nil, aldehyde dehydrogenase family 2 member C4-like, 
KO:K12355, EC:1.2.1.68, Ipomoea nil, caffeic acid 3-O-methyltransferase, KO:K13066, EC:2.1.1.68, Ipomoea nil, 
caffeic acid 3-O-methyltransferase-like, KO:K13066, EC:2.1.1.68, Ipomoea nil, caffeic acid 3-O-methyltransferase-like, KO:K13066, EC:2.1.1.68, 
Ipomoea nil, caffeic acid 3-O-methyltransferase-like, KO:K13066, EC:2.1.1.68, Ipomoea nil, caffeic acid 3-O-methyltransferase-like, KO:K13066, 
EC:2.1.1.68, Ipomoea nil, caffeic acid 3-O-methyltransferase-like, KO:K13066, EC:2.1.1.68, Ipomoea nil, caffeic acid 3-O-methyltransferase-like, 
KO:K13066, EC:2.1.1.68, Ipomoea nil, caffeic acid 3-O-methyltransferase-like, KO:K13066, EC:2.1.1.68, Ipomoea nil, 
probable cinnamyl alcohol dehydrogenase 1, KO:K00083, EC:1.1.1.195, Ipomoea nil, probable cinnamyl alcohol dehydrogenase 1, KO:K00083, EC:1.1.1.195, 
Ipomoea nil, probable cinnamyl alcohol dehydrogenase 6, KO:K00083, EC:1.1.1.195, Ipomoea nil, probable cinnamyl alcohol dehydrogenase 1, KO:K00083, 
EC:1.1.1.195, Ipomoea nil, probable cinnamyl alcohol dehydrogenase 1, KO:K00083, EC:1.1.1.195, Ipomoea nil, probable mannitol dehydrogenase 1, 
KO:K00083, EC:1.1.1.195, Ipomoea nil, berberine bridge enzyme-like 15, KO:K22395, EC:1.1.1.195, Ipomoea nil, 
berberine bridge enzyme-like 13, KO:K22395, EC:1.1.1.195, Ipomoea nil, berberine bridge enzyme-like 15, KO:K22395, EC:1.1.1.195, 
Ipomoea nil, berberine bridge enzyme-like 18, KO:K22395, EC:1.1.1.195, Ipomoea nil, reticuline oxidase-like, KO:K22395, 
EC:1.1.1.195, Ipomoea nil, berberine bridge enzyme-like 15, KO:K22395, EC:1.1.1.195, Ipomoea nil, berberine bridge enzyme-like 13, 
KO:K22395, EC:1.1.1.195, Ipomoea nil, berberine bridge enzyme-like 15, KO:K22395, EC:1.1.1.195, Ipomoea nil, 
probable 1-Cys peroxiredoxin, KO:K11188, EC:1.11.1.7 1.11.1.27 3.1.1.-, Ipomoea nil, probable 1-Cys peroxiredoxin, KO:K11188, EC:1.11.1.7 1.11.1.27 3.1.1.-, 
Ipomoea nil, 1-Cys peroxiredoxin A-like, KO:K11188, EC:1.11.1.7 1.11.1.27 3.1.1.-, Ipomoea nil, 1-Cys peroxiredoxin A, KO:K11188, 
EC:1.11.1.7 1.11.1.27 3.1.1.-, Ipomoea nil, peroxidase 17-like, KO:K00430, EC:1.11.1.7, Ipomoea nil, peroxidase 49-like, 
KO:K00430, EC:1.11.1.7, Ipomoea nil, peroxidase 51-like, KO:K00430, EC:1.11.1.7, Ipomoea nil, 
peroxidase 19, KO:K00430, EC:1.11.1.7, Ipomoea nil, peroxidase 10, KO:K00430, EC:1.11.1.7, 
Ipomoea nil, lignin-forming anionic peroxidase-like, KO:K00430, EC:1.11.1.7, Ipomoea nil, peroxidase 66-like, KO:K00430, 
EC:1.11.1.7, Ipomoea nil, peroxidase 43, KO:K00430, EC:1.11.1.7, Ipomoea nil, cationic peroxidase 1-like, 
KO:K00430, EC:1.11.1.7, Ipomoea nil, neutral peroxidase-like, KO:K00430, EC:1.11.1.7, Ipomoea nil, 
peroxidase 72, KO:K00430, EC:1.11.1.7, Ipomoea nil, cationic peroxidase 1-like, KO:K00430, EC:1.11.1.7, 
Ipomoea nil, peroxidase 57-like, KO:K00430, EC:1.11.1.7, Ipomoea nil, cationic peroxidase 1-like, KO:K00430, 
EC:1.11.1.7, Ipomoea nil, peroxidase 2-like, KO:K00430, EC:1.11.1.7, Ipomoea nil, peroxidase P7-like, 
KO:K00430, EC:1.11.1.7, Ipomoea nil, peroxidase 2-like, KO:K00430, EC:1.11.1.7, Ipomoea nil, 
peroxidase 2-like, KO:K00430, EC:1.11.1.7, Ipomoea nil, peroxidase 27-like, KO:K00430, EC:1.11.1.7, 
Ipomoea nil, peroxidase 46, KO:K00430, EC:1.11.1.7, Ipomoea nil, peroxidase 40, KO:K00430, 
EC:1.11.1.7, Ipomoea nil, peroxidase 5-like, KO:K00430, EC:1.11.1.7, Ipomoea nil, peroxidase 15-like, 
KO:K00430, EC:1.11.1.7, Ipomoea nil, peroxidase 47-like, KO:K00430, EC:1.11.1.7, Ipomoea nil, 
peroxidase 15-like, KO:K00430, EC:1.11.1.7, Ipomoea nil, peroxidase 15, KO:K00430, EC:1.11.1.7, 
Ipomoea nil, peroxidase 15-like, KO:K00430, EC:1.11.1.7, Ipomoea nil, peroxidase 5-like, KO:K00430, 
EC:1.11.1.7, Ipomoea nil, lignin-forming anionic peroxidase-like, KO:K00430, EC:1.11.1.7, Ipomoea nil, lignin-forming anionic peroxidase-like, 
KO:K00430, EC:1.11.1.7, Ipomoea nil, peroxidase 64-like, KO:K00430, EC:1.11.1.7, Ipomoea nil, 
lignin-forming anionic peroxidase-like, KO:K00430, EC:1.11.1.7, Ipomoea nil, peroxidase 15-like, KO:K00430, EC:1.11.1.7, 
Ipomoea nil, cationic peroxidase 2-like, KO:K00430, EC:1.11.1.7, Ipomoea nil, lignin-forming anionic peroxidase-like, KO:K00430, 
EC:1.11.1.7, Ipomoea nil, lignin-forming anionic peroxidase-like, KO:K00430, EC:1.11.1.7, Ipomoea nil, lignin-forming anionic peroxidase-like, 
KO:K00430, EC:1.11.1.7, Ipomoea nil, lignin-forming anionic peroxidase-like, KO:K00430, EC:1.11.1.7, Ipomoea nil, 
lignin-forming anionic peroxidase-like, KO:K00430, EC:1.11.1.7, Ipomoea nil, lignin-forming anionic peroxidase-like, KO:K00430, EC:1.11.1.7, 
Ipomoea nil, lignin-forming anionic peroxidase-like, KO:K00430, EC:1.11.1.7, Ipomoea nil, lignin-forming anionic peroxidase-like, KO:K00430, 
EC:1.11.1.7, Ipomoea nil, peroxidase 55, KO:K00430, EC:1.11.1.7, Ipomoea nil, neutral peroxidase-like, 
KO:K00430, EC:1.11.1.7, Ipomoea nil, peroxidase 42, KO:K00430, EC:1.11.1.7, Ipomoea nil, 
peroxidase 3-like, KO:K00430, EC:1.11.1.7, Ipomoea nil, peroxidase 66-like, KO:K00430, EC:1.11.1.7, 
Ipomoea nil, peroxidase 64, KO:K00430, EC:1.11.1.7, Ipomoea nil, peroxidase 4-like, KO:K00430, 
EC:1.11.1.7, Ipomoea nil, lignin-forming anionic peroxidase-like, KO:K00430, EC:1.11.1.7, Ipomoea nil, lignin-forming anionic peroxidase-like, 
KO:K00430, EC:1.11.1.7, Ipomoea nil, peroxidase 10-like, KO:K00430, EC:1.11.1.7, Ipomoea nil, 
lignin-forming anionic peroxidase-like, KO:K00430, EC:1.11.1.7, Ipomoea nil, lignin-forming anionic peroxidase-like, KO:K00430, EC:1.11.1.7, 
Ipomoea nil, peroxidase 72-like, KO:K00430, EC:1.11.1.7, Ipomoea nil, lignin-forming anionic peroxidase-like, KO:K00430, 
EC:1.11.1.7, Ipomoea nil, lignin-forming anionic peroxidase-like, KO:K00430, EC:1.11.1.7, Ipomoea nil, lignin-forming anionic peroxidase-like, 
KO:K00430, EC:1.11.1.7, Ipomoea nil, peroxidase 27-like, KO:K00430, EC:1.11.1.7, Ipomoea nil, 
peroxidase 3-like, KO:K00430, EC:1.11.1.7, Ipomoea nil, peroxidase 11-like, KO:K00430, EC:1.11.1.7, 
Ipomoea nil, peroxidase P7, KO:K00430, EC:1.11.1.7, Ipomoea nil, peroxidase N-like, KO:K00430, 
EC:1.11.1.7, Ipomoea nil, peroxidase 44-like, KO:K00430, EC:1.11.1.7, Ipomoea nil, peroxidase 25, 
KO:K00430, EC:1.11.1.7, Ipomoea nil, peroxidase 5-like, KO:K00430, EC:1.11.1.7, Ipomoea nil, 
peroxidase 15-like, KO:K00430, EC:1.11.1.7, Ipomoea nil, probable peroxidase 61, KO:K00430, EC:1.11.1.7, 
Ipomoea nil, neutral peroxidase-like, KO:K00430, EC:1.11.1.7, Ipomoea nil, peroxidase P7-like, KO:K00430, 
EC:1.11.1.7, Ipomoea nil, peroxidase 2-like, KO:K00430, EC:1.11.1.7, Ipomoea nil, peroxidase 64-like, 
KO:K00430, EC:1.11.1.7, Ipomoea nil, peroxidase P7-like, KO:K00430, EC:1.11.1.7, Ipomoea nil, 
peroxidase P7-like, KO:K00430, EC:1.11.1.7, Ipomoea nil, peroxidase P7-like, KO:K00430, EC:1.11.1.7, 
Ipomoea nil, peroxidase P7-like, KO:K00430, EC:1.11.1.7, Ipomoea nil, lignin-forming anionic peroxidase-like, KO:K00430, 
EC:1.11.1.7, Ipomoea nil, lignin-forming anionic peroxidase-like, KO:K00430, EC:1.11.1.7, Ipomoea nil, peroxidase 3-like, 
KO:K00430, EC:1.11.1.7, Ipomoea nil, peroxidase 27-like, KO:K00430, EC:1.11.1.7, Ipomoea nil, 
peroxidase 2-like, KO:K00430, EC:1.11.1.7, Ipomoea nil, peroxidase 6-like, KO:K00430, EC:1.11.1.7, 
Ipomoea nil, putative Peroxidase 48, KO:K00430, EC:1.11.1.7, Ipomoea nil, peroxidase 5-like, KO:K00430, 
EC:1.11.1.7, Ipomoea nil, peroxidase 5-like, KO:K00430, EC:1.11.1.7, Ipomoea nil, peroxidase 5-like, 
KO:K00430, EC:1.11.1.7, Ipomoea nil, cationic peroxidase 1-like, KO:K00430, EC:1.11.1.7, Ipomoea nil, 
lignin-forming anionic peroxidase-like, KO:K00430, EC:1.11.1.7, Ipomoea nil, lignin-forming anionic peroxidase-like, KO:K00430, EC:1.11.1.7, 
Ipomoea nil, lignin-forming anionic peroxidase-like, KO:K00430, EC:1.11.1.7, Ipomoea nil, peroxidase 16-like, KO:K00430, 
EC:1.11.1.7, Ipomoea nil, peroxidase 47-like, KO:K00430, EC:1.11.1.7, Ipomoea nil, peroxidase 11-like, 
KO:K00430, EC:1.11.1.7, Ipomoea nil, cationic peroxidase 1-like, KO:K00430, EC:1.11.1.7, Ipomoea nil, 
cationic peroxidase 1-like, KO:K00430, EC:1.11.1.7, Ipomoea nil, peroxidase P7-like, KO:K00430, EC:1.11.1.7, 
Ipomoea nil, cationic peroxidase 1-like, KO:K00430, EC:1.11.1.7, Ipomoea nil, peroxidase 70-like, KO:K00430, 
EC:1.11.1.7, Ipomoea nil, peroxidase 7, KO:K00430, EC:1.11.1.7, Ipomoea nil, peroxidase 29, 
KO:K00430, EC:1.11.1.7, Ipomoea nil, peroxidase 31-like, KO:K00430, EC:1.11.1.7, Ipomoea nil, 
lignin-forming anionic peroxidase-like, KO:K00430, EC:1.11.1.7, Ipomoea nil, peroxidase 21, KO:K00430, EC:1.11.1.7, 
Ipomoea nil, lignin-forming anionic peroxidase-like, KO:K00430, EC:1.11.1.7, Ipomoea nil, lignin-forming anionic peroxidase-like, KO:K00430, 
EC:1.11.1.7, Ipomoea nil, peroxidase 7-like, KO:K00430, EC:1.11.1.7, Ipomoea nil, peroxidase 9, 
KO:K00430, EC:1.11.1.7, Ipomoea nil, peroxidase 4-like, KO:K00430, EC:1.11.1.7, Ipomoea nil, 
cationic peroxidase 1-like, KO:K00430, EC:1.11.1.7, Ipomoea nil, cationic peroxidase 1-like, KO:K00430, EC:1.11.1.7, 
Ipomoea nil, anionic peroxidase-like, KO:K00430, EC:1.11.1.7, Ipomoea nil, anionic peroxidase-like, KO:K00430, 
EC:1.11.1.7, Ipomoea nil, anionic peroxidase-like, KO:K00430, EC:1.11.1.7, Ipomoea nil, anionic peroxidase, 
KO:K00430, EC:1.11.1.7, Ipomoea nil, neutral peroxidase, KO:K00430, EC:1.11.1.7, Ipomoea nil, 
peroxidase 17-like, KO:K00430, EC:1.11.1.7, Ipomoea nil, peroxidase 41-like, KO:K00430, EC:1.11.1.7, 
Ipomoea nil, anthocyanidin 3-O-glucosyltransferase 5-like, KO:K12356, EC:2.4.1.111, Ipomoea nil, anthocyanidin 3-O-glucosyltransferase 5-like, KO:K12356, 
EC:2.4.1.111, Ipomoea nil, anthocyanidin 3-O-glucosyltransferase 5-like, KO:K12356, EC:2.4.1.111, Ipomoea nil, anthocyanidin 3-O-glucosyltransferase 5-like, 
KO:K12356, EC:2.4.1.111, Ipomoea nil, anthocyanidin 3-O-glucosyltransferase 5-like, KO:K12356, EC:2.4.1.111, Ipomoea nil, 
anthocyanidin 3-O-glucosyltransferase 5-like, KO:K12356, EC:2.4.1.111, Ipomoea nil, beta-glucosidase 10-like, KO:K01188, EC:3.2.1.21, 
Ipomoea nil, beta-glucosidase BoGH3B-like, KO:K05349, EC:3.2.1.21, Ipomoea nil, beta-glucosidase BoGH3B-like, KO:K05349, 
EC:3.2.1.21, Ipomoea nil, beta-glucosidase BoGH3B-like, KO:K05349, EC:3.2.1.21, Ipomoea nil, probable beta-glucosidase F, 
KO:K05349, EC:3.2.1.21, Ipomoea nil, beta-glucosidase BoGH3B-like, KO:K05349, EC:3.2.1.21, Ipomoea nil, 
beta-glucosidase BoGH3B-like, KO:K05349, EC:3.2.1.21, Ipomoea nil, lysosomal beta glucosidase-like, KO:K05349, EC:3.2.1.21, 
Ipomoea nil, beta-glucosidase BoGH3B-like, KO:K05349, EC:3.2.1.21, Ipomoea nil, beta-glucosidase BoGH3B-like, KO:K05349, 
EC:3.2.1.21, Ipomoea nil, beta-glucosidase BoGH3B-like, KO:K05349, EC:3.2.1.21, Ipomoea nil, beta-glucosidase BoGH3B-like, 
KO:K05349, EC:3.2.1.21, Ipomoea nil, beta-glucosidase BoGH3B-like, KO:K05349, EC:3.2.1.21, Ipomoea nil, 
beta-glucosidase BoGH3B-like, KO:K05349, EC:3.2.1.21, Ipomoea nil, beta-glucosidase BoGH3B-like, KO:K05349, EC:3.2.1.21, 
Ipomoea nil, beta-glucosidase BoGH3B-like, KO:K05349, EC:3.2.1.21, Ipomoea nil, beta-glucosidase BoGH3B-like, KO:K05349, 
EC:3.2.1.21, Ipomoea nil, beta-glucosidase BoGH3B-like, KO:K05349, EC:3.2.1.21, Ipomoea nil, beta-glucosidase 44-like, 
KO:K05350, EC:3.2.1.21, Ipomoea nil, beta-glucosidase 44-like, KO:K05350, EC:3.2.1.21, Ipomoea nil, 
beta-glucosidase 1-like, KO:K05350, EC:3.2.1.21, Ipomoea nil, beta-glucosidase 46-like, KO:K05350, EC:3.2.1.21, 
Ipomoea nil, beta-glucosidase 44-like, KO:K05350, EC:3.2.1.21, Ipomoea nil, beta-glucosidase 46-like, KO:K05350, 
EC:3.2.1.21, Ipomoea nil, beta-glucosidase 1-like, KO:K05350, EC:3.2.1.21, Ipomoea nil, beta-glucosidase 18-like, 
KO:K05350, EC:3.2.1.21, Ipomoea nil, beta-glucosidase 46-like, KO:K05350, EC:3.2.1.21, Ipomoea nil, 
beta-glucosidase 46-like, KO:K05350, EC:3.2.1.21, Ipomoea nil, beta-glucosidase 46-like, KO:K05350, EC:3.2.1.21, 
Ipomoea nil, beta-glucosidase 46-like, KO:K05350, EC:3.2.1.21, Ipomoea nil, feruloyl CoA ortho-hydroxylase 1-like, KO:K23378, 
EC:1.14.11.61 1.14.11.62, Ipomoea nil, feruloyl CoA ortho-hydroxylase 1-like, KO:K23378, EC:1.14.11.61 1.14.11.62, Ipomoea nil, feruloyl CoA ortho-hydroxylase 1-like, 
KO:K23378, EC:1.14.11.61 1.14.11.62, Ipomoea nil, feruloyl CoA ortho-hydroxylase 1-like, KO:K23378, EC:1.14.11.61 1.14.11.62, Ipomoea nil, 
feruloyl CoA ortho-hydroxylase 1-like, KO:K23378, EC:1.14.11.61 1.14.11.62, Ipomoea nil, feruloyl CoA ortho-hydroxylase 1-like, KO:K06892, EC:1.14.11.61, 
Ipomoea nil, feruloyl CoA ortho-hydroxylase 1-like, KO:K06892, EC:1.14.11.61, Ipomoea nil, feruloyl CoA ortho-hydroxylase 2-like, KO:K06892, 
EC:1.14.11.61, Ipomoea nil, feruloyl CoA ortho-hydroxylase 2-like, KO:K06892, EC:1.14.11.61, Ipomoea nil, feruloyl CoA ortho-hydroxylase 2-like, 
KO:K06892, EC:1.14.11.61, Ipomoea nil, feruloyl CoA ortho-hydroxylase 1-like, KO:K06892, EC:1.14.11.61, Ipomoea nil, 
feruloyl CoA ortho-hydroxylase 1-like, KO:K06892, EC:1.14.11.61, Ipomoea nil, feruloyl CoA ortho-hydroxylase 1-like, KO:K06892, EC:1.14.11.61, 
Ipomoea nil, feruloyl CoA ortho-hydroxylase 1-like, KO:K06892, EC:1.14.11.61, Ipomoea nil, scopoletin glucosyltransferase-like, KO:K23260, 
EC:2.4.1.128, Ipomoea nil, scopoletin glucosyltransferase-like, KO:K23260, EC:2.4.1.128, Ipomoea nil, scopoletin glucosyltransferase-like, 
KO:K23260, EC:2.4.1.128, Ipomoea nil, scopoletin glucosyltransferase-like, KO:K23260, EC:2.4.1.128, Ipomoea nil, 
scopoletin glucosyltransferase-like, KO:K23260, EC:2.4.1.128, Ipomoea nil, scopoletin glucosyltransferase-like, KO:K23260, EC:2.4.1.128, 
Ipomoea nil, scopoletin glucosyltransferase-like, KO:K23260, EC:2.4.1.128, 
