Cicer arietinum, PAL2, phenylalanine ammonia-lyase 2-like, KO:K10775, EC:4.3.1.24, Cicer arietinum, phenylalanine ammonia-lyase 1, KO:K10775, 
EC:4.3.1.24, Cicer arietinum, phenylalanine ammonia-lyase 1-like, KO:K10775, EC:4.3.1.24, Cicer arietinum, phenylalanine ammonia-lyase class 3, 
EC:2.4.1.111, Cicer arietinum, UDP-glycosyltransferase 72E1-like, KO:K12356, EC:2.4.1.111, Cicer arietinum, beta-glucosidase 12-like, 
KO:K01188, EC:3.2.1.21, Cicer arietinum, beta-glucosidase 12-like, KO:K01188, EC:3.2.1.21, Cicer arietinum, 
beta-glucosidase 10-like, KO:K01188, EC:3.2.1.21, Cicer arietinum, non-cyanogenic beta-glucosidase-like, KO:K01188, EC:3.2.1.21, 
Cicer arietinum, beta-glucosidase 12-like, KO:K01188, EC:3.2.1.21, Cicer arietinum, beta-glucosidase 10-like, KO:K01188, 
EC:3.2.1.21, Cicer arietinum, beta-glucosidase 40-like, KO:K01188, EC:3.2.1.21, Cicer arietinum, beta-glucosidase 40, 
KO:K01188, EC:3.2.1.21, Cicer arietinum, cyanogenic beta-glucosidase-like, KO:K01188, EC:3.2.1.21, Cicer arietinum, 
beta-glucosidase 24-like, KO:K01188, EC:3.2.1.21, Cicer arietinum, beta-glucosidase 42, KO:K01188, EC:3.2.1.21, 
Cicer arietinum, beta-glucosidase 12-like, KO:K01188, EC:3.2.1.21, Cicer arietinum, putative beta-glucosidase 41, KO:K01188, 
EC:3.2.1.21, Cicer arietinum, beta-glucosidase 11-like, KO:K01188, EC:3.2.1.21, Cicer arietinum, beta-glucosidase 12-like, 
KO:K01188, EC:3.2.1.21, Cicer arietinum, non-cyanogenic beta-glucosidase-like, KO:K01188, EC:3.2.1.21, Cicer arietinum, 
non-cyanogenic beta-glucosidase, KO:K01188, EC:3.2.1.21, Cicer arietinum, cyanogenic beta-glucosidase-like, KO:K01188, EC:3.2.1.21, 
Cicer arietinum, cyanogenic beta-glucosidase-like, KO:K01188, EC:3.2.1.21, Cicer arietinum, non-cyanogenic beta-glucosidase-like, KO:K01188, 
EC:3.2.1.21, Cicer arietinum, non-cyanogenic beta-glucosidase-like, KO:K01188, EC:3.2.1.21, Cicer arietinum, non-cyanogenic beta-glucosidase-like, 
KO:K01188, EC:3.2.1.21, Cicer arietinum, Bglc-2, non-cyanogenic beta-glucosidase-like, KO:K01188, EC:3.2.1.21, 
Cicer arietinum, beta-glucosidase 12-like, KO:K01188, EC:3.2.1.21, Cicer arietinum, beta-glucosidase 12-like, KO:K01188, 
EC:3.2.1.21, Cicer arietinum, cyanogenic beta-glucosidase-like, KO:K01188, EC:3.2.1.21, Cicer arietinum, lysosomal beta glucosidase, 
KO:K05349, EC:3.2.1.21, Cicer arietinum, lysosomal beta glucosidase-like, KO:K05349, EC:3.2.1.21, Cicer arietinum, 
lysosomal beta glucosidase-like, KO:K05349, EC:3.2.1.21, Cicer arietinum, lysosomal beta glucosidase-like, KO:K05349, EC:3.2.1.21, 
Cicer arietinum, lysosomal beta glucosidase-like, KO:K05349, EC:3.2.1.21, Cicer arietinum, lysosomal beta glucosidase-like, KO:K05349, 
EC:3.2.1.21, Cicer arietinum, uncharacterized LOC101507649, KO:K05349, EC:3.2.1.21, Cicer arietinum, beta-glucosidase 47, 
KO:K05350, EC:3.2.1.21, Cicer arietinum, beta-glucosidase 44-like, KO:K05350, EC:3.2.1.21, Cicer arietinum, 
beta-glucosidase 18-like, KO:K05350, EC:3.2.1.21, Cicer arietinum, beta-glucosidase 46-like, KO:K05350, EC:3.2.1.21, 
Cicer arietinum, scopoletin glucosyltransferase-like, KO:K23260, EC:2.4.1.128, Cicer arietinum, UGT73B14, scopoletin glucosyltransferase, 
KO:K23260, EC:2.4.1.128, Cicer arietinum, UGT73F5, UDP-glucose flavonoid 3-O-glucosyltransferase 7, KO:K23260, EC:2.4.1.128, 

