Cynara cardunculus var. scolymus (Artichoke), phenylalanine ammonia-lyase-like, KO:K10775, EC:4.3.1.24, Cynara cardunculus var. scolymus (Artichoke), phenylalanine ammonia-lyase-like, KO:K10775, EC:4.3.1.24, 
Cynara cardunculus var. scolymus (Artichoke), phenylalanine ammonia-lyase, KO:K10775, EC:4.3.1.24, Cynara cardunculus var. scolymus (Artichoke), phenylalanine ammonia-lyase-like, KO:K10775, 
EC:2.3.1.133, Cynara cardunculus var. scolymus (Artichoke), shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, Cynara cardunculus var. scolymus (Artichoke), pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like, 
KO:K13065, EC:2.3.1.133, Cynara cardunculus var. scolymus (Artichoke), pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like, KO:K13065, EC:2.3.1.133, Cynara cardunculus var. scolymus (Artichoke), 
shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, Cynara cardunculus var. scolymus (Artichoke), cytochrome P450 98A2-like, KO:K09754, EC:1.14.14.96, 
Cynara cardunculus var. scolymus (Artichoke), cytochrome P450 98A2-like, KO:K09754, EC:1.14.14.96, Cynara cardunculus var. scolymus (Artichoke), caffeoylshikimate esterase-like, KO:K18368, 
EC:3.1.1.-, Cynara cardunculus var. scolymus (Artichoke), caffeoylshikimate esterase-like, KO:K18368, EC:3.1.1.-, Cynara cardunculus var. scolymus (Artichoke), caffeoylshikimate esterase-like, 
KO:K18368, EC:3.1.1.-, Cynara cardunculus var. scolymus (Artichoke), caffeoylshikimate esterase, KO:K18368, EC:3.1.1.-, Cynara cardunculus var. scolymus (Artichoke), 
caffeoylshikimate esterase, KO:K18368, EC:3.1.1.-, Cynara cardunculus var. scolymus (Artichoke), caffeoylshikimate esterase, KO:K18368, EC:3.1.1.-, 
Cynara cardunculus var. scolymus (Artichoke), caffeoyl-CoA O-methyltransferase isoform X1, KO:K00588, EC:2.1.1.104, Cynara cardunculus var. scolymus (Artichoke), caffeoyl-CoA O-methyltransferase-like, KO:K00588, 
EC:2.1.1.104, Cynara cardunculus var. scolymus (Artichoke), caffeoyl-CoA O-methyltransferase-like, KO:K00588, EC:2.1.1.104, Cynara cardunculus var. scolymus (Artichoke), caffeoyl-CoA O-methyltransferase, 
KO:K00588, EC:2.1.1.104, Cynara cardunculus var. scolymus (Artichoke), caffeoyl-CoA O-methyltransferase-like, KO:K00588, EC:2.1.1.104, Cynara cardunculus var. scolymus (Artichoke), 
caffeoyl-CoA O-methyltransferase-like, KO:K00588, EC:2.1.1.104, Cynara cardunculus var. scolymus (Artichoke), cinnamoyl-CoA reductase 1-like, KO:K09753, EC:1.2.1.44, 
Cynara cardunculus var. scolymus (Artichoke), aldehyde dehydrogenase family 2 member C4-like isoform X1, KO:K12355, EC:1.2.1.68, Cynara cardunculus var. scolymus (Artichoke), aldehyde dehydrogenase family 2 member C4-like, KO:K12355, 
EC:1.2.1.68, Cynara cardunculus var. scolymus (Artichoke), aldehyde dehydrogenase family 2 member C4-like isoform X1, KO:K12355, EC:1.2.1.68, Cynara cardunculus var. scolymus (Artichoke), aldehyde dehydrogenase family 2 member C4-like, 
KO:K12355, EC:1.2.1.68, Cynara cardunculus var. scolymus (Artichoke), caffeic acid 3-O-methyltransferase, KO:K13066, EC:2.1.1.68, Cynara cardunculus var. scolymus (Artichoke), 
caffeic acid 3-O-methyltransferase-like, KO:K13066, EC:2.1.1.68, Cynara cardunculus var. scolymus (Artichoke), caffeic acid 3-O-methyltransferase-like, KO:K13066, EC:2.1.1.68, 
Cynara cardunculus var. scolymus (Artichoke), caffeic acid 3-O-methyltransferase, KO:K13066, EC:2.1.1.68, Cynara cardunculus var. scolymus (Artichoke), probable cinnamyl alcohol dehydrogenase 1, KO:K00083, 
EC:1.1.1.195, Cynara cardunculus var. scolymus (Artichoke), probable cinnamyl alcohol dehydrogenase 1, KO:K00083, EC:1.1.1.195, Cynara cardunculus var. scolymus (Artichoke), probable cinnamyl alcohol dehydrogenase 1, 
KO:K00083, EC:1.1.1.195, Cynara cardunculus var. scolymus (Artichoke), probable cinnamyl alcohol dehydrogenase 6, KO:K00083, EC:1.1.1.195, Cynara cardunculus var. scolymus (Artichoke), 
berberine bridge enzyme-like 15, KO:K22395, EC:1.1.1.195, Cynara cardunculus var. scolymus (Artichoke), berberine bridge enzyme-like 15, KO:K22395, EC:1.1.1.195, 
Cynara cardunculus var. scolymus (Artichoke), berberine bridge enzyme-like 15, KO:K22395, EC:1.1.1.195, Cynara cardunculus var. scolymus (Artichoke), berberine bridge enzyme-like 15, KO:K22395, 
EC:1.1.1.195, Cynara cardunculus var. scolymus (Artichoke), reticuline oxidase-like, KO:K22395, EC:1.1.1.195, Cynara cardunculus var. scolymus (Artichoke), 1-Cys peroxiredoxin, 
KO:K11188, EC:1.11.1.7 1.11.1.27 3.1.1.-, Cynara cardunculus var. scolymus (Artichoke), peroxidase 10-like, KO:K00430, EC:1.11.1.7, Cynara cardunculus var. scolymus (Artichoke), 
peroxidase 64-like, KO:K00430, EC:1.11.1.7, Cynara cardunculus var. scolymus (Artichoke), peroxidase 64-like, KO:K00430, EC:1.11.1.7, 
Cynara cardunculus var. scolymus (Artichoke), peroxidase 64-like, KO:K00430, EC:1.11.1.7, Cynara cardunculus var. scolymus (Artichoke), peroxidase 9-like, KO:K00430, 
EC:1.11.1.7, Cynara cardunculus var. scolymus (Artichoke), peroxidase 7, KO:K00430, EC:1.11.1.7, Cynara cardunculus var. scolymus (Artichoke), peroxidase N1-like, 
KO:K00430, EC:1.11.1.7, Cynara cardunculus var. scolymus (Artichoke), peroxidase N1-like, KO:K00430, EC:1.11.1.7, Cynara cardunculus var. scolymus (Artichoke), 
cationic peroxidase 1-like isoform X1, KO:K00430, EC:1.11.1.7, Cynara cardunculus var. scolymus (Artichoke), cationic peroxidase 1-like, KO:K00430, EC:1.11.1.7, 
Cynara cardunculus var. scolymus (Artichoke), lignin-forming anionic peroxidase-like, KO:K00430, EC:1.11.1.7, Cynara cardunculus var. scolymus (Artichoke), putative Peroxidase 48, KO:K00430, 
EC:1.11.1.7, Cynara cardunculus var. scolymus (Artichoke), peroxidase 43-like, KO:K00430, EC:1.11.1.7, Cynara cardunculus var. scolymus (Artichoke), cationic peroxidase 1-like, 
KO:K00430, EC:1.11.1.7, Cynara cardunculus var. scolymus (Artichoke), peroxidase 3-like, KO:K00430, EC:1.11.1.7, Cynara cardunculus var. scolymus (Artichoke), 
cationic peroxidase 1-like, KO:K00430, EC:1.11.1.7, Cynara cardunculus var. scolymus (Artichoke), peroxidase 60, KO:K00430, EC:1.11.1.7, 
Cynara cardunculus var. scolymus (Artichoke), cationic peroxidase 1-like, KO:K00430, EC:1.11.1.7, Cynara cardunculus var. scolymus (Artichoke), peroxidase 10-like, KO:K00430, 
EC:1.11.1.7, Cynara cardunculus var. scolymus (Artichoke), peroxidase 31-like, KO:K00430, EC:1.11.1.7, Cynara cardunculus var. scolymus (Artichoke), peroxidase 7-like, 
KO:K00430, EC:1.11.1.7, Cynara cardunculus var. scolymus (Artichoke), peroxidase N-like, KO:K00430, EC:1.11.1.7, Cynara cardunculus var. scolymus (Artichoke), 
peroxidase 11, KO:K00430, EC:1.11.1.7, Cynara cardunculus var. scolymus (Artichoke), peroxidase 19, KO:K00430, EC:1.11.1.7, 
Cynara cardunculus var. scolymus (Artichoke), peroxidase 20-like, KO:K00430, EC:1.11.1.7, Cynara cardunculus var. scolymus (Artichoke), lignin-forming anionic peroxidase-like, KO:K00430, 
EC:1.11.1.7, Cynara cardunculus var. scolymus (Artichoke), lignin-forming anionic peroxidase-like, KO:K00430, EC:1.11.1.7, Cynara cardunculus var. scolymus (Artichoke), lignin-forming anionic peroxidase-like, 
KO:K00430, EC:1.11.1.7, Cynara cardunculus var. scolymus (Artichoke), peroxidase 27-like, KO:K00430, EC:1.11.1.7, Cynara cardunculus var. scolymus (Artichoke), 
peroxidase 51-like, KO:K00430, EC:1.11.1.7, Cynara cardunculus var. scolymus (Artichoke), peroxidase N-like, KO:K00430, EC:1.11.1.7, 
Cynara cardunculus var. scolymus (Artichoke), peroxidase 1-like, KO:K00430, EC:1.11.1.7, Cynara cardunculus var. scolymus (Artichoke), cationic peroxidase 2-like, KO:K00430, 
EC:1.11.1.7, Cynara cardunculus var. scolymus (Artichoke), peroxidase 43-like, KO:K00430, EC:1.11.1.7, Cynara cardunculus var. scolymus (Artichoke), peroxidase N1-like, 
KO:K00430, EC:1.11.1.7, Cynara cardunculus var. scolymus (Artichoke), peroxidase P7-like, KO:K00430, EC:1.11.1.7, Cynara cardunculus var. scolymus (Artichoke), 
basic peroxidase-like, KO:K00430, EC:1.11.1.7, Cynara cardunculus var. scolymus (Artichoke), peroxidase 12-like, KO:K00430, EC:1.11.1.7, 
Cynara cardunculus var. scolymus (Artichoke), peroxidase 4-like, KO:K00430, EC:1.11.1.7, Cynara cardunculus var. scolymus (Artichoke), peroxidase N1-like isoform X1, KO:K00430, 
EC:1.11.1.7, Cynara cardunculus var. scolymus (Artichoke), peroxidase N1-like, KO:K00430, EC:1.11.1.7, Cynara cardunculus var. scolymus (Artichoke), peroxidase 25, 
KO:K00430, EC:1.11.1.7, Cynara cardunculus var. scolymus (Artichoke), peroxidase N1-like, KO:K00430, EC:1.11.1.7, Cynara cardunculus var. scolymus (Artichoke), 
peroxidase 27-like, KO:K00430, EC:1.11.1.7, Cynara cardunculus var. scolymus (Artichoke), probable peroxidase 26, KO:K00430, EC:1.11.1.7, 
Cynara cardunculus var. scolymus (Artichoke), basic peroxidase-like, KO:K00430, EC:1.11.1.7, Cynara cardunculus var. scolymus (Artichoke), cationic peroxidase 1-like, KO:K00430, 
EC:1.11.1.7, Cynara cardunculus var. scolymus (Artichoke), peroxidase 31-like, KO:K00430, EC:1.11.1.7, Cynara cardunculus var. scolymus (Artichoke), peroxidase 41-like, 
KO:K00430, EC:1.11.1.7, Cynara cardunculus var. scolymus (Artichoke), peroxidase 72-like, KO:K00430, EC:1.11.1.7, Cynara cardunculus var. scolymus (Artichoke), 
peroxidase 4-like, KO:K00430, EC:1.11.1.7, Cynara cardunculus var. scolymus (Artichoke), peroxidase 72-like, KO:K00430, EC:1.11.1.7, 
Cynara cardunculus var. scolymus (Artichoke), peroxidase N1-like, KO:K00430, EC:1.11.1.7, Cynara cardunculus var. scolymus (Artichoke), peroxidase N1-like isoform X1, KO:K00430, 
EC:1.11.1.7, Cynara cardunculus var. scolymus (Artichoke), cationic peroxidase 1-like, KO:K00430, EC:1.11.1.7, Cynara cardunculus var. scolymus (Artichoke), peroxidase 72, 
KO:K00430, EC:1.11.1.7, Cynara cardunculus var. scolymus (Artichoke), peroxidase 9-like, KO:K00430, EC:1.11.1.7, Cynara cardunculus var. scolymus (Artichoke), 
peroxidase 45-like, KO:K00430, EC:1.11.1.7, Cynara cardunculus var. scolymus (Artichoke), peroxidase N1-like, KO:K00430, EC:1.11.1.7, 
Cynara cardunculus var. scolymus (Artichoke), peroxidase N1-like, KO:K00430, EC:1.11.1.7, Cynara cardunculus var. scolymus (Artichoke), peroxidase N1-like, KO:K00430, 
EC:1.11.1.7, Cynara cardunculus var. scolymus (Artichoke), peroxidase 47, KO:K00430, EC:1.11.1.7, Cynara cardunculus var. scolymus (Artichoke), peroxidase 16-like, 
KO:K00430, EC:1.11.1.7, Cynara cardunculus var. scolymus (Artichoke), peroxidase 27-like, KO:K00430, EC:1.11.1.7, Cynara cardunculus var. scolymus (Artichoke), 
peroxidase 66, KO:K00430, EC:1.11.1.7, Cynara cardunculus var. scolymus (Artichoke), peroxidase 17, KO:K00430, EC:1.11.1.7, 
Cynara cardunculus var. scolymus (Artichoke), peroxidase P7, KO:K00430, EC:1.11.1.7, Cynara cardunculus var. scolymus (Artichoke), peroxidase 42, KO:K00430, 
EC:1.11.1.7, Cynara cardunculus var. scolymus (Artichoke), peroxidase 55, KO:K00430, EC:1.11.1.7, Cynara cardunculus var. scolymus (Artichoke), peroxidase 12-like, 
KO:K00430, EC:1.11.1.7, Cynara cardunculus var. scolymus (Artichoke), peroxidase 64-like, KO:K00430, EC:1.11.1.7, Cynara cardunculus var. scolymus (Artichoke), 
peroxidase 64-like, KO:K00430, EC:1.11.1.7, Cynara cardunculus var. scolymus (Artichoke), cationic peroxidase 1-like, KO:K00430, EC:1.11.1.7, 
Cynara cardunculus var. scolymus (Artichoke), peroxidase 64-like, KO:K00430, EC:1.11.1.7, Cynara cardunculus var. scolymus (Artichoke), peroxidase 12-like, KO:K00430, 
EC:1.11.1.7, Cynara cardunculus var. scolymus (Artichoke), anthocyanidin 3-O-glucosyltransferase 5-like, KO:K12356, EC:2.4.1.111, Cynara cardunculus var. scolymus (Artichoke), anthocyanidin 3-O-glucosyltransferase 5-like, 
KO:K12356, EC:2.4.1.111, Cynara cardunculus var. scolymus (Artichoke), beta-glucosidase 11-like isoform X1, KO:K01188, EC:3.2.1.21, Cynara cardunculus var. scolymus (Artichoke), 
uncharacterized protein LOC112509080, KO:K05349, EC:3.2.1.21, Cynara cardunculus var. scolymus (Artichoke), uncharacterized protein LOC112503796, KO:K05349, EC:3.2.1.21, 
Cynara cardunculus var. scolymus (Artichoke), uncharacterized protein LOC112506942 isoform X1, KO:K05349, EC:3.2.1.21, Cynara cardunculus var. scolymus (Artichoke), uncharacterized protein LOC112518021 isoform X1, KO:K05349, 
EC:3.2.1.21, Cynara cardunculus var. scolymus (Artichoke), uncharacterized protein LOC112513976, KO:K05349, EC:3.2.1.21, Cynara cardunculus var. scolymus (Artichoke), uncharacterized protein LOC112512313, 
KO:K05349, EC:3.2.1.21, Cynara cardunculus var. scolymus (Artichoke), uncharacterized protein LOC112519623, KO:K05349, EC:3.2.1.21, Cynara cardunculus var. scolymus (Artichoke), 
lysosomal beta glucosidase-like, KO:K05349, EC:3.2.1.21, Cynara cardunculus var. scolymus (Artichoke), lysosomal beta glucosidase-like, KO:K05349, EC:3.2.1.21, 
Cynara cardunculus var. scolymus (Artichoke), uncharacterized protein LOC112518680 isoform X1, KO:K05349, EC:3.2.1.21, Cynara cardunculus var. scolymus (Artichoke), beta-glucosidase 18-like, KO:K05350, 
EC:3.2.1.21, Cynara cardunculus var. scolymus (Artichoke), beta-glucosidase 18-like, KO:K05350, EC:3.2.1.21, Cynara cardunculus var. scolymus (Artichoke), beta-glucosidase 18-like, 
KO:K05350, EC:3.2.1.21, Cynara cardunculus var. scolymus (Artichoke), probable inactive beta-glucosidase 14, KO:K05350, EC:3.2.1.21, Cynara cardunculus var. scolymus (Artichoke), 
beta-glucosidase 18-like, KO:K05350, EC:3.2.1.21, Cynara cardunculus var. scolymus (Artichoke), beta-glucosidase 18-like isoform X1, KO:K05350, EC:3.2.1.21, 
Cynara cardunculus var. scolymus (Artichoke), beta-glucosidase 46-like isoform X1, KO:K05350, EC:3.2.1.21, Cynara cardunculus var. scolymus (Artichoke), beta-glucosidase 18-like, KO:K05350, 
EC:3.2.1.21, Cynara cardunculus var. scolymus (Artichoke), beta-glucosidase 44-like, KO:K05350, EC:3.2.1.21, Cynara cardunculus var. scolymus (Artichoke), feruloyl CoA ortho-hydroxylase 1, 
KO:K06892, EC:1.14.11.61, Cynara cardunculus var. scolymus (Artichoke), feruloyl CoA ortho-hydroxylase 1-like, KO:K06892, EC:1.14.11.61, Cynara cardunculus var. scolymus (Artichoke), 
scopoletin glucosyltransferase-like, KO:K23260, EC:2.4.1.128, 
