Gossypium arboreum, phenylalanine ammonia-lyase-like, KO:K10775, EC:4.3.1.24, Gossypium arboreum, phenylalanine ammonia-lyase-like, KO:K10775, EC:4.3.1.24, 
Gossypium arboreum, phenylalanine ammonia-lyase-like, KO:K10775, EC:4.3.1.24, Gossypium arboreum, phenylalanine ammonia-lyase G4, KO:K10775, 
EC:1.1.1.195, Gossypium arboreum, flavin-dependent oxidoreductase FOX2-like, KO:K22395, EC:1.1.1.195, Gossypium arboreum, reticuline oxidase-like, 
KO:K22395, EC:1.1.1.195, Gossypium arboreum, tetrahydrocannabinolic acid synthase-like, KO:K22395, EC:1.1.1.195, Gossypium arboreum, 
inactive tetrahydrocannabinolic acid synthase-like, KO:K22395, EC:1.1.1.195, Gossypium arboreum, tetrahydrocannabinolic acid synthase-like, KO:K22395, EC:1.1.1.195, 
Gossypium arboreum, 1-Cys peroxiredoxin, KO:K11188, EC:1.11.1.7 1.11.1.27 3.1.1.-, Gossypium arboreum, peroxidase 44-like, KO:K00430, 
EC:1.11.1.7, Gossypium arboreum, peroxidase 4-like, KO:K00430, EC:1.11.1.7, Gossypium arboreum, peroxidase 11-like, 
KO:K00430, EC:1.11.1.7, Gossypium arboreum, peroxidase 66, KO:K00430, EC:1.11.1.7, Gossypium arboreum, 
peroxidase 72-like, KO:K00430, EC:1.11.1.7, Gossypium arboreum, peroxidase 31-like, KO:K00430, EC:1.11.1.7, 
Gossypium arboreum, peroxidase 24-like, KO:K00430, EC:1.11.1.7, Gossypium arboreum, peroxidase N1-like, KO:K00430, 
EC:1.11.1.7, Gossypium arboreum, peroxidase P7-like, KO:K00430, EC:1.11.1.7, Gossypium arboreum, peroxidase 5-like, 
KO:K00430, EC:1.11.1.7, Gossypium arboreum, peroxidase 31-like, KO:K00430, EC:1.11.1.7, Gossypium arboreum, 
peroxidase N1-like, KO:K00430, EC:1.11.1.7, Gossypium arboreum, peroxidase 20, KO:K00430, EC:1.11.1.7, 
Gossypium arboreum, peroxidase 31-like, KO:K00430, EC:1.11.1.7, Gossypium arboreum, peroxidase 46, KO:K00430, 
EC:1.11.1.7, Gossypium arboreum, peroxidase 3-like, KO:K00430, EC:1.11.1.7, Gossypium arboreum, peroxidase 3-like, 
KO:K00430, EC:1.11.1.7, Gossypium arboreum, peroxidase 24-like, KO:K00430, EC:1.11.1.7, Gossypium arboreum, 
peroxidase 12-like, KO:K00430, EC:1.11.1.7, Gossypium arboreum, peroxidase 46-like, KO:K00430, EC:1.11.1.7, 
Gossypium arboreum, peroxidase A2-like, KO:K00430, EC:1.11.1.7, Gossypium arboreum, peroxidase A2-like, KO:K00430, 
EC:1.11.1.7, Gossypium arboreum, peroxidase N1-like, KO:K00430, EC:1.11.1.7, Gossypium arboreum, peroxidase 3-like, 
KO:K00430, EC:1.11.1.7, Gossypium arboreum, peroxidase 3-like, KO:K00430, EC:1.11.1.7, Gossypium arboreum, 
peroxidase 56-like, KO:K00430, EC:1.11.1.7, Gossypium arboreum, peroxidase 43, KO:K00430, EC:1.11.1.7, 
Gossypium arboreum, peroxidase 10-like, KO:K00430, EC:1.11.1.7, Gossypium arboreum, peroxidase 4-like, KO:K00430, 
EC:1.11.1.7, Gossypium arboreum, peroxidase 73-like, KO:K00430, EC:1.11.1.7, Gossypium arboreum, peroxidase 17-like, 
KO:K00430, EC:1.11.1.7, Gossypium arboreum, peroxidase 5-like, KO:K00430, EC:1.11.1.7, Gossypium arboreum, 
peroxidase 31-like, KO:K00430, EC:1.11.1.7, Gossypium arboreum, peroxidase 72, KO:K00430, EC:1.11.1.7, 
Gossypium arboreum, peroxidase 16-like, KO:K00430, EC:1.11.1.7, Gossypium arboreum, peroxidase P7-like, KO:K00430, 
EC:1.11.1.7, Gossypium arboreum, peroxidase 5-like, KO:K00430, EC:1.11.1.7, Gossypium arboreum, peroxidase 57-like, 
KO:K00430, EC:1.11.1.7, Gossypium arboreum, peroxidase 64-like, KO:K00430, EC:1.11.1.7, Gossypium arboreum, 
cationic peroxidase 2-like, KO:K00430, EC:1.11.1.7, Gossypium arboreum, peroxidase 27-like, KO:K00430, EC:1.11.1.7, 
Gossypium arboreum, peroxidase 51-like, KO:K00430, EC:1.11.1.7, Gossypium arboreum, peroxidase 64-like, KO:K00430, 
EC:1.11.1.7, Gossypium arboreum, peroxidase A2-like, KO:K00430, EC:1.11.1.7, Gossypium arboreum, cationic peroxidase 1-like, 
KO:K00430, EC:1.11.1.7, Gossypium arboreum, peroxidase 40-like, KO:K00430, EC:1.11.1.7, Gossypium arboreum, 
peroxidase 5-like, KO:K00430, EC:1.11.1.7, Gossypium arboreum, peroxidase 5-like, KO:K00430, EC:1.11.1.7, 
Gossypium arboreum, peroxidase A2-like, KO:K00430, EC:1.11.1.7, Gossypium arboreum, peroxidase 17-like, KO:K00430, 
EC:1.11.1.7, Gossypium arboreum, peroxidase 12, KO:K00430, EC:1.11.1.7, Gossypium arboreum, peroxidase 29, 
KO:K00430, EC:1.11.1.7, Gossypium arboreum, peroxidase 70-like, KO:K00430, EC:1.11.1.7, Gossypium arboreum, 
peroxidase 7, KO:K00430, EC:1.11.1.7, Gossypium arboreum, peroxidase 50-like, KO:K00430, EC:1.11.1.7, 
Gossypium arboreum, peroxidase N1-like, KO:K00430, EC:1.11.1.7, Gossypium arboreum, peroxidase 55, KO:K00430, 
EC:1.11.1.7, Gossypium arboreum, peroxidase 55-like, KO:K00430, EC:1.11.1.7, Gossypium arboreum, peroxidase 16-like, 
KO:K00430, EC:1.11.1.7, Gossypium arboreum, peroxidase 27-like, KO:K00430, EC:1.11.1.7, Gossypium arboreum, 
peroxidase 45-like, KO:K00430, EC:1.11.1.7, Gossypium arboreum, peroxidase P7-like, KO:K00430, EC:1.11.1.7, 
Gossypium arboreum, peroxidase N, KO:K00430, EC:1.11.1.7, Gossypium arboreum, lignin-forming anionic peroxidase-like, KO:K00430, 
EC:1.11.1.7, Gossypium arboreum, probable peroxidase 61, KO:K00430, EC:1.11.1.7, Gossypium arboreum, peroxidase N1-like, 
KO:K00430, EC:1.11.1.7, Gossypium arboreum, peroxidase N1-like, KO:K00430, EC:1.11.1.7, Gossypium arboreum, 
peroxidase 64-like, KO:K00430, EC:1.11.1.7, Gossypium arboreum, peroxidase P7-like, KO:K00430, EC:1.11.1.7, 
Gossypium arboreum, cationic peroxidase 1-like, KO:K00430, EC:1.11.1.7, Gossypium arboreum, peroxidase P7-like, KO:K00430, 
EC:1.11.1.7, Gossypium arboreum, peroxidase 3-like, KO:K00430, EC:1.11.1.7, Gossypium arboreum, peroxidase 21, 
KO:K00430, EC:1.11.1.7, Gossypium arboreum, peroxidase 3-like, KO:K00430, EC:1.11.1.7, Gossypium arboreum, 
peroxidase 10, KO:K00430, EC:1.11.1.7, Gossypium arboreum, peroxidase 21-like, KO:K00430, EC:1.11.1.7, 
Gossypium arboreum, peroxidase 31-like, KO:K00430, EC:1.11.1.7, Gossypium arboreum, peroxidase 15-like, KO:K00430, 
EC:1.11.1.7, Gossypium arboreum, peroxidase 5-like, KO:K00430, EC:1.11.1.7, Gossypium arboreum, peroxidase P7-like, 
KO:K00430, EC:1.11.1.7, Gossypium arboreum, peroxidase 25-like, KO:K00430, EC:1.11.1.7, Gossypium arboreum, 
peroxidase 19 isoform X1, KO:K00430, EC:1.11.1.7, Gossypium arboreum, peroxidase 60, KO:K00430, EC:1.11.1.7, 
Gossypium arboreum, peroxidase P7-like, KO:K00430, EC:1.11.1.7, Gossypium arboreum, cationic peroxidase 1-like, KO:K00430, 
EC:1.11.1.7, Gossypium arboreum, peroxidase 3-like, KO:K00430, EC:1.11.1.7, Gossypium arboreum, peroxidase 42, 
KO:K00430, EC:1.11.1.7, Gossypium arboreum, peroxidase 31, KO:K00430, EC:1.11.1.7, Gossypium arboreum, 
peroxidase 11, KO:K00430, EC:1.11.1.7, Gossypium arboreum, cationic peroxidase 1-like, KO:K00430, EC:1.11.1.7, 
Gossypium arboreum, peroxidase 47, KO:K00430, EC:1.11.1.7, Gossypium arboreum, peroxidase A2-like, KO:K00430, 
EC:1.11.1.7, Gossypium arboreum, peroxidase 13-like, KO:K00430, EC:1.11.1.7, Gossypium arboreum, peroxidase 24-like, 
KO:K00430, EC:1.11.1.7, Gossypium arboreum, peroxidase 9, KO:K00430, EC:1.11.1.7, Gossypium arboreum, 
peroxidase P7-like, KO:K00430, EC:1.11.1.7, Gossypium arboreum, UDP-glycosyltransferase 72E1-like, KO:K12356, EC:2.4.1.111, 
Gossypium arboreum, anthocyanidin 3-O-glucosyltransferase 5-like, KO:K12356, EC:2.4.1.111, Gossypium arboreum, anthocyanidin 3-O-glucosyltransferase 5, KO:K12356, 
EC:2.4.1.111, Gossypium arboreum, UDP-glycosyltransferase 72E1-like, KO:K12356, EC:2.4.1.111, Gossypium arboreum, beta-glucosidase 11-like, 
KO:K01188, EC:3.2.1.21, Gossypium arboreum, beta-glucosidase 40, KO:K01188, EC:3.2.1.21, Gossypium arboreum, 
beta-glucosidase 42-like, KO:K01188, EC:3.2.1.21, Gossypium arboreum, beta-glucosidase BoGH3B-like, KO:K05349, EC:3.2.1.21, 
Gossypium arboreum, beta-glucosidase BoGH3B-like, KO:K05349, EC:3.2.1.21, Gossypium arboreum, beta-glucosidase BoGH3B-like, KO:K05349, 
EC:3.2.1.21, Gossypium arboreum, beta-glucosidase BoGH3B-like, KO:K05349, EC:3.2.1.21, Gossypium arboreum, beta-glucosidase BoGH3B-like, 
KO:K05349, EC:3.2.1.21, Gossypium arboreum, beta-glucosidase BoGH3B-like, KO:K05349, EC:3.2.1.21, Gossypium arboreum, 
beta-glucosidase BoGH3B-like, KO:K05349, EC:3.2.1.21, Gossypium arboreum, beta-glucosidase BoGH3B-like, KO:K05349, EC:3.2.1.21, 
Gossypium arboreum, beta-glucosidase 46-like, KO:K05350, EC:3.2.1.21, Gossypium arboreum, beta-glucosidase 46-like, KO:K05350, 
EC:3.2.1.21, Gossypium arboreum, beta-glucosidase 44-like, KO:K05350, EC:3.2.1.21, Gossypium arboreum, beta-glucosidase 44-like, 
KO:K05350, EC:3.2.1.21, Gossypium arboreum, beta-glucosidase 46-like, KO:K05350, EC:3.2.1.21, Gossypium arboreum, 
beta-glucosidase 47-like, KO:K05350, EC:3.2.1.21, Gossypium arboreum, beta-glucosidase 18-like isoform X1, KO:K05350, EC:3.2.1.21, 
Gossypium arboreum, beta-glucosidase 44-like, KO:K05350, EC:3.2.1.21, Gossypium arboreum, beta-glucosidase 44-like, KO:K05350, 
EC:3.2.1.21, Gossypium arboreum, beta-glucosidase 44, KO:K05350, EC:3.2.1.21, Gossypium arboreum, feruloyl CoA ortho-hydroxylase 1-like, 
KO:K06892, EC:1.14.11.61, Gossypium arboreum, feruloyl CoA ortho-hydroxylase 1-like, KO:K06892, EC:1.14.11.61, Gossypium arboreum, 
feruloyl CoA ortho-hydroxylase 1-like, KO:K06892, EC:1.14.11.61, Gossypium arboreum, feruloyl CoA ortho-hydroxylase 1-like, KO:K06892, EC:1.14.11.61, 
Gossypium arboreum, feruloyl CoA ortho-hydroxylase 1-like, KO:K06892, EC:1.14.11.61, Gossypium arboreum, feruloyl CoA ortho-hydroxylase 1-like, KO:K06892, 
EC:1.14.11.61, Gossypium arboreum, feruloyl CoA ortho-hydroxylase 1-like, KO:K06892, EC:1.14.11.61, Gossypium arboreum, feruloyl CoA ortho-hydroxylase 2-like, 
KO:K06892, EC:1.14.11.61, Gossypium arboreum, scopoletin glucosyltransferase-like, KO:K23260, EC:2.4.1.128, Gossypium arboreum, 
scopoletin glucosyltransferase, KO:K23260, EC:2.4.1.128, Gossypium arboreum, scopoletin glucosyltransferase-like, KO:K23260, EC:2.4.1.128, 
Gossypium arboreum, scopoletin glucosyltransferase-like, KO:K23260, EC:2.4.1.128, 
