Citrus sinensis, 102607309, chalcone synthase 2  [EC], ['EC:2.3.1.74'], KO:K00660
Citrus sinensis, 102628417, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Citrus sinensis, 102625849, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Citrus sinensis, 102618363, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Citrus sinensis, 102624577, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Citrus sinensis, 102628607, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Citrus sinensis, 107175441, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Citrus sinensis, 107175400, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Citrus sinensis, 102628720, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Citrus sinensis, 102609895, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Citrus sinensis, 112498336, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Citrus sinensis, 107178428, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Citrus sinensis, 102623563, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Citrus sinensis, 107177502, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Citrus sinensis, 102630515, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Citrus sinensis, 102611596, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Citrus sinensis, 102617991, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Citrus sinensis, 107177532, BAHD acyltransferase BIA1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Citrus sinensis, 102624231, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Citrus sinensis, 102622674, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Citrus sinensis, 102619432, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Citrus sinensis, 102616576, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Citrus sinensis, 102617076, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Citrus sinensis, 102617232, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Citrus sinensis, 102627979, caffeoyl-CoA O-methyltransferase 5-like  [EC], ['EC:2.1.1.104'], KO:K00588
