Theobroma cacao, 18598875, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Theobroma cacao, 18598473, omega-hydroxypalmitate O-feruloyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Theobroma cacao, 18595464, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Theobroma cacao, 18586507, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Theobroma cacao, 18598608, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Theobroma cacao, 18611157, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Theobroma cacao, 18607959, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Theobroma cacao, 18609023, flavonoid 3',5'-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Theobroma cacao, 18609021, flavonoid 3',5'-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Theobroma cacao, 18610037, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Theobroma cacao, 18602545, flavonoid 3',5'-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Theobroma cacao, 18588443, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
