Phoenix dactylifera, 103712379, chalcone synthase 1  [EC], ['EC:2.3.1.74'], KO:K00660
Phoenix dactylifera, 103706323, tryptamine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Phoenix dactylifera, 103707445, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Phoenix dactylifera, 103707448, hydroxycinnamoyltransferase 1 isoform X2  [EC], ['EC:2.3.1.133'], KO:K13065
Phoenix dactylifera, 103712513, BAHD acyltransferase At5g47980-like  [EC], ['EC:2.3.1.133'], KO:K13065
Phoenix dactylifera, 103710206, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Phoenix dactylifera, 103716242, fatty alcohol:caffeoyl-CoA acyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Phoenix dactylifera, 103724278, LOW QUALITY PROTEIN: agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Phoenix dactylifera, 103705056, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Phoenix dactylifera, 103706282, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Phoenix dactylifera, 103713767, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Phoenix dactylifera, 103722553, norbelladine 4'-O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Phoenix dactylifera, 103710057, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Phoenix dactylifera, 103701551, norbelladine 4'-O-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Phoenix dactylifera, 103701552, norbelladine 4'-O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Phoenix dactylifera, 103699630, norbelladine 4'-O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Phoenix dactylifera, 103700625, caffeoyl-CoA O-methyltransferase 1  [EC], ['EC:2.1.1.104'], KO:K00588
Phoenix dactylifera, 103698589, norbelladine 4'-O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
