Momordica charantia, 111010268, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Momordica charantia, 111017835, BAHD acyltransferase At5g47980-like isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Momordica charantia, 111019771, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Momordica charantia, 111017855, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Momordica charantia, 111017856, BAHD acyltransferase At5g47980-like isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Momordica charantia, 111022456, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Momordica charantia, 111010007, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Momordica charantia, 111021087, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Momordica charantia, 111024458, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Momordica charantia, 111006719, caffeoylshikimate esterase isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Momordica charantia, 111022337, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Momordica charantia, 111008043, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Momordica charantia, 111005882, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Momordica charantia, 111017629, caffeoyl-CoA O-methyltransferase 5-like  [EC], ['EC:2.1.1.104'], KO:K00588
Momordica charantia, 111019721, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Momordica charantia, 111020985, cinnamoyl-CoA reductase 2-like  [EC], ['EC:1.2.1.44'], KO:K09753
Momordica charantia, 111020994, cinnamoyl-CoA reductase 2-like isoform X1  [EC], ['EC:1.2.1.44'], KO:K09753
Momordica charantia, 111020774, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Momordica charantia, 111014471, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Momordica charantia, 111011723, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Momordica charantia, 111021443, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Momordica charantia, 111013374, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Momordica charantia, 111013400, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Momordica charantia, 111017748, cinnamyl alcohol dehydrogenase 1-like  [EC], ['EC:1.1.1.195'], KO:K00083
Momordica charantia, 111026080, probable cinnamyl alcohol dehydrogenase 1 isoform X1  [EC], ['EC:1.1.1.195'], KO:K00083
Momordica charantia, 111009199, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Momordica charantia, 111024118, probable cinnamyl alcohol dehydrogenase 9  [EC], ['EC:1.1.1.195'], KO:K00083
Momordica charantia, 111015758, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Momordica charantia, 111010807, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Momordica charantia, 111009213, 1-Cys peroxiredoxin A  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Momordica charantia, 111009836, peroxidase 46  [EC], ['EC:1.11.1.7'], KO:K00430
Momordica charantia, 111009844, LOW QUALITY PROTEIN: peroxidase 24-like  [EC], ['EC:1.11.1.7'], KO:K00430
Momordica charantia, 111010772, peroxidase 42  [EC], ['EC:1.11.1.7'], KO:K00430
Momordica charantia, 111013679, peroxidase 21-like  [EC], ['EC:1.11.1.7'], KO:K00430
Momordica charantia, 111014707, probable peroxidase 26  [EC], ['EC:1.11.1.7'], KO:K00430
Momordica charantia, 111021556, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Momordica charantia, 111021564, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Momordica charantia, 111025909, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Momordica charantia, 111010969, peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Momordica charantia, 111010990, peroxidase 39-like  [EC], ['EC:1.11.1.7'], KO:K00430
Momordica charantia, 111019777, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Momordica charantia, 111018087, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Momordica charantia, 111019137, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Momordica charantia, 111021195, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Momordica charantia, 111021196, peroxidase N-like  [EC], ['EC:1.11.1.7'], KO:K00430
Momordica charantia, 111021222, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Momordica charantia, 111021223, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Momordica charantia, 111011620, LOW QUALITY PROTEIN: peroxidase 66  [EC], ['EC:1.11.1.7'], KO:K00430
Momordica charantia, 111012210, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Momordica charantia, 111012699, peroxidase 60  [EC], ['EC:1.11.1.7'], KO:K00430
Momordica charantia, 111016753, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Momordica charantia, 111016786, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Momordica charantia, 111017798, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Momordica charantia, 111017175, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Momordica charantia, 111021279, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Momordica charantia, 111007361, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Momordica charantia, 111014440, peroxidase 25-like  [EC], ['EC:1.11.1.7'], KO:K00430
Momordica charantia, 111021574, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Momordica charantia, 111021590, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Momordica charantia, 111017531, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Momordica charantia, 111006126, peroxidase 55-like  [EC], ['EC:1.11.1.7'], KO:K00430
Momordica charantia, 111006442, peroxidase 55  [EC], ['EC:1.11.1.7'], KO:K00430
Momordica charantia, 111005274, LOW QUALITY PROTEIN: peroxidase 73-like  [EC], ['EC:1.11.1.7'], KO:K00430
Momordica charantia, 111005409, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Momordica charantia, 111005720, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Momordica charantia, 111021694, peroxidase 43  [EC], ['EC:1.11.1.7'], KO:K00430
Momordica charantia, 111017932, peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Momordica charantia, 111022037, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Momordica charantia, 111022044, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Momordica charantia, 111024226, peroxidase 20 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Momordica charantia, 111019293, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Momordica charantia, 111005991, peroxidase 10 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Momordica charantia, 111006181, peroxidase 52-like  [EC], ['EC:1.11.1.7'], KO:K00430
Momordica charantia, 111006222, peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Momordica charantia, 111012215, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Momordica charantia, 111014955, peroxidase 21-like  [EC], ['EC:1.11.1.7'], KO:K00430
Momordica charantia, 111017988, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Momordica charantia, 111020034, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Momordica charantia, 111007829, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Momordica charantia, 111007914, peroxidase 39-like  [EC], ['EC:1.11.1.7'], KO:K00430
Momordica charantia, 111025414, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Momordica charantia, 111018385, peroxidase 63-like  [EC], ['EC:1.11.1.7'], KO:K00430
Momordica charantia, 111008168, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Momordica charantia, 111008528, peroxidase 17  [EC], ['EC:1.11.1.7'], KO:K00430
Momordica charantia, 111008683, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Momordica charantia, 111008893, peroxidase 7  [EC], ['EC:1.11.1.7'], KO:K00430
Momordica charantia, 111014007, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Momordica charantia, 111018082, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Momordica charantia, 111020144, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Momordica charantia, 111021183, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Momordica charantia, 111021185, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Momordica charantia, 111021188, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Momordica charantia, 111021192, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Momordica charantia, 111018010, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Momordica charantia, 111005139, beta-glucosidase 40  [EC], ['EC:3.2.1.21'], KO:K01188
Momordica charantia, 111010372, beta-glucosidase 25 isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Momordica charantia, 111014184, beta-glucosidase 42  [EC], ['EC:3.2.1.21'], KO:K01188
Momordica charantia, 111021432, beta-glucosidase 12-like  [EC], ['EC:3.2.1.21'], KO:K01188
Momordica charantia, 111018764, uncharacterized protein LOC111018764 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Momordica charantia, 111015489, uncharacterized protein LOC111015489  [EC], ['EC:3.2.1.21'], KO:K05349
Momordica charantia, 111018940, uncharacterized protein LOC111018940  [EC], ['EC:3.2.1.21'], KO:K05349
Momordica charantia, 111018941, uncharacterized protein LOC111018941  [EC], ['EC:3.2.1.21'], KO:K05349
Momordica charantia, 111022482, uncharacterized protein LOC111022482  [EC], ['EC:3.2.1.21'], KO:K05349
Momordica charantia, 111022483, uncharacterized protein LOC111022483  [EC], ['EC:3.2.1.21'], KO:K05349
Momordica charantia, 111022484, uncharacterized protein LOC111022484  [EC], ['EC:3.2.1.21'], KO:K05349
Momordica charantia, 111007174, uncharacterized protein LOC111007174  [EC], ['EC:3.2.1.21'], KO:K05349
Momordica charantia, 111018971, uncharacterized protein LOC111018971  [EC], ['EC:3.2.1.21'], KO:K05349
Momordica charantia, 111010344, beta-glucosidase 18-like  [EC], ['EC:3.2.1.21'], KO:K05350
Momordica charantia, 111010739, beta-glucosidase 46 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Momordica charantia, 111012798, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Momordica charantia, 111008900, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Momordica charantia, 111021233, LOW QUALITY PROTEIN: feruloyl CoA ortho-hydroxylase 1  [EC], ['EC:1.14.11.61'], KO:K06892
Momordica charantia, 111017641, UDP-glucose flavonoid 3-O-glucosyltransferase 7-like  [EC], ['EC:2.4.1.128'], KO:K23260
Momordica charantia, 111022760, scopoletin glucosyltransferase-like isoform X1  [EC], ['EC:2.4.1.128'], KO:K23260
Momordica charantia, 111022761, UDP-glucose flavonoid 3-O-glucosyltransferase 7-like  [EC], ['EC:2.4.1.128'], KO:K23260
