Brassica napus, 106367233, chalcone synthase 3  [EC], ['EC:2.3.1.74'], KO:K00660
Brassica napus, 106448797, dihydroflavonol 4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Brassica napus, 106403158, dihydroflavonol 4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Brassica napus, 106440807, leucoanthocyanidin dioxygenase  [EC], ['EC:1.14.20.4'], KO:K05277
Brassica napus, 106440474, leucoanthocyanidin dioxygenase  [EC], ['EC:1.14.20.4'], KO:K05277
Brassica napus, 106375745, leucoanthocyanidin dioxygenase  [EC], ['EC:1.14.20.4'], KO:K05277
Brassica napus, 111214282, leucoanthocyanidin dioxygenase-like  [EC], ['EC:1.14.20.4'], KO:K05277
Brassica napus, 106352233, anthocyanidin reductase  [EC], ['EC:1.3.1.77'], KO:K08695
Brassica napus, 106374812, anthocyanidin reductase  [EC], ['EC:1.3.1.77'], KO:K08695
Brassica napus, 106374840, anthocyanidin reductase-like  [EC], ['EC:1.3.1.77'], KO:K08695
Brassica napus, 106395425, anthocyanidin reductase  [EC], ['EC:1.3.1.77'], KO:K08695
Brassica napus, 106430971, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Brassica napus, 106380692, shikimate O-hydroxycinnamoyltransferase isoform X2  [EC], ['EC:2.3.1.133'], KO:K13065
Brassica napus, 106436771, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Brassica napus, 106436791, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Brassica napus, 106374616, spermidine hydroxycinnamoyl transferase-like isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Brassica napus, 106387188, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Brassica napus, 106387190, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Brassica napus, 106395458, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Brassica napus, 106395585, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Brassica napus, 106396668, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Brassica napus, 106405249, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Brassica napus, 106426290, omega-hydroxypalmitate O-feruloyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Brassica napus, 106435490, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Brassica napus, 106435508, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Brassica napus, 106387189, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Brassica napus, 106387187, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Brassica napus, 106446740, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Brassica napus, 106352767, cytochrome P450 98A3-like  [EC], ['EC:1.14.14.96'], KO:K09754
Brassica napus, 106386334, cytochrome P450 98A3-like  [EC], ['EC:1.14.14.96'], KO:K09754
Brassica napus, 106391625, cytochrome P450 98A3  [EC], ['EC:1.14.14.96'], KO:K09754
Brassica napus, 106438010, cytochrome P450 98A3  [EC], ['EC:1.14.14.96'], KO:K09754
Brassica napus, 106454525, cytochrome P450 98A3-like  [EC], ['EC:1.14.14.96'], KO:K09754
Brassica napus, 106395719, cytochrome P450 98A3-like  [EC], ['EC:1.14.14.96'], KO:K09754
Brassica napus, 106431114, cytochrome P450 98A3-like  [EC], ['EC:1.14.14.96'], KO:K09754
Brassica napus, 106392328, putative caffeoyl-CoA O-methyltransferase At1g67980 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Brassica napus, 106444299, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Brassica napus, 106357144, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Brassica napus, 106359564, putative caffeoyl-CoA O-methyltransferase At1g67980 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Brassica napus, 106361053, caffeoyl-CoA O-methyltransferase 1-like  [EC], ['EC:2.1.1.104'], KO:K00588
Brassica napus, 106361078, caffeoyl-CoA O-methyltransferase 1 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Brassica napus, 106361880, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Brassica napus, 106381124, putative caffeoyl-CoA O-methyltransferase At1g67980 isoform X2  [EC], ['EC:2.1.1.104'], KO:K00588
Brassica napus, 106381125, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Brassica napus, 106390077, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Brassica napus, 106390078, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Brassica napus, 106401934, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Brassica napus, 106402264, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Brassica napus, 106414501, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Brassica napus, 106436705, caffeoyl-CoA O-methyltransferase 1  [EC], ['EC:2.1.1.104'], KO:K00588
Brassica napus, 106353993, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Brassica napus, 106381122, putative caffeoyl-CoA O-methyltransferase At1g67980 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Brassica napus, 106404607, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Brassica napus, 111199791, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Brassica napus, 111214450, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Brassica napus, 106392316, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Brassica napus, 106441142, caffeoyl-CoA O-methyltransferase 1  [EC], ['EC:2.1.1.104'], KO:K00588
Brassica napus, 106414755, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
