Cicer arietinum, 101509831, PAL2; phenylalanine ammonia-lyase 2-like  [EC], ['EC:4.3.1.24'], KO:K10775
Cicer arietinum, 101506028, beta-glucosidase 12-like  [EC], ['EC:3.2.1.21'], KO:K01188
Cicer arietinum, 105851087, cyanogenic beta-glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K01188
Cicer arietinum, 101495037, lysosomal beta glucosidase  [EC], ['EC:3.2.1.21'], KO:K05349
Cicer arietinum, 101514797, lysosomal beta glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K05349
Cicer arietinum, 101494644, lysosomal beta glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K05349
Cicer arietinum, 101513999, lysosomal beta glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K05349
Cicer arietinum, 101510720, lysosomal beta glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K05349
Cicer arietinum, 101507341, lysosomal beta glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K05349
Cicer arietinum, 101507649, uncharacterized LOC101507649  [EC], ['EC:3.2.1.21'], KO:K05349
Cicer arietinum, 101492242, beta-glucosidase 47  [EC], ['EC:3.2.1.21'], KO:K05350
Cicer arietinum, 101490358, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Cicer arietinum, 101510414, beta-glucosidase 18-like  [EC], ['EC:3.2.1.21'], KO:K05350
Cicer arietinum, 101501316, beta-glucosidase 46-like  [EC], ['EC:3.2.1.21'], KO:K05350
Cicer arietinum, 101511462, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Cicer arietinum, 101511149, UGT73B14; scopoletin glucosyltransferase  [EC], ['EC:2.4.1.128'], KO:K23260
Cicer arietinum, 101489464, UGT73F5; UDP-glucose flavonoid 3-O-glucosyltransferase 7  [EC], ['EC:2.4.1.128'], KO:K23260
