Medicago truncatula, MTR_1g094780, phenylalanine ammonia-lyase-like protein  [EC], ['EC:4.3.1.24'], KO:K10775
Medicago truncatula, MTR_1g063110, 4-coumarate:CoA ligase-like protein  [EC], ['EC:6.2.1.12'], KO:K01904
Medicago truncatula, MTR_1g063120, 4-coumarate:CoA ligase-like protein  [EC], ['EC:6.2.1.12'], KO:K01904
Medicago truncatula, MTR_3g088880, 4-coumarate:CoA ligase-like protein  [EC], ['EC:6.2.1.12'], KO:K01904
Medicago truncatula, MTR_3g088870, 4-coumarate:CoA ligase-like protein  [EC], ['EC:6.2.1.12'], KO:K01904
Medicago truncatula, MTR_2g045550, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Medicago truncatula, MTR_1g094790, HXXXD-type acyl-transferase family protein  [EC], ['EC:2.3.1.133'], KO:K13065
Medicago truncatula, MTR_2g105330, shikimate/quinate hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Medicago truncatula, MTR_2g064495, shikimate/quinate hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Medicago truncatula, MTR_3g049140, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Medicago truncatula, MTR_3g049150, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Medicago truncatula, MTR_3g026950, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Medicago truncatula, MTR_3g086020, anthranilate N-benzoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Medicago truncatula, MTR_4g007460, shikimate/quinate hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Medicago truncatula, MTR_4g007470, shikimate/quinate hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Medicago truncatula, MTR_4g007540, shikimate/quinate hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Medicago truncatula, MTR_4g013050, shikimate/quinate hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Medicago truncatula, MTR_4g097090, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Medicago truncatula, MTR_4g127650, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Medicago truncatula, MTR_7g084910, HXXXD-type acyl-transferase family protein  [EC], ['EC:2.3.1.133'], KO:K13065
Medicago truncatula, MTR_7g084940, HXXXD-type acyl-transferase family protein  [EC], ['EC:2.3.1.133'], KO:K13065
Medicago truncatula, MTR_7g085930, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Medicago truncatula, MTR_7g085960, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Medicago truncatula, MTR_7g085990, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Medicago truncatula, MTR_7g086000, transferase family protein  [EC], ['EC:2.3.1.133'], KO:K13065
Medicago truncatula, MTR_8g075610, shikimate/quinate hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Medicago truncatula, MTR_8g075740, shikimate/quinate hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Medicago truncatula, MTR_7g108770, alpha/beta hydrolase family protein  [EC], ['EC:3.1.1.-'], KO:K18368
Medicago truncatula, MTR_1g115535, alpha/beta fold hydrolase  [EC], ['EC:3.1.1.-'], KO:K18368
Medicago truncatula, MTR_7g007260, monoglyceride lipase  [EC], ['EC:3.1.1.-'], KO:K18368
Medicago truncatula, MTR_4g127220, monoglyceride lipase-like protein  [EC], ['EC:3.1.1.-'], KO:K18368
Medicago truncatula, MTR_6g018490, monoglyceride lipase  [EC], ['EC:3.1.1.-'], KO:K18368
Medicago truncatula, MTR_6g025610, monoglyceride lipase  [EC], ['EC:3.1.1.-'], KO:K18368
Medicago truncatula, MTR_5g056550, alpha/beta-hydrolase superfamily protein  [EC], ['EC:3.1.1.-'], KO:K18368
Medicago truncatula, MTR_6g091680, caffeoyl-CoA 3-O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Medicago truncatula, MTR_8g101900, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Medicago truncatula, MTR_4g094368, caffeoyl-CoA-O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Medicago truncatula, MTR_4g094812, caffeoyl-CoA 3-O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Medicago truncatula, MTR_4g094898, caffeoyl-CoA 3-O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Medicago truncatula, MTR_4g094925, caffeoyl-CoA 3-O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Medicago truncatula, MTR_8g021225, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Medicago truncatula, MTR_4g085590, caffeoyl-CoA 3-O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Medicago truncatula, MTR_4g094815, caffeoyl-CoA 3-O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Medicago truncatula, MTR_2g104960, cinnamoyl-CoA reductase-like protein  [EC], ['EC:1.2.1.44'], KO:K09753
Medicago truncatula, MTR_4g006940, cinnamoyl-CoA reductase-like protein  [EC], ['EC:1.2.1.44'], KO:K09753
Medicago truncatula, MTR_6g086340, cytosolic aldehyde dehydrogenase  [EC], ['EC:1.2.1.68'], KO:K12355
Medicago truncatula, MTR_8g083520, NAD-dependent aldehyde dehydrogenase family protein  [EC], ['EC:1.2.1.68'], KO:K12355
Medicago truncatula, MTR_8g083530, cytosolic aldehyde dehydrogenase RF2C  [EC], ['EC:1.2.1.68'], KO:K12355
Medicago truncatula, MTR_6g086300, cytosolic aldehyde dehydrogenase  [EC], ['EC:1.2.1.68'], KO:K12355
Medicago truncatula, MTR_1g071870, NAD-dependent aldehyde dehydrogenase family protein  [EC], ['EC:1.2.1.68'], KO:K12355
Medicago truncatula, MTR_4g071710, cytochrome P450 family monooxygenase  [EC], ['EC:1.14.-.-'], KO:K09755
Medicago truncatula, MTR_8g076290, cytochrome P450 family monooxygenase  [EC], ['EC:1.14.-.-'], KO:K09755
Medicago truncatula, MTR_5g021390, cytochrome P450 family ferulate hydroxylase  [EC], ['EC:1.14.-.-'], KO:K09755
Medicago truncatula, MTR_3g092900, caffeic acid O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Medicago truncatula, MTR_8g068690, caffeic acid O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Medicago truncatula, MTR_6g078850, caffeic acid O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Medicago truncatula, MTR_8g068750, caffeic acid O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Medicago truncatula, MTR_5g098170, caffeic acid O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Medicago truncatula, MTR_0591s0010, caffeic acid O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Medicago truncatula, MTR_7g118320, caffeic acid O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Medicago truncatula, MTR_1g025950, cinnamyl alcohol dehydrogenase-like protein  [EC], ['EC:1.1.1.195'], KO:K00083
Medicago truncatula, MTR_1g107425, cinnamyl alcohol dehydrogenase-like protein  [EC], ['EC:1.1.1.195'], KO:K00083
Medicago truncatula, MTR_2g009810, cinnamyl alcohol dehydrogenase-like protein  [EC], ['EC:1.1.1.195'], KO:K00083
Medicago truncatula, MTR_2g031390, FAD-binding berberine family protein  [EC], ['EC:1.1.1.195'], KO:K22395
Medicago truncatula, MTR_4g094518, FAD-binding berberine family protein  [EC], ['EC:1.1.1.195'], KO:K22395
Medicago truncatula, MTR_4g094520, FAD-binding berberine family protein  [EC], ['EC:1.1.1.195'], KO:K22395
Medicago truncatula, MTR_4g094720, 1-cys peroxiredoxin PER1  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Medicago truncatula, MTR_7g086810, peroxidase family protein  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_5g058120, peroxidase family protein  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_5g033470, peroxidase family protein  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_4g029170, peroxidase family protein  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_4g029180, peroxidase family protein  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_4g029190, class III peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_4g029200, class III peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_1g077000, peroxidase family protein  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_2g078610, peroxidase family protein  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_7g072480, cationic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_5g074760, peroxidase family protein  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_5g074740, peroxidase family protein  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_7g072510, class III peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_2g084080, lignin biosynthetic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_2g084020, lignin biosynthetic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_5g014100, anionic peroxidase swpb3 protein  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_0286s0010, peroxidase family protein  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_0147s0010, peroxidase family protein  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_3g072210, peroxidase family protein  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_1g038680, cationic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_5g074860, peroxidase family protein  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_3g072190, peroxidase family protein  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_1g090760, peroxidase family protein  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_1g115900, cationic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_0155s0040, peroxidase family protein  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_4g031140, gaiacol peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_7g029030, peroxidase family protein  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_3g094650, class III peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_2g008730, cationic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_1g086320, cationic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_1g086490, cationic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_2g029750, peroxidase family protein  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_2g029815, peroxidase family protein  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_2g029860, peroxidase family protein  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_2g029910, peroxidase family protein  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_6g027440, peroxidase family protein  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_6g043240, peroxidase family protein  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_6g043280, peroxidase family protein  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_6g043460, peroxidase family protein  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_5g016010, peroxidase family protein  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_2g437770, peroxidase family protein  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_7g093370, peroxidase family protein  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_2g008710, cationic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_2g088770, peroxidase family protein  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_7g086870, peroxidase family protein  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_4g132490, peroxidase family protein  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_4g083710, lignin-forming anionic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_3g094670, horseradish peroxidase-like protein  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_1g066380, cationic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_4g132110, cationic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_5g022870, peroxidase family protein  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_3g105790, peroxidase family protein  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_2g029850, peroxidase family protein  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_1g101830, peroxidase family protein  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_2g029730, peroxidase family protein  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_1g025980, peroxidase family protein  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_4g122640, class III peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_4g127670, class III peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_4g030890, gaiacol peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_5g017850, class III peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_5g074970, class III peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_8g075100, peroxidase family protein  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_3g092990, peroxidase family protein  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_2g008160, class III peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_7g086820, peroxidase family protein  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_4g114210, class III peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_2g040000, peroxidase family protein  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_3g466180, cationic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_3g466200, anionic peroxidase swpb3 protein  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_5g017860, peroxidase family protein  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_2g084110, lignin biosynthetic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_2g029800, peroxidase family protein  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_5g021060, peroxidase family protein  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_8g076820, peroxidase family protein  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_2g029740, peroxidase family protein  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_4g095450, class III peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_8g062780, peroxidase family protein  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_4g133800, peroxidase family protein  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_7g086790, peroxidase family protein  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_7g026990, cationic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_7g072490, peroxidase family protein  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_3g094630, horseradish peroxidase-like protein  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_5g083860, class III peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_7g107520, cationic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_2g028980, peroxidase family protein  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_2g029820, peroxidase family protein  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_2g029830, peroxidase family protein  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_2g029880, peroxidase family protein  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_2g029560, peroxidase family protein  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_4g074995, lignin-forming anionic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_2g067440, peroxidase family protein  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_2g067450, peroxidase family protein  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_2g077980, peroxidase family protein  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_2g077990, peroxidase family protein  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_2g078280, peroxidase family protein  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_2g078560, peroxidase superfamily protein  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_2g099175, peroxidase family protein  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_5g049280, peroxidase family protein  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_5g074700, cationic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_5g074710, peroxidase family protein  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_4g074980, lignin-forming anionic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_4g074990, lignin-forming anionic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_4g046713, peroxidase family protein  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_1g009750, class III peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_4g087965, peroxidase family protein  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_3g467600, peroxidase family protein  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_4g125940, peroxidase family protein  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_1g022970, peroxidase family protein  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_1g054205, peroxidase family protein  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_2g084000, lignin biosynthetic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_2g084010, lignin biosynthetic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_2g084090, lignin biosynthetic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_1g066640, cationic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_1g066680, cationic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_1g066710, cationic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_6g008075, peroxidase family protein  [EC], ['EC:1.11.1.7'], KO:K00430
Medicago truncatula, MTR_5g019580, UDP-glucosyltransferase family protein  [EC], ['EC:2.4.1.111'], KO:K12356
Medicago truncatula, MTR_8g074550, UDP-glucosyltransferase family protein  [EC], ['EC:2.4.1.111'], KO:K12356
Medicago truncatula, MTR_2g098540, glycoside hydrolase family 1 protein  [EC], ['EC:3.2.1.21'], KO:K01188
Medicago truncatula, MTR_3g028720, glycoside hydrolase family 1 protein  [EC], ['EC:3.2.1.21'], KO:K01188
Medicago truncatula, MTR_3g033790, glycoside hydrolase family 1 protein  [EC], ['EC:3.2.1.21'], KO:K01188
Medicago truncatula, MTR_3g033810, glycoside hydrolase family 1 protein  [EC], ['EC:3.2.1.21'], KO:K01188
Medicago truncatula, MTR_4g016920, glycoside hydrolase family 1 protein  [EC], ['EC:3.2.1.21'], KO:K01188
Medicago truncatula, MTR_4g023000, glycoside hydrolase family 1 protein  [EC], ['EC:3.2.1.21'], KO:K01188
Medicago truncatula, MTR_4g066580, glycoside hydrolase family 1 protein  [EC], ['EC:3.2.1.21'], KO:K01188
Medicago truncatula, MTR_4g066590, glycoside hydrolase family 1 protein  [EC], ['EC:3.2.1.21'], KO:K01188
Medicago truncatula, MTR_4g066630, glycoside hydrolase family 1 protein  [EC], ['EC:3.2.1.21'], KO:K01188
Medicago truncatula, MTR_4g066640, glycoside hydrolase family 1 protein  [EC], ['EC:3.2.1.21'], KO:K01188
Medicago truncatula, MTR_4g081530, glycoside hydrolase family 1 protein  [EC], ['EC:3.2.1.21'], KO:K01188
Medicago truncatula, MTR_4g083000, beta-glucosidase  [EC], ['EC:3.2.1.21'], KO:K01188
Medicago truncatula, MTR_5g044000, beta-glucosidase  [EC], ['EC:3.2.1.21'], KO:K01188
Medicago truncatula, MTR_5g071520, glycoside hydrolase family 1 protein  [EC], ['EC:3.2.1.21'], KO:K01188
Medicago truncatula, MTR_6g078330, glycoside hydrolase family 1 protein  [EC], ['EC:3.2.1.21'], KO:K01188
Medicago truncatula, MTR_6g078380, glycoside hydrolase family 1 protein  [EC], ['EC:3.2.1.21'], KO:K01188
Medicago truncatula, MTR_6g078450, glycoside hydrolase family 1 protein  [EC], ['EC:3.2.1.21'], KO:K01188
Medicago truncatula, MTR_4g066340, cyanogenic beta-glucosidase, putative  [EC], ['EC:3.2.1.21'], KO:K01188
Medicago truncatula, MTR_3g026280, glycoside hydrolase family 1 protein  [EC], ['EC:3.2.1.21'], KO:K01188
Medicago truncatula, MTR_7g086010, glycoside hydrolase family 3 protein  [EC], ['EC:3.2.1.21'], KO:K05349
Medicago truncatula, MTR_5g069740, glycoside hydrolase family 3 protein  [EC], ['EC:3.2.1.21'], KO:K05349
Medicago truncatula, MTR_6g028090, beta-D-glucoside glucohydrolase  [EC], ['EC:3.2.1.21'], KO:K05349
Medicago truncatula, MTR_6g028100, beta-D-glucoside glucohydrolase  [EC], ['EC:3.2.1.21'], KO:K05349
Medicago truncatula, MTR_6g028110, beta-D-glucoside glucohydrolase  [EC], ['EC:3.2.1.21'], KO:K05349
Medicago truncatula, MTR_6g028120, beta-D-glucoside glucohydrolase  [EC], ['EC:3.2.1.21'], KO:K05349
Medicago truncatula, MTR_2g030000, glycoside hydrolase family 3 protein  [EC], ['EC:3.2.1.21'], KO:K05349
Medicago truncatula, MTR_5g069800, glycoside hydrolase family 3 protein  [EC], ['EC:3.2.1.21'], KO:K05349
Medicago truncatula, MTR_3g079750, glycoside hydrolase family 3 protein  [EC], ['EC:3.2.1.21'], KO:K05349
Medicago truncatula, MTR_7g086030, beta-D-glucoside glucohydrolase  [EC], ['EC:3.2.1.21'], KO:K05349
Medicago truncatula, MTR_3g462820, glycoside hydrolase family 3 protein  [EC], ['EC:3.2.1.21'], KO:K05349
Medicago truncatula, MTR_4g131810, glycoside hydrolase family 1 protein  [EC], ['EC:3.2.1.21'], KO:K05350
Medicago truncatula, MTR_0110s0020, glycoside hydrolase family 1 protein  [EC], ['EC:3.2.1.21'], KO:K05350
Medicago truncatula, MTR_0110s0030, glycoside hydrolase family 1 protein  [EC], ['EC:3.2.1.21'], KO:K05350
Medicago truncatula, MTR_0110s0040, glycoside hydrolase family 1 protein  [EC], ['EC:3.2.1.21'], KO:K05350
Medicago truncatula, MTR_2g079550, glycoside hydrolase family 1 protein  [EC], ['EC:3.2.1.21'], KO:K05350
Medicago truncatula, MTR_2g079580, glycoside hydrolase family 1 protein  [EC], ['EC:3.2.1.21'], KO:K05350
Medicago truncatula, MTR_4g131800, glucose 6-phosphate/phosphate translocator 1  [EC], ['EC:3.2.1.21'], KO:K05350
Medicago truncatula, MTR_2g022710, glycoside hydrolase family 1 protein  [EC], ['EC:3.2.1.21'], KO:K05350
Medicago truncatula, MTR_2g022760, glycoside hydrolase family 1 protein  [EC], ['EC:3.2.1.21'], KO:K05350
Medicago truncatula, MTR_3g043900, 2OG-Fe(II) oxygenase family oxidoreductase  [EC], ['EC:1.14.11.61'], KO:K06892
Medicago truncatula, MTR_7g102720, 2OG-Fe(II) oxygenase family oxidoreductase  [EC], ['EC:1.14.11.61'], KO:K06892
