Solanum tuberosum, 102585026, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Solanum tuberosum, 102585820, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum tuberosum, 102581009, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum tuberosum, 107058427, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum tuberosum, 107058432, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum tuberosum, 107059221, acylsugar acyltransferase 3-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum tuberosum, 102598379, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum tuberosum, 102581131, acylsugar acyltransferase 3-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum tuberosum, 107062704, acylsugar acyltransferase 3-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum tuberosum, 102578320, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum tuberosum, 107058429, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum tuberosum, 102596330, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum tuberosum, 102578406, cytochrome P450 98A3-like  [EC], ['EC:1.14.14.96'], KO:K09754
Solanum tuberosum, 102590105, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Solanum tuberosum, 102590870, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Solanum tuberosum, 102590830, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Solanum tuberosum, 102590484, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Solanum tuberosum, 102586130, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Solanum tuberosum, 102606401, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Solanum tuberosum, 102578747, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Solanum tuberosum, 102585209, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Solanum tuberosum, 102599748, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Solanum tuberosum, 102578380, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Solanum tuberosum, 102603498, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Solanum tuberosum, 102605394, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Solanum tuberosum, 102604485, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Solanum tuberosum, 102586472, caffeoyl-CoA O-methyltransferase 6  [EC], ['EC:2.1.1.104'], KO:K00588
Solanum tuberosum, 102586332, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Solanum tuberosum, 102595685, caffeoyl-CoA O-methyltransferase 5-like  [EC], ['EC:2.1.1.104'], KO:K00588
Solanum tuberosum, 102578946, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Solanum tuberosum, 102599242, AOMT3; flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Solanum tuberosum, 102586657, CCoAMT; caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Solanum tuberosum, 102585995, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Solanum tuberosum, 102579925, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Solanum tuberosum, 102592869, caffeoyl-CoA O-methyltransferase 6-like  [EC], ['EC:2.1.1.104'], KO:K00588
Solanum tuberosum, 102580211, cinnamoyl-CoA reductase 1  [EC], ['EC:1.2.1.44'], KO:K09753
Solanum tuberosum, 102577453, cinnamoyl CoA reductase  [EC], ['EC:1.2.1.44'], KO:K09753
Solanum tuberosum, 102591575, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Solanum tuberosum, 102604007, cytochrome P450 84A1  [EC], ['EC:1.14.-.-'], KO:K09755
Solanum tuberosum, 102601955, caffeic acid 3-O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Solanum tuberosum, 102601059, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Solanum tuberosum, 102590869, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Solanum tuberosum, 102580081, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Solanum tuberosum, 102599285, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Solanum tuberosum, 102599938, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Solanum tuberosum, 102598963, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Solanum tuberosum, 107058365, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Solanum tuberosum, 102584791, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Solanum tuberosum, 102593046, probable mannitol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Solanum tuberosum, 102594234, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Solanum tuberosum, 102602480, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Solanum tuberosum, 102579562, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Solanum tuberosum, 102584649, probable cinnamyl alcohol dehydrogenase 9  [EC], ['EC:1.1.1.195'], KO:K00083
Solanum tuberosum, 102596095, reticuline oxidase-like protein  [EC], ['EC:1.1.1.195'], KO:K22395
Solanum tuberosum, 102594905, tetrahydrocannabinolic acid synthase-like  [EC], ['EC:1.1.1.195'], KO:K22395
Solanum tuberosum, 102578664, tetrahydrocannabinolic acid synthase-like  [EC], ['EC:1.1.1.195'], KO:K22395
Solanum tuberosum, 102604099, 1-Cys peroxiredoxin  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Solanum tuberosum, 102606008, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102595940, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102587618, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102594314, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102598276, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102581043, peroxidase 16  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102596217, peroxidase 42-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102586311, peroxidase 43  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102602226, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102578391, peroxidase 15-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102586957, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102587612, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102590326, peroxidase 17  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102601994, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102597303, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102593546, peroxidase 15-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102585990, peroxidase 12  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102586327, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102604601, peroxidase 7  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102591823, peroxidase 24  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102602103, peroxidase 25  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102585502, CEVI16; peroxidase N1  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102591916, peroxidase 43-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102588377, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102600390, peroxidase N-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102581939, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102581969, peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102592332, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102601606, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102597050, peroxidase 60-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102587127, peroxidase 66  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102602247, peroxidase 9-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102581076, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102585258, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102596033, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102599828, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102578497, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102578844, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102592222, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102595116, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102598634, probable peroxidase 61  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102606159, peroxidase 46-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102580868, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102581336, peroxidase 24-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102596274, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102597272, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102589695, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102590030, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102593714, peroxidase 56-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102596602, peroxidase 49-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102599553, peroxidase 43-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102587234, prx2; peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102584546, peroxidase 29  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102604048, peroxidase 10  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102592830, peroxidase 39-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102603002, peroxidase 9  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102591535, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102580092, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102588249, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102590446, peroxidase 6-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102582282, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102595823, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102599501, lignin-forming anionic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102603430, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102589372, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102603099, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102592018, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102604538, peroxidase N-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102585597, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102595600, peroxidase 49-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102594073, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102593430, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102593757, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102588050, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102590852, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102592433, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102593660, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102592776, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102582401, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102592099, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102593113, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102578600, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102602219, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102593508, peroxidase 24-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102586652, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102587638, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102587115, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102597489, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102594431, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102587446, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102581669, peroxidase 24-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102583921, suberization-associated anionic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102577694, POPA; Suberization-associated anionic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102605292, suberization-associated anionic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102593639, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102591445, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102593170, peroxidase 24-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102597377, peroxidase 60-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102587386, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 107057931, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102585345, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 107059468, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102582765, peroxidase 40  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102594915, peroxidase 45-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 107057932, peroxidase 60-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102587355, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 107057699, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 107057716, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 107063518, peroxidase 21  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102590031, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102578144, peroxidase 51  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102580657, peroxidase 63  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102605677, peroxidase 21-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102592844, peroxidase 51  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum tuberosum, 102582599, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Solanum tuberosum, 102582381, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Solanum tuberosum, 102601479, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Solanum tuberosum, 107060575, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Solanum tuberosum, 102597190, beta-glucosidase 40-like  [EC], ['EC:3.2.1.21'], KO:K01188
Solanum tuberosum, 102606299, beta-glucosidase 13-like  [EC], ['EC:3.2.1.21'], KO:K01188
Solanum tuberosum, 102603190, beta-glucosidase 42  [EC], ['EC:3.2.1.21'], KO:K01188
Solanum tuberosum, 102587220, vicianin hydrolase-like  [EC], ['EC:3.2.1.21'], KO:K01188
Solanum tuberosum, 102585327, beta-glucosidase 11-like  [EC], ['EC:3.2.1.21'], KO:K01188
Solanum tuberosum, 102602430, furcatin hydrolase  [EC], ['EC:3.2.1.21'], KO:K01188
Solanum tuberosum, 102593844, beta-glucosidase 11-like  [EC], ['EC:3.2.1.21'], KO:K01188
Solanum tuberosum, 102580126, putative beta-glucosidase 41  [EC], ['EC:3.2.1.21'], KO:K01188
Solanum tuberosum, 102583088, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Solanum tuberosum, 102587222, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Solanum tuberosum, 102592848, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Solanum tuberosum, 102586879, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Solanum tuberosum, 102586545, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Solanum tuberosum, 102599864, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Solanum tuberosum, 102584844, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Solanum tuberosum, 102593436, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Solanum tuberosum, 102602599, beta-glucosidase BoGH3B  [EC], ['EC:3.2.1.21'], KO:K05349
Solanum tuberosum, 102593011, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Solanum tuberosum, 102588353, beta-glucosidase 18-like  [EC], ['EC:3.2.1.21'], KO:K05350
Solanum tuberosum, 102588686, beta-glucosidase 18-like  [EC], ['EC:3.2.1.21'], KO:K05350
Solanum tuberosum, 102579818, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Solanum tuberosum, 102605187, beta-glucosidase 18-like  [EC], ['EC:3.2.1.21'], KO:K05350
Solanum tuberosum, 102604517, beta-glucosidase 18-like  [EC], ['EC:3.2.1.21'], KO:K05350
Solanum tuberosum, 102584301, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Solanum tuberosum, 102589015, beta-glucosidase 18-like  [EC], ['EC:3.2.1.21'], KO:K05350
Solanum tuberosum, 102582742, beta-glucosidase 18-like  [EC], ['EC:3.2.1.21'], KO:K05350
Solanum tuberosum, 102582394, beta-glucosidase 18-like  [EC], ['EC:3.2.1.21'], KO:K05350
Solanum tuberosum, 102591084, beta-glucosidase 46-like  [EC], ['EC:3.2.1.21'], KO:K05350
Solanum tuberosum, 102596149, feruloyl CoA ortho-hydroxylase 2-like  [EC], ['EC:1.14.11.61'], KO:K06892
Solanum tuberosum, 102588955, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Solanum tuberosum, 102590254, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Solanum tuberosum, 102590939, feruloyl CoA ortho-hydroxylase 2-like  [EC], ['EC:1.14.11.61'], KO:K06892
Solanum tuberosum, 102589939, feruloyl CoA ortho-hydroxylase 2-like  [EC], ['EC:1.14.11.61'], KO:K06892
Solanum tuberosum, 102590589, feruloyl CoA ortho-hydroxylase 2-like  [EC], ['EC:1.14.11.61'], KO:K06892
Solanum tuberosum, 107058105, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Solanum tuberosum, 102589603, feruloyl CoA ortho-hydroxylase 2-like  [EC], ['EC:1.14.11.61'], KO:K06892
Solanum tuberosum, 102602524, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Solanum tuberosum, 107058802, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Solanum tuberosum, 102586708, feruloyl CoA ortho-hydroxylase 2-like  [EC], ['EC:1.14.11.61'], KO:K06892
Solanum tuberosum, 107058705, feruloyl CoA ortho-hydroxylase 2-like  [EC], ['EC:1.14.11.61'], KO:K06892
Solanum tuberosum, 102583841, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Solanum tuberosum, 102583517, ptt#2-1; scopoletin glucosyltransferase  [EC], ['EC:2.4.1.128'], KO:K23260
