Sesamum indicum, 105157017, chalcone synthase J-like  [EC], ['EC:2.3.1.74'], KO:K00660
Sesamum indicum, 105165774, LOW QUALITY PROTEIN: dihydroflavonol 4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Sesamum indicum, 105156784, leucoanthocyanidin dioxygenase-like  [EC], ['EC:1.14.20.4'], KO:K05277
Sesamum indicum, 105166350, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Sesamum indicum, 105166275, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Sesamum indicum, 105155423, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Sesamum indicum, 105156787, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Sesamum indicum, 105156011, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Sesamum indicum, 105155477, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Sesamum indicum, 105156673, vinorine synthase-like isoform X3  [EC], ['EC:2.3.1.133'], KO:K13065
Sesamum indicum, 105160994, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Sesamum indicum, 105161635, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Sesamum indicum, 105158300, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Sesamum indicum, 105165248, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Sesamum indicum, 105166835, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Sesamum indicum, 105177070, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Sesamum indicum, 105170772, agmatine coumaroyltransferase-2  [EC], ['EC:2.3.1.133'], KO:K13065
Sesamum indicum, 105170885, agmatine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Sesamum indicum, 105172192, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Sesamum indicum, 105172238, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Sesamum indicum, 105172239, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Sesamum indicum, 105172243, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Sesamum indicum, 105172354, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Sesamum indicum, 105162700, cytochrome P450 98A3  [EC], ['EC:1.14.14.96'], KO:K09754
Sesamum indicum, 105172202, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Sesamum indicum, 105169526, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Sesamum indicum, 105172712, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Sesamum indicum, 105161821, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Sesamum indicum, 105156703, flavonoid 3',5'-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Sesamum indicum, 105161996, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Sesamum indicum, 105161820, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Sesamum indicum, 105161833, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Sesamum indicum, 105168404, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Sesamum indicum, 105168406, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Sesamum indicum, 105168407, flavonoid 3',5'-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
