Ricinus communis, 8284514, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Ricinus communis, 8284363, cytochrome P450 84A1  [EC], ['EC:1.14.-.-'], KO:K09755
Ricinus communis, 8282965, caffeic acid 3-O-methyltransferase 1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Ricinus communis, 8270912, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Ricinus communis, 8285506, anthranilate N-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Ricinus communis, 8270961, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Ricinus communis, 8270962, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Ricinus communis, 8262723, caffeic acid 3-O-methyltransferase isoform X1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Ricinus communis, 8288877, LOW QUALITY PROTEIN: caffeic acid 3-O-methyltransferase 1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Ricinus communis, 8267993, probable cinnamyl alcohol dehydrogenase 9  [EC], ['EC:1.1.1.195'], KO:K00083
Ricinus communis, 8278489, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Ricinus communis, 8288114, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Ricinus communis, 8267819, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Ricinus communis, 8265497, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Ricinus communis, 8265495, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Ricinus communis, 8266159, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Ricinus communis, 8262608, 1-Cys peroxiredoxin  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Ricinus communis, 8258320, peroxidase 66  [EC], ['EC:1.11.1.7'], KO:K00430
Ricinus communis, 8289154, cationic peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Ricinus communis, 8272595, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Ricinus communis, 8265434, lignin-forming anionic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Ricinus communis, 8265436, lignin-forming anionic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Ricinus communis, 8265438, lignin-forming anionic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Ricinus communis, 8265439, lignin-forming anionic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Ricinus communis, 8271438, peroxidase 55  [EC], ['EC:1.11.1.7'], KO:K00430
Ricinus communis, 8279126, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Ricinus communis, 8267084, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Ricinus communis, 8275780, peroxidase 9  [EC], ['EC:1.11.1.7'], KO:K00430
Ricinus communis, 8283295, lignin-forming anionic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Ricinus communis, 8277731, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Ricinus communis, 8267824, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Ricinus communis, 8283399, peroxidase 73  [EC], ['EC:1.11.1.7'], KO:K00430
Ricinus communis, 8258720, peroxidase N1  [EC], ['EC:1.11.1.7'], KO:K00430
Ricinus communis, 8267383, peroxidase 27  [EC], ['EC:1.11.1.7'], KO:K00430
Ricinus communis, 8258115, peroxidase 65  [EC], ['EC:1.11.1.7'], KO:K00430
Ricinus communis, 8259519, peroxidase 4  [EC], ['EC:1.11.1.7'], KO:K00430
Ricinus communis, 8281393, peroxidase 12  [EC], ['EC:1.11.1.7'], KO:K00430
Ricinus communis, 8278026, peroxidase 16  [EC], ['EC:1.11.1.7'], KO:K00430
Ricinus communis, 8262365, peroxidase 24  [EC], ['EC:1.11.1.7'], KO:K00430
Ricinus communis, 8274508, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Ricinus communis, 8262435, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Ricinus communis, 8282751, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Ricinus communis, 8285000, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Ricinus communis, 8275889, peroxidase 25 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Ricinus communis, 8283187, peroxidase 12  [EC], ['EC:1.11.1.7'], KO:K00430
Ricinus communis, 8270262, peroxidase 27  [EC], ['EC:1.11.1.7'], KO:K00430
Ricinus communis, 8268089, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Ricinus communis, 8264275, peroxidase 27  [EC], ['EC:1.11.1.7'], KO:K00430
Ricinus communis, 8275454, peroxidase 60  [EC], ['EC:1.11.1.7'], KO:K00430
Ricinus communis, 8286481, peroxidase 44  [EC], ['EC:1.11.1.7'], KO:K00430
Ricinus communis, 8277730, peroxidase 39  [EC], ['EC:1.11.1.7'], KO:K00430
Ricinus communis, 8269361, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Ricinus communis, 8283294, lignin-forming anionic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Ricinus communis, 8283296, lignin-forming anionic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Ricinus communis, 8283696, LOW QUALITY PROTEIN: peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ricinus communis, 8283279, lignin-forming anionic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Ricinus communis, 8282263, peroxidase 15  [EC], ['EC:1.11.1.7'], KO:K00430
Ricinus communis, 8278124, probable peroxidase 61  [EC], ['EC:1.11.1.7'], KO:K00430
Ricinus communis, 8283748, lignin-forming anionic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Ricinus communis, 8269362, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Ricinus communis, 8289058, peroxidase 20  [EC], ['EC:1.11.1.7'], KO:K00430
Ricinus communis, 8283103, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Ricinus communis, 8283104, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Ricinus communis, 8283105, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Ricinus communis, 8277729, LOW QUALITY PROTEIN: peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Ricinus communis, 8264618, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Ricinus communis, 107260939, peroxidase 46-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ricinus communis, 8261036, peroxidase 15  [EC], ['EC:1.11.1.7'], KO:K00430
Ricinus communis, 8273525, peroxidase 17  [EC], ['EC:1.11.1.7'], KO:K00430
Ricinus communis, 8269359, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Ricinus communis, 8283183, peroxidase 12  [EC], ['EC:1.11.1.7'], KO:K00430
Ricinus communis, 107261388, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ricinus communis, 8287202, peroxidase 3-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Ricinus communis, 8283272, peroxidase 10  [EC], ['EC:1.11.1.7'], KO:K00430
Ricinus communis, 8283280, lignin-forming anionic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Ricinus communis, 8262367, peroxidase 24  [EC], ['EC:1.11.1.7'], KO:K00430
Ricinus communis, 8258841, peroxidase 40  [EC], ['EC:1.11.1.7'], KO:K00430
Ricinus communis, 107261130, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ricinus communis, 8284550, peroxidase 21  [EC], ['EC:1.11.1.7'], KO:K00430
Ricinus communis, 107261154, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ricinus communis, 8259183, peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Ricinus communis, 8284199, peroxidase 42  [EC], ['EC:1.11.1.7'], KO:K00430
Ricinus communis, 8277851, peroxidase 43  [EC], ['EC:1.11.1.7'], KO:K00430
Ricinus communis, 8265432, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Ricinus communis, 107262128, peroxidase 7  [EC], ['EC:1.11.1.7'], KO:K00430
Ricinus communis, 112534514, peroxidase 24-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ricinus communis, 8264186, LOW QUALITY PROTEIN: anthocyanidin 3-O-glucosyltransferase 5  [EC], ['EC:2.4.1.111'], KO:K12356
Ricinus communis, 8281990, uncharacterized protein LOC8281990  [EC], ['EC:3.2.1.21'], KO:K01188
Ricinus communis, 8264733, beta-glucosidase 40 isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Ricinus communis, 8289199, beta-glucosidase 12  [EC], ['EC:3.2.1.21'], KO:K01188
Ricinus communis, 8270581, beta-glucosidase 17 isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Ricinus communis, 8278007, beta-glucosidase 12  [EC], ['EC:3.2.1.21'], KO:K01188
Ricinus communis, 8289192, vicianin hydrolase isoform X2  [EC], ['EC:3.2.1.21'], KO:K01188
Ricinus communis, 8259856, beta-glucosidase 11  [EC], ['EC:3.2.1.21'], KO:K01188
Ricinus communis, 8259860, beta-glucosidase 11 isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Ricinus communis, 8263453, beta-glucosidase 42  [EC], ['EC:3.2.1.21'], KO:K01188
Ricinus communis, 8268541, putative beta-glucosidase 41  [EC], ['EC:3.2.1.21'], KO:K01188
Ricinus communis, 8281988, uncharacterized protein LOC8281988  [EC], ['EC:3.2.1.21'], KO:K05349
Ricinus communis, 8282390, uncharacterized protein LOC8282390  [EC], ['EC:3.2.1.21'], KO:K05349
Ricinus communis, 8276364, uncharacterized protein LOC8276364  [EC], ['EC:3.2.1.21'], KO:K05349
Ricinus communis, 8285423, uncharacterized protein LOC8285423 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Ricinus communis, 8284233, beta-glucosidase 46 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Ricinus communis, 8261632, beta-glucosidase 44  [EC], ['EC:3.2.1.21'], KO:K05350
Ricinus communis, 8280684, LOW QUALITY PROTEIN: beta-glucosidase 18-like  [EC], ['EC:3.2.1.21'], KO:K05350
Ricinus communis, 8272692, uncharacterized protein LOC8272692  [EC], ['EC:2.5.1.129'], KO:K03186
Ricinus communis, 8282975, feruloyl CoA ortho-hydroxylase 1  [EC], ['EC:1.14.11.61'], KO:K06892
Ricinus communis, 8282978, feruloyl CoA ortho-hydroxylase 1  [EC], ['EC:1.14.11.61'], KO:K06892
Ricinus communis, 8282977, feruloyl CoA ortho-hydroxylase 1  [EC], ['EC:1.14.11.61'], KO:K06892
Ricinus communis, 8282976, feruloyl CoA ortho-hydroxylase 1 isoform X2  [EC], ['EC:1.14.11.61'], KO:K06892
Ricinus communis, 8288156, scopoletin glucosyltransferase  [EC], ['EC:2.4.1.128'], KO:K23260
Ricinus communis, 8288158, scopoletin glucosyltransferase  [EC], ['EC:2.4.1.128'], KO:K23260
Ricinus communis, 8288160, scopoletin glucosyltransferase  [EC], ['EC:2.4.1.128'], KO:K23260
Ricinus communis, 8288162, scopoletin glucosyltransferase  [EC], ['EC:2.4.1.128'], KO:K23260
Ricinus communis, 8288164, scopoletin glucosyltransferase  [EC], ['EC:2.4.1.128'], KO:K23260
Ricinus communis, 8288157, scopoletin glucosyltransferase  [EC], ['EC:2.4.1.128'], KO:K23260
