Theobroma cacao, 18590901, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Theobroma cacao, 18599181, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Theobroma cacao, 18597945, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Theobroma cacao, 18597944, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Theobroma cacao, 18599886, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Theobroma cacao, 18598473, omega-hydroxypalmitate O-feruloyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Theobroma cacao, 18595464, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Theobroma cacao, 18586507, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Theobroma cacao, 18598608, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Theobroma cacao, 18613566, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Theobroma cacao, 18595801, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Theobroma cacao, 18586259, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Theobroma cacao, 18609234, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Theobroma cacao, 18602052, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Theobroma cacao, 18611157, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Theobroma cacao, 18607959, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Theobroma cacao, 18609023, flavonoid 3',5'-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Theobroma cacao, 18609021, flavonoid 3',5'-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Theobroma cacao, 18610037, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Theobroma cacao, 18602545, flavonoid 3',5'-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Theobroma cacao, 18588443, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Theobroma cacao, 18595421, cinnamoyl-CoA reductase 1  [EC], ['EC:1.2.1.44'], KO:K09753
Theobroma cacao, 18588624, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Theobroma cacao, 18607698, cytochrome P450 84A1  [EC], ['EC:1.14.-.-'], KO:K09755
Theobroma cacao, 108661886, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Theobroma cacao, 18599828, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Theobroma cacao, 18605934, caffeic acid 3-O-methyltransferase 1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Theobroma cacao, 18601594, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Theobroma cacao, 18589884, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Theobroma cacao, 18589881, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Theobroma cacao, 18605869, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Theobroma cacao, 18599823, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Theobroma cacao, 18592353, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Theobroma cacao, 108663133, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Theobroma cacao, 18587033, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Theobroma cacao, 18507240, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Theobroma cacao, 18608008, cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Theobroma cacao, 18605911, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Theobroma cacao, 18591600, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Theobroma cacao, 18611738, probable cinnamyl alcohol dehydrogenase 9  [EC], ['EC:1.1.1.195'], KO:K00083
Theobroma cacao, 18595172, flavin-dependent oxidoreductase FOX2  [EC], ['EC:1.1.1.195'], KO:K22395
Theobroma cacao, 18595174, flavin-dependent oxidoreductase FOX2  [EC], ['EC:1.1.1.195'], KO:K22395
Theobroma cacao, 18603742, 1-Cys peroxiredoxin  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Theobroma cacao, 108663485, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Theobroma cacao, 18589668, peroxidase N  [EC], ['EC:1.11.1.7'], KO:K00430
Theobroma cacao, 18587622, peroxidase 16  [EC], ['EC:1.11.1.7'], KO:K00430
Theobroma cacao, 18589661, peroxidase 15  [EC], ['EC:1.11.1.7'], KO:K00430
Theobroma cacao, 18597922, peroxidase 21  [EC], ['EC:1.11.1.7'], KO:K00430
Theobroma cacao, 18591067, peroxidase 4  [EC], ['EC:1.11.1.7'], KO:K00430
Theobroma cacao, 18588760, peroxidase 25  [EC], ['EC:1.11.1.7'], KO:K00430
Theobroma cacao, 18600622, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Theobroma cacao, 18587674, peroxidase 46  [EC], ['EC:1.11.1.7'], KO:K00430
Theobroma cacao, 18599128, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Theobroma cacao, 108663501, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Theobroma cacao, 18612010, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Theobroma cacao, 18613454, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Theobroma cacao, 18610851, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Theobroma cacao, 18609925, lignin-forming anionic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Theobroma cacao, 18605468, peroxidase 66  [EC], ['EC:1.11.1.7'], KO:K00430
Theobroma cacao, 18609928, lignin-forming anionic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Theobroma cacao, 18608318, peroxidase N1  [EC], ['EC:1.11.1.7'], KO:K00430
Theobroma cacao, 18609921, lignin-forming anionic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Theobroma cacao, 18610075, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Theobroma cacao, 18608315, cationic peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Theobroma cacao, 18606092, peroxidase 20  [EC], ['EC:1.11.1.7'], KO:K00430
Theobroma cacao, 18609365, peroxidase 31  [EC], ['EC:1.11.1.7'], KO:K00430
Theobroma cacao, 18608316, peroxidase N1  [EC], ['EC:1.11.1.7'], KO:K00430
Theobroma cacao, 18610076, peroxidase 27  [EC], ['EC:1.11.1.7'], KO:K00430
Theobroma cacao, 18607886, peroxidase 10  [EC], ['EC:1.11.1.7'], KO:K00430
Theobroma cacao, 18610125, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Theobroma cacao, 18609926, lignin-forming anionic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Theobroma cacao, 18608317, cationic peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Theobroma cacao, 18610717, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Theobroma cacao, 18611523, peroxidase 17  [EC], ['EC:1.11.1.7'], KO:K00430
Theobroma cacao, 18612072, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Theobroma cacao, 18611259, peroxidase 73  [EC], ['EC:1.11.1.7'], KO:K00430
Theobroma cacao, 18611081, peroxidase 10  [EC], ['EC:1.11.1.7'], KO:K00430
Theobroma cacao, 18608319, peroxidase N1  [EC], ['EC:1.11.1.7'], KO:K00430
Theobroma cacao, 18608320, cationic peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Theobroma cacao, 18608323, peroxidase N1  [EC], ['EC:1.11.1.7'], KO:K00430
Theobroma cacao, 18607361, peroxidase 43  [EC], ['EC:1.11.1.7'], KO:K00430
Theobroma cacao, 18602223, peroxidase 70  [EC], ['EC:1.11.1.7'], KO:K00430
Theobroma cacao, 18603838, peroxidase 31  [EC], ['EC:1.11.1.7'], KO:K00430
Theobroma cacao, 18589667, lignin-forming anionic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Theobroma cacao, 18590293, peroxidase 60  [EC], ['EC:1.11.1.7'], KO:K00430
Theobroma cacao, 18602422, probable peroxidase 61  [EC], ['EC:1.11.1.7'], KO:K00430
Theobroma cacao, 18602263, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Theobroma cacao, 18602262, peroxidase 70  [EC], ['EC:1.11.1.7'], KO:K00430
Theobroma cacao, 18600699, peroxidase 31  [EC], ['EC:1.11.1.7'], KO:K00430
Theobroma cacao, 18605873, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Theobroma cacao, 18602261, peroxidase 70  [EC], ['EC:1.11.1.7'], KO:K00430
Theobroma cacao, 18589326, peroxidase 45  [EC], ['EC:1.11.1.7'], KO:K00430
Theobroma cacao, 18601033, peroxidase 55  [EC], ['EC:1.11.1.7'], KO:K00430
Theobroma cacao, 18603497, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Theobroma cacao, 18589666, peroxidase 15  [EC], ['EC:1.11.1.7'], KO:K00430
Theobroma cacao, 18603662, peroxidase 29  [EC], ['EC:1.11.1.7'], KO:K00430
Theobroma cacao, 108661676, peroxidase 55-like  [EC], ['EC:1.11.1.7'], KO:K00430
Theobroma cacao, 18601034, peroxidase 55  [EC], ['EC:1.11.1.7'], KO:K00430
Theobroma cacao, 18603684, peroxidase 40  [EC], ['EC:1.11.1.7'], KO:K00430
Theobroma cacao, 18599776, peroxidase 44  [EC], ['EC:1.11.1.7'], KO:K00430
Theobroma cacao, 18594731, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Theobroma cacao, 18597147, peroxidase 42  [EC], ['EC:1.11.1.7'], KO:K00430
Theobroma cacao, 18591452, peroxidase 9  [EC], ['EC:1.11.1.7'], KO:K00430
Theobroma cacao, 108660418, peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Theobroma cacao, 18591603, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Theobroma cacao, 18592677, peroxidase 12  [EC], ['EC:1.11.1.7'], KO:K00430
Theobroma cacao, 18587397, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Theobroma cacao, 18587400, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Theobroma cacao, 18595928, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Theobroma cacao, 18587406, peroxidase 4  [EC], ['EC:1.11.1.7'], KO:K00430
Theobroma cacao, 18592526, peroxidase 13  [EC], ['EC:1.11.1.7'], KO:K00430
Theobroma cacao, 18610982, anthocyanidin 3-O-glucosyltransferase 5  [EC], ['EC:2.4.1.111'], KO:K12356
Theobroma cacao, 18610980, UDP-glycosyltransferase 72E1  [EC], ['EC:2.4.1.111'], KO:K12356
Theobroma cacao, 18610979, UDP-glycosyltransferase 72E1  [EC], ['EC:2.4.1.111'], KO:K12356
Theobroma cacao, 18610983, anthocyanidin 3-O-glucosyltransferase 5  [EC], ['EC:2.4.1.111'], KO:K12356
Theobroma cacao, 18610981, UDP-glycosyltransferase 72E1  [EC], ['EC:2.4.1.111'], KO:K12356
Theobroma cacao, 18610985, anthocyanidin 3-O-glucosyltransferase 5  [EC], ['EC:2.4.1.111'], KO:K12356
Theobroma cacao, 18610978, anthocyanidin 3-O-glucosyltransferase 5  [EC], ['EC:2.4.1.111'], KO:K12356
Theobroma cacao, 18613553, beta-glucosidase 11  [EC], ['EC:3.2.1.21'], KO:K01188
Theobroma cacao, 18593729, putative beta-glucosidase 41  [EC], ['EC:3.2.1.21'], KO:K01188
Theobroma cacao, 18598500, beta-glucosidase 42  [EC], ['EC:3.2.1.21'], KO:K01188
Theobroma cacao, 18610279, beta-glucosidase 40  [EC], ['EC:3.2.1.21'], KO:K01188
Theobroma cacao, 18590539, beta-glucosidase BoGH3B  [EC], ['EC:3.2.1.21'], KO:K05349
Theobroma cacao, 18586899, beta-glucosidase BoGH3B  [EC], ['EC:3.2.1.21'], KO:K05349
Theobroma cacao, 18590540, beta-glucosidase BoGH3B  [EC], ['EC:3.2.1.21'], KO:K05349
Theobroma cacao, 18590154, beta-glucosidase BoGH3B  [EC], ['EC:3.2.1.21'], KO:K05349
Theobroma cacao, 108662268, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Theobroma cacao, 18599843, beta-glucosidase BoGH3B  [EC], ['EC:3.2.1.21'], KO:K05349
Theobroma cacao, 18611915, beta-glucosidase 44  [EC], ['EC:3.2.1.21'], KO:K05350
Theobroma cacao, 18604248, beta-glucosidase 44  [EC], ['EC:3.2.1.21'], KO:K05350
Theobroma cacao, 18601935, beta-glucosidase 44  [EC], ['EC:3.2.1.21'], KO:K05350
Theobroma cacao, 18601929, beta-glucosidase 44  [EC], ['EC:3.2.1.21'], KO:K05350
Theobroma cacao, 18593867, beta-glucosidase 18  [EC], ['EC:3.2.1.21'], KO:K05350
Theobroma cacao, 18597115, beta-glucosidase 46  [EC], ['EC:3.2.1.21'], KO:K05350
Theobroma cacao, 18597116, beta-glucosidase 46  [EC], ['EC:3.2.1.21'], KO:K05350
Theobroma cacao, 18597114, beta-glucosidase 47  [EC], ['EC:3.2.1.21'], KO:K05350
Theobroma cacao, 18589593, feruloyl CoA ortho-hydroxylase 2  [EC], ['EC:1.14.11.61'], KO:K06892
Theobroma cacao, 18590016, feruloyl CoA ortho-hydroxylase 1  [EC], ['EC:1.14.11.61'], KO:K06892
Theobroma cacao, 18599392, scopoletin glucosyltransferase  [EC], ['EC:2.4.1.128'], KO:K23260
Theobroma cacao, 18607970, scopoletin glucosyltransferase  [EC], ['EC:2.4.1.128'], KO:K23260
Theobroma cacao, 18607969, scopoletin glucosyltransferase  [EC], ['EC:2.4.1.128'], KO:K23260
Theobroma cacao, 18607972, scopoletin glucosyltransferase  [EC], ['EC:2.4.1.128'], KO:K23260
Theobroma cacao, 18587340, scopoletin glucosyltransferase  [EC], ['EC:2.4.1.128'], KO:K23260
