Arachis ipaensis, 107607787, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis ipaensis, 107629379, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis ipaensis, 107644361, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis ipaensis, 107615711, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis ipaensis, 107625594, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis ipaensis, 107624281, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis ipaensis, 107624423, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis ipaensis, 107604697, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Arachis ipaensis, 107623043, caffeoyl-CoA O-methyltransferase isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Arachis ipaensis, 107625467, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Arachis ipaensis, 107626903, caffeoyl-CoA O-methyltransferase 5  [EC], ['EC:2.1.1.104'], KO:K00588
Arachis ipaensis, 107617022, caffeoyl-CoA O-methyltransferase 5 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Arachis ipaensis, 107642145, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
