Zea mays, 100281042, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Zea mays, 103651385, peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 103636702, peroxidase 9  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 103637120, peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Zea mays, 542414, glu1; 4-hydroxy-7-methoxy-3-oxo-3,4-dihydro-2H-1, 4-benzoxazin-2-yl glucoside beta-D-glucosidase 1, chloroplastic precursor  [EC], ['EC:3.2.1.21'], KO:K01188
Zea mays, 732807, glu2; 4-hydroxy-7-methoxy-3-oxo-3,4-dihydro-2H-1, 4-benzoxazin-2-yl glucoside beta-D-glucosidase 2, chloroplastic  [EC], ['EC:3.2.1.21'], KO:K01188
Zea mays, 100280071, TIDP3759; uncharacterized protein LOC100280071  [EC], ['EC:3.2.1.21'], KO:K01188
Zea mays, 100279909, uncharacterized protein LOC100279909  [EC], ['EC:3.2.1.21'], KO:K01188
Zea mays, 100192939, uncharacterized protein LOC100192939 precursor  [EC], ['EC:3.2.1.21'], KO:K01188
Zea mays, 100174972, dhurrinase-like B-glucosidase  [EC], ['EC:3.2.1.21'], KO:K01188
Zea mays, 100279348, uncharacterized protein LOC100279348 precursor  [EC], ['EC:3.2.1.21'], KO:K01188
Zea mays, 100502335, uncharacterized protein LOC100502335 precursor  [EC], ['EC:3.2.1.21'], KO:K01188
Zea mays, 100501315, uncharacterized protein LOC100501315 precursor  [EC], ['EC:3.2.1.21'], KO:K01188
Zea mays, 541703, umc1721; uncharacterized protein LOC541703 isoform 1 precursor  [EC], ['EC:3.2.1.21'], KO:K01188
Zea mays, 100281760, non-cyanogenic beta-glucosidase  [EC], ['EC:3.2.1.21'], KO:K01188
Zea mays, 100280148, Glycosyl hydrolase family protein  [EC], ['EC:3.2.1.21'], KO:K05349
Zea mays, 103630392, uncharacterized protein LOC103630392  [EC], ['EC:3.2.1.21'], KO:K05349
Zea mays, 100191390, exg1; exoglucanase 1 precursor  [EC], ['EC:3.2.1.21'], KO:K05349
Zea mays, 542684, gla3; beta-glucanase precursor  [EC], ['EC:3.2.1.21'], KO:K05349
Zea mays, 100279291, uncharacterized protein LOC100279291  [EC], ['EC:3.2.1.21'], KO:K05349
Zea mays, 103654957, uncharacterized protein LOC103654957  [EC], ['EC:3.2.1.21'], KO:K05349
Zea mays, 100274288, cl1052_1; uncharacterized protein LOC100274288 precursor  [EC], ['EC:3.2.1.21'], KO:K05350
Zea mays, 100272792, beta-glucosidase precursor  [EC], ['EC:3.2.1.21'], KO:K05350
Zea mays, 100193998, uncharacterized LOC100193998 precursor  [EC], ['EC:3.2.1.21'], KO:K05350
Zea mays, 100284659, pco134646; uncharacterized protein LOC100284659 precursor  [EC], ['EC:3.2.1.21'], KO:K05350
Zea mays, 103646225, probable inactive beta-glucosidase 14  [EC], ['EC:3.2.1.21'], KO:K05350
Zea mays, 103646226, probable inactive beta-glucosidase 14  [EC], ['EC:3.2.1.21'], KO:K05350
Zea mays, 103643865, beta-glucosidase 7  [EC], ['EC:3.2.1.21'], KO:K05350
Zea mays, 103634742, beta-glucosidase 1  [EC], ['EC:3.2.1.21'], KO:K05350
Zea mays, 100282438, pco088410; uncharacterized protein LOC100282438 precursor  [EC], ['EC:3.2.1.21'], KO:K05350
Zea mays, 103626358, beta-glucosidase 38  [EC], ['EC:3.2.1.21'], KO:K05350
