Gossypium raimondii, 105796566, chalcone synthase 1  [EC], ['EC:2.3.1.74'], KO:K00660
Gossypium raimondii, 105769350, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium raimondii, 105769369, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium raimondii, 105775325, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium raimondii, 105775330, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium raimondii, 105780019, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium raimondii, 105773329, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium raimondii, 105773331, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium raimondii, 105773333, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium raimondii, 105776825, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium raimondii, 105778051, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium raimondii, 105772997, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium raimondii, 105767608, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium raimondii, 105786247, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Gossypium raimondii, 105782306, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Gossypium raimondii, 105780498, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Gossypium raimondii, 105782151, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Gossypium raimondii, 105785009, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Gossypium raimondii, 105778788, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Gossypium raimondii, 105762808, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Gossypium raimondii, 105774576, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Gossypium raimondii, 105792927, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
