Phaseolus vulgaris, PHAVU_009G131000g, hypothetical protein  [EC], ['EC:2.3.1.74'], KO:K00660
Phaseolus vulgaris, PHAVU_005G005600g, hypothetical protein  [EC], ['EC:2.4.1.357'], KO:K22845
Phaseolus vulgaris, PHAVU_005G005500g, hypothetical protein  [EC], ['EC:2.4.1.357'], KO:K22845
Phaseolus vulgaris, PHAVU_010G014100g, hypothetical protein  [EC], ['EC:2.3.1.133'], KO:K13065
Phaseolus vulgaris, PHAVU_010G014300g, hypothetical protein  [EC], ['EC:2.3.1.133'], KO:K13065
Phaseolus vulgaris, PHAVU_010G162700g, hypothetical protein  [EC], ['EC:2.3.1.133'], KO:K13065
Phaseolus vulgaris, PHAVU_001G097400g, hypothetical protein  [EC], ['EC:2.3.1.133'], KO:K13065
Phaseolus vulgaris, PHAVU_001G112400g, hypothetical protein  [EC], ['EC:2.3.1.133'], KO:K13065
Phaseolus vulgaris, PHAVU_001G112500g, hypothetical protein  [EC], ['EC:2.3.1.133'], KO:K13065
Phaseolus vulgaris, PHAVU_001G112800g, hypothetical protein  [EC], ['EC:2.3.1.133'], KO:K13065
Phaseolus vulgaris, PHAVU_001G112900g, hypothetical protein  [EC], ['EC:2.3.1.133'], KO:K13065
Phaseolus vulgaris, PHAVU_004G062600g, hypothetical protein  [EC], ['EC:2.3.1.133'], KO:K13065
Phaseolus vulgaris, PHAVU_005G183200g, hypothetical protein  [EC], ['EC:2.3.1.133'], KO:K13065
Phaseolus vulgaris, PHAVU_006G024700g, hypothetical protein  [EC], ['EC:2.3.1.133'], KO:K13065
Phaseolus vulgaris, PHAVU_005G097900g, hypothetical protein  [EC], ['EC:2.3.1.133'], KO:K13065
Phaseolus vulgaris, PHAVU_005G098300g, hypothetical protein  [EC], ['EC:2.3.1.133'], KO:K13065
Phaseolus vulgaris, PHAVU_005G0989001, hypothetical protein  [EC], ['EC:2.3.1.133'], KO:K13065
Phaseolus vulgaris, PHAVU_006G036600g, hypothetical protein  [EC], ['EC:2.3.1.133'], KO:K13065
Phaseolus vulgaris, PHAVU_006G036800g, hypothetical protein  [EC], ['EC:2.3.1.133'], KO:K13065
Phaseolus vulgaris, PHAVU_006G037000g, hypothetical protein  [EC], ['EC:2.3.1.133'], KO:K13065
Phaseolus vulgaris, PHAVU_002G025600g, hypothetical protein  [EC], ['EC:2.3.1.133'], KO:K13065
Phaseolus vulgaris, PHAVU_003G143100g, hypothetical protein  [EC], ['EC:2.3.1.133'], KO:K13065
Phaseolus vulgaris, PHAVU_001G117900g, hypothetical protein  [EC], ['EC:1.14.14.96'], KO:K09754
Phaseolus vulgaris, PHAVU_003G047900g, hypothetical protein  [EC], ['EC:2.1.1.104'], KO:K00588
Phaseolus vulgaris, PHAVU_002G017500g, hypothetical protein  [EC], ['EC:2.1.1.104'], KO:K00588
Phaseolus vulgaris, PHAVU_003G242400g, hypothetical protein  [EC], ['EC:2.1.1.104'], KO:K00588
Phaseolus vulgaris, PHAVU_004G172600g, hypothetical protein  [EC], ['EC:2.1.1.104'], KO:K00588
Phaseolus vulgaris, PHAVU_002G305200g, hypothetical protein  [EC], ['EC:2.1.1.104'], KO:K00588
