Glycine max, 100787902, GMPAL1.3; phenylalanine ammonia-lyase 1  [EC], ['EC:4.3.1.24'], KO:K10775
Glycine max, 100800519, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Glycine max, 100782631, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Glycine max, 100782093, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Glycine max, 100786800, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Glycine max, 100775353, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Glycine max, 100813706, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Glycine max, 100820616, 1-Cys peroxiredoxin  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Glycine max, 100527587, peroxidase 7-like protein precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100815671, uncharacterized protein LOC100815671 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100814067, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100811396, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100791414, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 547504, PC7; peroxidase precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100777733, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100812153, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100815142, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100811634, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100804126, peroxidase 12  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100813563, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100815158, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100797230, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100782943, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100785609, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100790910, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100799894, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100802035, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100803619, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100811432, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100812961, peroxidase 10  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100813250, peroxidase 4  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100775837, peroxidase 12  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100782549, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100783115, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100811249, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100820620, cationic peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100803114, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 547871, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100820340, peroxidase 44  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100806951, peroxidase 29  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100777390, peroxidase 12  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100786161, lignin-forming anionic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100803637, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100795020, peroxidase 9  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100776019, peroxidase superfamily protein  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100811277, peroxidase 21  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 547513, PRX2; cationic peroxidase 2 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 547872, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 547873, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100777463, peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100803223, peroxidase 46  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100793440, peroxidase 46  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100817030, peroxidase 31  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100816459, peroxidase 44  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100776496, peroxidase 65  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100799516, peroxidase 66  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 548068, Ep; peroxidase precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100780750, peroxidase 11 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100783236, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100787637, peroxidase 40  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100790279, uncharacterized protein LOC100790279 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100804620, peroxidase 16  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100820056, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100793330, peroxidase 17-like precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100796737, peroxidase 17  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100786765, peroxidase 10  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100797313, peroxidase 29  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100798229, peroxidase 7  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100792775, peroxidase 7-like precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100795676, peroxidase 65  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100809245, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100812478, peroxidase 4  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100813384, GMPER1; putative class III peroxidase precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100793327, uncharacterized protein LOC100793327 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100779031, uncharacterized protein LOC100779031 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100799691, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100786233, peroxidase 43  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 547549, PRX3; peroxidase precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100777946, peroxidase 44  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100816487, peroxidase 25  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100806700, uncharacterized protein LOC100806700 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100787073, uncharacterized protein LOC100787073 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100814964, peroxidase N  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100806595, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 547499, GMIPER1; peroxidase, pathogen-induced precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100788562, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100804765, uncharacterized protein LOC100804765 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100791275, peroxidase 55  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100817540, uncharacterized protein LOC100817540 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100819937, peroxidase 50  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100781063, peroxidase 31  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100798144, peroxidase 31  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100804350, uncharacterized protein LOC100804350 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100797875, probable peroxidase 26  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100811641, lignin-forming anionic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100789782, uncharacterized protein LOC100789782 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100810852, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100812820, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100811170, uncharacterized protein LOC100811170 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100816056, uncharacterized protein LOC100816056 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100815708, peroxidase 10  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100810392, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100803503, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 547550, PRX4; peroxidase precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100795422, peroxidase 66  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100796311, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 547548, PRX2B; peroxidase precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100778051, peroxidase 20  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100804829, peroxidase 15-like protein precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100812163, uncharacterized protein LOC100812163 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100812415, peroxidase 4  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100814455, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100820410, probable peroxidase 26  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100786791, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100815350, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100785662, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100793973, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 102665908, peroxidase 64-like precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100805171, peroxidase 10  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100805712, uncharacterized protein LOC100805712 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100808542, peroxidase 16  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100789249, uncharacterized protein LOC100789249 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100784922, uncharacterized protein LOC100784922 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100795412, uncharacterized protein LOC100795412 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100812309, uncharacterized protein LOC100812309 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100804973, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100799801, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100812613, peroxidase 7  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100785485, peroxidase 21  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100806309, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100802244, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 102660391, peroxidase 9  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100792351, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100817622, peroxidase N isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100789642, peroxidase 10  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100788891, peroxidase 54  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100805112, peroxidase 56-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100816580, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100818176, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100810355, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 102663236, peroxidase P7 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 102664900, peroxidase 18  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100818538, lignin-forming anionic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100807421, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 106797731, peroxidase 20  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 106794224, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100808444, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100794128, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100775970, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100796105, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100810663, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100811204, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 106796332, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100791014, peroxidase 66  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100783523, cationic peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 102667724, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100790188, peroxidase 5 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100816373, peroxidase 12  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100812082, peroxidase 55  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100799162, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100800219, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100777191, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 106796602, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 102660930, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100814091, peroxidase 40  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 100815654, peroxidase 51  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 112997743, peroxidase E5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 112997600, peroxidase 15-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine max, 111064645, peroxidase family protein precursor  [EC], ['EC:1.11.1.7'], KO:K00430
