Vigna unguiculata, 114191008, phenylalanine ammonia-lyase 2  [EC], ['EC:4.3.1.24'], KO:K10775
Vigna unguiculata, 114192082, probable cinnamyl alcohol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Vigna unguiculata, 114186753, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Vigna unguiculata, 114195578, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Vigna unguiculata, 114189164, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Vigna unguiculata, 114179537, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Vigna unguiculata, 114175871, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Vigna unguiculata, 114179891, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Vigna unguiculata, 114177329, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Vigna unguiculata, 114177397, 1-Cys peroxiredoxin  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Vigna unguiculata, 114174316, peroxidase 28-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114166973, uncharacterized protein LOC114166973  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114194673, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114195253, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114195296, peroxidase 9  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114195428, peroxidase 46-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114195593, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114187744, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114190723, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114190791, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114190806, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114188922, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114189224, cationic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114189675, peroxidase 12  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114192239, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114192739, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114190954, peroxidase 65-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114189243, peroxidase E5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114193594, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114191540, peroxidase 66-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114193823, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114193267, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114193268, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114193327, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114187987, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114188722, peroxidase E5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114188742, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114190344, peroxidase 21  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114193478, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114188043, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114188044, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114189824, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114190073, peroxidase 47-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114190087, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114190569, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114162473, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114169251, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114169252, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114169253, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114177359, peroxidase 40  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114166496, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114170211, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114185552, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114187386, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114187540, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114187611, LOW QUALITY PROTEIN: cationic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114187623, cationic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114164314, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114186199, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114186633, peroxidase 43  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114177105, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114181433, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114181500, peroxidase 66  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114174174, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114174183, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114178917, peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114167299, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114167320, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114168855, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114175944, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114185143, probable peroxidase 26  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114180229, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114180365, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114164186, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114162544, peroxidase 25  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114168198, peroxidase 17  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114170435, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114175276, peroxidase 63-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114168700, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114169807, peroxidase 20 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114171444, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114176827, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114176852, peroxidase N  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114186549, cationic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114187062, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114183236, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114183382, LOW QUALITY PROTEIN: peroxidase 39-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114176739, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114163945, peroxidase 55  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114181693, peroxidase 47-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114170632, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114178287, peroxidase 73-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114166256, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114167365, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114164268, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114165487, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114173028, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114173069, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114174103, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114176448, peroxidase 42  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114185916, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114177038, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114181380, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114169879, peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna unguiculata, 114165855, LOW QUALITY PROTEIN: UDP-glycosyltransferase 72D1-like  [EC], ['EC:2.4.1.111'], KO:K12356
Vigna unguiculata, 114188657, UDP-glycosyltransferase 72E1-like  [EC], ['EC:2.4.1.111'], KO:K12356
Vigna unguiculata, 114176291, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Vigna unguiculata, 114173259, UDP-glycosyltransferase 72E3-like  [EC], ['EC:2.4.1.111'], KO:K12356
Vigna unguiculata, 114167394, beta-glucosidase 12-like  [EC], ['EC:3.2.1.21'], KO:K01188
Vigna unguiculata, 114167402, beta-glucosidase 24-like  [EC], ['EC:3.2.1.21'], KO:K01188
Vigna unguiculata, 114168522, beta-glucosidase 13-like  [EC], ['EC:3.2.1.21'], KO:K01188
Vigna unguiculata, 114168754, cyanogenic beta-glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K01188
Vigna unguiculata, 114169017, LOW QUALITY PROTEIN: putative beta-glucosidase 41  [EC], ['EC:3.2.1.21'], KO:K01188
Vigna unguiculata, 114169305, cyanogenic beta-glucosidase-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Vigna unguiculata, 114169306, cyanogenic beta-glucosidase-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Vigna unguiculata, 114169674, cyanogenic beta-glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K01188
Vigna unguiculata, 114169675, cyanogenic beta-glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K01188
Vigna unguiculata, 114169676, cyanogenic beta-glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K01188
Vigna unguiculata, 114169827, beta-glucosidase 12-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Vigna unguiculata, 114170741, beta-glucosidase 13-like  [EC], ['EC:3.2.1.21'], KO:K01188
Vigna unguiculata, 114170742, cyanogenic beta-glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K01188
Vigna unguiculata, 114174240, beta-glucosidase 40  [EC], ['EC:3.2.1.21'], KO:K01188
Vigna unguiculata, 114176483, beta-glucosidase 40-like  [EC], ['EC:3.2.1.21'], KO:K01188
Vigna unguiculata, 114183009, beta-glucosidase 11-like  [EC], ['EC:3.2.1.21'], KO:K01188
Vigna unguiculata, 114183693, beta-glucosidase 24-like  [EC], ['EC:3.2.1.21'], KO:K01188
Vigna unguiculata, 114185162, beta-glucosidase 42  [EC], ['EC:3.2.1.21'], KO:K01188
Vigna unguiculata, 114185417, beta-glucosidase 11-like  [EC], ['EC:3.2.1.21'], KO:K01188
Vigna unguiculata, 114186170, beta-glucosidase 13-like  [EC], ['EC:3.2.1.21'], KO:K01188
Vigna unguiculata, 114195897, uncharacterized protein LOC114195897 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Vigna unguiculata, 114193017, uncharacterized protein LOC114193017 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Vigna unguiculata, 114191968, uncharacterized protein LOC114191968  [EC], ['EC:3.2.1.21'], KO:K05349
Vigna unguiculata, 114193047, lysosomal beta glucosidase-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Vigna unguiculata, 114188662, uncharacterized protein LOC114188662  [EC], ['EC:3.2.1.21'], KO:K05349
Vigna unguiculata, 114188692, uncharacterized protein LOC114188692  [EC], ['EC:3.2.1.21'], KO:K05349
Vigna unguiculata, 114182416, uncharacterized protein LOC114182416  [EC], ['EC:3.2.1.21'], KO:K05349
Vigna unguiculata, 114170556, uncharacterized protein LOC114170556  [EC], ['EC:3.2.1.21'], KO:K05349
Vigna unguiculata, 114178376, uncharacterized protein LOC114178376  [EC], ['EC:3.2.1.21'], KO:K05349
Vigna unguiculata, 114182651, uncharacterized protein LOC114182651  [EC], ['EC:3.2.1.21'], KO:K05349
Vigna unguiculata, 114189212, beta-glucosidase 46-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Vigna unguiculata, 114187951, beta-glucosidase 46-like  [EC], ['EC:3.2.1.21'], KO:K05350
Vigna unguiculata, 114182410, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Vigna unguiculata, 114175584, beta-glucosidase 46-like  [EC], ['EC:3.2.1.21'], KO:K05350
Vigna unguiculata, 114186318, beta-glucosidase 18-like  [EC], ['EC:3.2.1.21'], KO:K05350
Vigna unguiculata, 114186319, beta-glucosidase 18-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Vigna unguiculata, 114186321, beta-glucosidase 18-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Vigna unguiculata, 114176097, beta-glucosidase 46-like  [EC], ['EC:3.2.1.21'], KO:K05350
Vigna unguiculata, 114167306, feruloyl CoA ortho-hydroxylase 1  [EC], ['EC:1.14.11.61'], KO:K06892
Vigna unguiculata, 114186835, feruloyl CoA ortho-hydroxylase 2-like  [EC], ['EC:1.14.11.61'], KO:K06892
Vigna unguiculata, 114177257, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Vigna unguiculata, 114168153, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Vigna unguiculata, 114177431, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Vigna unguiculata, 114179558, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Vigna unguiculata, 114175899, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Vigna unguiculata, 114174988, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
