Glycine max, 106799718, CHS5; chalcone synthase 5  [EC], ['EC:2.3.1.74'], KO:K00660
Glycine max, 100779280, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine max, 100779814, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine max, 100792323, stemmadenine O-acetyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine max, 100814459, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine max, 100804886, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine max, 100805962, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine max, 100801695, stemmadenine O-acetyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine max, 100801923, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine max, 100787038, spermidine hydroxycinnamoyl transferase isoform X2  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine max, 100802888, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine max, 100803418, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine max, 100778626, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine max, 100780971, omega-hydroxypalmitate O-feruloyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine max, 100819383, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine max, 100775549, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine max, 100805510, fatty alcohol:caffeoyl-CoA acyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine max, 100777007, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine max, 100777532, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine max, 100779652, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine max, 100305576, omega-hydroxypalmitate O-feruloyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine max, 100788434, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine max, 100789491, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine max, 102668997, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine max, 100802808, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine max, 100778266, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine max, 102663900, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine max, 102670206, stemmadenine O-acetyltransferase isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine max, 100811080, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Glycine max, 606506, CYP98A2; cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Glycine max, 100500657, putative caffeoyl-CoA 3-O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Glycine max, 100779260, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Glycine max, 100811247, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Glycine max, 100780516, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Glycine max, 100792717, OMT5; anthocyanin 3'-O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Glycine max, 100800911, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Glycine max, 100795229, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Glycine max, 100813350, flavonoid 3',5'-methyltransferase isoform X2  [EC], ['EC:2.1.1.104'], KO:K00588
Glycine max, 100305498, SOMT-9; O-methyltransferase SOMT-9 isoform 1  [EC], ['EC:2.1.1.104'], KO:K00588
Glycine max, 100799303, S-adenosyl-L-methionine-dependent methyltransferases superfamily protein  [EC], ['EC:2.1.1.104'], KO:K00588
Glycine max, 100795858, caffeoyl-CoA O-methyltransferase 5  [EC], ['EC:2.1.1.104'], KO:K00588
