Aegilops tauschii, 109739868, chalcone synthase 2  [EC], ['EC:2.3.1.74'], KO:K00660
Aegilops tauschii, 109770341, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Aegilops tauschii, 109751434, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Aegilops tauschii, 109777191, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Aegilops tauschii, 109737789, flavonoid 3'-monooxygenase-like  [EC], ['EC:1.14.14.82'], KO:K05280
Aegilops tauschii, 109767455, flavonoid 3'-monooxygenase-like  [EC], ['EC:1.14.14.82'], KO:K05280
Aegilops tauschii, 109773560, flavonoid 3'-monooxygenase-like  [EC], ['EC:1.14.14.82'], KO:K05280
Aegilops tauschii, 109757643, dihydroflavonol 4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Aegilops tauschii, 109733276, cytochrome P450 93A2-like  [EC], ['EC:1.14.19.76'], KO:K23180
Aegilops tauschii, 109740351, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Aegilops tauschii, 109774860, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Aegilops tauschii, 109731523, flavonoid 3',5'-hydroxylase 2-like  [EC], ['EC:1.14.14.81'], KO:K13083
Aegilops tauschii, 109782004, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Aegilops tauschii, 109785547, flavonoid 3',5'-hydroxylase-like  [EC], ['EC:1.14.14.81'], KO:K13083
Aegilops tauschii, 109756683, leucoanthocyanidin dioxygenase-like  [EC], ['EC:1.14.20.4'], KO:K05277
Aegilops tauschii, 109738472, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Aegilops tauschii, 109766837, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Aegilops tauschii, 109778519, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Aegilops tauschii, 109736125, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Aegilops tauschii, 109736130, uncharacterized protein LOC109736130  [EC], ['EC:1.3.1.77'], KO:K08695
Aegilops tauschii, 109750081, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like isoform X1  [EC], ['EC:1.3.1.77'], KO:K08695
Aegilops tauschii, 109733882, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Aegilops tauschii, 109736133, uncharacterized protein LOC109736133  [EC], ['EC:1.3.1.77'], KO:K08695
Aegilops tauschii, 109751108, leucoanthocyanidin reductase-like  [EC], ['EC:1.17.1.3'], KO:K13081
Aegilops tauschii, 109777634, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Aegilops tauschii, 109762159, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Aegilops tauschii, 109748755, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Aegilops tauschii, 109768410, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Aegilops tauschii, 109746960, tryptamine benzoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Aegilops tauschii, 109769365, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Aegilops tauschii, 109771861, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Aegilops tauschii, 109753347, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Aegilops tauschii, 109753355, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Aegilops tauschii, 109753369, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Aegilops tauschii, 109758637, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Aegilops tauschii, 109748320, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Aegilops tauschii, 109753751, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Aegilops tauschii, 109735971, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Aegilops tauschii, 109737074, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Aegilops tauschii, 109735327, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Aegilops tauschii, 109735659, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Aegilops tauschii, 109736509, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Aegilops tauschii, 109785185, tryptamine benzoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Aegilops tauschii, 109783087, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Aegilops tauschii, 109786528, agmatine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Aegilops tauschii, 109752053, cytochrome P450 98A1  [EC], ['EC:1.14.14.96'], KO:K09754
Aegilops tauschii, 109771149, cytochrome P450 98A1-like  [EC], ['EC:1.14.14.96'], KO:K09754
Aegilops tauschii, 109775586, cytochrome P450 98A1-like  [EC], ['EC:1.14.14.96'], KO:K09754
Aegilops tauschii, 109757203, cytochrome P450 98A1-like  [EC], ['EC:1.14.14.96'], KO:K09754
Aegilops tauschii, 109731922, cytochrome P450 98A1-like  [EC], ['EC:1.14.14.96'], KO:K09754
Aegilops tauschii, 109746743, caffeoyl-CoA O-methyltransferase 1  [EC], ['EC:2.1.1.104'], KO:K00588
Aegilops tauschii, 109744502, tricin synthase 1-like  [EC], ['EC:2.1.1.104'], KO:K00588
Aegilops tauschii, 109771777, tricin synthase 1-like  [EC], ['EC:2.1.1.104'], KO:K00588
Aegilops tauschii, 109737569, tricin synthase 1-like  [EC], ['EC:2.1.1.104'], KO:K00588
Aegilops tauschii, 109786071, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
