Eucalyptus grandis, 104414362, chalcone synthase 1  [EC], ['EC:2.3.1.74'], KO:K00660
Eucalyptus grandis, 104426102, leucoanthocyanidin reductase  [EC], ['EC:1.17.1.3'], KO:K13081
Eucalyptus grandis, 104449845, UDP-glycosyltransferase 88F5  [EC], ['EC:2.4.1.357'], KO:K22845
Eucalyptus grandis, 104449844, UDP-glycosyltransferase 88F4  [EC], ['EC:2.4.1.357'], KO:K22845
Eucalyptus grandis, 104423238, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104424200, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104426975, omega-hydroxypalmitate O-feruloyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104430095, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104430461, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104429571, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104431840, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104431976, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104433449, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104433450, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104433451, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104433455, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104434025, agmatine coumaroyltransferase-2  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104435605, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104435652, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104431197, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104455130, acetyl-CoA-benzylalcohol acetyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104455132, acetyl-CoA-benzylalcohol acetyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104455134, acetyl-CoA-benzylalcohol acetyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104455138, acetyl-CoA-benzylalcohol acetyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104455140, acetyl-CoA-benzylalcohol acetyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104455151, acetyl-CoA-benzylalcohol acetyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104450635, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104450637, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104450643, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104453243, acetyl-CoA-benzylalcohol acetyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104455386, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104455389, acetyl-CoA-benzylalcohol acetyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104455391, acetyl-CoA-benzylalcohol acetyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104455394, acetyl-CoA-benzylalcohol acetyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104455395, acetyl-CoA-benzylalcohol acetyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104455396, acetyl-CoA-benzylalcohol acetyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104455397, acetyl-CoA-benzylalcohol acetyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104439594, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104439596, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104439641, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104439645, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104439649, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104439650, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104439666, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104452878, acetyl-CoA-benzylalcohol acetyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104440492, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104454964, acetyl-CoA-benzylalcohol acetyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104454965, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104437417, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104442437, acetyl-CoA-benzylalcohol acetyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104435603, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104450636, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104455133, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104443731, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Eucalyptus grandis, 104443755, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Eucalyptus grandis, 104454510, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Eucalyptus grandis, 104453188, caffeoyl-CoA O-methyltransferase 2  [EC], ['EC:2.1.1.104'], KO:K00588
Eucalyptus grandis, 104418719, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Eucalyptus grandis, 104436514, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Eucalyptus grandis, 104417751, flavonoid 3',5'-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Eucalyptus grandis, 104415685, flavonoid 3',5'-methyltransferase isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Eucalyptus grandis, 104436513, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Eucalyptus grandis, 104436516, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Eucalyptus grandis, 104435432, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Eucalyptus grandis, 104438179, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Eucalyptus grandis, 104439026, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Eucalyptus grandis, 104440294, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Eucalyptus grandis, 104440300, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Eucalyptus grandis, 104440305, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Eucalyptus grandis, 104415688, flavonoid 3',5'-methyltransferase isoform X2  [EC], ['EC:2.1.1.104'], KO:K00588
Eucalyptus grandis, 104415689, flavonoid 3',5'-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Eucalyptus grandis, 104415687, flavonoid 3',5'-methyltransferase isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
