Gossypium arboreum, 108481961, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Gossypium arboreum, 108459974, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium arboreum, 108458993, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium arboreum, 108464295, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Gossypium arboreum, 108466431, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Gossypium arboreum, 108484225, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Gossypium arboreum, 108475534, caffeoyl-CoA O-methyltransferase 2-like  [EC], ['EC:2.1.1.104'], KO:K00588
Gossypium arboreum, 108468366, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Gossypium arboreum, 108477040, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Gossypium arboreum, 108457879, caffeoyl-CoA O-methyltransferase 5  [EC], ['EC:2.1.1.104'], KO:K00588
Gossypium arboreum, 108458342, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Gossypium arboreum, 108485377, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Gossypium arboreum, 108459993, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
