Pyrus x bretschneideri, 103934948, phenylalanine ammonia-lyase 1  [EC], ['EC:4.3.1.24'], KO:K10775
Pyrus x bretschneideri, 103934752, peroxidase 73-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103934243, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103934253, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103942312, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103942313, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103942300, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103944515, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103944516, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103946278, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103946279, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103946287, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103946288, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103948920, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103936335, peroxidase 17-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103943706, peroxidase 24-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103945511, peroxidase P7-like isoform X2  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103945527, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103953768, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103953777, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103953265, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103947315, peroxidase 11-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103953444, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103953577, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103938167, LOW QUALITY PROTEIN: peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103937821, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103938713, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103929067, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103933236, probable peroxidase 26  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103928244, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103933328, peroxidase 66-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103953830, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103954006, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103954074, peroxidase N-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103954075, peroxidase 15-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103955141, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103954252, peroxidase N1-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103955347, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103958678, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103958680, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103962190, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103962191, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103965357, peroxidase 59-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103955654, peroxidase 17-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103958862, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103961286, peroxidase 40  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103961298, peroxidase 29-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103958132, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103958134, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103960502, LOW QUALITY PROTEIN: peroxidase 66  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103966973, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103957549, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103958318, peroxidase 25  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103958587, peroxidase 24-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103962173, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103966401, peroxidase 60  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103928448, peroxidase 63 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103959007, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 108868053, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 108867806, peroxidase 9-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103955372, peroxidase 9-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103955373, peroxidase 9-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103960463, peroxidase 20  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103958946, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103958949, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103963956, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103963973, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103936355, peroxidase 50-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103936354, peroxidase 50-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103961180, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103958063, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103967400, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103967432, LOW QUALITY PROTEIN: peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103956528, peroxidase 10  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103964015, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103961182, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103952063, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103962192, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103941281, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Pyrus x bretschneideri, 103941282, anthocyanidin 3-O-glucosyltransferase 5-like isoform X1  [EC], ['EC:2.4.1.111'], KO:K12356
Pyrus x bretschneideri, 103941286, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Pyrus x bretschneideri, 103963186, anthocyanidin 3-O-glucosyltransferase 5  [EC], ['EC:2.4.1.111'], KO:K12356
Pyrus x bretschneideri, 103967644, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Pyrus x bretschneideri, 103928851, beta-glucosidase 42-like  [EC], ['EC:3.2.1.21'], KO:K01188
Pyrus x bretschneideri, 103937828, beta-glucosidase 42-like  [EC], ['EC:3.2.1.21'], KO:K01188
Pyrus x bretschneideri, 103937829, beta-glucosidase 42-like  [EC], ['EC:3.2.1.21'], KO:K01188
Pyrus x bretschneideri, 103937832, beta-glucosidase 42-like  [EC], ['EC:3.2.1.21'], KO:K01188
Pyrus x bretschneideri, 103940910, beta-glucosidase 42-like  [EC], ['EC:3.2.1.21'], KO:K01188
Pyrus x bretschneideri, 103946635, cyanogenic beta-glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K01188
Pyrus x bretschneideri, 103947239, beta-glucosidase 40  [EC], ['EC:3.2.1.21'], KO:K01188
Pyrus x bretschneideri, 103929797, uncharacterized protein LOC103929797  [EC], ['EC:3.2.1.21'], KO:K05349
Pyrus x bretschneideri, 103946210, LOW QUALITY PROTEIN: uncharacterized protein LOC103946210  [EC], ['EC:3.2.1.21'], KO:K05349
Pyrus x bretschneideri, 103934646, uncharacterized protein LOC103934646  [EC], ['EC:3.2.1.21'], KO:K05349
Pyrus x bretschneideri, 103934651, uncharacterized protein LOC103934651  [EC], ['EC:3.2.1.21'], KO:K05349
Pyrus x bretschneideri, 103934659, uncharacterized protein LOC103934659  [EC], ['EC:3.2.1.21'], KO:K05349
Pyrus x bretschneideri, 103935301, uncharacterized protein LOC103935301  [EC], ['EC:3.2.1.21'], KO:K05349
Pyrus x bretschneideri, 103935302, uncharacterized protein LOC103935302  [EC], ['EC:3.2.1.21'], KO:K05349
Pyrus x bretschneideri, 103938585, uncharacterized protein LOC103938585 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Pyrus x bretschneideri, 103938586, uncharacterized protein LOC103938586  [EC], ['EC:3.2.1.21'], KO:K05349
Pyrus x bretschneideri, 103958118, uncharacterized protein LOC103958118  [EC], ['EC:3.2.1.21'], KO:K05349
Pyrus x bretschneideri, 103958128, uncharacterized protein LOC103958128  [EC], ['EC:3.2.1.21'], KO:K05349
Pyrus x bretschneideri, 108865427, uncharacterized protein LOC108865427 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Pyrus x bretschneideri, 103946203, uncharacterized protein LOC103946203  [EC], ['EC:3.2.1.21'], KO:K05349
Pyrus x bretschneideri, 103939399, beta-glucosidase 44  [EC], ['EC:3.2.1.21'], KO:K05350
Pyrus x bretschneideri, 103953667, beta-glucosidase 46-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Pyrus x bretschneideri, 103966974, beta-glucosidase 18-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Pyrus x bretschneideri, 103966991, beta-glucosidase 18-like  [EC], ['EC:3.2.1.21'], KO:K05350
Pyrus x bretschneideri, 103937496, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Pyrus x bretschneideri, 103945852, UDP-glucose flavonoid 3-O-glucosyltransferase 7-like  [EC], ['EC:2.4.1.128'], KO:K23260
Pyrus x bretschneideri, 103945853, UDP-glucose flavonoid 3-O-glucosyltransferase 7-like  [EC], ['EC:2.4.1.128'], KO:K23260
Pyrus x bretschneideri, 103945854, UDP-glucose flavonoid 3-O-glucosyltransferase 7-like  [EC], ['EC:2.4.1.128'], KO:K23260
Pyrus x bretschneideri, 103966357, UDP-glucose flavonoid 3-O-glucosyltransferase 7-like  [EC], ['EC:2.4.1.128'], KO:K23260
Pyrus x bretschneideri, 103966367, UDP-glucose flavonoid 3-O-glucosyltransferase 7-like  [EC], ['EC:2.4.1.128'], KO:K23260
