Cucumis melo, 103491170, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Cucumis melo, 103500036, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis melo, 103500038, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis melo, 103504289, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis melo, 103503509, peroxidase 20  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis melo, 103504016, peroxidase 45-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis melo, 103502953, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis melo, 103502954, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis melo, 103499869, peroxidase 60-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis melo, 103484034, peroxidase 66  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis melo, 103486702, peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis melo, 103491521, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis melo, 103504705, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis melo, 103483295, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis melo, 103484738, peroxidase 7  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis melo, 103485311, peroxidase 42  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis melo, 103495496, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis melo, 103495941, peroxidase 39  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis melo, 103496270, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis melo, 103491561, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis melo, 103493727, peroxidase 18  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis melo, 103494427, peroxidase 17  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis melo, 103495682, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis melo, 103495580, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis melo, 103488570, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis melo, 103485477, peroxidase 55-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis melo, 103485091, peroxidase 49  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis melo, 103491198, peroxidase 21-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis melo, 103491563, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis melo, 103492298, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis melo, 103493217, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis melo, 103491555, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis melo, 103491556, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis melo, 103491557, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis melo, 103491558, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis melo, 103491560, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis melo, 103496606, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis melo, 103497358, peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis melo, 103486471, peroxidase 21-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis melo, 103498017, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis melo, 103497894, peroxidase 24  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis melo, 103484763, peroxidase 10  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis melo, 103485158, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis melo, 103485480, peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis melo, 103485476, peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis melo, 103495437, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis melo, 103495454, peroxidase 43  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis melo, 103485478, peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis melo, 103493936, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis melo, 103497031, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis melo, 103487453, peroxidase 25-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis melo, 103487451, peroxidase 25-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis melo, 103491554, peroxidase N  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis melo, 103491564, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis melo, 103497778, peroxidase 40  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis melo, 103487055, peroxidase 31  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis melo, 103484837, peroxidase 73-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis melo, 103489214, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis melo, 103489553, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis melo, 103498407, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis melo, 103498963, probable peroxidase 61  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis melo, 103499118, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis melo, 103498048, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis melo, 103489638, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis melo, 103494390, anthocyanidin 3-O-glucosyltransferase 5  [EC], ['EC:2.4.1.111'], KO:K12356
Cucumis melo, 103485347, UDP-glycosyltransferase 72E1  [EC], ['EC:2.4.1.111'], KO:K12356
Cucumis melo, 103485810, beta-glucosidase 42  [EC], ['EC:3.2.1.21'], KO:K01188
Cucumis melo, 103488476, beta-glucosidase 40  [EC], ['EC:3.2.1.21'], KO:K01188
Cucumis melo, 103492052, cyanogenic beta-glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K01188
Cucumis melo, 103492053, beta-glucosidase 12-like  [EC], ['EC:3.2.1.21'], KO:K01188
Cucumis melo, 103494969, beta-glucosidase 25  [EC], ['EC:3.2.1.21'], KO:K01188
Cucumis melo, 103502703, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Cucumis melo, 103502704, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Cucumis melo, 103487249, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Cucumis melo, 103489355, beta-glucosidase BoGH3B  [EC], ['EC:3.2.1.21'], KO:K05349
Cucumis melo, 103494201, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Cucumis melo, 103497095, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Cucumis melo, 107990298, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Cucumis melo, 103501202, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Cucumis melo, 103485429, beta-glucosidase 47  [EC], ['EC:3.2.1.21'], KO:K05350
Cucumis melo, 103495056, beta-glucosidase 18-like  [EC], ['EC:3.2.1.21'], KO:K05350
Cucumis melo, 103496850, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Cucumis melo, 103494400, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Cucumis melo, 103493887, beta-glucosidase 18-like  [EC], ['EC:3.2.1.21'], KO:K05350
Cucumis melo, 103496174, UDP-glucose flavonoid 3-O-glucosyltransferase 7-like  [EC], ['EC:2.4.1.128'], KO:K23260
Cucumis melo, 103495254, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Cucumis melo, 103495253, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Cucumis melo, 103495252, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Cucumis melo, 107991336, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Cucumis melo, 103495250, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
