Aegilops tauschii, 109777317, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Aegilops tauschii, 109768410, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Aegilops tauschii, 109746904, tryptamine benzoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Aegilops tauschii, 109746960, tryptamine benzoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Aegilops tauschii, 109769365, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Aegilops tauschii, 109771861, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Aegilops tauschii, 109753347, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Aegilops tauschii, 109753355, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Aegilops tauschii, 109753369, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Aegilops tauschii, 109758637, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Aegilops tauschii, 109748320, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Aegilops tauschii, 109745166, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Aegilops tauschii, 109745173, tryptamine benzoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Aegilops tauschii, 109753751, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Aegilops tauschii, 109735971, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Aegilops tauschii, 109737074, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Aegilops tauschii, 109736196, hydroxycinnamoyltransferase 2  [EC], ['EC:2.3.1.133'], KO:K13065
Aegilops tauschii, 109735327, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Aegilops tauschii, 109735659, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Aegilops tauschii, 109736509, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Aegilops tauschii, 109778521, hydroxycinnamoyltransferase 1  [EC], ['EC:2.3.1.133'], KO:K13065
Aegilops tauschii, 109785185, tryptamine benzoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Aegilops tauschii, 109783087, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Aegilops tauschii, 109786528, agmatine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Aegilops tauschii, 109752053, cytochrome P450 98A1  [EC], ['EC:1.14.14.96'], KO:K09754
Aegilops tauschii, 109771149, cytochrome P450 98A1-like  [EC], ['EC:1.14.14.96'], KO:K09754
Aegilops tauschii, 109775586, cytochrome P450 98A1-like  [EC], ['EC:1.14.14.96'], KO:K09754
Aegilops tauschii, 109757203, cytochrome P450 98A1-like  [EC], ['EC:1.14.14.96'], KO:K09754
Aegilops tauschii, 109731922, cytochrome P450 98A1-like  [EC], ['EC:1.14.14.96'], KO:K09754
Aegilops tauschii, 109759954, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Aegilops tauschii, 109787623, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Aegilops tauschii, 109767951, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Aegilops tauschii, 109743453, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Aegilops tauschii, 109746743, caffeoyl-CoA O-methyltransferase 1  [EC], ['EC:2.1.1.104'], KO:K00588
Aegilops tauschii, 109744502, tricin synthase 1-like  [EC], ['EC:2.1.1.104'], KO:K00588
Aegilops tauschii, 109771777, tricin synthase 1-like  [EC], ['EC:2.1.1.104'], KO:K00588
Aegilops tauschii, 109737569, tricin synthase 1-like  [EC], ['EC:2.1.1.104'], KO:K00588
Aegilops tauschii, 109786071, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Aegilops tauschii, 109780729, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Aegilops tauschii, 109780731, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Aegilops tauschii, 109745831, cinnamoyl-CoA reductase 2-like  [EC], ['EC:1.2.1.44'], KO:K09753
Aegilops tauschii, 109754250, cinnamoyl-CoA reductase 2-like  [EC], ['EC:1.2.1.44'], KO:K09753
Aegilops tauschii, 109760091, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Aegilops tauschii, 109760092, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Aegilops tauschii, 109760607, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Aegilops tauschii, 109781309, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Aegilops tauschii, 109761766, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Aegilops tauschii, 109761768, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Aegilops tauschii, 109761769, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Aegilops tauschii, 109768977, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Aegilops tauschii, 109774003, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Aegilops tauschii, 109740782, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Aegilops tauschii, 109783318, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Aegilops tauschii, 109783397, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Aegilops tauschii, 109760129, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Aegilops tauschii, 109784604, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Aegilops tauschii, 109775340, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Aegilops tauschii, 109786811, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Aegilops tauschii, 109766587, probable cinnamyl alcohol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Aegilops tauschii, 109777842, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Aegilops tauschii, 109754298, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Aegilops tauschii, 109767770, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Aegilops tauschii, 109768091, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Aegilops tauschii, 109762237, probable cinnamyl alcohol dehydrogenase 5  [EC], ['EC:1.1.1.195'], KO:K00083
Aegilops tauschii, 109757966, 1-Cys peroxiredoxin PER1  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Aegilops tauschii, 109738022, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109738072, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109738131, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109737931, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109737933, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109737934, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109737935, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109738142, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109777133, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109777144, peroxidase 25  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109777440, peroxidase 45-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109777441, peroxidase 45-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109777480, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109776047, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109776052, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109777734, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109776308, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109776310, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109739311, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109739314, peroxidase 9-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109739315, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109740665, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109739993, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109740214, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109740217, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109740055, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109739222, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109739545, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109740456, peroxidase 70-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109740466, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109740864, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109740867, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109739516, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109740224, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109740563, peroxidase 45-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109756142, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109756143, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109756144, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109756145, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109756146, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109757225, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109760336, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109765359, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109765360, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109765361, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109765362, peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109784696, cationic peroxidase SPC4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109769115, peroxidase 55-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109770808, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109772463, peroxidase 56-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109749967, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109769546, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109770434, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109772941, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109732167, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109732170, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109732171, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109784706, uncharacterized protein LOC109784706  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109749578, peroxidase 56-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109767300, peroxidase 47-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109745178, peroxidase 66-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109747292, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109747293, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109783790, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109781644, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109755234, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109761514, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109760965, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109773028, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109773030, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109773050, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109732442, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109735344, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109735345, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109781733, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109779607, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109767354, peroxidase 70-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109767355, peroxidase 70-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109767356, peroxidase 70-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109767357, peroxidase 70-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109767358, peroxidase 70-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109769281, peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109774606, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109775312, peroxidase 43-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109775316, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109753663, peroxidase 70-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109780873, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109786327, peroxidase 50-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109747983, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109763929, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109763930, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109747407, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109747435, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109747437, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109747439, cationic peroxidase SPC4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109747441, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109747442, cationic peroxidase SPC4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109747444, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109732175, peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109732182, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109732184, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109732185, peroxidase P7-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109735019, peroxidase 24-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109787483, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109779967, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109783227, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109784308, cationic peroxidase SPC4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109784333, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109761515, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109761516, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109761519, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109768408, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109770977, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109757964, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109757965, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109757968, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109759015, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109760045, peroxidase 70-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109732522, cationic peroxidase SPC4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109787616, peroxidase 55-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109778913, peroxidase 19-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109784487, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109746385, peroxidase P7-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109752808, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109752810, peroxidase N-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109752811, peroxidase N-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109755856, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109758518, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109786654, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109780200, peroxidase 35-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109780201, peroxidase 50-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109779097, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109779098, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109779099, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109779100, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109779111, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109779112, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109781342, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109762983, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109762986, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109762989, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109765046, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109765070, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109766081, cationic peroxidase SPC4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109771431, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109773055, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109764641, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109764642, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109764643, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109768466, cationic peroxidase SPC4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109771033, peroxidase 21-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109775440, peroxidase 15-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109775441, peroxidase 49-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109737014, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109747576, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109747577, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109748599, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
