Papaver somniferum, 113271507, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Papaver somniferum, 113280397, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113290913, tryptamine hydroxycinnamoyltransferase 2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113326985, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113273211, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113326378, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113340083, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113340336, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113272205, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113272218, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113280602, agmatine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113280603, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113278289, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113280708, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113299341, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113326615, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113280790, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113280793, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113280794, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113280796, agmatine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113280797, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113280799, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113303870, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113305142, tryptamine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113305154, tryptamine hydroxycinnamoyltransferase 2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113335146, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113339653, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113341730, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113342669, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113273664, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113282011, tryptamine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113339698, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113339708, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113287953, tryptamine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113287955, tryptamine hydroxycinnamoyltransferase 2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113353521, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113360182, tryptamine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113347460, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113352341, agmatine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113351314, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113351316, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113360513, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113352615, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113352616, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113362825, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113352701, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113360788, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113358604, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113298939, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Papaver somniferum, 113358675, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Papaver somniferum, 113335817, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Papaver somniferum, 113277235, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Papaver somniferum, 113289540, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Papaver somniferum, 113335757, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Papaver somniferum, 113298021, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Papaver somniferum, 113352189, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Papaver somniferum, 113349410, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Papaver somniferum, 113349416, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Papaver somniferum, 113349417, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Papaver somniferum, 113349418, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Papaver somniferum, 113347633, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Papaver somniferum, 113347951, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Papaver somniferum, 113347957, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Papaver somniferum, 113347958, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Papaver somniferum, 113347959, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Papaver somniferum, 113354106, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
