Glycine soja, 114371207, phenylalanine ammonia-lyase 2-like isoform X1  [EC], ['EC:4.3.1.24'], KO:K10775
Glycine soja, 114366868, peroxidase 17-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114366877, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114366883, peroxidase 66-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114394915, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114367358, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114368652, peroxidase 47-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114386402, peroxidase 43-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114392711, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114380363, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114385289, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114369345, peroxidase 66-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114392082, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114372326, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114386258, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114386265, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114395156, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114379108, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
