Helianthus annuus, 110868345, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Helianthus annuus, 110875676, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Helianthus annuus, 110875677, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Helianthus annuus, 110893966, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Helianthus annuus, 110886581, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Helianthus annuus, 110899761, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Helianthus annuus, 110899768, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Helianthus annuus, 110899811, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Helianthus annuus, 110899813, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Helianthus annuus, 110899814, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Helianthus annuus, 110932235, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Helianthus annuus, 110927050, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Helianthus annuus, 110921857, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Helianthus annuus, 110911294, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Helianthus annuus, 110918282, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Helianthus annuus, 110943793, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Helianthus annuus, 110941528, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Helianthus annuus, 110941579, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Helianthus annuus, 110941597, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Helianthus annuus, 110941600, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Helianthus annuus, 110941603, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Helianthus annuus, 110942795, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Helianthus annuus, 110941685, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Helianthus annuus, 110941920, shikimate O-hydroxycinnamoyltransferase-like isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Helianthus annuus, 110941922, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Helianthus annuus, 110941973, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Helianthus annuus, 110941975, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Helianthus annuus, 110941977, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Helianthus annuus, 110941978, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Helianthus annuus, 110941979, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Helianthus annuus, 110941982, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Helianthus annuus, 110939269, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Helianthus annuus, 110939422, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Helianthus annuus, 110944427, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Helianthus annuus, 110865896, cytochrome P450 98A3-like  [EC], ['EC:1.14.14.96'], KO:K09754
Helianthus annuus, 110895770, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Helianthus annuus, 110937044, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Helianthus annuus, 110877640, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Helianthus annuus, 110918566, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Helianthus annuus, 110885846, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Helianthus annuus, 110885847, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Helianthus annuus, 110935644, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Helianthus annuus, 110908767, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Helianthus annuus, 110878143, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Helianthus annuus, 110877518, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Helianthus annuus, 110866189, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Helianthus annuus, 110877050, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Helianthus annuus, 110877051, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Helianthus annuus, 110877052, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Helianthus annuus, 110877054, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Helianthus annuus, 110877055, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Helianthus annuus, 110877057, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Helianthus annuus, 110877080, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Helianthus annuus, 110885616, caffeoyl-CoA O-methyltransferase 1  [EC], ['EC:2.1.1.104'], KO:K00588
Helianthus annuus, 110885664, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Helianthus annuus, 110895909, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Helianthus annuus, 110903947, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Helianthus annuus, 110909813, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Helianthus annuus, 110909814, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Helianthus annuus, 110911104, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Helianthus annuus, 110915463, caffeoyl-CoA O-methyltransferase 1-like  [EC], ['EC:2.1.1.104'], KO:K00588
Helianthus annuus, 110917664, caffeoyl-CoA O-methyltransferase 5-like  [EC], ['EC:2.1.1.104'], KO:K00588
Helianthus annuus, 110926633, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Helianthus annuus, 110926634, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Helianthus annuus, 110943433, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Helianthus annuus, 110943439, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Helianthus annuus, 110918543, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Helianthus annuus, 110868781, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Helianthus annuus, 110917450, cinnamoyl-CoA reductase 2-like  [EC], ['EC:1.2.1.44'], KO:K09753
Helianthus annuus, 110940296, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Helianthus annuus, 110886875, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Helianthus annuus, 110871226, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Helianthus annuus, 110878825, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Helianthus annuus, 110915419, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Helianthus annuus, 110889471, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Helianthus annuus, 110889480, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Helianthus annuus, 110889481, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Helianthus annuus, 110911962, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Helianthus annuus, 110915418, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Helianthus annuus, 110883877, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Helianthus annuus, 110883878, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Helianthus annuus, 110883913, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Helianthus annuus, 110883919, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Helianthus annuus, 110883923, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Helianthus annuus, 110883924, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Helianthus annuus, 110880491, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Helianthus annuus, 110872993, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Helianthus annuus, 110872994, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Helianthus annuus, 110872995, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Helianthus annuus, 110872997, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Helianthus annuus, 110880664, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Helianthus annuus, 110935947, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Helianthus annuus, 110935949, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Helianthus annuus, 110918544, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Helianthus annuus, 110910235, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Helianthus annuus, 110910237, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Helianthus annuus, 110937336, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Helianthus annuus, 110939393, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Helianthus annuus, 110941106, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Helianthus annuus, 110941120, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Helianthus annuus, 110918624, cinnamyl alcohol dehydrogenase 1-like  [EC], ['EC:1.1.1.195'], KO:K00083
Helianthus annuus, 110915964, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Helianthus annuus, 110926364, cinnamyl alcohol dehydrogenase 1-like  [EC], ['EC:1.1.1.195'], KO:K00083
Helianthus annuus, 110941024, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Helianthus annuus, 110893710, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Helianthus annuus, 110868019, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Helianthus annuus, 110886982, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Helianthus annuus, 110928444, berberine bridge enzyme-like 13 isoform X1  [EC], ['EC:1.1.1.195'], KO:K22395
Helianthus annuus, 110928445, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Helianthus annuus, 110868247, 1-Cys peroxiredoxin PER1 isoform X1  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Helianthus annuus, 110865424, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110867906, peroxidase 73-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110866697, peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110920249, basic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110890099, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110868473, peroxidase 59-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110868474, peroxidase N-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110868475, peroxidase N-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110886770, probable peroxidase 26  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110895745, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110909045, peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110917586, peroxidase 9-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110920207, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110892397, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110872150, peroxidase 11-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110889467, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110886157, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110886188, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110889488, peroxidase 24-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110903914, peroxidase 63-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110869447, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110907239, peroxidase 60-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110892632, peroxidase 43-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110911604, peroxidase 3-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110915364, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110915367, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110918594, basic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110924280, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110924281, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110924282, cationic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110926393, peroxidase 60-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110928192, peroxidase 43-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110885109, peroxidase 43-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110926401, peroxidase 60-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110877171, peroxidase 43-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110878527, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110881127, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110883823, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110883825, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110885185, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110885198, cationic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110885218, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110885219, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110885220, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110885221, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110887546, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110915510, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110918750, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110918751, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110918755, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110918759, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110918761, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110878285, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110885630, peroxidase N1-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110873047, peroxidase 24-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110873048, peroxidase 24-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110894009, peroxidase 45-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110872743, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110921175, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110891620, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110879591, peroxidase 9-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110869901, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110899821, probable peroxidase 61  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110901024, peroxidase 60-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110908824, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110910562, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110921228, basic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110922647, basic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110886674, peroxidase 17  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110886705, peroxidase 25  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110895595, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110877552, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110878860, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110884399, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110884400, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110921306, peroxidase 3-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110922741, probable peroxidase 26  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110924631, peroxidase 21-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110884402, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110884403, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110884404, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110889191, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110889192, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110889193, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110889194, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110889195, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110889196, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110889197, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110889198, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110890462, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110894497, peroxidase 11-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110897460, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110897461, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110897462, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110897819, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110898301, peroxidase 21  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110910789, peroxidase 42-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110917399, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110917404, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110912326, peroxidase 43-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110923238, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110929119, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110911169, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110916322, peroxidase 10  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110905065, peroxidase 66  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110908210, probable peroxidase 26  [EC], ['EC:1.11.1.7'], KO:K00430
