Lactuca sativa, 111893052, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Lactuca sativa, 111917714, lignin-forming anionic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111917741, lignin-forming anionic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111914667, basic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111919669, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111915440, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111915473, peroxidase 7  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111920252, probable peroxidase 26  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111910447, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111912395, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111912402, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111905225, probable peroxidase 26  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111905226, probable peroxidase 26  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111913134, basic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111902773, peroxidase 51  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111905466, peroxidase 60  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111905467, peroxidase 60  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111905468, peroxidase 60  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111905469, peroxidase 60  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111908979, lignin-forming anionic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111903785, peroxidase 27  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111903786, peroxidase 27  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111903787, peroxidase 27  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111903790, peroxidase 27  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111903792, peroxidase 27  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111906490, peroxidase 12  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111909001, lignin-forming anionic peroxidase isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111903893, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111903894, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111903895, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111892423, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111901232, peroxidase 20  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111901384, peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111901452, peroxidase 66  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111904298, peroxidase 63  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111904309, peroxidase 43  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111904350, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111903770, peroxidase 27  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111913845, peroxidase 16  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111913864, peroxidase 16  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111876453, peroxidase 63  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111877700, peroxidase 51  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111877715, peroxidase 55  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111878774, peroxidase 4  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111878787, peroxidase 4  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111879417, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111880960, peroxidase 9  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111881485, peroxidase 41  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111881609, peroxidase 9  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111883433, peroxidase 17  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111884532, putative Peroxidase 48 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111885086, peroxidase 24  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111885088, peroxidase 24  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111885102, peroxidase 24  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111887868, peroxidase N  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111887936, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111887938, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111887940, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111887943, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111887950, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111887994, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111887204, peroxidase 25  [EC], ['EC:1.11.1.7'], KO:K00430
Lactuca sativa, 111908234, anthocyanidin 3-O-glucosyltransferase 5  [EC], ['EC:2.4.1.111'], KO:K12356
Lactuca sativa, 111908243, anthocyanidin 3-O-glucosyltransferase 5  [EC], ['EC:2.4.1.111'], KO:K12356
Lactuca sativa, 111920522, beta-glucosidase 11 isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Lactuca sativa, 111899784, beta-glucosidase BoGH3B  [EC], ['EC:3.2.1.21'], KO:K05349
Lactuca sativa, 111899787, beta-glucosidase BoGH3B  [EC], ['EC:3.2.1.21'], KO:K05349
Lactuca sativa, 111899789, beta-glucosidase BoGH3B  [EC], ['EC:3.2.1.21'], KO:K05349
Lactuca sativa, 111899790, beta-glucosidase BoGH3B  [EC], ['EC:3.2.1.21'], KO:K05349
Lactuca sativa, 111907753, beta-glucosidase BoGH3B isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Lactuca sativa, 111887319, beta-glucosidase BoGH3B  [EC], ['EC:3.2.1.21'], KO:K05349
Lactuca sativa, 111887443, beta-glucosidase BoGH3B  [EC], ['EC:3.2.1.21'], KO:K05349
Lactuca sativa, 111915136, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Lactuca sativa, 111920034, beta-glucosidase 46 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Lactuca sativa, 111910046, beta-glucosidase 18  [EC], ['EC:3.2.1.21'], KO:K05350
Lactuca sativa, 111904869, beta-glucosidase 18 isoform X2  [EC], ['EC:3.2.1.21'], KO:K05350
Lactuca sativa, 111916906, beta-glucosidase 18  [EC], ['EC:3.2.1.21'], KO:K05350
Lactuca sativa, 111916989, beta-glucosidase 18  [EC], ['EC:3.2.1.21'], KO:K05350
Lactuca sativa, 111916994, beta-glucosidase 18 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Lactuca sativa, 111886152, beta-glucosidase 18  [EC], ['EC:3.2.1.21'], KO:K05350
Lactuca sativa, 111890219, feruloyl CoA ortho-hydroxylase F6H1-3  [EC], ['EC:1.14.11.61'], KO:K06892
Lactuca sativa, 111919843, feruloyl CoA ortho-hydroxylase F6H1-3  [EC], ['EC:1.14.11.61'], KO:K06892
Lactuca sativa, 111919866, feruloyl CoA ortho-hydroxylase F6H1-3  [EC], ['EC:1.14.11.61'], KO:K06892
Lactuca sativa, 111919868, bi-functional coumaroyl CoA and feruloyl CoA ortho-hydroxylase F6H2-1-1  [EC], ['EC:1.14.11.61'], KO:K06892
Lactuca sativa, 111919869, feruloyl CoA ortho-hydroxylase F6H1-3  [EC], ['EC:1.14.11.61'], KO:K06892
Lactuca sativa, 111882077, feruloyl CoA ortho-hydroxylase F6H1-3  [EC], ['EC:1.14.11.61'], KO:K06892
Lactuca sativa, 111882078, feruloyl CoA ortho-hydroxylase F6H1-3  [EC], ['EC:1.14.11.61'], KO:K06892
Lactuca sativa, 111900274, scopoletin glucosyltransferase  [EC], ['EC:2.4.1.128'], KO:K23260
Lactuca sativa, 111877419, scopoletin glucosyltransferase  [EC], ['EC:2.4.1.128'], KO:K23260
Lactuca sativa, 111878832, UDP-glucose flavonoid 3-O-glucosyltransferase 7  [EC], ['EC:2.4.1.128'], KO:K23260
