Citrus sinensis, 102620464, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Citrus sinensis, 102613962, caffeic acid 3-O-methyltransferase 1-like isoform X1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Citrus sinensis, 102624192, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Citrus sinensis, 102609976, anthranilate N-methyltransferase-like isoform X2  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Citrus sinensis, 102627175, anthranilate N-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Citrus sinensis, 102625353, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Citrus sinensis, 102625166, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Citrus sinensis, 102626016, caffeic acid 3-O-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Citrus sinensis, 102613152, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Citrus sinensis, 102620276, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Citrus sinensis, 102610562, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Citrus sinensis, 102620338, anthranilate N-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Citrus sinensis, 102623705, caffeic acid 3-O-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Citrus sinensis, 102630642, caffeic acid 3-O-methyltransferase-like isoform X2  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Citrus sinensis, 102629454, anthranilate N-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Citrus sinensis, 102630331, anthranilate N-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Citrus sinensis, 102620533, anthranilate N-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Citrus sinensis, 102609664, anthranilate N-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Citrus sinensis, 102623037, caffeic acid 3-O-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Citrus sinensis, 102626202, caffeic acid 3-O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Citrus sinensis, 102630049, anthranilate N-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Citrus sinensis, 102617285, caffeic acid 3-O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Citrus sinensis, 102626109, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Citrus sinensis, 112496760, anthranilate N-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Citrus sinensis, 102621307, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Citrus sinensis, 102610871, anthranilate N-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Citrus sinensis, 102619591, probable cinnamyl alcohol dehydrogenase 1 isoform X1  [EC], ['EC:1.1.1.195'], KO:K00083
Citrus sinensis, 102607276, CAD; carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase  [EC], ['EC:1.1.1.195'], KO:K00083
Citrus sinensis, 102617066, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Citrus sinensis, 102578067, putative cinnamyl alcohol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Citrus sinensis, 102630907, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Citrus sinensis, 102618663, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Citrus sinensis, 102617916, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Citrus sinensis, 102618474, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Citrus sinensis, 102628004, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Citrus sinensis, 102618195, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Citrus sinensis, 102622715, LOW QUALITY PROTEIN: 1-Cys peroxiredoxin  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Citrus sinensis, 102619632, peroxidase 21-like  [EC], ['EC:1.11.1.7'], KO:K00430
Citrus sinensis, 102611127, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Citrus sinensis, 102620208, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Citrus sinensis, 102608175, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Citrus sinensis, 102611617, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Citrus sinensis, 102622610, peroxidase 17  [EC], ['EC:1.11.1.7'], KO:K00430
Citrus sinensis, 102610429, peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Citrus sinensis, 102627605, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Citrus sinensis, 102629997, peroxidase 4  [EC], ['EC:1.11.1.7'], KO:K00430
Citrus sinensis, 102631301, peroxidase 42  [EC], ['EC:1.11.1.7'], KO:K00430
Citrus sinensis, 102626547, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Citrus sinensis, 102626445, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Citrus sinensis, 102626253, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Citrus sinensis, 102620960, peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Citrus sinensis, 102619551, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Citrus sinensis, 102631019, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Citrus sinensis, 102606727, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Citrus sinensis, 102614012, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Citrus sinensis, 102628239, peroxidase 65-like  [EC], ['EC:1.11.1.7'], KO:K00430
Citrus sinensis, 102616942, peroxidase 27 isoform X2  [EC], ['EC:1.11.1.7'], KO:K00430
Citrus sinensis, 102617251, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Citrus sinensis, 102629434, peroxidase 7  [EC], ['EC:1.11.1.7'], KO:K00430
Citrus sinensis, 102610999, peroxidase 10 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Citrus sinensis, 102612190, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Citrus sinensis, 102630558, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Citrus sinensis, 102611532, peroxidase 40  [EC], ['EC:1.11.1.7'], KO:K00430
Citrus sinensis, 102612841, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Citrus sinensis, 102613137, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Citrus sinensis, 102624858, peroxidase 12  [EC], ['EC:1.11.1.7'], KO:K00430
Citrus sinensis, 102618017, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Citrus sinensis, 102617398, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Citrus sinensis, 102608531, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Citrus sinensis, 102608818, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Citrus sinensis, 102625757, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Citrus sinensis, 102617468, peroxidase 16  [EC], ['EC:1.11.1.7'], KO:K00430
Citrus sinensis, 102622157, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Citrus sinensis, 102619020, peroxidase 6  [EC], ['EC:1.11.1.7'], KO:K00430
Citrus sinensis, 102624908, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Citrus sinensis, 102630988, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Citrus sinensis, 102615479, peroxidase 13  [EC], ['EC:1.11.1.7'], KO:K00430
Citrus sinensis, 102626970, peroxidase 9  [EC], ['EC:1.11.1.7'], KO:K00430
Citrus sinensis, 102617846, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Citrus sinensis, 102612577, peroxidase 21  [EC], ['EC:1.11.1.7'], KO:K00430
Citrus sinensis, 102616075, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Citrus sinensis, 102621985, peroxidase 65-like  [EC], ['EC:1.11.1.7'], KO:K00430
Citrus sinensis, 102606807, peroxidase 60  [EC], ['EC:1.11.1.7'], KO:K00430
Citrus sinensis, 102620525, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Citrus sinensis, 102607425, peroxidase 43-like  [EC], ['EC:1.11.1.7'], KO:K00430
Citrus sinensis, 102612835, peroxidase 55-like  [EC], ['EC:1.11.1.7'], KO:K00430
Citrus sinensis, 102619401, probable peroxidase 61  [EC], ['EC:1.11.1.7'], KO:K00430
Citrus sinensis, 102620211, peroxidase 24-like  [EC], ['EC:1.11.1.7'], KO:K00430
Citrus sinensis, 102631310, peroxidase 66  [EC], ['EC:1.11.1.7'], KO:K00430
Citrus sinensis, 102629002, peroxidase 25 isoform X2  [EC], ['EC:1.11.1.7'], KO:K00430
Citrus sinensis, 102627290, peroxidase 60-like  [EC], ['EC:1.11.1.7'], KO:K00430
Citrus sinensis, 102613627, peroxidase 15-like  [EC], ['EC:1.11.1.7'], KO:K00430
Citrus sinensis, 102614227, peroxidase 15  [EC], ['EC:1.11.1.7'], KO:K00430
Citrus sinensis, 102614517, peroxidase 15-like  [EC], ['EC:1.11.1.7'], KO:K00430
Citrus sinensis, 107174216, peroxidase E5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Citrus sinensis, 102614803, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Citrus sinensis, 102615475, peroxidase 15-like  [EC], ['EC:1.11.1.7'], KO:K00430
Citrus sinensis, 102615778, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Citrus sinensis, 102606736, peroxidase 59-like  [EC], ['EC:1.11.1.7'], KO:K00430
Citrus sinensis, 102607325, peroxidase N-like  [EC], ['EC:1.11.1.7'], KO:K00430
Citrus sinensis, 102607919, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Citrus sinensis, 102613150, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Citrus sinensis, 102620804, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Citrus sinensis, 102621003, peroxidase 52-like  [EC], ['EC:1.11.1.7'], KO:K00430
Citrus sinensis, 102622699, peroxidase 29-like  [EC], ['EC:1.11.1.7'], KO:K00430
Citrus sinensis, 102607133, peroxidase 43-like  [EC], ['EC:1.11.1.7'], KO:K00430
Citrus sinensis, 102610813, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Citrus sinensis, 107177760, peroxidase 25-like  [EC], ['EC:1.11.1.7'], KO:K00430
Citrus sinensis, 112497252, uncharacterized protein LOC112497252  [EC], ['EC:1.11.1.7'], KO:K00430
Citrus sinensis, 102622741, LOW QUALITY PROTEIN: peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Citrus sinensis, 102631295, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Citrus sinensis, 102606694, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Citrus sinensis, 102618236, UDP-glycosyltransferase 72E1  [EC], ['EC:2.4.1.111'], KO:K12356
Citrus sinensis, 102606992, UDP-glycosyltransferase 72E1-like  [EC], ['EC:2.4.1.111'], KO:K12356
Citrus sinensis, 102629109, vicianin hydrolase-like  [EC], ['EC:3.2.1.21'], KO:K01188
Citrus sinensis, 102624507, beta-glucosidase 11-like  [EC], ['EC:3.2.1.21'], KO:K01188
Citrus sinensis, 102626910, beta-glucosidase 40  [EC], ['EC:3.2.1.21'], KO:K01188
Citrus sinensis, 102622210, beta-glucosidase 42  [EC], ['EC:3.2.1.21'], KO:K01188
Citrus sinensis, 102626583, beta-glucosidase 24-like isoform X2  [EC], ['EC:3.2.1.21'], KO:K01188
Citrus sinensis, 102625094, beta-glucosidase 11-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Citrus sinensis, 102624782, beta-glucosidase 11-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Citrus sinensis, 102629873, beta-glucosidase 13-like  [EC], ['EC:3.2.1.21'], KO:K01188
Citrus sinensis, 102629756, putative beta-glucosidase 41 isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Citrus sinensis, 102610687, beta-glucosidase 13-like  [EC], ['EC:3.2.1.21'], KO:K01188
Citrus sinensis, 102629593, beta-glucosidase 12-like  [EC], ['EC:3.2.1.21'], KO:K01188
Citrus sinensis, 102630164, beta-glucosidase 17-like isoform X3  [EC], ['EC:3.2.1.21'], KO:K01188
Citrus sinensis, 102614195, uncharacterized protein LOC102614195  [EC], ['EC:3.2.1.21'], KO:K01188
Citrus sinensis, 102614874, uncharacterized protein LOC102614874  [EC], ['EC:3.2.1.21'], KO:K05349
Citrus sinensis, 102611033, uncharacterized protein LOC102611033  [EC], ['EC:3.2.1.21'], KO:K05349
Citrus sinensis, 102619134, uncharacterized protein LOC102619134  [EC], ['EC:3.2.1.21'], KO:K05349
Citrus sinensis, 102608655, uncharacterized protein LOC102608655  [EC], ['EC:3.2.1.21'], KO:K05349
Citrus sinensis, 102608939, uncharacterized protein LOC102608939  [EC], ['EC:3.2.1.21'], KO:K05349
Citrus sinensis, 102627558, uncharacterized protein LOC102627558 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Citrus sinensis, 102613103, beta-glucosidase 18-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Citrus sinensis, 102608376, beta-glucosidase 46-like isoform X2  [EC], ['EC:3.2.1.21'], KO:K05350
Citrus sinensis, 102626414, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Citrus sinensis, 102611632, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Citrus sinensis, 102611865, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Citrus sinensis, 102626707, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Citrus sinensis, 102627000, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Citrus sinensis, 102607393, beta-glucosidase 46-like  [EC], ['EC:3.2.1.21'], KO:K05350
Citrus sinensis, 102616850, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Citrus sinensis, 102611531, feruloyl CoA ortho-hydroxylase 1  [EC], ['EC:1.14.11.61', 'EC:1.14.11.62'], KO:K23378
Citrus sinensis, 102611821, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61', 'EC:1.14.11.62'], KO:K23378
Citrus sinensis, 102612308, feruloyl CoA ortho-hydroxylase 1 isoform X1  [EC], ['EC:1.14.11.61', 'EC:1.14.11.62'], KO:K23378
Citrus sinensis, 102613413, feruloyl CoA ortho-hydroxylase 1  [EC], ['EC:1.14.11.61'], KO:K06892
Citrus sinensis, 102615067, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Citrus sinensis, 102615348, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Citrus sinensis, 102615640, scopoletin glucosyltransferase  [EC], ['EC:2.4.1.128'], KO:K23260
