Helianthus annuus, 110889408, 2-pyrone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Helianthus annuus, 110917901, leucoanthocyanidin reductase-like isoform X1  [EC], ['EC:1.17.1.3'], KO:K13081
Helianthus annuus, 110880003, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Helianthus annuus, 110873433, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Helianthus annuus, 110892436, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Helianthus annuus, 110884775, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Helianthus annuus, 110875676, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Helianthus annuus, 110875677, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Helianthus annuus, 110893966, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Helianthus annuus, 110886581, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Helianthus annuus, 110899761, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Helianthus annuus, 110899768, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Helianthus annuus, 110899811, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Helianthus annuus, 110899813, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Helianthus annuus, 110899814, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Helianthus annuus, 110932235, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Helianthus annuus, 110927050, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Helianthus annuus, 110921857, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Helianthus annuus, 110911294, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Helianthus annuus, 110918282, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Helianthus annuus, 110943793, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Helianthus annuus, 110941528, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Helianthus annuus, 110941579, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Helianthus annuus, 110941597, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Helianthus annuus, 110941600, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Helianthus annuus, 110941603, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Helianthus annuus, 110942795, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Helianthus annuus, 110941685, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Helianthus annuus, 110941920, shikimate O-hydroxycinnamoyltransferase-like isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Helianthus annuus, 110941922, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Helianthus annuus, 110941973, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Helianthus annuus, 110941975, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Helianthus annuus, 110941977, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Helianthus annuus, 110941978, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Helianthus annuus, 110941979, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Helianthus annuus, 110941982, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Helianthus annuus, 110939269, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Helianthus annuus, 110939422, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Helianthus annuus, 110944427, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Helianthus annuus, 110865896, cytochrome P450 98A3-like  [EC], ['EC:1.14.14.96'], KO:K09754
Helianthus annuus, 110895770, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Helianthus annuus, 110877518, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Helianthus annuus, 110866189, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Helianthus annuus, 110877050, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Helianthus annuus, 110877051, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Helianthus annuus, 110877052, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Helianthus annuus, 110877054, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Helianthus annuus, 110877055, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Helianthus annuus, 110877057, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Helianthus annuus, 110877080, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Helianthus annuus, 110885616, caffeoyl-CoA O-methyltransferase 1  [EC], ['EC:2.1.1.104'], KO:K00588
Helianthus annuus, 110885664, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Helianthus annuus, 110895909, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Helianthus annuus, 110903947, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Helianthus annuus, 110909813, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Helianthus annuus, 110909814, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Helianthus annuus, 110911104, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Helianthus annuus, 110915463, caffeoyl-CoA O-methyltransferase 1-like  [EC], ['EC:2.1.1.104'], KO:K00588
Helianthus annuus, 110917664, caffeoyl-CoA O-methyltransferase 5-like  [EC], ['EC:2.1.1.104'], KO:K00588
Helianthus annuus, 110926633, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Helianthus annuus, 110926634, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Helianthus annuus, 110943433, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Helianthus annuus, 110943439, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
