Beta vulgaris, 104898673, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Beta vulgaris, 104897576, flavonoid 3',5'-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Beta vulgaris, 104908900, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Beta vulgaris, 104883950, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Beta vulgaris, 104904880, cinnamoyl-CoA reductase 1  [EC], ['EC:1.2.1.44'], KO:K09753
Beta vulgaris, 104902157, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Beta vulgaris, 104902158, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Beta vulgaris, 104902160, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Beta vulgaris, 104895114, cytochrome P450 84A1  [EC], ['EC:1.14.-.-'], KO:K09755
Beta vulgaris, 104888149, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Beta vulgaris, 104887972, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Beta vulgaris, 104888150, caffeic acid 3-O-methyltransferase 2  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Beta vulgaris, 104901566, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Beta vulgaris, 104901795, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Beta vulgaris, 104902057, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Beta vulgaris, 104902142, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Beta vulgaris, 104902234, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Beta vulgaris, 104888557, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Beta vulgaris, 104897755, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Beta vulgaris, 104901641, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Beta vulgaris, 104901881, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Beta vulgaris, 104901967, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Beta vulgaris, 104895262, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Beta vulgaris, 104904943, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Beta vulgaris, 104884022, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Beta vulgaris, 104884006, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Beta vulgaris, 104903973, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Beta vulgaris, 104884628, 1-Cys peroxiredoxin  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Beta vulgaris, 104896595, peroxidase 9-like  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104907709, peroxidase 60  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104907706, peroxidase 44  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104906406, peroxidase 66  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104906405, peroxidase 66  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104906403, peroxidase 66-like  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104906740, peroxidase 17  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104905983, peroxidase 46  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104901785, peroxidase 57  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104902035, peroxidase 25  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104903391, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104903392, peroxidase 4  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104903393, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104903405, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104903407, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104903258, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104898696, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104908146, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104908142, peroxidase 44  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104908145, peroxidase 57  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104886536, peroxidase 16  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104891619, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104893313, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104889296, peroxidase 9  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104908326, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104908331, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104890652, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104890653, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104887004, peroxidase 63  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104888137, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104888139, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104888470, peroxidase 40  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104908933, peroxidase 21  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104889892, peroxidase N  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104908461, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104896177, peroxidase 12  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104896185, peroxidase 12  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104888140, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104888862, probable peroxidase 61  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104888456, peroxidase 29  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104890480, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104908259, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104908267, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104908274, peroxidase 52-like  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104908318, peroxidase 4  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104890728, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104909106, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104882950, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104896191, peroxidase 12  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104896200, peroxidase 12  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104896205, peroxidase 12  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104888141, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104888143, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104892966, peroxidase 20  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104899473, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104898200, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104898207, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104896361, peroxidase 57  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104898181, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104894932, peroxidase 51  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104897257, peroxidase 6  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104894931, peroxidase 50  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104895045, peroxidase 27  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104895046, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104895083, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104895079, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104895080, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104895081, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104895261, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104896291, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104900269, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104900273, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104900272, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104900274, peroxidase 4  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104900294, peroxidase 57  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104900295, peroxidase 57  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104900296, peroxidase 57  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104896295, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104900470, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104900474, peroxidase 60-like  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104898866, peroxidase 7  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104900291, peroxidase 57  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104900292, peroxidase 57  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104900297, peroxidase 57  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104900298, peroxidase 57  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104900299, peroxidase 57  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104898205, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104898206, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104898208, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104900996, peroxidase 42  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104895082, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104900592, peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104898204, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Beta vulgaris, 104884703, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Beta vulgaris, 104884711, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Beta vulgaris, 104907184, beta-glucosidase BoGH3B  [EC], ['EC:3.2.1.21'], KO:K05349
Beta vulgaris, 104909120, beta-glucosidase BoGH3B  [EC], ['EC:3.2.1.21'], KO:K05349
Beta vulgaris, 104894964, beta-glucosidase BoGH3B  [EC], ['EC:3.2.1.21'], KO:K05349
Beta vulgaris, 104893418, beta-glucosidase BoGH3B  [EC], ['EC:3.2.1.21'], KO:K05349
Beta vulgaris, 104900440, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Beta vulgaris, 104899896, beta-glucosidase BoGH3B  [EC], ['EC:3.2.1.21'], KO:K05349
Beta vulgaris, 104894525, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Beta vulgaris, 104882831, beta-glucosidase 46-like  [EC], ['EC:3.2.1.21'], KO:K05350
Beta vulgaris, 104891604, beta-glucosidase 18-like  [EC], ['EC:3.2.1.21'], KO:K05350
Beta vulgaris, 104891605, beta-glucosidase 18-like  [EC], ['EC:3.2.1.21'], KO:K05350
Beta vulgaris, 104900375, beta-glucosidase 44  [EC], ['EC:3.2.1.21'], KO:K05350
Beta vulgaris, 104889861, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Beta vulgaris, 104886928, scopoletin glucosyltransferase  [EC], ['EC:2.4.1.128'], KO:K23260
Beta vulgaris, 104896294, scopoletin glucosyltransferase  [EC], ['EC:2.4.1.128'], KO:K23260
Beta vulgaris, 104904983, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Beta vulgaris, 104904986, scopoletin glucosyltransferase  [EC], ['EC:2.4.1.128'], KO:K23260
Beta vulgaris, 104904988, scopoletin glucosyltransferase  [EC], ['EC:2.4.1.128'], KO:K23260
Beta vulgaris, 104904984, scopoletin glucosyltransferase  [EC], ['EC:2.4.1.128'], KO:K23260
Beta vulgaris, 104904123, scopoletin glucosyltransferase  [EC], ['EC:2.4.1.128'], KO:K23260
Beta vulgaris, 104904124, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
