Nicotiana tomentosiformis, phenylalanine ammonia-lyase G4-like, KO:K10775, EC:4.3.1.24, Nicotiana tomentosiformis, phenylalanine ammonia-lyase G4-like, KO:K10775, EC:4.3.1.24, 
Nicotiana tomentosiformis, phenylalanine ammonia-lyase, KO:K10775, EC:4.3.1.24, Nicotiana tomentosiformis, phenylalanine ammonia-lyase, KO:K10775, 
spermidine hydroxycinnamoyl transferase, KO:K13065, EC:2.3.1.133, Nicotiana tomentosiformis, vinorine synthase-like, KO:K13065, EC:2.3.1.133, 
Nicotiana tomentosiformis, shikimate O-hydroxycinnamoyltransferase-like isoform X1, KO:K13065, EC:2.3.1.133, Nicotiana tomentosiformis, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like, KO:K13065, 
EC:2.3.1.133, Nicotiana tomentosiformis, vinorine synthase-like, KO:K13065, EC:2.3.1.133, Nicotiana tomentosiformis, agmatine coumaroyltransferase-2-like, 
KO:K13065, EC:2.3.1.133, Nicotiana tomentosiformis, acylsugar acyltransferase 3-like, KO:K13065, EC:2.3.1.133, Nicotiana tomentosiformis, 
omega-hydroxypalmitate O-feruloyl transferase, KO:K13065, EC:2.3.1.133, Nicotiana tomentosiformis, acetyl-CoA-benzylalcohol acetyltransferase-like, KO:K13065, EC:2.3.1.133, 
Nicotiana tomentosiformis, agmatine coumaroyltransferase-2-like, KO:K13065, EC:2.3.1.133, Nicotiana tomentosiformis, acylsugar acyltransferase 3-like, KO:K13065, 
EC:2.3.1.133, Nicotiana tomentosiformis, acetyl-CoA-benzylalcohol acetyltransferase-like, KO:K13065, EC:2.3.1.133, Nicotiana tomentosiformis, agmatine coumaroyltransferase-2-like, 
KO:K13065, EC:2.3.1.133, Nicotiana tomentosiformis, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like, KO:K13065, EC:2.3.1.133, Nicotiana tomentosiformis, 
shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, Nicotiana tomentosiformis, agmatine coumaroyltransferase-2-like, KO:K13065, EC:2.3.1.133, 
Nicotiana tomentosiformis, acylsugar acyltransferase 3-like, KO:K13065, EC:2.3.1.133, Nicotiana tomentosiformis, cytochrome P450 98A2-like, KO:K09754, 
EC:1.14.14.96, Nicotiana tomentosiformis, cytochrome P450 98A2-like, KO:K09754, EC:1.14.14.96, Nicotiana tomentosiformis, cytochrome P450 98A2-like isoform X1, 
KO:K09754, EC:1.14.14.96, Nicotiana tomentosiformis, cytochrome P450 98A3-like, KO:K09754, EC:1.14.14.96, Nicotiana tomentosiformis, 
caffeoylshikimate esterase isoform X1, KO:K18368, EC:3.1.1.-, Nicotiana tomentosiformis, caffeoylshikimate esterase-like, KO:K18368, EC:3.1.1.-, 
Nicotiana tomentosiformis, caffeoylshikimate esterase, KO:K18368, EC:3.1.1.-, Nicotiana tomentosiformis, caffeoylshikimate esterase-like isoform X1, KO:K18368, 
EC:3.1.1.-, Nicotiana tomentosiformis, caffeoylshikimate esterase, KO:K18368, EC:3.1.1.-, Nicotiana tomentosiformis, caffeoyl-CoA O-methyltransferase 5, 
KO:K00588, EC:2.1.1.104, Nicotiana tomentosiformis, caffeoyl-CoA O-methyltransferase 2, KO:K00588, EC:2.1.1.104, Nicotiana tomentosiformis, 
caffeoyl-CoA O-methyltransferase 3, KO:K00588, EC:2.1.1.104, Nicotiana tomentosiformis, probable caffeoyl-CoA O-methyltransferase At4g26220, KO:K00588, EC:2.1.1.104, 
Nicotiana tomentosiformis, caffeoyl-CoA O-methyltransferase 6, KO:K00588, EC:2.1.1.104, Nicotiana tomentosiformis, probable caffeoyl-CoA O-methyltransferase At4g26220, KO:K00588, 
EC:2.1.1.104, Nicotiana tomentosiformis, cinnamoyl-CoA reductase 2-like, KO:K09753, EC:1.2.1.44, Nicotiana tomentosiformis, cinnamoyl-CoA reductase 1-like, 
KO:K09753, EC:1.2.1.44, Nicotiana tomentosiformis, aldehyde dehydrogenase family 2 member C4 isoform X1, KO:K12355, EC:1.2.1.68, Nicotiana tomentosiformis, 
LOW QUALITY PROTEIN: caffeic acid 3-O-methyltransferase, KO:K13066, EC:2.1.1.68, Nicotiana tomentosiformis, caffeic acid 3-O-methyltransferase-like isoform X1, KO:K13066, EC:2.1.1.68, 
Nicotiana tomentosiformis, caffeic acid 3-O-methyltransferase-like, KO:K13066, EC:2.1.1.68, Nicotiana tomentosiformis, caffeic acid 3-O-methyltransferase 1-like, KO:K13066, 
EC:2.1.1.68, Nicotiana tomentosiformis, probable cinnamyl alcohol dehydrogenase 1, KO:K00083, EC:1.1.1.195, Nicotiana tomentosiformis, probable cinnamyl alcohol dehydrogenase 1, 
KO:K00083, EC:1.1.1.195, Nicotiana tomentosiformis, probable cinnamyl alcohol dehydrogenase 6, KO:K00083, EC:1.1.1.195, Nicotiana tomentosiformis, 
probable cinnamyl alcohol dehydrogenase 6, KO:K00083, EC:1.1.1.195, Nicotiana tomentosiformis, flavin-dependent oxidoreductase FOX2-like, KO:K22395, EC:1.1.1.195, 
Nicotiana tomentosiformis, reticuline oxidase-like, KO:K22395, EC:1.1.1.195, Nicotiana tomentosiformis, reticuline oxidase-like, KO:K22395, 
EC:1.1.1.195, Nicotiana tomentosiformis, reticuline oxidase-like, KO:K22395, EC:1.1.1.195, Nicotiana tomentosiformis, flavin-dependent oxidoreductase FOX1-like, 
KO:K22395, EC:1.1.1.195, Nicotiana tomentosiformis, flavin-dependent oxidoreductase FOX2-like, KO:K22395, EC:1.1.1.195, Nicotiana tomentosiformis, 
1-Cys peroxiredoxin, KO:K11188, EC:1.11.1.7 1.11.1.27 3.1.1.-, Nicotiana tomentosiformis, lignin-forming anionic peroxidase-like, KO:K00430, EC:1.11.1.7, 
Nicotiana tomentosiformis, peroxidase 43-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, cationic peroxidase 2-like, KO:K00430, 
EC:1.11.1.7, Nicotiana tomentosiformis, peroxidase 17-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, peroxidase 63-like, 
KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, peroxidase 72-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 
cationic peroxidase 1-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, peroxidase 2-like, KO:K00430, EC:1.11.1.7, 
Nicotiana tomentosiformis, peroxidase 2-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, putative Peroxidase 48, KO:K00430, 
EC:1.11.1.7, Nicotiana tomentosiformis, peroxidase 3-like isoform X2, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, lignin-forming anionic peroxidase, 
KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, peroxidase N isoform X1, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 
peroxidase 3-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, peroxidase 5-like, KO:K00430, EC:1.11.1.7, 
Nicotiana tomentosiformis, cationic peroxidase 1-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, peroxidase 5-like, KO:K00430, 
EC:1.11.1.7, Nicotiana tomentosiformis, peroxidase 72-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, peroxidase 44, 
KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, lignin-forming anionic peroxidase-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 
peroxidase 60, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, putative Peroxidase 48, KO:K00430, EC:1.11.1.7, 
Nicotiana tomentosiformis, peroxidase P7-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, peroxidase P7-like, KO:K00430, 
EC:1.11.1.7, Nicotiana tomentosiformis, peroxidase 19, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, probable peroxidase 61, 
KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, peroxidase 40-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 
suberization-associated anionic peroxidase-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, suberization-associated anionic peroxidase-like, KO:K00430, EC:1.11.1.7, 
Nicotiana tomentosiformis, peroxidase 41-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, peroxidase 64-like, KO:K00430, 
EC:1.11.1.7, Nicotiana tomentosiformis, peroxidase 64-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, peroxidase 7, 
KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, lignin-forming anionic peroxidase-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 
peroxidase 29-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, peroxidase 12-like, KO:K00430, EC:1.11.1.7, 
Nicotiana tomentosiformis, peroxidase 12-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, peroxidase P7-like, KO:K00430, 
EC:1.11.1.7, Nicotiana tomentosiformis, peroxidase 21-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, lignin-forming anionic peroxidase, 
KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, peroxidase 24-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 
peroxidase 12-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, peroxidase 64-like, KO:K00430, EC:1.11.1.7, 
Nicotiana tomentosiformis, peroxidase 64-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, peroxidase 27-like, KO:K00430, 
EC:1.11.1.7, Nicotiana tomentosiformis, peroxidase 27-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, peroxidase 27-like, 
KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, peroxidase 64-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 
cationic peroxidase 1-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, peroxidase 15-like, KO:K00430, EC:1.11.1.7, 
Nicotiana tomentosiformis, peroxidase 64-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, peroxidase 41-like, KO:K00430, 
EC:1.11.1.7, Nicotiana tomentosiformis, peroxidase 11, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, peroxidase 47, 
KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, peroxidase 51-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 
peroxidase 66, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, peroxidase 46 isoform X1, KO:K00430, EC:1.11.1.7, 
Nicotiana tomentosiformis, peroxidase 10-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, peroxidase 3, KO:K00430, 
EC:1.11.1.7, Nicotiana tomentosiformis, peroxidase 27-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, peroxidase 3-like, 
KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, peroxidase 43-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 
peroxidase 24-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, peroxidase 72-like, KO:K00430, EC:1.11.1.7, 
Nicotiana tomentosiformis, peroxidase 10-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, peroxidase 3-like, KO:K00430, 
EC:1.11.1.7, Nicotiana tomentosiformis, peroxidase 16-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, peroxidase 9, 
KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, lignin-forming anionic peroxidase-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 
peroxidase 55, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, peroxidase 16-like, KO:K00430, EC:1.11.1.7, 
Nicotiana tomentosiformis, peroxidase 72-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, suberization-associated anionic peroxidase-like, KO:K00430, 
EC:1.11.1.7, Nicotiana tomentosiformis, peroxidase 42, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, peroxidase N1, 
KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, putative Peroxidase 48 isoform X1, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 
peroxidase 6-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, peroxidase 27-like, KO:K00430, EC:1.11.1.7, 
Nicotiana tomentosiformis, peroxidase 21, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, peroxidase 44-like, KO:K00430, 
EC:1.11.1.7, Nicotiana tomentosiformis, peroxidase 5-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, lignin-forming anionic peroxidase-like, 
KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, peroxidase 27-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 
peroxidase 5-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, peroxidase 51-like, KO:K00430, EC:1.11.1.7, 
Nicotiana tomentosiformis, peroxidase 17, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, peroxidase 3-like, KO:K00430, 
EC:1.11.1.7, Nicotiana tomentosiformis, peroxidase 3-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, suberization-associated anionic peroxidase 1-like, 
KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, cationic peroxidase 1-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 
peroxidase 5-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, peroxidase 72, KO:K00430, EC:1.11.1.7, 
Nicotiana tomentosiformis, peroxidase 9-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, peroxidase 44-like, KO:K00430, 
EC:1.11.1.7, Nicotiana tomentosiformis, peroxidase 3-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, peroxidase 43-like, 
KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, peroxidase 25, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 
peroxidase 57-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, anthocyanidin 3-O-glucosyltransferase 5-like, KO:K12356, EC:2.4.1.111, 
Nicotiana tomentosiformis, anthocyanidin 3-O-glucosyltransferase 5-like, KO:K12356, EC:2.4.1.111, Nicotiana tomentosiformis, anthocyanidin 3-O-glucosyltransferase 5-like, KO:K12356, 
EC:2.4.1.111, Nicotiana tomentosiformis, anthocyanidin 3-O-glucosyltransferase 5-like isoform X2, KO:K12356, EC:2.4.1.111, Nicotiana tomentosiformis, anthocyanidin 3-O-glucosyltransferase 5-like, 
KO:K12356, EC:2.4.1.111, Nicotiana tomentosiformis, beta-glucosidase 11-like, KO:K01188, EC:3.2.1.21, Nicotiana tomentosiformis, 
beta-glucosidase 42, KO:K01188, EC:3.2.1.21, Nicotiana tomentosiformis, putative beta-glucosidase 41 isoform X1, KO:K01188, EC:3.2.1.21, 
Nicotiana tomentosiformis, beta-glucosidase 40 isoform X2, KO:K01188, EC:3.2.1.21, Nicotiana tomentosiformis, lysosomal beta glucosidase-like, KO:K05349, 
EC:3.2.1.21, Nicotiana tomentosiformis, uncharacterized protein LOC104111787, KO:K05349, EC:3.2.1.21, Nicotiana tomentosiformis, uncharacterized protein LOC104085852, 
KO:K05349, EC:3.2.1.21, Nicotiana tomentosiformis, uncharacterized protein LOC104104561, KO:K05349, EC:3.2.1.21, Nicotiana tomentosiformis, 
uncharacterized protein LOC104112704, KO:K05349, EC:3.2.1.21, Nicotiana tomentosiformis, uncharacterized protein LOC104102999 isoform X1, KO:K05349, EC:3.2.1.21, 
Nicotiana tomentosiformis, uncharacterized protein LOC104103000 isoform X1, KO:K05349, EC:3.2.1.21, Nicotiana tomentosiformis, uncharacterized protein LOC104091760, KO:K05349, 
EC:3.2.1.21, Nicotiana tomentosiformis, uncharacterized protein LOC104098373, KO:K05349, EC:3.2.1.21, Nicotiana tomentosiformis, uncharacterized protein LOC104114036, 
KO:K05349, EC:3.2.1.21, Nicotiana tomentosiformis, beta-glucosidase 18, KO:K05350, EC:3.2.1.21, Nicotiana tomentosiformis, 
beta-glucosidase 18-like isoform X1, KO:K05350, EC:3.2.1.21, Nicotiana tomentosiformis, beta-glucosidase 18-like isoform X1, KO:K05350, EC:3.2.1.21, 
Nicotiana tomentosiformis, beta-glucosidase 18-like, KO:K05350, EC:3.2.1.21, Nicotiana tomentosiformis, beta-glucosidase 18-like, KO:K05350, 
EC:3.2.1.21, Nicotiana tomentosiformis, beta-glucosidase 18-like, KO:K05350, EC:3.2.1.21, Nicotiana tomentosiformis, beta-glucosidase 44-like, 
KO:K05350, EC:3.2.1.21, Nicotiana tomentosiformis, beta-glucosidase 18-like, KO:K05350, EC:3.2.1.21, Nicotiana tomentosiformis, 
beta-glucosidase 18-like, KO:K05350, EC:3.2.1.21, Nicotiana tomentosiformis, beta-glucosidase 44-like, KO:K05350, EC:3.2.1.21, 
Nicotiana tomentosiformis, feruloyl CoA ortho-hydroxylase 2-like, KO:K06892, EC:1.14.11.61, Nicotiana tomentosiformis, feruloyl CoA ortho-hydroxylase 1-like, KO:K06892, 
EC:1.14.11.61, Nicotiana tomentosiformis, feruloyl CoA ortho-hydroxylase 2-like, KO:K06892, EC:1.14.11.61, Nicotiana tomentosiformis, feruloyl CoA ortho-hydroxylase 2-like, 
KO:K06892, EC:1.14.11.61, Nicotiana tomentosiformis, feruloyl CoA ortho-hydroxylase 2-like, KO:K06892, EC:1.14.11.61, Nicotiana tomentosiformis, 
feruloyl CoA ortho-hydroxylase 1-like, KO:K06892, EC:1.14.11.61, Nicotiana tomentosiformis, feruloyl CoA ortho-hydroxylase 1-like, KO:K06892, EC:1.14.11.61, 
Nicotiana tomentosiformis, scopoletin glucosyltransferase-like, KO:K23260, EC:2.4.1.128, Nicotiana tomentosiformis, scopoletin glucosyltransferase, KO:K23260, 
EC:2.4.1.128, 
