Theobroma cacao, phenylalanine ammonia-lyase, KO:K10775, EC:4.3.1.24, Theobroma cacao, phenylalanine ammonia-lyase, KO:K10775, EC:4.3.1.24, 
Theobroma cacao, phenylalanine ammonia-lyase G4, KO:K10775, EC:4.3.1.24, Theobroma cacao, cytochrome P450 CYP73A100, KO:K00487, 
Theobroma cacao, shikimate O-hydroxycinnamoyltransferase, KO:K13065, EC:2.3.1.133, Theobroma cacao, shikimate O-hydroxycinnamoyltransferase, KO:K13065, 
EC:2.3.1.133, Theobroma cacao, shikimate O-hydroxycinnamoyltransferase, KO:K13065, EC:2.3.1.133, Theobroma cacao, vinorine synthase-like, 
KO:K13065, EC:2.3.1.133, Theobroma cacao, vinorine synthase, KO:K13065, EC:2.3.1.133, Theobroma cacao, 
shikimate O-hydroxycinnamoyltransferase, KO:K13065, EC:2.3.1.133, Theobroma cacao, shikimate O-hydroxycinnamoyltransferase, KO:K13065, EC:2.3.1.133, 
Theobroma cacao, vinorine synthase, KO:K13065, EC:2.3.1.133, Theobroma cacao, omega-hydroxypalmitate O-feruloyl transferase, KO:K13065, 
EC:2.3.1.133, Theobroma cacao, shikimate O-hydroxycinnamoyltransferase, KO:K13065, EC:2.3.1.133, Theobroma cacao, vinorine synthase, 
KO:K13065, EC:2.3.1.133, Theobroma cacao, cytochrome P450 98A2, KO:K09754, EC:1.14.14.96, Theobroma cacao, 
caffeoylshikimate esterase, KO:K18368, EC:3.1.1.-, Theobroma cacao, caffeoylshikimate esterase, KO:K18368, EC:3.1.1.-, 
Theobroma cacao, caffeoylshikimate esterase, KO:K18368, EC:3.1.1.-, Theobroma cacao, caffeoylshikimate esterase, KO:K18368, 
EC:3.1.1.-, Theobroma cacao, caffeoylshikimate esterase, KO:K18368, EC:3.1.1.-, Theobroma cacao, caffeoyl-CoA O-methyltransferase, 
KO:K00588, EC:2.1.1.104, Theobroma cacao, caffeoyl-CoA O-methyltransferase, KO:K00588, EC:2.1.1.104, Theobroma cacao, 
flavonoid 3',5'-methyltransferase, KO:K00588, EC:2.1.1.104, Theobroma cacao, flavonoid 3',5'-methyltransferase, KO:K00588, EC:2.1.1.104, 
Theobroma cacao, putative caffeoyl-CoA O-methyltransferase At1g67980, KO:K00588, EC:2.1.1.104, Theobroma cacao, flavonoid 3',5'-methyltransferase, KO:K00588, 
EC:2.1.1.104, Theobroma cacao, probable caffeoyl-CoA O-methyltransferase At4g26220, KO:K00588, EC:2.1.1.104, Theobroma cacao, cinnamoyl-CoA reductase 1, 
KO:K09753, EC:1.2.1.44, Theobroma cacao, aldehyde dehydrogenase family 2 member C4, KO:K12355, EC:1.2.1.68, Theobroma cacao, 
caffeic acid 3-O-methyltransferase-like, KO:K13066, EC:2.1.1.68, Theobroma cacao, caffeic acid 3-O-methyltransferase, KO:K13066, EC:2.1.1.68, 
Theobroma cacao, caffeic acid 3-O-methyltransferase 1, KO:K13066, EC:2.1.1.68, Theobroma cacao, caffeic acid 3-O-methyltransferase, KO:K13066, 
EC:2.1.1.68, Theobroma cacao, caffeic acid 3-O-methyltransferase, KO:K13066, EC:2.1.1.68, Theobroma cacao, caffeic acid 3-O-methyltransferase, 
KO:K13066, EC:2.1.1.68, Theobroma cacao, caffeic acid 3-O-methyltransferase, KO:K13066, EC:2.1.1.68, Theobroma cacao, 
caffeic acid 3-O-methyltransferase, KO:K13066, EC:2.1.1.68, Theobroma cacao, caffeic acid 3-O-methyltransferase, KO:K13066, EC:2.1.1.68, 
Theobroma cacao, caffeic acid 3-O-methyltransferase-like, KO:K13066, EC:2.1.1.68, Theobroma cacao, caffeic acid 3-O-methyltransferase, KO:K13066, 
EC:2.1.1.68, Theobroma cacao, caffeic acid 3-O-methyltransferase, KO:K13066, EC:2.1.1.68, Theobroma cacao, cinnamyl alcohol dehydrogenase 1, 
KO:K00083, EC:1.1.1.195, Theobroma cacao, probable cinnamyl alcohol dehydrogenase 1, KO:K00083, EC:1.1.1.195, Theobroma cacao, 
probable cinnamyl alcohol dehydrogenase 6, KO:K00083, EC:1.1.1.195, Theobroma cacao, probable cinnamyl alcohol dehydrogenase 9, KO:K00083, EC:1.1.1.195, 
Theobroma cacao, flavin-dependent oxidoreductase FOX2, KO:K22395, EC:1.1.1.195, Theobroma cacao, flavin-dependent oxidoreductase FOX2, KO:K22395, 
EC:1.1.1.195, Theobroma cacao, reticuline oxidase, KO:K22395, EC:1.1.1.195, Theobroma cacao, 1-Cys peroxiredoxin, 
KO:K11188, EC:1.11.1.7 1.11.1.27 3.1.1.-, Theobroma cacao, cationic peroxidase 1-like, KO:K00430, EC:1.11.1.7, Theobroma cacao, 
peroxidase N, KO:K00430, EC:1.11.1.7, Theobroma cacao, peroxidase 16, KO:K00430, EC:1.11.1.7, 
Theobroma cacao, peroxidase 15, KO:K00430, EC:1.11.1.7, Theobroma cacao, peroxidase 21, KO:K00430, 
EC:1.11.1.7, Theobroma cacao, peroxidase 4, KO:K00430, EC:1.11.1.7, Theobroma cacao, peroxidase 25, 
KO:K00430, EC:1.11.1.7, Theobroma cacao, peroxidase 5, KO:K00430, EC:1.11.1.7, Theobroma cacao, 
peroxidase 46, KO:K00430, EC:1.11.1.7, Theobroma cacao, peroxidase A2, KO:K00430, EC:1.11.1.7, 
Theobroma cacao, peroxidase 4-like, KO:K00430, EC:1.11.1.7, Theobroma cacao, peroxidase 47, KO:K00430, 
EC:1.11.1.7, Theobroma cacao, peroxidase 3, KO:K00430, EC:1.11.1.7, Theobroma cacao, peroxidase 72, 
KO:K00430, EC:1.11.1.7, Theobroma cacao, lignin-forming anionic peroxidase, KO:K00430, EC:1.11.1.7, Theobroma cacao, 
peroxidase 66, KO:K00430, EC:1.11.1.7, Theobroma cacao, lignin-forming anionic peroxidase, KO:K00430, EC:1.11.1.7, 
Theobroma cacao, peroxidase N1, KO:K00430, EC:1.11.1.7, Theobroma cacao, lignin-forming anionic peroxidase, KO:K00430, 
EC:1.11.1.7, Theobroma cacao, peroxidase 3, KO:K00430, EC:1.11.1.7, Theobroma cacao, cationic peroxidase 2, 
KO:K00430, EC:1.11.1.7, Theobroma cacao, peroxidase 20, KO:K00430, EC:1.11.1.7, Theobroma cacao, 
peroxidase 31, KO:K00430, EC:1.11.1.7, Theobroma cacao, peroxidase N1, KO:K00430, EC:1.11.1.7, 
Theobroma cacao, peroxidase 27, KO:K00430, EC:1.11.1.7, Theobroma cacao, peroxidase 10, KO:K00430, 
EC:1.11.1.7, Theobroma cacao, peroxidase 11, KO:K00430, EC:1.11.1.7, Theobroma cacao, lignin-forming anionic peroxidase, 
KO:K00430, EC:1.11.1.7, Theobroma cacao, cationic peroxidase 2, KO:K00430, EC:1.11.1.7, Theobroma cacao, 
peroxidase 64, KO:K00430, EC:1.11.1.7, Theobroma cacao, peroxidase 17, KO:K00430, EC:1.11.1.7, 
Theobroma cacao, peroxidase P7, KO:K00430, EC:1.11.1.7, Theobroma cacao, peroxidase 73, KO:K00430, 
EC:1.11.1.7, Theobroma cacao, peroxidase 10, KO:K00430, EC:1.11.1.7, Theobroma cacao, peroxidase N1, 
KO:K00430, EC:1.11.1.7, Theobroma cacao, cationic peroxidase 2, KO:K00430, EC:1.11.1.7, Theobroma cacao, 
peroxidase N1, KO:K00430, EC:1.11.1.7, Theobroma cacao, peroxidase 43, KO:K00430, EC:1.11.1.7, 
Theobroma cacao, peroxidase 70, KO:K00430, EC:1.11.1.7, Theobroma cacao, peroxidase 31, KO:K00430, 
EC:1.11.1.7, Theobroma cacao, lignin-forming anionic peroxidase, KO:K00430, EC:1.11.1.7, Theobroma cacao, peroxidase 60, 
KO:K00430, EC:1.11.1.7, Theobroma cacao, probable peroxidase 61, KO:K00430, EC:1.11.1.7, Theobroma cacao, 
cationic peroxidase 1, KO:K00430, EC:1.11.1.7, Theobroma cacao, peroxidase 70, KO:K00430, EC:1.11.1.7, 
Theobroma cacao, peroxidase 31, KO:K00430, EC:1.11.1.7, Theobroma cacao, peroxidase 5, KO:K00430, 
EC:1.11.1.7, Theobroma cacao, peroxidase 70, KO:K00430, EC:1.11.1.7, Theobroma cacao, peroxidase 45, 
KO:K00430, EC:1.11.1.7, Theobroma cacao, peroxidase 55, KO:K00430, EC:1.11.1.7, Theobroma cacao, 
peroxidase 5, KO:K00430, EC:1.11.1.7, Theobroma cacao, peroxidase 15, KO:K00430, EC:1.11.1.7, 
Theobroma cacao, peroxidase 29, KO:K00430, EC:1.11.1.7, Theobroma cacao, peroxidase 55-like, KO:K00430, 
EC:1.11.1.7, Theobroma cacao, peroxidase 55, KO:K00430, EC:1.11.1.7, Theobroma cacao, peroxidase 40, 
KO:K00430, EC:1.11.1.7, Theobroma cacao, peroxidase 44, KO:K00430, EC:1.11.1.7, Theobroma cacao, 
putative Peroxidase 48, KO:K00430, EC:1.11.1.7, Theobroma cacao, peroxidase 42, KO:K00430, EC:1.11.1.7, 
Theobroma cacao, peroxidase 9, KO:K00430, EC:1.11.1.7, Theobroma cacao, peroxidase 19, KO:K00430, 
EC:1.11.1.7, Theobroma cacao, peroxidase 64, KO:K00430, EC:1.11.1.7, Theobroma cacao, peroxidase 12, 
KO:K00430, EC:1.11.1.7, Theobroma cacao, peroxidase P7, KO:K00430, EC:1.11.1.7, Theobroma cacao, 
peroxidase P7, KO:K00430, EC:1.11.1.7, Theobroma cacao, putative Peroxidase 48, KO:K00430, EC:1.11.1.7, 
Theobroma cacao, peroxidase 4, KO:K00430, EC:1.11.1.7, Theobroma cacao, peroxidase 13, KO:K00430, 
EC:1.11.1.7, Theobroma cacao, anthocyanidin 3-O-glucosyltransferase 5, KO:K12356, EC:2.4.1.111, Theobroma cacao, UDP-glycosyltransferase 72E1, 
KO:K12356, EC:2.4.1.111, Theobroma cacao, UDP-glycosyltransferase 72E1, KO:K12356, EC:2.4.1.111, Theobroma cacao, 
anthocyanidin 3-O-glucosyltransferase 5, KO:K12356, EC:2.4.1.111, Theobroma cacao, UDP-glycosyltransferase 72E1, KO:K12356, EC:2.4.1.111, 
Theobroma cacao, anthocyanidin 3-O-glucosyltransferase 5, KO:K12356, EC:2.4.1.111, Theobroma cacao, anthocyanidin 3-O-glucosyltransferase 5, KO:K12356, 
EC:2.4.1.111, Theobroma cacao, beta-glucosidase 11, KO:K01188, EC:3.2.1.21, Theobroma cacao, putative beta-glucosidase 41, 
KO:K01188, EC:3.2.1.21, Theobroma cacao, beta-glucosidase 42, KO:K01188, EC:3.2.1.21, Theobroma cacao, 
beta-glucosidase 40, KO:K01188, EC:3.2.1.21, Theobroma cacao, beta-glucosidase BoGH3B, KO:K05349, EC:3.2.1.21, 
Theobroma cacao, beta-glucosidase BoGH3B, KO:K05349, EC:3.2.1.21, Theobroma cacao, beta-glucosidase BoGH3B, KO:K05349, 
EC:3.2.1.21, Theobroma cacao, beta-glucosidase BoGH3B, KO:K05349, EC:3.2.1.21, Theobroma cacao, beta-glucosidase BoGH3B-like, 
KO:K05349, EC:3.2.1.21, Theobroma cacao, beta-glucosidase BoGH3B, KO:K05349, EC:3.2.1.21, Theobroma cacao, 
beta-glucosidase 44, KO:K05350, EC:3.2.1.21, Theobroma cacao, beta-glucosidase 44, KO:K05350, EC:3.2.1.21, 
Theobroma cacao, beta-glucosidase 44, KO:K05350, EC:3.2.1.21, Theobroma cacao, beta-glucosidase 44, KO:K05350, 
EC:3.2.1.21, Theobroma cacao, beta-glucosidase 18, KO:K05350, EC:3.2.1.21, Theobroma cacao, beta-glucosidase 46, 
KO:K05350, EC:3.2.1.21, Theobroma cacao, beta-glucosidase 46, KO:K05350, EC:3.2.1.21, Theobroma cacao, 
beta-glucosidase 47, KO:K05350, EC:3.2.1.21, Theobroma cacao, feruloyl CoA ortho-hydroxylase 2, KO:K06892, EC:1.14.11.61, 
Theobroma cacao, feruloyl CoA ortho-hydroxylase 1, KO:K06892, EC:1.14.11.61, Theobroma cacao, scopoletin glucosyltransferase, KO:K23260, 
EC:2.4.1.128, Theobroma cacao, scopoletin glucosyltransferase, KO:K23260, EC:2.4.1.128, Theobroma cacao, scopoletin glucosyltransferase, 
KO:K23260, EC:2.4.1.128, Theobroma cacao, scopoletin glucosyltransferase, KO:K23260, EC:2.4.1.128, Theobroma cacao, 
scopoletin glucosyltransferase, KO:K23260, EC:2.4.1.128, 
