Quercus suber, chalcone synthase-like, KO:K00660, EC:2.3.1.74, Quercus suber, chalcone synthase-like, KO:K00660, EC:2.3.1.74, 
Quercus suber, chalcone synthase-like, KO:K00660, EC:2.3.1.74, Quercus suber, chalcone synthase-like, KO:K00660, 
shikimate O-hydroxycinnamoyltransferase, KO:K13065, EC:2.3.1.133, Quercus suber, vinorine synthase-like, KO:K13065, EC:2.3.1.133, 
Quercus suber, vinorine synthase-like, KO:K13065, EC:2.3.1.133, Quercus suber, vinorine synthase-like, KO:K13065, 
EC:2.3.1.133, Quercus suber, vinorine synthase-like, KO:K13065, EC:2.3.1.133, Quercus suber, vinorine synthase-like, 
KO:K13065, EC:2.3.1.133, Quercus suber, vinorine synthase-like, KO:K13065, EC:2.3.1.133, Quercus suber, 
vinorine synthase-like, KO:K13065, EC:2.3.1.133, Quercus suber, vinorine synthase-like, KO:K13065, EC:2.3.1.133, 
Quercus suber, vinorine synthase-like, KO:K13065, EC:2.3.1.133, Quercus suber, vinorine synthase-like, KO:K13065, 
EC:2.3.1.133, Quercus suber, vinorine synthase-like, KO:K13065, EC:2.3.1.133, Quercus suber, vinorine synthase-like, 
KO:K13065, EC:2.3.1.133, Quercus suber, vinorine synthase-like, KO:K13065, EC:2.3.1.133, Quercus suber, 
vinorine synthase-like, KO:K13065, EC:2.3.1.133, Quercus suber, vinorine synthase-like, KO:K13065, EC:2.3.1.133, 
Quercus suber, vinorine synthase-like, KO:K13065, EC:2.3.1.133, Quercus suber, vinorine synthase-like, KO:K13065, 
EC:2.3.1.133, Quercus suber, vinorine synthase-like, KO:K13065, EC:2.3.1.133, Quercus suber, spermidine hydroxycinnamoyl transferase-like isoform X1, 
KO:K13065, EC:2.3.1.133, Quercus suber, fatty alcohol:caffeoyl-CoA acyltransferase, KO:K13065, EC:2.3.1.133, Quercus suber, 
spermidine hydroxycinnamoyl transferase-like, KO:K13065, EC:2.3.1.133, Quercus suber, acetyl-CoA-benzylalcohol acetyltransferase-like, KO:K13065, EC:2.3.1.133, 
Quercus suber, vinorine synthase-like, KO:K13065, EC:2.3.1.133, Quercus suber, BAHD acyltransferase BIA1-like, KO:K13065, 
EC:2.3.1.133, Quercus suber, vinorine synthase-like, KO:K13065, EC:2.3.1.133, Quercus suber, vinorine synthase-like, 
KO:K13065, EC:2.3.1.133, Quercus suber, vinorine synthase-like, KO:K13065, EC:2.3.1.133, Quercus suber, 
vinorine synthase-like, KO:K13065, EC:2.3.1.133, Quercus suber, acetyl-CoA-benzylalcohol acetyltransferase-like, KO:K13065, EC:2.3.1.133, 
Quercus suber, acetyl-CoA-benzylalcohol acetyltransferase-like, KO:K13065, EC:2.3.1.133, Quercus suber, vinorine synthase-like, KO:K13065, 
EC:2.3.1.133, Quercus suber, vinorine synthase-like, KO:K13065, EC:2.3.1.133, Quercus suber, acetyl-CoA-benzylalcohol acetyltransferase-like, 
KO:K13065, EC:2.3.1.133, Quercus suber, acetyl-CoA-benzylalcohol acetyltransferase-like, KO:K13065, EC:2.3.1.133, Quercus suber, 
vinorine synthase-like, KO:K13065, EC:2.3.1.133, Quercus suber, vinorine synthase-like, KO:K13065, EC:2.3.1.133, 
Quercus suber, vinorine synthase-like, KO:K13065, EC:2.3.1.133, Quercus suber, vinorine synthase-like, KO:K13065, 
EC:2.3.1.133, Quercus suber, vinorine synthase-like, KO:K13065, EC:2.3.1.133, Quercus suber, cytochrome P450 98A2-like, 
KO:K09754, EC:1.14.14.96, Quercus suber, cytochrome P450 98A2, KO:K09754, EC:1.14.14.96, Quercus suber, 
caffeoyl-CoA O-methyltransferase, KO:K00588, EC:2.1.1.104, Quercus suber, flavonoid 3',5'-methyltransferase-like, KO:K00588, EC:2.1.1.104, 
Quercus suber, flavonoid 3',5'-methyltransferase-like, KO:K00588, EC:2.1.1.104, Quercus suber, caffeoyl-CoA O-methyltransferase 1-like, KO:K00588, 
EC:2.1.1.104, Quercus suber, flavonoid 3',5'-methyltransferase-like, KO:K00588, EC:2.1.1.104, Quercus suber, flavonoid 3',5'-methyltransferase-like, 
KO:K00588, EC:2.1.1.104, Quercus suber, probable caffeoyl-CoA O-methyltransferase At4g26220, KO:K00588, EC:2.1.1.104, Quercus suber, 
probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1, KO:K00588, EC:2.1.1.104, Quercus suber, probable caffeoyl-CoA O-methyltransferase At4g26220, KO:K00588, EC:2.1.1.104, 
Quercus suber, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1, KO:K00588, EC:2.1.1.104, 
