Citrus sinensis, chalcone synthase 2, KO:K00660, EC:2.3.1.74, Citrus sinensis, chalcone synthase-like, KO:K00660, EC:2.3.1.74, 
Citrus sinensis, chalcone synthase-like, KO:K00660, EC:2.3.1.74, Citrus sinensis, chalcone synthase 2-like, KO:K00660, 
flavonoid 3',5'-hydroxylase 2-like, KO:K13083, EC:1.14.14.81, Citrus sinensis, anthocyanidin synthase, KO:K05277, EC:1.14.20.4, 
Citrus sinensis, anthocyanidin reductase ((2S)-flavan-3-ol-forming) isoform X1, KO:K08695, EC:1.3.1.77, Citrus sinensis, leucoanthocyanidin reductase-like, KO:K13081, 
EC:1.17.1.3, Citrus sinensis, flavanone 7-O-glucoside 2''-O-beta-L-rhamnosyltransferase-like, KO:K13080, EC:2.4.1.236, Citrus sinensis, LOW QUALITY PROTEIN: flavanone 7-O-glucoside 2''-O-beta-L-rhamnosyltransferase-like, 
KO:K13080, EC:2.4.1.236, Citrus sinensis, UDP-glycosyltransferase 88B1-like, KO:K22845, EC:2.4.1.357, Citrus sinensis, 
shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, Citrus sinensis, shikimate O-hydroxycinnamoyltransferase-like isoform X1, KO:K13065, EC:2.3.1.133, 
Citrus sinensis, shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, Citrus sinensis, vinorine synthase-like, KO:K13065, 
EC:2.3.1.133, Citrus sinensis, omega-hydroxypalmitate O-feruloyl transferase, KO:K13065, EC:2.3.1.133, Citrus sinensis, shikimate O-hydroxycinnamoyltransferase-like, 
KO:K13065, EC:2.3.1.133, Citrus sinensis, shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, Citrus sinensis, 
shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, Citrus sinensis, shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, 
Citrus sinensis, shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, Citrus sinensis, shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, 
EC:2.3.1.133, Citrus sinensis, shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, Citrus sinensis, spermidine hydroxycinnamoyl transferase, 
KO:K13065, EC:2.3.1.133, Citrus sinensis, shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, Citrus sinensis, 
vinorine synthase-like, KO:K13065, EC:2.3.1.133, Citrus sinensis, shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, 
Citrus sinensis, shikimate O-hydroxycinnamoyltransferase, KO:K13065, EC:2.3.1.133, Citrus sinensis, vinorine synthase-like, KO:K13065, 
EC:2.3.1.133, Citrus sinensis, vinorine synthase-like, KO:K13065, EC:2.3.1.133, Citrus sinensis, shikimate O-hydroxycinnamoyltransferase-like, 
KO:K13065, EC:2.3.1.133, Citrus sinensis, shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, Citrus sinensis, 
shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, Citrus sinensis, vinorine synthase-like, KO:K13065, EC:2.3.1.133, 
Citrus sinensis, vinorine synthase-like, KO:K13065, EC:2.3.1.133, Citrus sinensis, salutaridinol 7-O-acetyltransferase-like, KO:K13065, 
EC:2.3.1.133, Citrus sinensis, vinorine synthase-like, KO:K13065, EC:2.3.1.133, Citrus sinensis, vinorine synthase-like, 
KO:K13065, EC:2.3.1.133, Citrus sinensis, shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, Citrus sinensis, 
vinorine synthase, KO:K13065, EC:2.3.1.133, Citrus sinensis, shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, 
Citrus sinensis, BAHD acyltransferase BIA1-like, KO:K13065, EC:2.3.1.133, Citrus sinensis, cytochrome P450 98A2, KO:K09754, 
EC:1.14.14.96, Citrus sinensis, caffeoyl-CoA O-methyltransferase-like, KO:K00588, EC:2.1.1.104, Citrus sinensis, caffeoyl-CoA O-methyltransferase, 
KO:K00588, EC:2.1.1.104, Citrus sinensis, probable caffeoyl-CoA O-methyltransferase At4g26220, KO:K00588, EC:2.1.1.104, Citrus sinensis, 
probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1, KO:K00588, EC:2.1.1.104, Citrus sinensis, caffeoyl-CoA O-methyltransferase-like, KO:K00588, EC:2.1.1.104, 
Citrus sinensis, caffeoyl-CoA O-methyltransferase 5-like, KO:K00588, EC:2.1.1.104, 
