Oryza brachyantha, phenylalanine ammonia-lyase-like, KO:K10775, EC:4.3.1.24, Oryza brachyantha, phenylalanine ammonia-lyase, KO:K10775, EC:4.3.1.24, 
Oryza brachyantha, phenylalanine ammonia-lyase-like, KO:K10775, EC:4.3.1.24, Oryza brachyantha, phenylalanine ammonia-lyase, KO:K10775, 
KO:K00430, EC:1.11.1.7, Oryza brachyantha, cationic peroxidase SPC4-like, KO:K00430, EC:1.11.1.7, Oryza brachyantha, 
peroxidase 19, KO:K00430, EC:1.11.1.7, Oryza brachyantha, peroxidase 72-like, KO:K00430, EC:1.11.1.7, 
Oryza brachyantha, peroxidase A2-like, KO:K00430, EC:1.11.1.7, Oryza brachyantha, peroxidase P7-like, KO:K00430, 
EC:1.11.1.7, Oryza brachyantha, peroxidase 1-like, KO:K00430, EC:1.11.1.7, Oryza brachyantha, cationic peroxidase SPC4-like, 
KO:K00430, EC:1.11.1.7, Oryza brachyantha, peroxidase 64, KO:K00430, EC:1.11.1.7, Oryza brachyantha, 
peroxidase 44-like, KO:K00430, EC:1.11.1.7, Oryza brachyantha, peroxidase 41-like, KO:K00430, EC:1.11.1.7, 
Oryza brachyantha, peroxidase 68-like, KO:K00430, EC:1.11.1.7, Oryza brachyantha, peroxidase 51-like, KO:K00430, 
EC:1.11.1.7, Oryza brachyantha, peroxidase 51-like, KO:K00430, EC:1.11.1.7, Oryza brachyantha, peroxidase 27-like, 
KO:K00430, EC:1.11.1.7, Oryza brachyantha, peroxidase 2-like, KO:K00430, EC:1.11.1.7, Oryza brachyantha, 
peroxidase 5-like, KO:K00430, EC:1.11.1.7, Oryza brachyantha, peroxidase 29-like, KO:K00430, EC:1.11.1.7, 
Oryza brachyantha, peroxidase 5-like, KO:K00430, EC:1.11.1.7, Oryza brachyantha, peroxidase 2-like, KO:K00430, 
EC:1.11.1.7, Oryza brachyantha, peroxidase 1, KO:K00430, EC:1.11.1.7, Oryza brachyantha, peroxidase 5-like, 
KO:K00430, EC:1.11.1.7, Oryza brachyantha, peroxidase 15-like, KO:K00430, EC:1.11.1.7, Oryza brachyantha, 
peroxidase N-like, KO:K00430, EC:1.11.1.7, Oryza brachyantha, peroxidase 5-like, KO:K00430, EC:1.11.1.7, 
Oryza brachyantha, peroxidase 2-like, KO:K00430, EC:1.11.1.7, Oryza brachyantha, peroxidase 51-like, KO:K00430, 
EC:1.11.1.7, Oryza brachyantha, peroxidase 2-like, KO:K00430, EC:1.11.1.7, Oryza brachyantha, peroxidase 5-like, 
KO:K00430, EC:1.11.1.7, Oryza brachyantha, peroxidase 2-like, KO:K00430, EC:1.11.1.7, Oryza brachyantha, 
peroxidase 2-like, KO:K00430, EC:1.11.1.7, Oryza brachyantha, peroxidase P7-like, KO:K00430, EC:1.11.1.7, 
Oryza brachyantha, peroxidase 1-like, KO:K00430, EC:1.11.1.7, Oryza brachyantha, peroxidase 4-like, KO:K00430, 
EC:1.11.1.7, Oryza brachyantha, peroxidase 4-like, KO:K00430, EC:1.11.1.7, Oryza brachyantha, peroxidase 2-like, 
KO:K00430, EC:1.11.1.7, Oryza brachyantha, peroxidase 2, KO:K00430, EC:1.11.1.7, Oryza brachyantha, 
peroxidase 2-like, KO:K00430, EC:1.11.1.7, Oryza brachyantha, peroxidase P7-like, KO:K00430, EC:1.11.1.7, 
Oryza brachyantha, peroxidase P7-like, KO:K00430, EC:1.11.1.7, Oryza brachyantha, peroxidase 70-like, KO:K00430, 
EC:1.11.1.7, Oryza brachyantha, peroxidase 21-like, KO:K00430, EC:1.11.1.7, Oryza brachyantha, peroxidase 3-like, 
KO:K00430, EC:1.11.1.7, Oryza brachyantha, peroxidase P7-like, KO:K00430, EC:1.11.1.7, Oryza brachyantha, 
peroxidase 2-like, KO:K00430, EC:1.11.1.7, Oryza brachyantha, peroxidase 45-like, KO:K00430, EC:1.11.1.7, 
Oryza brachyantha, peroxidase 41, KO:K00430, EC:1.11.1.7, Oryza brachyantha, peroxidase 18-like, KO:K00430, 
EC:1.11.1.7, Oryza brachyantha, peroxidase 16-like, KO:K00430, EC:1.11.1.7, Oryza brachyantha, cationic peroxidase SPC4-like, 
KO:K00430, EC:1.11.1.7, Oryza brachyantha, cationic peroxidase SPC4-like, KO:K00430, EC:1.11.1.7, Oryza brachyantha, 
cationic peroxidase SPC4-like, KO:K00430, EC:1.11.1.7, Oryza brachyantha, peroxidase 16-like, KO:K00430, EC:1.11.1.7, 
Oryza brachyantha, peroxidase 7-like, KO:K00430, EC:1.11.1.7, Oryza brachyantha, peroxidase 1-like, KO:K00430, 
EC:1.11.1.7, Oryza brachyantha, peroxidase 39-like, KO:K00430, EC:1.11.1.7, Oryza brachyantha, peroxidase 1-like, 
KO:K00430, EC:1.11.1.7, Oryza brachyantha, peroxidase 11, KO:K00430, EC:1.11.1.7, Oryza brachyantha, 
peroxidase 1-like, KO:K00430, EC:1.11.1.7, Oryza brachyantha, peroxidase P7-like, KO:K00430, EC:1.11.1.7, 
Oryza brachyantha, peroxidase 2-like, KO:K00430, EC:1.11.1.7, Oryza brachyantha, peroxidase 16-like, KO:K00430, 
EC:1.11.1.7, Oryza brachyantha, peroxidase 2-like, KO:K00430, EC:1.11.1.7, Oryza brachyantha, peroxidase P7-like, 
KO:K00430, EC:1.11.1.7, Oryza brachyantha, peroxidase 1-like, KO:K00430, EC:1.11.1.7, Oryza brachyantha, 
peroxidase 2-like, KO:K00430, EC:1.11.1.7, Oryza brachyantha, peroxidase 1, KO:K00430, EC:1.11.1.7, 
Oryza brachyantha, peroxidase 72-like, KO:K00430, EC:1.11.1.7, Oryza brachyantha, peroxidase 2-like, KO:K00430, 
EC:1.11.1.7, Oryza brachyantha, peroxidase 5, KO:K00430, EC:1.11.1.7, Oryza brachyantha, peroxidase 51-like, 
KO:K00430, EC:1.11.1.7, Oryza brachyantha, peroxidase 2-like, KO:K00430, EC:1.11.1.7, Oryza brachyantha, 
peroxidase 2-like, KO:K00430, EC:1.11.1.7, Oryza brachyantha, peroxidase 2-like, KO:K00430, EC:1.11.1.7, 
Oryza brachyantha, peroxidase 2-like, KO:K00430, EC:1.11.1.7, Oryza brachyantha, peroxidase 2-like, KO:K00430, 
EC:1.11.1.7, Oryza brachyantha, peroxidase, peroxidase 43, KO:K00430, EC:1.11.1.7, Oryza brachyantha, 
peroxidase 1-like, KO:K00430, EC:1.11.1.7, Oryza brachyantha, peroxidase 5-like, KO:K00430, EC:1.11.1.7, 
Oryza brachyantha, peroxidase 24-like, KO:K00430, EC:1.11.1.7, Oryza brachyantha, peroxidase 2-like, KO:K00430, 
EC:1.11.1.7, Oryza brachyantha, peroxidase 16-like, KO:K00430, EC:1.11.1.7, Oryza brachyantha, peroxidase 55-like, 
KO:K00430, EC:1.11.1.7, Oryza brachyantha, peroxidase 17, KO:K00430, EC:1.11.1.7, Oryza brachyantha, 
peroxidase 40-like, KO:K00430, EC:1.11.1.7, Oryza brachyantha, peroxidase 47, KO:K00430, EC:1.11.1.7, 
Oryza brachyantha, peroxidase 57-like, KO:K00430, EC:1.11.1.7, Oryza brachyantha, peroxidase 57-like, KO:K00430, 
EC:1.11.1.7, Oryza brachyantha, peroxidase 57-like, KO:K00430, EC:1.11.1.7, Oryza brachyantha, peroxidase 5-like, 
KO:K00430, EC:1.11.1.7, Oryza brachyantha, peroxidase 43, KO:K00430, EC:1.11.1.7, Oryza brachyantha, 
cationic peroxidase 1-like, KO:K00430, EC:1.11.1.7, Oryza brachyantha, peroxidase 4-like, KO:K00430, EC:1.11.1.7, 
Oryza brachyantha, peroxidase 4-like, KO:K00430, EC:1.11.1.7, Oryza brachyantha, cationic peroxidase 1-like, KO:K00430, 
EC:1.11.1.7, Oryza brachyantha, peroxidase N-like, KO:K00430, EC:1.11.1.7, Oryza brachyantha, putative Peroxidase 48, 
KO:K00430, EC:1.11.1.7, Oryza brachyantha, beta-glucosidase 10-like, KO:K01188, EC:3.2.1.21, Oryza brachyantha, 
beta-glucosidase 12-like, KO:K01188, EC:3.2.1.21, Oryza brachyantha, beta-glucosidase 24, KO:K01188, EC:3.2.1.21, 
Oryza brachyantha, beta-glucosidase 27, KO:K01188, EC:3.2.1.21, Oryza brachyantha, beta-glucosidase 6, KO:K01188, 
EC:3.2.1.21, Oryza brachyantha, beta-glucosidase 34, KO:K01188, EC:3.2.1.21, Oryza brachyantha, beta-glucosidase 25, 
KO:K01188, EC:3.2.1.21, Oryza brachyantha, beta-glucosidase 19-like, KO:K01188, EC:3.2.1.21, Oryza brachyantha, 
beta-glucosidase 20-like, KO:K01188, EC:3.2.1.21, Oryza brachyantha, beta-glucosidase 5-like, KO:K01188, EC:3.2.1.21, 
Oryza brachyantha, beta-glucosidase 4, KO:K01188, EC:3.2.1.21, Oryza brachyantha, beta-glucosidase 30-like, KO:K01188, 
EC:3.2.1.21, Oryza brachyantha, beta-glucosidase 13, KO:K01188, EC:3.2.1.21, Oryza brachyantha, beta-glucosidase 30, 
KO:K01188, EC:3.2.1.21, Oryza brachyantha, beta-glucosidase 31, KO:K01188, EC:3.2.1.21, Oryza brachyantha, 
beta-glucosidase 32-like, KO:K01188, EC:3.2.1.21, Oryza brachyantha, beta-glucosidase 22-like, KO:K01188, EC:3.2.1.21, 
Oryza brachyantha, beta-glucosidase BoGH3B-like, KO:K01188, EC:3.2.1.21, Oryza brachyantha, beta-glucosidase 22-like, KO:K01188, 
EC:3.2.1.21, Oryza brachyantha, beta-glucosidase 32-like, KO:K01188, EC:3.2.1.21, Oryza brachyantha, beta-glucosidase 20-like, 
KO:K01188, EC:3.2.1.21, Oryza brachyantha, lysosomal beta glucosidase-like, KO:K05349, EC:3.2.1.21, Oryza brachyantha, 
beta-glucosidase BoGH3B-like, KO:K05349, EC:3.2.1.21, Oryza brachyantha, beta-glucosidase BoGH3B-like, KO:K05349, EC:3.2.1.21, 
Oryza brachyantha, beta-glucosidase BoGH3B-like, KO:K05349, EC:3.2.1.21, Oryza brachyantha, beta-glucosidase BoGH3B-like, KO:K05349, 
EC:3.2.1.21, Oryza brachyantha, beta-glucosidase 16-like, KO:K05350, EC:3.2.1.21, Oryza brachyantha, beta-glucosidase 1, 
KO:K05350, EC:3.2.1.21, Oryza brachyantha, beta-glucosidase 7, KO:K05350, EC:3.2.1.21, Oryza brachyantha, 
beta-glucosidase 8, KO:K05350, EC:3.2.1.21, Oryza brachyantha, beta-glucosidase 16-like, KO:K05350, EC:3.2.1.21, 
Oryza brachyantha, beta-glucosidase 26, KO:K05350, EC:3.2.1.21, Oryza brachyantha, beta-glucosidase 38, KO:K05350, 
EC:3.2.1.21, Oryza brachyantha, beta-glucosidase 18-like, KO:K05350, EC:3.2.1.21, Oryza brachyantha, scopoletin glucosyltransferase-like, 
KO:K23260, EC:2.4.1.128, 
