Populus trichocarpa, phenylalanine ammonia-lyase G2B, KO:K10775, EC:4.3.1.24, Populus trichocarpa, phenylalanine ammonia-lyase G4, KO:K10775, EC:4.3.1.24, 
Populus trichocarpa, phenylalanine ammonia-lyase G2B, KO:K10775, EC:4.3.1.24, Populus trichocarpa, phenylalanine ammonia-lyase, KO:K10775, 
berberine bridge enzyme-like 13, KO:K22395, EC:1.1.1.195, Populus trichocarpa, berberine bridge enzyme-like 15, KO:K22395, EC:1.1.1.195, 
Populus trichocarpa, berberine bridge enzyme-like 15, KO:K22395, EC:1.1.1.195, Populus trichocarpa, berberine bridge enzyme-like 13, KO:K22395, 
EC:1.1.1.195, Populus trichocarpa, berberine bridge enzyme-like 15, KO:K22395, EC:1.1.1.195, Populus trichocarpa, berberine bridge enzyme-like 15, 
KO:K22395, EC:1.1.1.195, Populus trichocarpa, berberine bridge enzyme-like 13, KO:K22395, EC:1.1.1.195, Populus trichocarpa, 
berberine bridge enzyme-like 13, KO:K22395, EC:1.1.1.195, Populus trichocarpa, berberine bridge enzyme-like 13 isoform X1, KO:K22395, EC:1.1.1.195, 
Populus trichocarpa, berberine bridge enzyme-like 13, KO:K22395, EC:1.1.1.195, Populus trichocarpa, berberine bridge enzyme-like 13, KO:K22395, 
EC:1.1.1.195, Populus trichocarpa, berberine bridge enzyme-like 15, KO:K22395, EC:1.1.1.195, Populus trichocarpa, berberine bridge enzyme-like 15, 
KO:K22395, EC:1.1.1.195, Populus trichocarpa, berberine bridge enzyme-like 25, KO:K22395, EC:1.1.1.195, Populus trichocarpa, 
berberine bridge enzyme-like 13, KO:K22395, EC:1.1.1.195, Populus trichocarpa, berberine bridge enzyme-like 13, KO:K22395, EC:1.1.1.195, 
Populus trichocarpa, berberine bridge enzyme-like 15, KO:K22395, EC:1.1.1.195, Populus trichocarpa, berberine bridge enzyme-like 13, KO:K22395, 
EC:1.1.1.195, Populus trichocarpa, 1-Cys peroxiredoxin, KO:K11188, EC:1.11.1.7 1.11.1.27 3.1.1.-, Populus trichocarpa, peroxidase 42, 
KO:K00430, EC:1.11.1.7, Populus trichocarpa, peroxidase 9, KO:K00430, EC:1.11.1.7, Populus trichocarpa, 
peroxidase 51, KO:K00430, EC:1.11.1.7, Populus trichocarpa, peroxidase A2, KO:K00430, EC:1.11.1.7, 
Populus trichocarpa, peroxidase A2, KO:K00430, EC:1.11.1.7, Populus trichocarpa, peroxidase A2, KO:K00430, 
EC:1.11.1.7, Populus trichocarpa, peroxidase E5, KO:K00430, EC:1.11.1.7, Populus trichocarpa, peroxidase 17, 
KO:K00430, EC:1.11.1.7, Populus trichocarpa, peroxidase 72, KO:K00430, EC:1.11.1.7, Populus trichocarpa, 
peroxidase 3, KO:K00430, EC:1.11.1.7, Populus trichocarpa, probable peroxidase 26, KO:K00430, EC:1.11.1.7, 
Populus trichocarpa, peroxidase 7, KO:K00430, EC:1.11.1.7, Populus trichocarpa, peroxidase 27, KO:K00430, 
EC:1.11.1.7, Populus trichocarpa, peroxidase 15, KO:K00430, EC:1.11.1.7, Populus trichocarpa, peroxidase 12, 
KO:K00430, EC:1.11.1.7, Populus trichocarpa, peroxidase 27, KO:K00430, EC:1.11.1.7, Populus trichocarpa, 
peroxidase 27, KO:K00430, EC:1.11.1.7, Populus trichocarpa, peroxidase 12, KO:K00430, EC:1.11.1.7, 
Populus trichocarpa, peroxidase 47, KO:K00430, EC:1.11.1.7, Populus trichocarpa, peroxidase 45, KO:K00430, 
EC:1.11.1.7, Populus trichocarpa, peroxidase 17, KO:K00430, EC:1.11.1.7, Populus trichocarpa, peroxidase 46, 
KO:K00430, EC:1.11.1.7, Populus trichocarpa, peroxidase 19, KO:K00430, EC:1.11.1.7, Populus trichocarpa, 
peroxidase 2, KO:K00430, EC:1.11.1.7, Populus trichocarpa, peroxidase 65, KO:K00430, EC:1.11.1.7, 
Populus trichocarpa, lignin-forming anionic peroxidase, KO:K00430, EC:1.11.1.7, Populus trichocarpa, lignin-forming anionic peroxidase, KO:K00430, 
EC:1.11.1.7, Populus trichocarpa, peroxidase P7, KO:K00430, EC:1.11.1.7, Populus trichocarpa, peroxidase 4, 
KO:K00430, EC:1.11.1.7, Populus trichocarpa, peroxidase P7, KO:K00430, EC:1.11.1.7, Populus trichocarpa, 
peroxidase A2, KO:K00430, EC:1.11.1.7, Populus trichocarpa, peroxidase 56, KO:K00430, EC:1.11.1.7, 
Populus trichocarpa, lignin-forming anionic peroxidase, KO:K00430, EC:1.11.1.7, Populus trichocarpa, lignin-forming anionic peroxidase, KO:K00430, 
EC:1.11.1.7, Populus trichocarpa, peroxidase 72, KO:K00430, EC:1.11.1.7, Populus trichocarpa, peroxidase 3, 
KO:K00430, EC:1.11.1.7, Populus trichocarpa, peroxidase 3, KO:K00430, EC:1.11.1.7, Populus trichocarpa, 
peroxidase 20 isoform X1, KO:K00430, EC:1.11.1.7, Populus trichocarpa, lignin-forming anionic peroxidase, KO:K00430, EC:1.11.1.7, 
Populus trichocarpa, peroxidase 2, KO:K00430, EC:1.11.1.7, Populus trichocarpa, peroxidase 2, KO:K00430, 
EC:1.11.1.7, Populus trichocarpa, peroxidase 21, KO:K00430, EC:1.11.1.7, Populus trichocarpa, peroxidase 64, 
KO:K00430, EC:1.11.1.7, Populus trichocarpa, peroxidase 60, KO:K00430, EC:1.11.1.7, Populus trichocarpa, 
peroxidase 25, KO:K00430, EC:1.11.1.7, Populus trichocarpa, peroxidase 27, KO:K00430, EC:1.11.1.7, 
Populus trichocarpa, lignin-forming anionic peroxidase, KO:K00430, EC:1.11.1.7, Populus trichocarpa, peroxidase 5, KO:K00430, 
EC:1.11.1.7, Populus trichocarpa, peroxidase 5, KO:K00430, EC:1.11.1.7, Populus trichocarpa, cationic peroxidase 1, 
KO:K00430, EC:1.11.1.7, Populus trichocarpa, putative Peroxidase 48, KO:K00430, EC:1.11.1.7, Populus trichocarpa, 
peroxidase A2, KO:K00430, EC:1.11.1.7, Populus trichocarpa, peroxidase 10, KO:K00430, EC:1.11.1.7, 
Populus trichocarpa, peroxidase 60, KO:K00430, EC:1.11.1.7, Populus trichocarpa, peroxidase 27-like, KO:K00430, 
EC:1.11.1.7, Populus trichocarpa, peroxidase 47, KO:K00430, EC:1.11.1.7, Populus trichocarpa, peroxidase 56-like, 
KO:K00430, EC:1.11.1.7, Populus trichocarpa, peroxidase 60, KO:K00430, EC:1.11.1.7, Populus trichocarpa, 
lignin-forming anionic peroxidase-like, KO:K00430, EC:1.11.1.7, Populus trichocarpa, putative Peroxidase 48, KO:K00430, EC:1.11.1.7, 
Populus trichocarpa, peroxidase 27, KO:K00430, EC:1.11.1.7, Populus trichocarpa, peroxidase 40, KO:K00430, 
EC:1.11.1.7, Populus trichocarpa, lignin-forming anionic peroxidase isoform X1, KO:K00430, EC:1.11.1.7, Populus trichocarpa, lignin-forming anionic peroxidase isoform X1, 
KO:K00430, EC:1.11.1.7, Populus trichocarpa, peroxidase 29, KO:K00430, EC:1.11.1.7, Populus trichocarpa, 
peroxidase 56, KO:K00430, EC:1.11.1.7, Populus trichocarpa, peroxidase 19, KO:K00430, EC:1.11.1.7, 
Populus trichocarpa, peroxidase 11, KO:K00430, EC:1.11.1.7, Populus trichocarpa, peroxidase 10, KO:K00430, 
EC:1.11.1.7, Populus trichocarpa, peroxidase 15, KO:K00430, EC:1.11.1.7, Populus trichocarpa, peroxidase 25, 
KO:K00430, EC:1.11.1.7, Populus trichocarpa, peroxidase 12, KO:K00430, EC:1.11.1.7, Populus trichocarpa, 
peroxidase 46, KO:K00430, EC:1.11.1.7, Populus trichocarpa, peroxidase 3, KO:K00430, EC:1.11.1.7, 
Populus trichocarpa, peroxidase A2, KO:K00430, EC:1.11.1.7, Populus trichocarpa, peroxidase 41, KO:K00430, 
EC:1.11.1.7, Populus trichocarpa, peroxidase N, KO:K00430, EC:1.11.1.7, Populus trichocarpa, peroxidase A2, 
KO:K00430, EC:1.11.1.7, Populus trichocarpa, peroxidase 55, KO:K00430, EC:1.11.1.7, Populus trichocarpa, 
peroxidase N1, KO:K00430, EC:1.11.1.7, Populus trichocarpa, peroxidase 11, KO:K00430, EC:1.11.1.7, 
Populus trichocarpa, peroxidase 6, KO:K00430, EC:1.11.1.7, Populus trichocarpa, peroxidase 10, KO:K00430, 
EC:1.11.1.7, Populus trichocarpa, peroxidase 4, KO:K00430, EC:1.11.1.7, Populus trichocarpa, peroxidase 64, 
KO:K00430, EC:1.11.1.7, Populus trichocarpa, lignin-forming anionic peroxidase, KO:K00430, EC:1.11.1.7, Populus trichocarpa, 
peroxidase 4, KO:K00430, EC:1.11.1.7, Populus trichocarpa, peroxidase 7, KO:K00430, EC:1.11.1.7, 
Populus trichocarpa, peroxidase 44, KO:K00430, EC:1.11.1.7, Populus trichocarpa, peroxidase 5, KO:K00430, 
EC:1.11.1.7, Populus trichocarpa, peroxidase 31, KO:K00430, EC:1.11.1.7, Populus trichocarpa, peroxidase 73, 
KO:K00430, EC:1.11.1.7, Populus trichocarpa, anthocyanidin 3-O-glucosyltransferase 5, KO:K12356, EC:2.4.1.111, Populus trichocarpa, 
anthocyanidin 3-O-glucosyltransferase 5, KO:K12356, EC:2.4.1.111, Populus trichocarpa, anthocyanidin 3-O-glucosyltransferase 5, KO:K12356, EC:2.4.1.111, 
Populus trichocarpa, anthocyanidin 3-O-glucosyltransferase 5, KO:K12356, EC:2.4.1.111, Populus trichocarpa, vicianin hydrolase, KO:K01188, 
EC:3.2.1.21, Populus trichocarpa, beta-glucosidase 42 isoform X2, KO:K01188, EC:3.2.1.21, Populus trichocarpa, beta-glucosidase 12, 
KO:K01188, EC:3.2.1.21, Populus trichocarpa, vicianin hydrolase, KO:K01188, EC:3.2.1.21, Populus trichocarpa, 
beta-glucosidase 40, KO:K01188, EC:3.2.1.21, Populus trichocarpa, beta-glucosidase 40, KO:K01188, EC:3.2.1.21, 
Populus trichocarpa, putative beta-glucosidase 41 isoform X1, KO:K01188, EC:3.2.1.21, Populus trichocarpa, uncharacterized protein LOC7489657, KO:K05349, 
EC:3.2.1.21, Populus trichocarpa, uncharacterized protein LOC7478601, KO:K05349, EC:3.2.1.21, Populus trichocarpa, uncharacterized protein LOC7469892, 
KO:K05349, EC:3.2.1.21, Populus trichocarpa, uncharacterized protein LOC7490874, KO:K05349, EC:3.2.1.21, Populus trichocarpa, 
uncharacterized protein LOC18101285, KO:K05349, EC:3.2.1.21, Populus trichocarpa, uncharacterized protein LOC7481491, KO:K05349, EC:3.2.1.21, 
Populus trichocarpa, beta-glucosidase 47 isoform X2, KO:K05350, EC:3.2.1.21, Populus trichocarpa, beta-glucosidase 46, KO:K05350, 
EC:3.2.1.21, Populus trichocarpa, beta-glucosidase 46 isoform X3, KO:K05350, EC:3.2.1.21, Populus trichocarpa, beta-glucosidase 46 isoform X1, 
KO:K05350, EC:3.2.1.21, Populus trichocarpa, beta-glucosidase 18, KO:K05350, EC:3.2.1.21, Populus trichocarpa, 
beta-glucosidase 44, KO:K05350, EC:3.2.1.21, Populus trichocarpa, LOW QUALITY PROTEIN: beta-glucosidase 44, KO:K05350, EC:3.2.1.21, 
Populus trichocarpa, feruloyl CoA ortho-hydroxylase 2, KO:K06892, EC:1.14.11.61, Populus trichocarpa, feruloyl CoA ortho-hydroxylase 1, KO:K06892, 
EC:1.14.11.61, Populus trichocarpa, feruloyl CoA ortho-hydroxylase 1-like, KO:K06892, EC:1.14.11.61, Populus trichocarpa, scopoletin glucosyltransferase isoform X1, 
KO:K23260, EC:2.4.1.128, Populus trichocarpa, scopoletin glucosyltransferase, KO:K23260, EC:2.4.1.128, Populus trichocarpa, 
scopoletin glucosyltransferase, KO:K23260, EC:2.4.1.128, Populus trichocarpa, scopoletin glucosyltransferase, KO:K23260, EC:2.4.1.128, 
Populus trichocarpa, scopoletin glucosyltransferase, KO:K23260, EC:2.4.1.128, Populus trichocarpa, scopoletin glucosyltransferase, KO:K23260, 
EC:2.4.1.128, 
