Aegilops tauschii, LOC109777317, phenylalanine ammonia-lyase-like, KO:K10775, EC:4.3.1.24, Aegilops tauschii, LOC109752043, phenylalanine ammonia-lyase-like, 
KO:K10775, EC:4.3.1.24, Aegilops tauschii, LOC109760444, phenylalanine ammonia-lyase-like, KO:K10775, EC:4.3.1.24, 
EC:2.3.1.133, Aegilops tauschii, LOC109762159, putrescine hydroxycinnamoyltransferase 1-like, KO:K13065, EC:2.3.1.133, Aegilops tauschii, 
LOC109748755, putrescine hydroxycinnamoyltransferase 1-like, KO:K13065, EC:2.3.1.133, Aegilops tauschii, LOC109744580, hydroxycinnamoyltransferase 1-like, 
KO:K13065, EC:2.3.1.133, Aegilops tauschii, LOC109759511, tryptamine benzoyltransferase 1-like, KO:K13065, EC:2.3.1.133, 
Aegilops tauschii, LOC109768410, hydroxycinnamoyltransferase 4-like, KO:K13065, EC:2.3.1.133, Aegilops tauschii, LOC109746904, 
tryptamine benzoyltransferase 1-like, KO:K13065, EC:2.3.1.133, Aegilops tauschii, LOC109746960, tryptamine benzoyltransferase 1-like, KO:K13065, 
EC:2.3.1.133, Aegilops tauschii, LOC109769365, hydroxycinnamoyltransferase 4-like, KO:K13065, EC:2.3.1.133, Aegilops tauschii, 
LOC109771861, putrescine hydroxycinnamoyltransferase 1-like, KO:K13065, EC:2.3.1.133, Aegilops tauschii, LOC109753347, hydroxycinnamoyltransferase 4-like, 
KO:K13065, EC:2.3.1.133, Aegilops tauschii, LOC109753355, hydroxycinnamoyltransferase 4-like, KO:K13065, EC:2.3.1.133, 
Aegilops tauschii, LOC109753369, putrescine hydroxycinnamoyltransferase 1-like, KO:K13065, EC:2.3.1.133, Aegilops tauschii, LOC109758637, 
putrescine hydroxycinnamoyltransferase 1-like, KO:K13065, EC:2.3.1.133, Aegilops tauschii, LOC109748320, putrescine hydroxycinnamoyltransferase 1-like, KO:K13065, 
EC:2.3.1.133, Aegilops tauschii, LOC109745166, agmatine coumaroyltransferase-2-like, KO:K13065, EC:2.3.1.133, Aegilops tauschii, 
LOC109745173, tryptamine benzoyltransferase 1-like, KO:K13065, EC:2.3.1.133, Aegilops tauschii, LOC109753751, putrescine hydroxycinnamoyltransferase 1-like, 
KO:K13065, EC:2.3.1.133, Aegilops tauschii, LOC109735971, putrescine hydroxycinnamoyltransferase 1-like, KO:K13065, EC:2.3.1.133, 
Aegilops tauschii, LOC109737074, hydroxycinnamoyltransferase 4-like, KO:K13065, EC:2.3.1.133, Aegilops tauschii, LOC109736196, 
hydroxycinnamoyltransferase 2, KO:K13065, EC:2.3.1.133, Aegilops tauschii, LOC109735327, putrescine hydroxycinnamoyltransferase 1-like, KO:K13065, 
EC:2.3.1.133, Aegilops tauschii, LOC109735659, putrescine hydroxycinnamoyltransferase 1-like, KO:K13065, EC:2.3.1.133, Aegilops tauschii, 
LOC109736509, hydroxycinnamoyltransferase 4-like, KO:K13065, EC:2.3.1.133, Aegilops tauschii, LOC109778521, hydroxycinnamoyltransferase 1, 
KO:K13065, EC:2.3.1.133, Aegilops tauschii, LOC109785185, tryptamine benzoyltransferase 1-like, KO:K13065, EC:2.3.1.133, 
Aegilops tauschii, LOC109783087, putrescine hydroxycinnamoyltransferase 1-like, KO:K13065, EC:2.3.1.133, Aegilops tauschii, LOC109786528, 
agmatine hydroxycinnamoyltransferase 1-like, KO:K13065, EC:2.3.1.133, Aegilops tauschii, LOC109752053, cytochrome P450 98A1, KO:K09754, 
EC:1.14.14.96, Aegilops tauschii, LOC109771148, cytochrome P450 98A1-like, KO:K09754, EC:1.14.14.96, Aegilops tauschii, 
LOC109771149, cytochrome P450 98A1-like, KO:K09754, EC:1.14.14.96, Aegilops tauschii, LOC109775586, cytochrome P450 98A1-like, 
KO:K09754, EC:1.14.14.96, Aegilops tauschii, LOC109757203, cytochrome P450 98A1-like, KO:K09754, EC:1.14.14.96, 
Aegilops tauschii, LOC109731922, cytochrome P450 98A1-like, KO:K09754, EC:1.14.14.96, Aegilops tauschii, LOC109759954, 
caffeoylshikimate esterase-like, KO:K18368, EC:3.1.1.-, Aegilops tauschii, LOC109787623, caffeoylshikimate esterase-like, KO:K18368, 
EC:3.1.1.-, Aegilops tauschii, LOC109767951, caffeoylshikimate esterase, KO:K18368, EC:3.1.1.-, Aegilops tauschii, 
LOC109743453, caffeoylshikimate esterase, KO:K18368, EC:3.1.1.-, Aegilops tauschii, LOC109746743, caffeoyl-CoA O-methyltransferase 1, 
KO:K00588, EC:2.1.1.104, Aegilops tauschii, LOC109744502, tricin synthase 1-like, KO:K00588, EC:2.1.1.104, 
Aegilops tauschii, LOC109771777, tricin synthase 1-like, KO:K00588, EC:2.1.1.104, Aegilops tauschii, LOC109737569, 
tricin synthase 1-like, KO:K00588, EC:2.1.1.104, Aegilops tauschii, LOC109786071, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1, KO:K00588, 
EC:2.1.1.104, Aegilops tauschii, LOC109780729, cinnamoyl-CoA reductase 1-like, KO:K09753, EC:1.2.1.44, Aegilops tauschii, 
LOC109780731, cinnamoyl-CoA reductase 1-like, KO:K09753, EC:1.2.1.44, Aegilops tauschii, LOC109745831, cinnamoyl-CoA reductase 2-like, 
KO:K09753, EC:1.2.1.44, Aegilops tauschii, LOC109754250, cinnamoyl-CoA reductase 2-like, KO:K09753, EC:1.2.1.44, 
Aegilops tauschii, LOC109760091, cinnamoyl-CoA reductase 1-like, KO:K09753, EC:1.2.1.44, Aegilops tauschii, LOC109760092, 
cinnamoyl-CoA reductase 1-like, KO:K09753, EC:1.2.1.44, Aegilops tauschii, LOC109760607, cinnamoyl-CoA reductase 1-like, KO:K09753, 
EC:1.2.1.44, Aegilops tauschii, LOC109781309, cinnamoyl-CoA reductase 1-like, KO:K09753, EC:1.2.1.44, Aegilops tauschii, 
LOC109761766, cinnamoyl-CoA reductase 1-like, KO:K09753, EC:1.2.1.44, Aegilops tauschii, LOC109761768, cinnamoyl-CoA reductase 1-like, 
KO:K09753, EC:1.2.1.44, Aegilops tauschii, LOC109761769, cinnamoyl-CoA reductase 1-like, KO:K09753, EC:1.2.1.44, 
Aegilops tauschii, LOC109768977, cinnamoyl-CoA reductase 1-like, KO:K09753, EC:1.2.1.44, Aegilops tauschii, LOC109774003, 
cinnamoyl-CoA reductase 1-like, KO:K09753, EC:1.2.1.44, Aegilops tauschii, LOC109740782, aldehyde dehydrogenase family 2 member C4-like, KO:K12355, 
EC:1.2.1.68, Aegilops tauschii, LOC109783318, aldehyde dehydrogenase family 2 member C4-like, KO:K12355, EC:1.2.1.68, Aegilops tauschii, 
LOC109783397, aldehyde dehydrogenase family 2 member C4-like, KO:K12355, EC:1.2.1.68, Aegilops tauschii, LOC109760129, aldehyde dehydrogenase family 2 member C4-like, 
KO:K12355, EC:1.2.1.68, Aegilops tauschii, LOC109784604, aldehyde dehydrogenase family 2 member C4-like, KO:K12355, EC:1.2.1.68, 
Aegilops tauschii, LOC109766587, probable cinnamyl alcohol dehydrogenase, KO:K00083, EC:1.1.1.195, Aegilops tauschii, LOC109777842, 
probable cinnamyl alcohol dehydrogenase 1, KO:K00083, EC:1.1.1.195, Aegilops tauschii, LOC109754298, probable cinnamyl alcohol dehydrogenase 6, KO:K00083, 
EC:1.1.1.195, Aegilops tauschii, LOC109767770, probable cinnamyl alcohol dehydrogenase 1, KO:K00083, EC:1.1.1.195, Aegilops tauschii, 
LOC109768091, probable cinnamyl alcohol dehydrogenase 6, KO:K00083, EC:1.1.1.195, Aegilops tauschii, LOC109762237, probable cinnamyl alcohol dehydrogenase 5, 
KO:K00083, EC:1.1.1.195, Aegilops tauschii, LOC109740356, berberine bridge enzyme-like 18, KO:K22395, EC:1.1.1.195, 
Aegilops tauschii, LOC109757966, 1-Cys peroxiredoxin PER1, KO:K11188, EC:1.11.1.7 1.11.1.27 3.1.1.-, Aegilops tauschii, LOC109738022, 
peroxidase 1-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109738072, peroxidase 1-like, KO:K00430, 
EC:1.11.1.7, Aegilops tauschii, LOC109738131, peroxidase P7-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, 
LOC109737931, peroxidase 1-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109737933, peroxidase 1-like, 
KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109737934, peroxidase 1-like, KO:K00430, EC:1.11.1.7, 
Aegilops tauschii, LOC109737935, peroxidase 1-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109738142, 
peroxidase 2-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109777133, peroxidase 1-like, KO:K00430, 
EC:1.11.1.7, Aegilops tauschii, LOC109777144, peroxidase 25, KO:K00430, EC:1.11.1.7, Aegilops tauschii, 
LOC109777440, peroxidase 45-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109777441, peroxidase 45-like, 
KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109777480, peroxidase 1-like, KO:K00430, EC:1.11.1.7, 
Aegilops tauschii, LOC109776047, peroxidase 4-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109776052, 
peroxidase 2-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109777734, peroxidase 2-like, KO:K00430, 
EC:1.11.1.7, Aegilops tauschii, LOC109776308, peroxidase 5-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, 
LOC109776310, peroxidase 1-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109739311, peroxidase 72-like, 
KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109739314, peroxidase 9-like, KO:K00430, EC:1.11.1.7, 
Aegilops tauschii, LOC109739315, peroxidase 72-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109740665, 
peroxidase 16-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109739993, peroxidase P7-like, KO:K00430, 
EC:1.11.1.7, Aegilops tauschii, LOC109740214, peroxidase 1-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, 
LOC109740217, peroxidase 1-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109740055, peroxidase A2-like, 
KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109739222, peroxidase P7-like, KO:K00430, EC:1.11.1.7, 
Aegilops tauschii, LOC109739545, peroxidase 12-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109740456, 
peroxidase 70-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109740466, peroxidase 4-like, KO:K00430, 
EC:1.11.1.7, Aegilops tauschii, LOC109740864, peroxidase P7-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, 
LOC109740867, peroxidase P7-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109739516, peroxidase 2-like, 
KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109740224, peroxidase 1-like, KO:K00430, EC:1.11.1.7, 
Aegilops tauschii, LOC109740563, peroxidase 45-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109756142, 
peroxidase 2-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109756143, peroxidase 2-like, KO:K00430, 
EC:1.11.1.7, Aegilops tauschii, LOC109756144, peroxidase 2-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, 
LOC109756145, peroxidase 2-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109756146, peroxidase 2-like, 
KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109757225, peroxidase 2-like, KO:K00430, EC:1.11.1.7, 
Aegilops tauschii, LOC109760336, peroxidase P7-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109765359, 
peroxidase 2-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109765360, peroxidase 2-like, KO:K00430, 
EC:1.11.1.7, Aegilops tauschii, LOC109765361, peroxidase P7-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, 
LOC109765362, peroxidase-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109784696, cationic peroxidase SPC4-like, 
KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109769115, peroxidase 55-like, KO:K00430, EC:1.11.1.7, 
Aegilops tauschii, LOC109770808, peroxidase P7-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109772463, 
peroxidase 56-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109749967, peroxidase 31-like, KO:K00430, 
EC:1.11.1.7, Aegilops tauschii, LOC109769546, peroxidase 2-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, 
LOC109770434, peroxidase 2-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109772941, peroxidase 2-like, 
KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109732167, peroxidase 4-like, KO:K00430, EC:1.11.1.7, 
Aegilops tauschii, LOC109732170, peroxidase P7-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109732171, 
peroxidase P7-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, uncharacterized protein LOC109784706, KO:K00430, EC:1.11.1.7, 
Aegilops tauschii, LOC109749578, peroxidase 56-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109767300, 
peroxidase 47-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109745178, peroxidase 66-like, KO:K00430, 
EC:1.11.1.7, Aegilops tauschii, LOC109747292, peroxidase 2-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, 
LOC109747293, peroxidase 2-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109783790, peroxidase 2-like, 
KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109781644, peroxidase 2-like, KO:K00430, EC:1.11.1.7, 
Aegilops tauschii, LOC109755234, peroxidase 64, KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109761514, 
peroxidase 2-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109760965, peroxidase 1-like, KO:K00430, 
EC:1.11.1.7, Aegilops tauschii, LOC109773028, peroxidase 2-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, 
LOC109773030, peroxidase P7-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109773050, peroxidase 5-like, 
KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109732442, peroxidase 2-like, KO:K00430, EC:1.11.1.7, 
Aegilops tauschii, LOC109735344, peroxidase 2-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109735345, 
peroxidase P7-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109781733, peroxidase 2-like, KO:K00430, 
EC:1.11.1.7, Aegilops tauschii, LOC109779607, peroxidase 2-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, 
LOC109767354, peroxidase 70-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109767355, peroxidase 70-like, 
KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109767356, peroxidase 70-like, KO:K00430, EC:1.11.1.7, 
Aegilops tauschii, LOC109767357, peroxidase 70-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109767358, 
peroxidase 70-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109769281, peroxidase 51-like, KO:K00430, 
EC:1.11.1.7, Aegilops tauschii, LOC109774606, peroxidase 2-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, 
LOC109775312, peroxidase 43-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109775316, peroxidase 2-like, 
KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109753663, peroxidase 70-like, KO:K00430, EC:1.11.1.7, 
Aegilops tauschii, LOC109780873, peroxidase 2-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109786327, 
peroxidase 50-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109747983, peroxidase 72-like, KO:K00430, 
EC:1.11.1.7, Aegilops tauschii, LOC109763929, peroxidase 2-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, 
LOC109763930, peroxidase 2-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109747407, peroxidase 2-like, 
KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109747435, peroxidase 2-like, KO:K00430, EC:1.11.1.7, 
Aegilops tauschii, LOC109747437, peroxidase 12-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109747439, 
cationic peroxidase SPC4-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109747441, peroxidase 12-like, KO:K00430, 
EC:1.11.1.7, Aegilops tauschii, LOC109747442, cationic peroxidase SPC4-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, 
LOC109747444, peroxidase 12-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109732175, peroxidase-like, 
KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109732182, peroxidase P7-like, KO:K00430, EC:1.11.1.7, 
Aegilops tauschii, LOC109732184, peroxidase P7-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109732185, 
peroxidase P7-like isoform X1, KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109735019, peroxidase 24-like, KO:K00430, 
EC:1.11.1.7, Aegilops tauschii, LOC109787483, peroxidase 1-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, 
LOC109779967, peroxidase 57-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109783227, peroxidase 2-like, 
KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109784308, cationic peroxidase SPC4-like, KO:K00430, EC:1.11.1.7, 
Aegilops tauschii, LOC109784333, peroxidase 1-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109761515, 
peroxidase 2-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109761516, peroxidase 2-like, KO:K00430, 
EC:1.11.1.7, Aegilops tauschii, LOC109761519, peroxidase 2-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, 
LOC109768408, peroxidase 2-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109770977, peroxidase 44-like, 
KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109757964, peroxidase 2-like, KO:K00430, EC:1.11.1.7, 
Aegilops tauschii, LOC109757965, peroxidase 2-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109757968, 
peroxidase 2-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109759015, peroxidase 1-like, KO:K00430, 
EC:1.11.1.7, Aegilops tauschii, LOC109760045, peroxidase 70-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, 
LOC109732522, cationic peroxidase SPC4-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109787616, peroxidase 55-like, 
KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109778913, peroxidase 19-like, KO:K00430, EC:1.11.1.7, 
Aegilops tauschii, LOC109784487, peroxidase 31-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109746385, 
peroxidase P7-like isoform X1, KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109752808, peroxidase A2-like, KO:K00430, 
EC:1.11.1.7, Aegilops tauschii, LOC109752810, peroxidase N-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, 
LOC109752811, peroxidase N-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109755856, peroxidase 1-like, 
KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109758518, peroxidase 72-like, KO:K00430, EC:1.11.1.7, 
Aegilops tauschii, LOC109786654, peroxidase 2-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109780200, 
peroxidase 35-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109780201, peroxidase 50-like, KO:K00430, 
EC:1.11.1.7, Aegilops tauschii, LOC109779097, peroxidase 1-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, 
LOC109779098, peroxidase 1-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109779099, peroxidase 1-like, 
KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109779100, peroxidase 1-like, KO:K00430, EC:1.11.1.7, 
Aegilops tauschii, LOC109779111, peroxidase 1-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109779112, 
peroxidase 1-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109781342, peroxidase 3-like, KO:K00430, 
EC:1.11.1.7, Aegilops tauschii, LOC109762983, peroxidase 4-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, 
LOC109762986, peroxidase 4-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109762989, peroxidase 4-like, 
KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109765046, peroxidase 5-like, KO:K00430, EC:1.11.1.7, 
Aegilops tauschii, LOC109765070, putative Peroxidase 48, KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109766081, 
cationic peroxidase SPC4-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109771431, peroxidase 1-like, KO:K00430, 
EC:1.11.1.7, Aegilops tauschii, LOC109773055, peroxidase 5-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, 
LOC109764641, peroxidase 5-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109764642, peroxidase 5-like, 
KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109764643, peroxidase 2-like, KO:K00430, EC:1.11.1.7, 
Aegilops tauschii, LOC109768466, cationic peroxidase SPC4-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109771033, 
peroxidase 21-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109775440, peroxidase 15-like, KO:K00430, 
EC:1.11.1.7, Aegilops tauschii, LOC109775441, peroxidase 49-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, 
LOC109737014, peroxidase 11, KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109747576, peroxidase 2-like, 
KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109747577, peroxidase P7-like, KO:K00430, EC:1.11.1.7, 
Aegilops tauschii, LOC109748599, peroxidase A2-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109760180, 
cationic peroxidase SPC4-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109760182, cationic peroxidase SPC4-like, KO:K00430, 
EC:1.11.1.7, Aegilops tauschii, LOC109749149, peroxidase 40, KO:K00430, EC:1.11.1.7, Aegilops tauschii, 
LOC109751238, peroxidase 42-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109751294, peroxidase 1-like, 
KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109757548, peroxidase P7-like, KO:K00430, EC:1.11.1.7, 
Aegilops tauschii, LOC109773166, peroxidase 70-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109773167, 
peroxidase 2-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109773170, peroxidase 2-like, KO:K00430, 
EC:1.11.1.7, Aegilops tauschii, LOC109773175, peroxidase 2-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, 
LOC109775162, peroxidase 39-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109775203, peroxidase 5-like, 
KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109765673, peroxidase 39-like, KO:K00430, EC:1.11.1.7, 
Aegilops tauschii, LOC109765675, peroxidase 3-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109743486, 
peroxidase 57-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109743488, peroxidase 57-like, KO:K00430, 
EC:1.11.1.7, Aegilops tauschii, LOC109743490, peroxidase 57-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, 
LOC109750767, peroxidase 2-like, KO:K00430, EC:1.11.1.7, Aegilops tauschii, LOC109749235, peroxidase 21-like, 
