Arabidopsis lyrata, 9317554, phenylalanine ammonia-lyase 1  [EC], ['EC:4.3.1.24'], KO:K10775
Arabidopsis lyrata, 9315583, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Arabidopsis lyrata, 9330158, 1-Cys peroxiredoxin PER1  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Arabidopsis lyrata, 9312012, peroxidase 33  [EC], ['EC:1.11.1.7'], KO:K00430
Arabidopsis lyrata, 110228651, peroxidase 67  [EC], ['EC:1.11.1.7'], KO:K00430
Arabidopsis lyrata, 110229111, peroxidase 20  [EC], ['EC:1.11.1.7'], KO:K00430
Arabidopsis lyrata, 9313161, peroxidase 31  [EC], ['EC:1.11.1.7'], KO:K00430
Arabidopsis lyrata, 9312016, peroxidase 34  [EC], ['EC:1.11.1.7'], KO:K00430
Arabidopsis lyrata, 9323275, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Arabidopsis lyrata, 110228869, peroxidase 22  [EC], ['EC:1.11.1.7'], KO:K00430
Arabidopsis lyrata, 110228125, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Arabidopsis lyrata, 9314682, peroxidase 17  [EC], ['EC:1.11.1.7'], KO:K00430
Arabidopsis lyrata, 9322216, peroxidase 15  [EC], ['EC:1.11.1.7'], KO:K00430
Arabidopsis lyrata, 9303352, peroxidase 46  [EC], ['EC:1.11.1.7'], KO:K00430
Arabidopsis lyrata, 9321253, peroxidase 29  [EC], ['EC:1.11.1.7'], KO:K00430
Arabidopsis lyrata, 9306844, peroxidase 62  [EC], ['EC:1.11.1.7'], KO:K00430
Arabidopsis lyrata, 9305923, peroxidase 42  [EC], ['EC:1.11.1.7'], KO:K00430
Arabidopsis lyrata, 9325186, peroxidase 13  [EC], ['EC:1.11.1.7'], KO:K00430
Arabidopsis lyrata, 9328878, peroxidase 4  [EC], ['EC:1.11.1.7'], KO:K00430
Arabidopsis lyrata, 110226673, peroxidase 49  [EC], ['EC:1.11.1.7'], KO:K00430
Arabidopsis lyrata, 9305055, peroxidase 50  [EC], ['EC:1.11.1.7'], KO:K00430
Arabidopsis lyrata, 9327368, peroxidase 9  [EC], ['EC:1.11.1.7'], KO:K00430
Arabidopsis lyrata, 9317657, peroxidase 23  [EC], ['EC:1.11.1.7'], KO:K00430
Arabidopsis lyrata, 9317557, peroxidase 21  [EC], ['EC:1.11.1.7'], KO:K00430
Arabidopsis lyrata, 9319386, peroxidase 30  [EC], ['EC:1.11.1.7'], KO:K00430
Arabidopsis lyrata, 9309343, peroxidase 53  [EC], ['EC:1.11.1.7'], KO:K00430
Arabidopsis lyrata, 9324906, peroxidase 12  [EC], ['EC:1.11.1.7'], KO:K00430
Arabidopsis lyrata, 9315849, peroxidase 24  [EC], ['EC:1.11.1.7'], KO:K00430
Arabidopsis lyrata, 9325605, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Arabidopsis lyrata, 9327583, peroxidase 10  [EC], ['EC:1.11.1.7'], KO:K00430
Arabidopsis lyrata, 110227125, peroxidase 58  [EC], ['EC:1.11.1.7'], KO:K00430
Arabidopsis lyrata, 110227190, peroxidase 54  [EC], ['EC:1.11.1.7'], KO:K00430
Arabidopsis lyrata, 9303255, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Arabidopsis lyrata, 9325606, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Arabidopsis lyrata, 9328339, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Arabidopsis lyrata, 9306794, peroxidase 63  [EC], ['EC:1.11.1.7'], KO:K00430
Arabidopsis lyrata, 9305463, peroxidase 45  [EC], ['EC:1.11.1.7'], KO:K00430
Arabidopsis lyrata, 9303657, peroxidase 44  [EC], ['EC:1.11.1.7'], KO:K00430
Arabidopsis lyrata, 9305705, peroxidase 44  [EC], ['EC:1.11.1.7'], KO:K00430
Arabidopsis lyrata, 9303658, peroxidase 43  [EC], ['EC:1.11.1.7'], KO:K00430
Arabidopsis lyrata, 9304217, peroxidase 40  [EC], ['EC:1.11.1.7'], KO:K00430
Arabidopsis lyrata, 9316114, probable peroxidase 26  [EC], ['EC:1.11.1.7'], KO:K00430
Arabidopsis lyrata, 9317844, peroxidase 25  [EC], ['EC:1.11.1.7'], KO:K00430
Arabidopsis lyrata, 9325183, peroxidase 13  [EC], ['EC:1.11.1.7'], KO:K00430
Arabidopsis lyrata, 9309780, peroxidase 56  [EC], ['EC:1.11.1.7'], KO:K00430
Arabidopsis lyrata, 9307722, peroxidase 56  [EC], ['EC:1.11.1.7'], KO:K00430
Arabidopsis lyrata, 9310621, peroxidase 38  [EC], ['EC:1.11.1.7'], KO:K00430
Arabidopsis lyrata, 9308483, peroxidase 37  [EC], ['EC:1.11.1.7'], KO:K00430
Arabidopsis lyrata, 9309275, peroxidase 52  [EC], ['EC:1.11.1.7'], KO:K00430
Arabidopsis lyrata, 9310137, peroxidase 60  [EC], ['EC:1.11.1.7'], KO:K00430
Arabidopsis lyrata, 9308640, peroxidase 39  [EC], ['EC:1.11.1.7'], KO:K00430
Arabidopsis lyrata, 9311634, peroxidase 32  [EC], ['EC:1.11.1.7'], KO:K00430
Arabidopsis lyrata, 9312076, peroxidase 35  [EC], ['EC:1.11.1.7'], KO:K00430
Arabidopsis lyrata, 9310232, probable peroxidase 61  [EC], ['EC:1.11.1.7'], KO:K00430
Arabidopsis lyrata, 9308482, peroxidase 37  [EC], ['EC:1.11.1.7'], KO:K00430
Arabidopsis lyrata, 9305262, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Arabidopsis lyrata, 9304118, peroxidase 41  [EC], ['EC:1.11.1.7'], KO:K00430
Arabidopsis lyrata, 9312131, peroxidase 36  [EC], ['EC:1.11.1.7'], KO:K00430
Arabidopsis lyrata, 9307980, peroxidase 59  [EC], ['EC:1.11.1.7'], KO:K00430
Arabidopsis lyrata, 9307672, peroxidase 55  [EC], ['EC:1.11.1.7'], KO:K00430
Arabidopsis lyrata, 9308348, peroxidase 34  [EC], ['EC:1.11.1.7'], KO:K00430
Arabidopsis lyrata, 9318261, peroxidase 27  [EC], ['EC:1.11.1.7'], KO:K00430
Arabidopsis lyrata, 9320246, peroxidase 16  [EC], ['EC:1.11.1.7'], KO:K00430
Arabidopsis lyrata, 9328879, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Arabidopsis lyrata, 9309923, peroxidase 57  [EC], ['EC:1.11.1.7'], KO:K00430
Arabidopsis lyrata, 9301226, peroxidase 65  [EC], ['EC:1.11.1.7'], KO:K00430
Arabidopsis lyrata, 9298481, peroxidase 70  [EC], ['EC:1.11.1.7'], KO:K00430
Arabidopsis lyrata, 9320470, peroxidase 28  [EC], ['EC:1.11.1.7'], KO:K00430
Arabidopsis lyrata, 9299891, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Arabidopsis lyrata, 9328338, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Arabidopsis lyrata, 9314869, peroxidase 18  [EC], ['EC:1.11.1.7'], KO:K00430
Arabidopsis lyrata, 9329387, peroxidase 6  [EC], ['EC:1.11.1.7'], KO:K00430
Arabidopsis lyrata, 9300215, peroxidase 66  [EC], ['EC:1.11.1.7'], KO:K00430
Arabidopsis lyrata, 9300960, peroxidase 69  [EC], ['EC:1.11.1.7'], KO:K00430
Arabidopsis lyrata, 9302667, peroxidase 70  [EC], ['EC:1.11.1.7'], KO:K00430
Arabidopsis lyrata, 9302668, peroxidase 71  [EC], ['EC:1.11.1.7'], KO:K00430
Arabidopsis lyrata, 9301080, peroxidase 73  [EC], ['EC:1.11.1.7'], KO:K00430
Arabidopsis lyrata, 9329714, peroxidase 7  [EC], ['EC:1.11.1.7'], KO:K00430
Arabidopsis lyrata, 9313833, UDP-glycosyltransferase 72E1  [EC], ['EC:2.4.1.111'], KO:K12356
Arabidopsis lyrata, 9302818, UDP-glycosyltransferase 72E3  [EC], ['EC:2.4.1.111'], KO:K12356
Arabidopsis lyrata, 9322250, UDP-glycosyltransferase 72D1  [EC], ['EC:2.4.1.111'], KO:K12356
Arabidopsis lyrata, 9314717, serine carboxypeptidase-like 8  [EC], ['EC:3.4.16.-', 'EC:2.3.1.92'], KO:K09757
Arabidopsis lyrata, 9302126, putative beta-glucosidase 41  [EC], ['EC:3.2.1.21'], KO:K01188
Arabidopsis lyrata, 9306561, beta-glucosidase 42  [EC], ['EC:3.2.1.21'], KO:K01188
Arabidopsis lyrata, 9329458, beta-glucosidase 40  [EC], ['EC:3.2.1.21'], KO:K01188
Arabidopsis lyrata, 9327380, LOW QUALITY PROTEIN: beta-glucosidase 1  [EC], ['EC:3.2.1.21'], KO:K01188
Arabidopsis lyrata, 9313605, LOW QUALITY PROTEIN: uncharacterized protein LOC9313605  [EC], ['EC:3.2.1.21'], KO:K05349
Arabidopsis lyrata, 9309243, uncharacterized protein LOC9309243  [EC], ['EC:3.2.1.21'], KO:K05349
Arabidopsis lyrata, 9311891, uncharacterized protein LOC9311891 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Arabidopsis lyrata, 9313607, uncharacterized protein LOC9313607  [EC], ['EC:3.2.1.21'], KO:K05349
Arabidopsis lyrata, 9308032, uncharacterized protein LOC9308032 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Arabidopsis lyrata, 9310092, uncharacterized protein LOC9310092  [EC], ['EC:3.2.1.21'], KO:K05349
Arabidopsis lyrata, 9324127, beta-glucosidase 46  [EC], ['EC:3.2.1.21'], KO:K05350
Arabidopsis lyrata, 9319173, beta-glucosidase 44  [EC], ['EC:3.2.1.21'], KO:K05350
Arabidopsis lyrata, 9319172, beta-glucosidase 43 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Arabidopsis lyrata, 9303901, beta-glucosidase 47  [EC], ['EC:3.2.1.21'], KO:K05350
Arabidopsis lyrata, 9325047, cytochrome P450 98A8  [EC], ['EC:1.14.13.-'], KO:K15506
Arabidopsis lyrata, 9323610, cytochrome P450 98A9  [EC], ['EC:1.14.13.-'], KO:K23662
Arabidopsis lyrata, 9321041, feruloyl CoA ortho-hydroxylase 1  [EC], ['EC:1.14.11.61'], KO:K06892
Arabidopsis lyrata, 9318972, feruloyl CoA ortho-hydroxylase 1  [EC], ['EC:1.14.11.61'], KO:K06892
Arabidopsis lyrata, 9309706, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Arabidopsis lyrata, 9314087, chalcone--flavonone isomerase  [EC], ['EC:5.5.1.6'], KO:K01859
Arabidopsis lyrata, 9309271, probable chalcone--flavonone isomerase 3 isoform X1  [EC], ['EC:5.5.1.6'], KO:K01859
Arabidopsis lyrata, 9313862, naringenin,2-oxoglutarate 3-dioxygenase isoform X1  [EC], ['EC:1.14.11.9'], KO:K00475
Arabidopsis lyrata, 9317565, LOW QUALITY PROTEIN: flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Arabidopsis lyrata, 9300933, LOW QUALITY PROTEIN: flavonol synthase 3  [EC], ['EC:1.14.20.6'], KO:K05278
Arabidopsis lyrata, 9301468, probable flavonol synthase 6  [EC], ['EC:1.14.20.6'], KO:K05278
Arabidopsis lyrata, 9309443, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Arabidopsis lyrata, 9302635, probable flavonol synthase 5  [EC], ['EC:1.14.20.6'], KO:K05278
Arabidopsis lyrata, 9300934, probable flavonol synthase 5  [EC], ['EC:1.14.20.6'], KO:K05278
Arabidopsis lyrata, 9300932, putative inactive flavonol synthase 2  [EC], ['EC:1.14.20.6'], KO:K05278
Arabidopsis lyrata, 9316690, probable flavonol synthase 5  [EC], ['EC:1.14.20.6'], KO:K05278
Arabidopsis lyrata, 9317181, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Arabidopsis lyrata, 9309404, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Arabidopsis lyrata, 9299065, dihydroflavonol 4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Arabidopsis lyrata, 9301555, dihydroflavonol 4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Arabidopsis lyrata, 9305872, leucoanthocyanidin dioxygenase  [EC], ['EC:1.14.20.4'], KO:K05277
Arabidopsis lyrata, 9322580, anthocyanidin reductase isoform X1  [EC], ['EC:1.3.1.77'], KO:K08695
Arabidopsis lyrata, 9300608, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Arabidopsis lyrata, 9322309, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Arabidopsis lyrata, 9327949, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Arabidopsis lyrata, 9315964, cytochrome P450 98A3  [EC], ['EC:1.14.14.96'], KO:K09754
Arabidopsis lyrata, 9305249, caffeoyl-CoA O-methyltransferase 1  [EC], ['EC:2.1.1.104'], KO:K00588
Arabidopsis lyrata, 9324710, putative caffeoyl-CoA O-methyltransferase At1g67980 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Arabidopsis lyrata, 9326760, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Arabidopsis lyrata, 9305692, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X2  [EC], ['EC:2.1.1.104'], KO:K00588
Arabidopsis lyrata, 9324709, tapetum-specific methyltransferase 1  [EC], ['EC:2.1.1.104'], KO:K00588
Arabidopsis lyrata, 9300374, anthocyanidin 3-O-glucoside 2'''-O-xylosyltransferase  [EC], ['EC:2.4.2.51'], KO:K17193
Arabidopsis lyrata, 9309404, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
