Elaeis guineensis, 105034198, chalcone synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Elaeis guineensis, 105033295, bifunctional dihydroflavonol 4-reductase/flavanone 4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Elaeis guineensis, 105048473, dihydroflavonol 4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Elaeis guineensis, 105032764, flavonoid 3',5'-hydroxylase 1  [EC], ['EC:1.14.14.81'], KO:K13083
Elaeis guineensis, 105036168, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Elaeis guineensis, 105053152, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Elaeis guineensis, 105053154, flavonoid 3',5'-hydroxylase-like  [EC], ['EC:1.14.14.81'], KO:K13083
Elaeis guineensis, 105045491, flavonoid 3',5'-hydroxylase-like  [EC], ['EC:1.14.14.81'], KO:K13083
Elaeis guineensis, 105045492, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Elaeis guineensis, 105045493, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Elaeis guineensis, 105035842, leucoanthocyanidin dioxygenase-like  [EC], ['EC:1.14.20.4'], KO:K05277
Elaeis guineensis, 105054281, leucoanthocyanidin dioxygenase-like  [EC], ['EC:1.14.20.4'], KO:K05277
Elaeis guineensis, 105035639, anthocyanidin reductase ((2S)-flavan-3-ol-forming)  [EC], ['EC:1.3.1.77'], KO:K08695
Elaeis guineensis, 105041053, leucoanthocyanidin reductase  [EC], ['EC:1.17.1.3'], KO:K13081
Elaeis guineensis, 105048528, leucoanthocyanidin reductase isoform X1  [EC], ['EC:1.17.1.3'], KO:K13081
Elaeis guineensis, 105034344, salutaridinol 7-O-acetyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Elaeis guineensis, 105037568, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Elaeis guineensis, 105037012, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Elaeis guineensis, 105037184, putrescine hydroxycinnamoyltransferase 1  [EC], ['EC:2.3.1.133'], KO:K13065
Elaeis guineensis, 105060153, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Elaeis guineensis, 105060154, hydroxycinnamoyltransferase 1  [EC], ['EC:2.3.1.133'], KO:K13065
Elaeis guineensis, 105053765, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Elaeis guineensis, 105045448, tryptamine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Elaeis guineensis, 105032801, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Elaeis guineensis, 105033349, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Elaeis guineensis, 105052441, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Elaeis guineensis, 105050332, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Elaeis guineensis, 105032439, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Elaeis guineensis, 105051169, flavonoid 3',5'-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Elaeis guineensis, 109504787, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Elaeis guineensis, 105051171, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Elaeis guineensis, 105051182, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
