Vigna angularis, 108324188, phenylalanine ammonia-lyase 2-like  [EC], ['EC:4.3.1.24'], KO:K10775
Vigna angularis, 108345236, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna angularis, 108327506, omega-hydroxypalmitate O-feruloyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna angularis, 108346708, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna angularis, 108340936, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna angularis, 108320436, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna angularis, 108320670, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna angularis, 108327969, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna angularis, 108344777, omega-hydroxypalmitate O-feruloyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna angularis, 108328104, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna angularis, 108332986, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna angularis, 108341411, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna angularis, 108322157, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna angularis, 108345150, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna angularis, 108333279, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna angularis, 108342055, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna angularis, 108346061, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Vigna angularis, 108329373, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Vigna angularis, 108322700, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Vigna angularis, 108325843, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Vigna angularis, 108346123, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Vigna angularis, 108325139, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Vigna angularis, 108335869, caffeoyl-CoA O-methyltransferase 1-like  [EC], ['EC:2.1.1.104'], KO:K00588
Vigna angularis, 108343562, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Vigna angularis, 108347170, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Vigna angularis, 108344892, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Vigna angularis, 108336243, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Vigna angularis, 108340257, caffeoyl-CoA O-methyltransferase 5-like  [EC], ['EC:2.1.1.104'], KO:K00588
Vigna angularis, 108347202, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Vigna angularis, 108347316, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Vigna angularis, 108334476, cinnamoyl-CoA reductase 2-like  [EC], ['EC:1.2.1.44'], KO:K09753
Vigna angularis, 108320633, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Vigna angularis, 108346986, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Vigna angularis, 108346954, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Vigna angularis, 108346139, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Vigna angularis, 108345057, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Vigna angularis, 108333665, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Vigna angularis, 108335166, cytochrome P450 84A1  [EC], ['EC:1.14.-.-'], KO:K09755
Vigna angularis, 108332176, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Vigna angularis, 108337604, caffeic acid 3-O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Vigna angularis, 108331569, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Vigna angularis, 108347163, anthranilate N-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Vigna angularis, 108322235, caffeic acid 3-O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Vigna angularis, 108322321, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Vigna angularis, 108324866, probable cinnamyl alcohol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Vigna angularis, 108341876, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Vigna angularis, 108337139, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Vigna angularis, 108341889, flavin-dependent oxidoreductase FOX2-like  [EC], ['EC:1.1.1.195'], KO:K22395
Vigna angularis, 108319380, flavin-dependent oxidoreductase FOX2-like  [EC], ['EC:1.1.1.195'], KO:K22395
Vigna angularis, 108319384, flavin-dependent oxidoreductase FOX2-like  [EC], ['EC:1.1.1.195'], KO:K22395
Vigna angularis, 108319387, flavin-dependent oxidoreductase FOX2-like  [EC], ['EC:1.1.1.195'], KO:K22395
Vigna angularis, 108319395, reticuline oxidase-like protein  [EC], ['EC:1.1.1.195'], KO:K22395
Vigna angularis, 108319109, 1-Cys peroxiredoxin  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Vigna angularis, 108333420, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108334685, peroxidase 20  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108337158, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108341793, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108321297, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108321360, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108345250, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108325084, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108328651, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108328668, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108333552, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108337188, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108337233, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108339597, peroxidase 17  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108339644, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108337338, peroxidase 9  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108347230, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108347237, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108331402, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108340339, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108335163, peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108335172, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108337529, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108337593, peroxidase 46-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108339962, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108321112, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108318738, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108326908, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108328088, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108331600, peroxidase 46-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108334119, probable peroxidase 61  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108333252, peroxidase 39-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108341727, peroxidase 43  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108342486, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108344285, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108325275, peroxidase 47-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108327706, peroxidase 55-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108334988, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108336165, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108322168, peroxidase 16  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108324140, peroxidase; peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108318765, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108325857, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108343153, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108343171, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108343173, peroxidase E5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108343028, peroxidase E5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108330673, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108335606, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108338012, peroxidase N  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108321362, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108336369, peroxidase 45-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108340048, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108342654, cationic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108328669, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108328831, peroxidase 28-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108321963, peroxidase 65-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108318678, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108344786, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108344790, peroxidase 47-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108334230, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108345094, peroxidase 66-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108324977, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108342313, cationic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108334808, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108337273, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108319204, peroxidase 21  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108322789, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108332070, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108333810, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108329954, peroxidase 40-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108342418, cationic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108324409, peroxidase 53-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108325572, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108327974, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108328319, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108338053, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108341908, cationic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108343109, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108321440, peroxidase 65-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108337684, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108340507, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108341597, peroxidase 22-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108342599, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108319524, peroxidase 42  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108331175, peroxidase 25  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108323889, peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108323915, peroxidase 73-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vigna angularis, 108347206, UDP-glycosyltransferase 72D1-like  [EC], ['EC:2.4.1.111'], KO:K12356
Vigna angularis, 108325049, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Vigna angularis, 108338476, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Vigna angularis, 108335423, UDP-glycosyltransferase 72E1  [EC], ['EC:2.4.1.111'], KO:K12356
Vigna angularis, 108320744, beta-glucosidase 24-like  [EC], ['EC:3.2.1.21'], KO:K01188
Vigna angularis, 108326347, cyanogenic beta-glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K01188
Vigna angularis, 108326889, beta-glucosidase 11-like  [EC], ['EC:3.2.1.21'], KO:K01188
Vigna angularis, 108333875, beta-glucosidase 12-like  [EC], ['EC:3.2.1.21'], KO:K01188
Vigna angularis, 108336233, beta-glucosidase 40-like  [EC], ['EC:3.2.1.21'], KO:K01188
Vigna angularis, 108339509, beta-glucosidase 12-like  [EC], ['EC:3.2.1.21'], KO:K01188
Vigna angularis, 108339510, cyanogenic beta-glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K01188
Vigna angularis, 108339511, cyanogenic beta-glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K01188
Vigna angularis, 108339532, cyanogenic beta-glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K01188
Vigna angularis, 108339538, putative beta-glucosidase 41  [EC], ['EC:3.2.1.21'], KO:K01188
Vigna angularis, 108340406, beta-glucosidase 12-like  [EC], ['EC:3.2.1.21'], KO:K01188
Vigna angularis, 108340789, cyanogenic beta-glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K01188
Vigna angularis, 108342283, beta-glucosidase 40  [EC], ['EC:3.2.1.21'], KO:K01188
Vigna angularis, 108339099, beta-glucosidase 42-like  [EC], ['EC:3.2.1.21'], KO:K01188
Vigna angularis, 108339454, beta-glucosidase 12-like  [EC], ['EC:3.2.1.21'], KO:K01188
Vigna angularis, 108340405, beta-glucosidase 13-like  [EC], ['EC:3.2.1.21'], KO:K01188
Vigna angularis, 108328189, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Vigna angularis, 108343393, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Vigna angularis, 108344461, lysosomal beta glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K05349
Vigna angularis, 108343470, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Vigna angularis, 108326458, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Vigna angularis, 108344946, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Vigna angularis, 108336370, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Vigna angularis, 108343916, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Vigna angularis, 108346800, beta-glucosidase 46-like  [EC], ['EC:3.2.1.21'], KO:K05350
Vigna angularis, 108346809, beta-glucosidase 46-like  [EC], ['EC:3.2.1.21'], KO:K05350
Vigna angularis, 108333040, beta-glucosidase 18-like  [EC], ['EC:3.2.1.21'], KO:K05350
Vigna angularis, 108341163, beta-glucosidase 47-like  [EC], ['EC:3.2.1.21'], KO:K05350
Vigna angularis, 108343272, beta-glucosidase 46-like  [EC], ['EC:3.2.1.21'], KO:K05350
Vigna angularis, 108333268, beta-glucosidase 18-like  [EC], ['EC:3.2.1.21'], KO:K05350
Vigna angularis, 108346114, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Vigna angularis, 108347270, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Vigna angularis, 108341379, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Vigna angularis, 108319960, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Vigna angularis, 108342189, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Vigna angularis, 108342377, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
