Rosa chinensis, 112191949, phenylalanine ammonia-lyase 1  [EC], ['EC:4.3.1.24'], KO:K10775
Rosa chinensis, 112187366, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Rosa chinensis, 112198396, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Rosa chinensis, 112199611, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Rosa chinensis, 112202397, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Rosa chinensis, 112193063, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Rosa chinensis, 112199941, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Rosa chinensis, 112201401, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Rosa chinensis, 112201402, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Rosa chinensis, 112201403, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Rosa chinensis, 112194338, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Rosa chinensis, 112197637, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Rosa chinensis, 112201481, shikimate O-hydroxycinnamoyltransferase-like isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Rosa chinensis, 112187919, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Rosa chinensis, 112195959, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Rosa chinensis, 112194524, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Rosa chinensis, 112197733, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Rosa chinensis, 112196116, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Rosa chinensis, 112200703, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Rosa chinensis, 112200709, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Rosa chinensis, 112202237, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Rosa chinensis, 112191575, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Rosa chinensis, 112173581, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Rosa chinensis, 112182571, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Rosa chinensis, 112187345, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Rosa chinensis, 112165605, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Rosa chinensis, 112187847, LOW QUALITY PROTEIN: caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Rosa chinensis, 112198135, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Rosa chinensis, 112181235, flavonoid 3',5'-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Rosa chinensis, 112186354, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Rosa chinensis, 112186358, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Rosa chinensis, 112186378, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Rosa chinensis, 112186379, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Rosa chinensis, 112186380, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Rosa chinensis, 112186382, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Rosa chinensis, 112186383, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Rosa chinensis, 112174665, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Rosa chinensis, 112201013, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Rosa chinensis, 112195834, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Rosa chinensis, 112190223, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Rosa chinensis, 112190432, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Rosa chinensis, 112194815, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Rosa chinensis, 112182362, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Rosa chinensis, 112188461, cinnamoyl-CoA reductase 1  [EC], ['EC:1.2.1.44'], KO:K09753
Rosa chinensis, 112190146, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Rosa chinensis, 112190147, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Rosa chinensis, 112190148, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Rosa chinensis, 112192323, aldehyde dehydrogenase family 2 member C4-like isoform X1  [EC], ['EC:1.2.1.68'], KO:K12355
Rosa chinensis, 112192325, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Rosa chinensis, 112173945, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Rosa chinensis, 112187580, cytochrome P450 84A1  [EC], ['EC:1.14.-.-'], KO:K09755
Rosa chinensis, 112199890, anthranilate N-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Rosa chinensis, 112186762, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Rosa chinensis, 112195792, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Rosa chinensis, 112177243, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Rosa chinensis, 112173018, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Rosa chinensis, 112174337, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Rosa chinensis, 112177138, anthranilate N-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Rosa chinensis, 112187184, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Rosa chinensis, 112184684, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Rosa chinensis, 112178673, anthranilate N-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Rosa chinensis, 112180641, probable cinnamyl alcohol dehydrogenase 1 isoform X1  [EC], ['EC:1.1.1.195'], KO:K00083
Rosa chinensis, 112172220, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Rosa chinensis, 112173210, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Rosa chinensis, 112175092, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Rosa chinensis, 112184982, probable cinnamyl alcohol dehydrogenase 9  [EC], ['EC:1.1.1.195'], KO:K00083
Rosa chinensis, 112185445, probable cinnamyl alcohol dehydrogenase 9  [EC], ['EC:1.1.1.195'], KO:K00083
Rosa chinensis, 112173412, cinnamyl alcohol dehydrogenase 1-like isoform X1  [EC], ['EC:1.1.1.195'], KO:K00083
Rosa chinensis, 112166518, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Rosa chinensis, 112163702, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Rosa chinensis, 112163703, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Rosa chinensis, 112195921, 1-Cys peroxiredoxin  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Rosa chinensis, 112181937, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Rosa chinensis, 112166451, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Rosa chinensis, 112171876, peroxidase 12  [EC], ['EC:1.11.1.7'], KO:K00430
Rosa chinensis, 112174363, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Rosa chinensis, 112176670, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Rosa chinensis, 112172101, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Rosa chinensis, 112177699, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Rosa chinensis, 112177701, cationic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Rosa chinensis, 112165334, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Rosa chinensis, 112165335, peroxidase 15-like  [EC], ['EC:1.11.1.7'], KO:K00430
Rosa chinensis, 112165338, peroxidase N-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Rosa chinensis, 112166548, peroxidase 15-like  [EC], ['EC:1.11.1.7'], KO:K00430
Rosa chinensis, 112178102, peroxidase 9-like  [EC], ['EC:1.11.1.7'], KO:K00430
Rosa chinensis, 112182014, peroxidase 66  [EC], ['EC:1.11.1.7'], KO:K00430
Rosa chinensis, 112166093, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Rosa chinensis, 112175381, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Rosa chinensis, 112187049, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Rosa chinensis, 112166914, peroxidase N  [EC], ['EC:1.11.1.7'], KO:K00430
Rosa chinensis, 112168265, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Rosa chinensis, 112168325, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Rosa chinensis, 112179967, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Rosa chinensis, 112180295, peroxidase 20-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Rosa chinensis, 112180952, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Rosa chinensis, 112167743, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Rosa chinensis, 112168091, peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Rosa chinensis, 112168167, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Rosa chinensis, 112173341, peroxidase 9  [EC], ['EC:1.11.1.7'], KO:K00430
Rosa chinensis, 112167284, peroxidase 20-like  [EC], ['EC:1.11.1.7'], KO:K00430
Rosa chinensis, 112168825, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Rosa chinensis, 112183791, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Rosa chinensis, 112183965, LOW QUALITY PROTEIN: peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Rosa chinensis, 112167574, peroxidase 42  [EC], ['EC:1.11.1.7'], KO:K00430
Rosa chinensis, 112168740, peroxidase 46 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Rosa chinensis, 112184739, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Rosa chinensis, 112171230, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Rosa chinensis, 112199616, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Rosa chinensis, 112195370, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Rosa chinensis, 112198538, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Rosa chinensis, 112187396, peroxidase 55-like  [EC], ['EC:1.11.1.7'], KO:K00430
Rosa chinensis, 112200998, probable peroxidase 26  [EC], ['EC:1.11.1.7'], KO:K00430
Rosa chinensis, 112202521, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Rosa chinensis, 112198244, peroxidase 45-like  [EC], ['EC:1.11.1.7'], KO:K00430
Rosa chinensis, 112190963, peroxidase 17-like  [EC], ['EC:1.11.1.7'], KO:K00430
Rosa chinensis, 112194885, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Rosa chinensis, 112201637, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Rosa chinensis, 112200519, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Rosa chinensis, 112203376, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Rosa chinensis, 112189050, peroxidase 25  [EC], ['EC:1.11.1.7'], KO:K00430
Rosa chinensis, 112195883, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Rosa chinensis, 112193466, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Rosa chinensis, 112188612, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Rosa chinensis, 112191458, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Rosa chinensis, 112197933, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Rosa chinensis, 112201872, peroxidase 60-like  [EC], ['EC:1.11.1.7'], KO:K00430
Rosa chinensis, 112203268, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Rosa chinensis, 112198271, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Rosa chinensis, 112198281, peroxidase 6-like  [EC], ['EC:1.11.1.7'], KO:K00430
Rosa chinensis, 112199495, peroxidase 29  [EC], ['EC:1.11.1.7'], KO:K00430
Rosa chinensis, 112188912, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Rosa chinensis, 112201169, peroxidase 24  [EC], ['EC:1.11.1.7'], KO:K00430
Rosa chinensis, 112189320, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Rosa chinensis, 112200193, peroxidase 40-like  [EC], ['EC:1.11.1.7'], KO:K00430
Rosa chinensis, 112202174, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Rosa chinensis, 112189557, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Rosa chinensis, 112200435, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Rosa chinensis, 112201964, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Rosa chinensis, 112189005, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Rosa chinensis, 112189007, peroxidase 55-like  [EC], ['EC:1.11.1.7'], KO:K00430
Rosa chinensis, 112201380, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Rosa chinensis, 112201427, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Rosa chinensis, 112193458, peroxidase 21  [EC], ['EC:1.11.1.7'], KO:K00430
Rosa chinensis, 112188530, peroxidase 73  [EC], ['EC:1.11.1.7'], KO:K00430
Rosa chinensis, 112189809, peroxidase 17-like  [EC], ['EC:1.11.1.7'], KO:K00430
Rosa chinensis, 112186486, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Rosa chinensis, 112186660, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Rosa chinensis, 112184805, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Rosa chinensis, 112183355, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Rosa chinensis, 112202962, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Rosa chinensis, 112164736, beta-glucosidase 12-like  [EC], ['EC:3.2.1.21'], KO:K01188
Rosa chinensis, 112164737, beta-glucosidase 12-like  [EC], ['EC:3.2.1.21'], KO:K01188
Rosa chinensis, 112166405, beta-glucosidase 13-like  [EC], ['EC:3.2.1.21'], KO:K01188
Rosa chinensis, 112166949, putative beta-glucosidase 41 isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Rosa chinensis, 112173114, beta-glucosidase 42 isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Rosa chinensis, 112201629, beta-glucosidase 13-like  [EC], ['EC:3.2.1.21'], KO:K01188
Rosa chinensis, 112198050, beta-glucosidase 40  [EC], ['EC:3.2.1.21'], KO:K01188
Rosa chinensis, 112181944, uncharacterized protein LOC112181944 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Rosa chinensis, 112166431, uncharacterized protein LOC112166431  [EC], ['EC:3.2.1.21'], KO:K05349
Rosa chinensis, 112169415, uncharacterized protein LOC112169415 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Rosa chinensis, 112193668, uncharacterized protein LOC112193668  [EC], ['EC:3.2.1.21'], KO:K05349
Rosa chinensis, 112193669, uncharacterized protein LOC112193669  [EC], ['EC:3.2.1.21'], KO:K05349
Rosa chinensis, 112202135, uncharacterized protein LOC112202135  [EC], ['EC:3.2.1.21'], KO:K05349
Rosa chinensis, 112203947, uncharacterized protein LOC112203947  [EC], ['EC:3.2.1.21'], KO:K05349
Rosa chinensis, 112176680, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Rosa chinensis, 112176681, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Rosa chinensis, 112176682, beta-glucosidase 44-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Rosa chinensis, 112178838, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Rosa chinensis, 112165017, beta-glucosidase 47 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Rosa chinensis, 112164437, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Rosa chinensis, 112168261, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Rosa chinensis, 112172317, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Rosa chinensis, 112170352, UDP-glucose flavonoid 3-O-glucosyltransferase 7-like  [EC], ['EC:2.4.1.128'], KO:K23260
Rosa chinensis, 112170407, UDP-glucose flavonoid 3-O-glucosyltransferase 7-like  [EC], ['EC:2.4.1.128'], KO:K23260
Rosa chinensis, 112172049, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Rosa chinensis, 112170041, UDP-glucose flavonoid 3-O-glucosyltransferase 7-like  [EC], ['EC:2.4.1.128'], KO:K23260
Rosa chinensis, 112170043, UDP-glucose flavonoid 3-O-glucosyltransferase 7-like  [EC], ['EC:2.4.1.128'], KO:K23260
Rosa chinensis, 112171381, UDP-glucose flavonoid 3-O-glucosyltransferase 7-like  [EC], ['EC:2.4.1.128'], KO:K23260
Rosa chinensis, 112172618, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Rosa chinensis, 112173916, UDP-glucose flavonoid 3-O-glucosyltransferase 7-like  [EC], ['EC:2.4.1.128'], KO:K23260
Rosa chinensis, 112173918, UDP-glucose flavonoid 3-O-glucosyltransferase 7-like  [EC], ['EC:2.4.1.128'], KO:K23260
Rosa chinensis, 112184275, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Rosa chinensis, 112170815, UDP-glucose flavonoid 3-O-glucosyltransferase 7-like  [EC], ['EC:2.4.1.128'], KO:K23260
