Glycine max, 606705, IFS2; 2-hydroxyisoflavanone synthase precursor  [EC], ['EC:1.14.14.87'], KO:K13257
Glycine max, 100776878, CYP93A1; 3,9-dihydroxypterocarpan 6A-monooxygenase  [EC], ['EC:1.14.14.93'], KO:K13261
Glycine max, 100808223, 3,9-dihydroxypterocarpan 6A-monooxygenase  [EC], ['EC:1.14.14.93'], KO:K13261
Glycine max, 100813225, isoflavone 7-O-methyltransferase-like  [EC], ['EC:2.1.1.150'], KO:K13262
Glycine max, 100800021, isoflavone-7-O-methyltransferase 6  [EC], ['EC:2.1.1.150'], KO:K13262
Glycine max, 100818724, isoflavone-7-O-methyltransferase 9  [EC], ['EC:2.1.1.150'], KO:K13262
Glycine max, 100819257, isoflavone 7-O-methyltransferase  [EC], ['EC:2.1.1.150'], KO:K13262
Glycine max, 100811609, isoflavone 7-O-methyltransferase  [EC], ['EC:2.1.1.150'], KO:K13262
Glycine max, 100779638, isoflavone 7-O-methyltransferase  [EC], ['EC:2.1.1.150'], KO:K13262
Glycine max, 100776336, isoflavone 7-O-methyltransferase  [EC], ['EC:2.1.1.150'], KO:K13262
Glycine max, 100819853, isoflavone-7-O-methyltransferase 6-like  [EC], ['EC:2.1.1.150'], KO:K13262
Glycine max, 100812688, uncharacterized protein LOC100812688  [EC], ['EC:2.1.1.150'], KO:K13262
Glycine max, 100819796, isoflavone 7-O-methyltransferase  [EC], ['EC:2.1.1.150'], KO:K13262
Glycine max, 100818947, isoflavone-7-O-methyltransferase 6  [EC], ['EC:2.1.1.150'], KO:K13262
Glycine max, 100791825, isoflavone-7-O-methyltransferase 6  [EC], ['EC:2.1.1.150'], KO:K13262
Glycine max, 100800912, isoflavone-7-O-methyltransferase 6  [EC], ['EC:2.1.1.150'], KO:K13262
Glycine max, 100819957, LOW QUALITY PROTEIN: isoflavone 7-O-methyltransferase  [EC], ['EC:2.1.1.150'], KO:K13262
Glycine max, 100101902, IF7GT; isoflavone 7-O-glucosyltransferase 1  [EC], ['EC:2.4.1.170'], KO:K13263
Glycine max, 100777343, UGT7; isoflavone 7-O-glucosyltransferase UGT7  [EC], ['EC:2.4.1.170'], KO:K13263
Glycine max, 100776806, UGT8; isoflavone 7-O-glucosyltransferase UGT8  [EC], ['EC:2.4.1.170'], KO:K13263
Glycine max, 100127426, IF7MaT; malonyl-CoA:isoflavone 7-O-glucoside-6''-O-malonyltransferase  [EC], ['EC:2.3.1.115'], KO:K13264
Glycine max, 100127365, AT133; malonyl-CoA:isoflavone 7-O-glucoside-6''-O-malonyltransferase  [EC], ['EC:2.3.1.115'], KO:K13264
Glycine max, 100781863, NmrA-like family domain-containing protein  [EC], ['EC:1.3.1.45'], KO:K05281
Glycine max, 100778149, isoflavone reductase-like  [EC], ['EC:1.3.1.45'], KO:K05281
Glycine max, 547659, NADPH:isoflavone reductase  [EC], ['EC:1.3.1.45'], KO:K05281
Glycine max, 100781316, IFR; isoflavone reductase  [EC], ['EC:1.3.1.45'], KO:K05281
Glycine max, 100194416, vestitone reductase  [EC], ['EC:1.1.1.348'], KO:K13265
Glycine max, 100794209, uncharacterized protein LOC100794209  [EC], ['EC:1.1.1.348'], KO:K13265
Glycine max, 100793687, uncharacterized protein LOC100793687  [EC], ['EC:1.1.1.348'], KO:K13265
Glycine max, 547660, 2'-hydroxydihydrodaidzein reductase  [EC], ['EC:1.1.1.348'], KO:K13265
Glycine max, 100500621, PTS1; pterocarpan synthase 1 precursor  [EC], ['EC:4.2.1.139'], KO:K25075
Glycine max, 100817155, PTS3; pterocarpan synthase precursor  [EC], ['EC:4.2.1.139'], KO:K25075
Glycine max, 100817686, PTS4; pterocarpan synthase precursor  [EC], ['EC:4.2.1.139'], KO:K25075
Glycine max, 100814284, F6H1; flavonoid 6-hydroxylase  [EC], ['EC:1.14.13.-'], KO:K13267
Glycine max, 100813216, F6H2; cytochrome P450 71D9-like  [EC], ['EC:1.14.13.-'], KO:K13267
Glycine max, 100808331, F6H3; LOW QUALITY PROTEIN: cytochrome P450 71D9-like  [EC], ['EC:1.14.13.-'], KO:K13267
Glycine max, 100783503, FNSII-1; cytochrome P450 93B16  [EC], ['EC:1.14.19.76'], KO:K23179
Glycine max, 100784036, FNSII-2; flavone synthase II  [EC], ['EC:1.14.19.76'], KO:K23179
