Ipomoea nil, 109161594, CHS-E; chalcone synthase E  [EC], ['EC:2.3.1.74'], KO:K00660
Ipomoea nil, 109155056, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109166957, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109166961, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109150715, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109179667, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109155300, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109167144, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109173156, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109181086, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109155697, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109156081, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109156082, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109190503, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109159148, cytochrome P450 98A3  [EC], ['EC:1.14.14.96'], KO:K09754
Ipomoea nil, 109172722, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Ipomoea nil, 109193122, In04; probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Ipomoea nil, 109193141, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Ipomoea nil, 109162046, caffeoyl-CoA O-methyltransferase 5  [EC], ['EC:2.1.1.104'], KO:K00588
Ipomoea nil, 109177856, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Ipomoea nil, 109189033, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Ipomoea nil, 109177504, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
