Capsella rubella, 17885805, phenylalanine ammonia-lyase 2  [EC], ['EC:4.3.1.24'], KO:K10775
Capsella rubella, 17889010, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Capsella rubella, 17898064, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Capsella rubella, 17900650, 1-Cys peroxiredoxin PER1  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Capsella rubella, 17888292, peroxidase 20  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17879841, peroxidase 40  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17879415, peroxidase 50  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17880959, peroxidase 41  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17881792, peroxidase 37  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17881221, peroxidase 37  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17882987, peroxidase 39  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17883229, peroxidase 52  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17882400, peroxidase 55  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17882044, peroxidase 58  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17876461, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17874579, peroxidase 32  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17882633, peroxidase 56  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17875835, peroxidase 67  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17877123, peroxidase 73  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17881618, peroxidase N  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17886527, peroxidase 35  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17887474, peroxidase 34  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17879661, peroxidase 63  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17877873, peroxidase 50  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17878728, peroxidase 42  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17878479, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17880998, peroxidase 44  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17876691, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17879449, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17879669, peroxidase 44  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17879453, peroxidase 17  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17879432, peroxidase 46  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17877245, peroxidase 69  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17876306, peroxidase 71  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17875484, peroxidase 66  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17879884, peroxidase 62  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17883185, peroxidase 60  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17884153, probable peroxidase 61  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17877267, peroxidase 65  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17876006, peroxidase 70  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17878296, peroxidase 17  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17879832, peroxidase 49  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17879584, peroxidase 45  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17879681, peroxidase 50 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17884950, peroxidase 34  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17884670, peroxidase 33  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17886618, peroxidase 33  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17886436, peroxidase 34  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17891378, peroxidase 28  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17890723, peroxidase 27  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17895398, peroxidase 13  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17886154, peroxidase 36  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17894478, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17897584, peroxidase 7  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17899888, peroxidase 9  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17892932, peroxidase 15  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17893915, peroxidase 16  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17895062, peroxidase 12  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17887959, peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17889702, peroxidase 25  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17888934, probable peroxidase 26  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17887663, peroxidase 17  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17889733, peroxidase 21  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17889954, peroxidase 23  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17889555, peroxidase 18  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17900529, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17888460, peroxidase 24  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17892804, peroxidase 15  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17885588, LOW QUALITY PROTEIN: peroxidase 31  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17893663, peroxidase 30  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17890872, peroxidase 29  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 111831248, peroxidase 18-like  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17899141, peroxidase 4  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17896820, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17880198, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17881852, LOW QUALITY PROTEIN: peroxidase 57  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17900805, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 111830121, peroxidase 53  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17883972, peroxidase 56  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17881916, peroxidase 54  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17877562, peroxidase 43  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17897014, peroxidase 10  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17899568, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Capsella rubella, 17876247, UDP-glycosyltransferase 72E3  [EC], ['EC:2.4.1.111'], KO:K12356
Capsella rubella, 17887384, UDP-glycosyltransferase 72E1  [EC], ['EC:2.4.1.111'], KO:K12356
Capsella rubella, 17893931, UDP-glycosyltransferase 84A2  [EC], ['EC:2.4.1.120'], KO:K13068
Capsella rubella, 17881755, serine carboxypeptidase-like 19  [EC], ['EC:3.4.16.-', 'EC:2.3.1.91'], KO:K09756
Capsella rubella, 17885191, beta-glucosidase 30  [EC], ['EC:3.2.1.21'], KO:K01188
Capsella rubella, 17876017, beta-glucosidase 13 isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Capsella rubella, 17900477, beta-glucosidase 40  [EC], ['EC:3.2.1.21'], KO:K01188
Capsella rubella, 17878313, beta-glucosidase 3 isoform X2  [EC], ['EC:3.2.1.21'], KO:K01188
Capsella rubella, 17881086, beta-glucosidase 31  [EC], ['EC:3.2.1.21'], KO:K01188
Capsella rubella, 17885414, beta-glucosidase 16  [EC], ['EC:3.2.1.21'], KO:K01188
Capsella rubella, 17890328, beta-glucosidase 15  [EC], ['EC:3.2.1.21'], KO:K01188
Capsella rubella, 17880107, beta-glucosidase 42  [EC], ['EC:3.2.1.21'], KO:K01188
Capsella rubella, 17892131, probable inactive beta-glucosidase 25  [EC], ['EC:3.2.1.21'], KO:K01188
Capsella rubella, 17882079, beta-glucosidase 32  [EC], ['EC:3.2.1.21'], KO:K01188
Capsella rubella, 111830392, beta-glucosidase 8-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Capsella rubella, 111832471, putative beta-glucosidase 41  [EC], ['EC:3.2.1.21'], KO:K01188
Capsella rubella, 17881306, beta-glucosidase 32  [EC], ['EC:3.2.1.21'], KO:K01188
Capsella rubella, 17883566, beta-glucosidase 32  [EC], ['EC:3.2.1.21'], KO:K01188
Capsella rubella, 17884768, beta-glucosidase 27  [EC], ['EC:3.2.1.21'], KO:K01188
Capsella rubella, 17885752, beta-glucosidase 10  [EC], ['EC:3.2.1.21'], KO:K01188
Capsella rubella, 17888766, beta-glucosidase 28  [EC], ['EC:3.2.1.21'], KO:K01188
Capsella rubella, 17891711, beta-glucosidase 23  [EC], ['EC:3.2.1.21'], KO:K01188
Capsella rubella, 17894149, putative beta-glucosidase 5 isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Capsella rubella, 17895027, beta-glucosidase 20  [EC], ['EC:3.2.1.21'], KO:K01188
Capsella rubella, 17896770, beta-glucosidase 1 isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Capsella rubella, 17886922, uncharacterized protein LOC17886922  [EC], ['EC:3.2.1.21'], KO:K05349
Capsella rubella, 17883734, uncharacterized protein LOC17883734 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Capsella rubella, 17885531, uncharacterized protein LOC17885531  [EC], ['EC:3.2.1.21'], KO:K05349
Capsella rubella, 17884994, LOW QUALITY PROTEIN: uncharacterized protein LOC17884994  [EC], ['EC:3.2.1.21'], KO:K05349
Capsella rubella, 17884397, uncharacterized protein LOC17884397  [EC], ['EC:3.2.1.21'], KO:K05349
Capsella rubella, 17882700, uncharacterized protein LOC17882700  [EC], ['EC:3.2.1.21'], KO:K05349
Capsella rubella, 17886413, uncharacterized protein LOC17886413 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Capsella rubella, 17895560, beta-glucosidase 46 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Capsella rubella, 17894518, beta-glucosidase 45  [EC], ['EC:3.2.1.21'], KO:K05350
Capsella rubella, 17894400, beta-glucosidase 45  [EC], ['EC:3.2.1.21'], KO:K05350
Capsella rubella, 17893733, beta-glucosidase 44  [EC], ['EC:3.2.1.21'], KO:K05350
Capsella rubella, 17880090, beta-glucosidase 47  [EC], ['EC:3.2.1.21'], KO:K05350
Capsella rubella, 17893414, beta-glucosidase 43 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Capsella rubella, 17895263, LOW QUALITY PROTEIN: cytochrome P450 98A8  [EC], ['EC:1.14.13.-'], KO:K15506
Capsella rubella, 111831892, cytochrome P450 98A9  [EC], ['EC:1.14.13.-'], KO:K23662
Capsella rubella, 17893417, feruloyl CoA ortho-hydroxylase 1  [EC], ['EC:1.14.11.61'], KO:K06892
