Olea europaea v. sylvestris, 111399604, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Olea europaea v. sylvestris, 111401521, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Olea europaea v. sylvestris, 111375693, caffeoylshikimate esterase-like isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Olea europaea v. sylvestris, 111389230, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Olea europaea v. sylvestris, 111406128, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Olea europaea v. sylvestris, 111366180, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Olea europaea v. sylvestris, 111376971, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Olea europaea v. sylvestris, 111385495, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Olea europaea v. sylvestris, 111387945, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Olea europaea v. sylvestris, 111391869, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Olea europaea v. sylvestris, 111391870, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Olea europaea v. sylvestris, 111392356, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Olea europaea v. sylvestris, 111393471, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Olea europaea v. sylvestris, 111393476, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Olea europaea v. sylvestris, 111366375, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Olea europaea v. sylvestris, 111411999, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Olea europaea v. sylvestris, 111365297, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Olea europaea v. sylvestris, 111401874, cinnamoyl-CoA reductase 1-like isoform X1  [EC], ['EC:1.2.1.44'], KO:K09753
Olea europaea v. sylvestris, 111375374, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Olea europaea v. sylvestris, 111399385, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Olea europaea v. sylvestris, 111407885, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Olea europaea v. sylvestris, 111367389, cytochrome P450 84A1  [EC], ['EC:1.14.-.-'], KO:K09755
Olea europaea v. sylvestris, 111367736, caffeic acid 3-O-methyltransferase 2  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Olea europaea v. sylvestris, 111397542, caffeic acid 3-O-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Olea europaea v. sylvestris, 111410149, cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Olea europaea v. sylvestris, 111410227, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Olea europaea v. sylvestris, 111388752, cinnamyl alcohol dehydrogenase 1-like  [EC], ['EC:1.1.1.195'], KO:K00083
Olea europaea v. sylvestris, 111367566, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Olea europaea v. sylvestris, 111387805, cinnamyl alcohol dehydrogenase 1-like  [EC], ['EC:1.1.1.195'], KO:K00083
Olea europaea v. sylvestris, 111401145, probable mannitol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Olea europaea v. sylvestris, 111370037, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Olea europaea v. sylvestris, 111412354, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Olea europaea v. sylvestris, 111384963, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Olea europaea v. sylvestris, 111392058, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Olea europaea v. sylvestris, 111398096, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Olea europaea v. sylvestris, 111367780, 1-Cys peroxiredoxin  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Olea europaea v. sylvestris, 111381102, peroxidase 56-like  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111382653, peroxidase 9-like  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111385992, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111388211, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111373958, peroxidase 55-like  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111396859, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111404908, peroxidase 60-like  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111404957, peroxidase 66  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111396236, peroxidase 11-like  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111396238, peroxidase 11-like  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111396241, peroxidase 11-like  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111399679, peroxidase 21-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111401945, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111385191, peroxidase 43-like  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111366211, peroxidase 47-like  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111368505, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111367868, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111397718, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111408040, cationic peroxidase 1-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111409233, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111410353, peroxidase 10-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111374330, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111382222, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111366456, probable peroxidase 61  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111411520, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111368224, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111372231, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111372232, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111374522, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111395180, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111383082, peroxidase 60-like  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111407248, peroxidase 19-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111383548, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111386908, peroxidase 55-like  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111391409, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111408927, peroxidase 9-like  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111398944, peroxidase 11-like  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111376675, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111381124, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111399512, peroxidase 15-like  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111394706, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111394717, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111395894, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111386094, peroxidase N-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111386115, peroxidase 15-like  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111374083, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111376361, peroxidase 43-like  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111384259, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111384261, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111384262, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111397026, peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111380295, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111369156, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111370377, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111402428, peroxidase 42-like  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111367545, peroxidase 17-like  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111371524, peroxidase 40  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111371531, peroxidase 29  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111379502, peroxidase 47-like  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111408173, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111408177, peroxidase 19-like  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111367232, peroxidase 73-like  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111368393, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111369567, peroxidase 17-like  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111385717, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111410996, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111410997, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111365372, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111399930, peroxidase 46-like  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111395952, peroxidase 42-like  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111399405, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111367739, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111371268, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111375802, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111410239, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111412518, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111368080, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111399071, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111391532, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111395007, peroxidase 52-like  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111382918, peroxidase 25  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111403049, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111388454, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111397668, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111400018, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111404526, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111396177, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Olea europaea v. sylvestris, 111383563, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Olea europaea v. sylvestris, 111389811, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Olea europaea v. sylvestris, 111400234, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Olea europaea v. sylvestris, 111375992, beta-glucosidase 11-like  [EC], ['EC:3.2.1.21'], KO:K01188
Olea europaea v. sylvestris, 111391712, lysosomal beta glucosidase-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Olea europaea v. sylvestris, 111398515, uncharacterized protein LOC111398515 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Olea europaea v. sylvestris, 111369698, uncharacterized protein LOC111369698  [EC], ['EC:3.2.1.21'], KO:K05349
Olea europaea v. sylvestris, 111383051, uncharacterized protein LOC111383051  [EC], ['EC:3.2.1.21'], KO:K05349
Olea europaea v. sylvestris, 111407782, uncharacterized protein LOC111407782 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Olea europaea v. sylvestris, 111405869, uncharacterized protein LOC111405869 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Olea europaea v. sylvestris, 111383917, uncharacterized protein LOC111383917  [EC], ['EC:3.2.1.21'], KO:K05349
Olea europaea v. sylvestris, 111382271, uncharacterized protein LOC111382271 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Olea europaea v. sylvestris, 111391290, uncharacterized protein LOC111391290  [EC], ['EC:3.2.1.21'], KO:K05349
Olea europaea v. sylvestris, 111378683, uncharacterized protein LOC111378683 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Olea europaea v. sylvestris, 111401615, uncharacterized protein LOC111401615  [EC], ['EC:3.2.1.21'], KO:K05349
Olea europaea v. sylvestris, 111367288, uncharacterized protein LOC111367288  [EC], ['EC:3.2.1.21'], KO:K05349
Olea europaea v. sylvestris, 111391295, uncharacterized protein LOC111391295 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Olea europaea v. sylvestris, 111391307, uncharacterized protein LOC111391307  [EC], ['EC:3.2.1.21'], KO:K05349
Olea europaea v. sylvestris, 111388762, uncharacterized protein LOC111388762  [EC], ['EC:3.2.1.21'], KO:K05349
Olea europaea v. sylvestris, 111378802, uncharacterized protein LOC111378802  [EC], ['EC:3.2.1.21'], KO:K05349
Olea europaea v. sylvestris, 111389452, beta-glucosidase 18-like  [EC], ['EC:3.2.1.21'], KO:K05350
Olea europaea v. sylvestris, 111368544, beta-glucosidase 47-like  [EC], ['EC:3.2.1.21'], KO:K05350
Olea europaea v. sylvestris, 111395997, beta-glucosidase 46-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Olea europaea v. sylvestris, 111405238, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Olea europaea v. sylvestris, 111370760, beta-glucosidase 18-like  [EC], ['EC:3.2.1.21'], KO:K05350
Olea europaea v. sylvestris, 111386633, beta-glucosidase 46-like  [EC], ['EC:3.2.1.21'], KO:K05350
Olea europaea v. sylvestris, 111395689, beta-glucosidase 18-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Olea europaea v. sylvestris, 111412305, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Olea europaea v. sylvestris, 111401066, feruloyl CoA ortho-hydroxylase 2-like  [EC], ['EC:1.14.11.61'], KO:K06892
Olea europaea v. sylvestris, 111405833, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Olea europaea v. sylvestris, 111407362, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Olea europaea v. sylvestris, 111379213, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Olea europaea v. sylvestris, 111387918, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Olea europaea v. sylvestris, 111387925, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
