Prunus mume, 103342143, phenylalanine ammonia-lyase 1  [EC], ['EC:4.3.1.24'], KO:K10775
Prunus mume, 103321906, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus mume, 103321939, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus mume, 103321941, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus mume, 103321944, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus mume, 103321945, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus mume, 103322001, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus mume, 103322002, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus mume, 103323133, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus mume, 103323575, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus mume, 103323576, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus mume, 103325757, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus mume, 103325765, BAHD acyltransferase At5g47980-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus mume, 103328190, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus mume, 103328191, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus mume, 103328214, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus mume, 103321947, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus mume, 103330639, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus mume, 103319005, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Prunus mume, 103319006, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Prunus mume, 103319007, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Prunus mume, 103333965, caffeoylshikimate esterase isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Prunus mume, 103337626, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Prunus mume, 103332579, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Prunus mume, 103341491, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Prunus mume, 103342656, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Prunus mume, 103340769, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Prunus mume, 103322058, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Prunus mume, 103331366, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Prunus mume, 103335243, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Prunus mume, 103340770, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Prunus mume, 103331367, flavonoid 3',5'-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Prunus mume, 103328172, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Prunus mume, 103328170, cinnamoyl-CoA reductase 2-like  [EC], ['EC:1.2.1.44'], KO:K09753
Prunus mume, 103328171, cinnamoyl-CoA reductase 1-like isoform X1  [EC], ['EC:1.2.1.44'], KO:K09753
Prunus mume, 103328195, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Prunus mume, 103340918, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Prunus mume, 103335614, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Prunus mume, 103340172, cytochrome P450 84A1  [EC], ['EC:1.14.-.-'], KO:K09755
Prunus mume, 103333559, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Prunus mume, 103342359, OMT1; uncharacterized protein LOC103342359  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Prunus mume, 103319810, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Prunus mume, 103322531, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Prunus mume, 103342357, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Prunus mume, 103342358, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Prunus mume, 103342360, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Prunus mume, 103343871, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Prunus mume, 103337889, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Prunus mume, 103335153, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Prunus mume, 103321211, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Prunus mume, 103329119, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Prunus mume, 103330729, probable mannitol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Prunus mume, 103335152, cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Prunus mume, 103337371, cinnamyl alcohol dehydrogenase 1-like  [EC], ['EC:1.1.1.195'], KO:K00083
Prunus mume, 103325278, flavin-dependent oxidoreductase FOX3-like  [EC], ['EC:1.1.1.195'], KO:K22395
Prunus mume, 103325277, tetrahydrocannabinolic acid synthase-like  [EC], ['EC:1.1.1.195'], KO:K22395
Prunus mume, 103323248, 1-Cys peroxiredoxin  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Prunus mume, 103319109, peroxidase 43  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus mume, 103320093, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus mume, 103319187, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus mume, 103319188, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus mume, 103321020, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus mume, 103321329, peroxidase 9  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus mume, 103321823, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus mume, 103321824, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus mume, 103322288, probable peroxidase 26  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus mume, 103320700, peroxidase 18-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus mume, 103326241, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus mume, 103322968, peroxidase 24  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus mume, 103324848, peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus mume, 103323527, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus mume, 103323528, peroxidase 16  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus mume, 103323188, peroxidase 40  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus mume, 103324487, peroxidase 27  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus mume, 103324537, peroxidase 42  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus mume, 103325573, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus mume, 103325534, peroxidase 7  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus mume, 103323176, peroxidase 29  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus mume, 103327056, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus mume, 103327462, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus mume, 103327561, peroxidase 15-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus mume, 103327307, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus mume, 103327744, peroxidase N-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus mume, 103327656, peroxidase 59  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus mume, 103328321, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus mume, 103328781, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus mume, 103328930, peroxidase 60  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus mume, 103328966, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus mume, 103329064, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus mume, 103336895, peroxidase 73-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus mume, 103333273, peroxidase 66  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus mume, 103338298, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus mume, 103338299, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus mume, 103336232, peroxidase 12  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus mume, 103332863, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus mume, 103332866, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus mume, 103343268, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus mume, 103339405, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus mume, 103339948, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus mume, 103343908, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus mume, 103344493, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus mume, 103343541, LOW QUALITY PROTEIN: cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus mume, 103333066, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus mume, 103333845, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus mume, 103336997, peroxidase 20  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus mume, 103340145, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus mume, 103342243, peroxidase 4  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus mume, 103342650, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus mume, 103342743, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus mume, 103329404, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus mume, 103329405, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus mume, 103333556, LOW QUALITY PROTEIN: peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus mume, 103339082, peroxidase 44  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus mume, 103335410, peroxidase 10  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus mume, 103340395, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus mume, 103341155, LOW QUALITY PROTEIN: peroxidase 25  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus mume, 103341982, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus mume, 103333890, peroxidase 17-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus mume, 103333899, peroxidase 17-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus mume, 103333909, peroxidase 17-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus mume, 103334740, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus mume, 103339214, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus mume, 103330328, peroxidase 55  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus mume, 103343059, peroxidase 6-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus mume, 103329915, LOW QUALITY PROTEIN: peroxidase 63  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus mume, 103337963, peroxidase 21  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus mume, 103342555, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus mume, 103340043, LOW QUALITY PROTEIN: anthocyanidin 3-O-glucosyltransferase 5  [EC], ['EC:2.4.1.111'], KO:K12356
Prunus mume, 103340044, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Prunus mume, 103330636, beta-glucosidase 11-like  [EC], ['EC:3.2.1.21'], KO:K01188
Prunus mume, 103318838, beta-glucosidase 42  [EC], ['EC:3.2.1.21'], KO:K01188
Prunus mume, 103321488, beta-glucosidase 40-like  [EC], ['EC:3.2.1.21'], KO:K01188
Prunus mume, 103326358, putative beta-glucosidase 41 isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Prunus mume, 103329594, beta-glucosidase 24-like  [EC], ['EC:3.2.1.21'], KO:K01188
Prunus mume, 103334829, cyanogenic beta-glucosidase-like isoform X2  [EC], ['EC:3.2.1.21'], KO:K01188
Prunus mume, 103341887, beta-glucosidase 12-like  [EC], ['EC:3.2.1.21'], KO:K01188
Prunus mume, 103320529, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Prunus mume, 103331025, beta-glucosidase BoGH3B isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Prunus mume, 103343340, lysosomal beta glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K05349
Prunus mume, 103343343, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Prunus mume, 103339007, beta-glucosidase BoGH3B-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Prunus mume, 103330083, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Prunus mume, 103330075, lysosomal beta glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K05349
Prunus mume, 103330102, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Prunus mume, 103343216, LOW QUALITY PROTEIN: beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Prunus mume, 103326243, beta-glucosidase 18-like  [EC], ['EC:3.2.1.21'], KO:K05350
Prunus mume, 103326244, beta-glucosidase 18-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Prunus mume, 103326339, beta-glucosidase 18-like  [EC], ['EC:3.2.1.21'], KO:K05350
Prunus mume, 103324508, beta-glucosidase 47-like  [EC], ['EC:3.2.1.21'], KO:K05350
Prunus mume, 103324510, LOW QUALITY PROTEIN: beta-glucosidase 45-like  [EC], ['EC:3.2.1.21'], KO:K05350
Prunus mume, 103338721, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Prunus mume, 103331402, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Prunus mume, 103318655, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Prunus mume, 103343898, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Prunus mume, 103335342, UDP-glucose flavonoid 3-O-glucosyltransferase 7-like  [EC], ['EC:2.4.1.128'], KO:K23260
Prunus mume, 103335255, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Prunus mume, 103335325, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Prunus mume, 103335326, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Prunus mume, 103335329, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Prunus mume, 103335330, UDP-glucose flavonoid 3-O-glucosyltransferase 7-like  [EC], ['EC:2.4.1.128'], KO:K23260
Prunus mume, 103335341, UDP-glucose flavonoid 3-O-glucosyltransferase 7-like  [EC], ['EC:2.4.1.128'], KO:K23260
