Asparagus officinalis, 109836321, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Asparagus officinalis, 109830125, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Asparagus officinalis, 109830127, flavonoid 3',5'-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Asparagus officinalis, 109830128, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Asparagus officinalis, 109831608, caffeoyl-CoA O-methyltransferase 5-like  [EC], ['EC:2.1.1.104'], KO:K00588
Asparagus officinalis, 109835762, LOW QUALITY PROTEIN: caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Asparagus officinalis, 109841235, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Asparagus officinalis, 109844852, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Asparagus officinalis, 109843987, cinnamoyl-CoA reductase 1-like isoform X1  [EC], ['EC:1.2.1.44'], KO:K09753
Asparagus officinalis, 109819736, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Asparagus officinalis, 109820854, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Asparagus officinalis, 109819737, LOW QUALITY PROTEIN: aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Asparagus officinalis, 109843294, LOW QUALITY PROTEIN: cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Asparagus officinalis, 109821887, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Asparagus officinalis, 109837170, caffeic acid 3-O-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Asparagus officinalis, 109837171, caffeic acid 3-O-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Asparagus officinalis, 109838501, caffeic acid 3-O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Asparagus officinalis, 109820654, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Asparagus officinalis, 109822249, caffeic acid 3-O-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Asparagus officinalis, 109841100, probable cinnamyl alcohol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Asparagus officinalis, 109825164, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Asparagus officinalis, 109825162, probable cinnamyl alcohol dehydrogenase 1 isoform X1  [EC], ['EC:1.1.1.195'], KO:K00083
Asparagus officinalis, 109842952, 1-Cys peroxiredoxin PER1  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Asparagus officinalis, 109841477, LOW QUALITY PROTEIN: cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Asparagus officinalis, 109839114, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Asparagus officinalis, 109824526, LOW QUALITY PROTEIN: peroxidase 55-like  [EC], ['EC:1.11.1.7'], KO:K00430
Asparagus officinalis, 109823845, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Asparagus officinalis, 109825154, peroxidase 45-like  [EC], ['EC:1.11.1.7'], KO:K00430
Asparagus officinalis, 109840690, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Asparagus officinalis, 109831927, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Asparagus officinalis, 109830768, peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Asparagus officinalis, 109827944, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Asparagus officinalis, 109827945, LOW QUALITY PROTEIN: cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Asparagus officinalis, 109828567, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Asparagus officinalis, 109828790, LOW QUALITY PROTEIN: peroxidase 25-like  [EC], ['EC:1.11.1.7'], KO:K00430
Asparagus officinalis, 109829194, peroxidase 29-like  [EC], ['EC:1.11.1.7'], KO:K00430
Asparagus officinalis, 109829392, peroxidase 47-like  [EC], ['EC:1.11.1.7'], KO:K00430
Asparagus officinalis, 109829410, LOW QUALITY PROTEIN: peroxidase 43-like  [EC], ['EC:1.11.1.7'], KO:K00430
Asparagus officinalis, 109829995, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Asparagus officinalis, 109840529, peroxidase 18  [EC], ['EC:1.11.1.7'], KO:K00430
Asparagus officinalis, 109830347, LOW QUALITY PROTEIN: peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Asparagus officinalis, 109833289, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Asparagus officinalis, 109833292, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Asparagus officinalis, 109833562, LOW QUALITY PROTEIN: peroxidase N-like  [EC], ['EC:1.11.1.7'], KO:K00430
Asparagus officinalis, 109842349, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Asparagus officinalis, 109845147, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Asparagus officinalis, 109849694, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Asparagus officinalis, 109849742, peroxidase 21  [EC], ['EC:1.11.1.7'], KO:K00430
Asparagus officinalis, 109820508, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Asparagus officinalis, 109834748, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Asparagus officinalis, 109844816, peroxidase 25-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Asparagus officinalis, 109850587, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Asparagus officinalis, 109834842, peroxidase 15-like  [EC], ['EC:1.11.1.7'], KO:K00430
Asparagus officinalis, 109839104, peroxidase 55-like  [EC], ['EC:1.11.1.7'], KO:K00430
Asparagus officinalis, 109839105, peroxidase 55-like  [EC], ['EC:1.11.1.7'], KO:K00430
Asparagus officinalis, 109845482, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Asparagus officinalis, 109847703, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Asparagus officinalis, 109845765, LOW QUALITY PROTEIN: peroxidase 40-like  [EC], ['EC:1.11.1.7'], KO:K00430
Asparagus officinalis, 109846965, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Asparagus officinalis, 109843659, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Asparagus officinalis, 109844913, peroxidase 30-like  [EC], ['EC:1.11.1.7'], KO:K00430
Asparagus officinalis, 109833921, peroxidase 11-like  [EC], ['EC:1.11.1.7'], KO:K00430
Asparagus officinalis, 109836013, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Asparagus officinalis, 109836014, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Asparagus officinalis, 109840280, peroxidase 11-like  [EC], ['EC:1.11.1.7'], KO:K00430
Asparagus officinalis, 109819393, peroxidase 42-like  [EC], ['EC:1.11.1.7'], KO:K00430
Asparagus officinalis, 109833972, peroxidase 17-like  [EC], ['EC:1.11.1.7'], KO:K00430
Asparagus officinalis, 109835980, probable peroxidase 61  [EC], ['EC:1.11.1.7'], KO:K00430
Asparagus officinalis, 109850089, peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Asparagus officinalis, 109822151, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Asparagus officinalis, 109843436, LOW QUALITY PROTEIN: peroxidase 19-like  [EC], ['EC:1.11.1.7'], KO:K00430
Asparagus officinalis, 109844732, peroxidase 42-like  [EC], ['EC:1.11.1.7'], KO:K00430
Asparagus officinalis, 109837299, peroxidase 60-like  [EC], ['EC:1.11.1.7'], KO:K00430
Asparagus officinalis, 109850505, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Asparagus officinalis, 109819894, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Asparagus officinalis, 109850189, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Asparagus officinalis, 109849630, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Asparagus officinalis, 109844767, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Asparagus officinalis, 109822185, peroxidase 20  [EC], ['EC:1.11.1.7'], KO:K00430
Asparagus officinalis, 109839193, LOW QUALITY PROTEIN: peroxidase 47-like  [EC], ['EC:1.11.1.7'], KO:K00430
Asparagus officinalis, 109849959, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Asparagus officinalis, 109844511, peroxidase 17-like  [EC], ['EC:1.11.1.7'], KO:K00430
Asparagus officinalis, 109821069, peroxidase 50-like  [EC], ['EC:1.11.1.7'], KO:K00430
Asparagus officinalis, 109828430, uncharacterized protein LOC109828430 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Asparagus officinalis, 109828431, uncharacterized protein LOC109828431 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Asparagus officinalis, 109832911, uncharacterized protein LOC109832911  [EC], ['EC:3.2.1.21'], KO:K05349
Asparagus officinalis, 109832913, uncharacterized protein LOC109832913 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Asparagus officinalis, 109832917, uncharacterized protein LOC109832917 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Asparagus officinalis, 109820359, uncharacterized protein LOC109820359 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Asparagus officinalis, 109844507, uncharacterized protein LOC109844507  [EC], ['EC:3.2.1.21'], KO:K05349
Asparagus officinalis, 109843897, uncharacterized protein LOC109843897  [EC], ['EC:3.2.1.21'], KO:K05349
Asparagus officinalis, 109826064, probable inactive beta-glucosidase 14 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Asparagus officinalis, 109844824, beta-glucosidase 1-like  [EC], ['EC:3.2.1.21'], KO:K05350
Asparagus officinalis, 109846401, beta-glucosidase 1-like  [EC], ['EC:3.2.1.21'], KO:K05350
Asparagus officinalis, 109836242, beta-glucosidase 18-like  [EC], ['EC:3.2.1.21'], KO:K05350
Asparagus officinalis, 109839886, beta-glucosidase 1-like  [EC], ['EC:3.2.1.21'], KO:K05350
Asparagus officinalis, 109836371, LOW QUALITY PROTEIN: beta-glucosidase 18-like  [EC], ['EC:3.2.1.21'], KO:K05350
Asparagus officinalis, 109826297, probable inactive beta-glucosidase 14  [EC], ['EC:3.2.1.21'], KO:K05350
Asparagus officinalis, 109825255, beta-glucosidase 18-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Asparagus officinalis, 109830841, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Asparagus officinalis, 109826480, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Asparagus officinalis, 109828975, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Asparagus officinalis, 109828977, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Asparagus officinalis, 109828978, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Asparagus officinalis, 109833121, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Asparagus officinalis, 109833128, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Asparagus officinalis, 109833129, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Asparagus officinalis, 109838891, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Asparagus officinalis, 109839377, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Asparagus officinalis, 109851004, scopoletin glucosyltransferase-like isoform X1  [EC], ['EC:2.4.1.128'], KO:K23260
Asparagus officinalis, 109841386, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Asparagus officinalis, 109843016, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
