Vigna radiata, 106754681, chalcone synthase 17-like  [EC], ['EC:2.3.1.74'], KO:K00660
Vigna radiata, 106774548, flavonoid 3',5'-hydroxylase 2  [EC], ['EC:1.14.14.81'], KO:K13083
Vigna radiata, 106775588, flavonoid 3',5'-hydroxylase 1  [EC], ['EC:1.14.14.81'], KO:K13083
Vigna radiata, 106777796, leucoanthocyanidin dioxygenase  [EC], ['EC:1.14.20.4'], KO:K05277
Vigna radiata, 106767189, anthocyanidin reductase ((2S)-flavan-3-ol-forming)  [EC], ['EC:1.3.1.77'], KO:K08695
Vigna radiata, 106767332, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Vigna radiata, 106766353, anthocyanidin reductase ((2S)-flavan-3-ol-forming)  [EC], ['EC:1.3.1.77'], KO:K08695
Vigna radiata, 106773404, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Vigna radiata, 106771362, leucoanthocyanidin reductase  [EC], ['EC:1.17.1.3'], KO:K13081
Vigna radiata, 106759717, UDP-glycosyltransferase 88F5 isoform X2  [EC], ['EC:2.4.1.357'], KO:K22845
Vigna radiata, 106753741, omega-hydroxypalmitate O-feruloyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna radiata, 106753774, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna radiata, 106753861, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna radiata, 106778623, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna radiata, 106778624, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna radiata, 106774315, shikimate O-hydroxycinnamoyltransferase isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna radiata, 106767834, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna radiata, 106773392, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna radiata, 106775585, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna radiata, 106779097, salutaridinol 7-O-acetyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna radiata, 106761674, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna radiata, 106776117, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna radiata, 106760839, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna radiata, 106775076, fatty alcohol:caffeoyl-CoA acyltransferase isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna radiata, 106767486, salutaridinol 7-O-acetyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna radiata, 106766496, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna radiata, 106753926, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Vigna radiata, 106769006, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Vigna radiata, 106765809, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Vigna radiata, 106767069, caffeoyl-CoA O-methyltransferase 5  [EC], ['EC:2.1.1.104'], KO:K00588
Vigna radiata, 106767859, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Vigna radiata, 106776906, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
