Solanum lycopersicum, 101243656, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Solanum lycopersicum, 101264276, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Solanum lycopersicum, 101248210, 4-coumarate--CoA ligase  [EC], ['EC:6.2.1.12'], KO:K01904
Solanum lycopersicum, 101245039, 4-coumarate--CoA ligase-like  [EC], ['EC:6.2.1.12'], KO:K01904
Solanum lycopersicum, 101255909, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Solanum lycopersicum, 101266208, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Solanum lycopersicum, 104645412, BAHD acyltransferase At5g47980-like isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum lycopersicum, 544249, hqt; hydroxycinnamoyl CoA quinate transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum lycopersicum, 100191129, anthocyanin acyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum lycopersicum, 101055588, AT1; AT1 protein  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum lycopersicum, 101055589, AT3; AT3 protein  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum lycopersicum, 101256271, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum lycopersicum, 101244961, agmatine coumaroyltransferase-2  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum lycopersicum, 101249389, acylsugar acyltransferase 3-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum lycopersicum, 101253286, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum lycopersicum, 101266953, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum lycopersicum, 101253503, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum lycopersicum, 101245674, acylsugar acyltransferase 3-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum lycopersicum, 101248691, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum lycopersicum, 101253556, agmatine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum lycopersicum, 101253859, agmatine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum lycopersicum, 101267379, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum lycopersicum, 101260610, acetyl-CoA-benzylalcohol acetyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum lycopersicum, 101254278, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum lycopersicum, 101249696, fatty alcohol:caffeoyl-CoA acyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum lycopersicum, 101267215, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum lycopersicum, 104648251, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum lycopersicum, 104648161, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum lycopersicum, 112941247, deacetylvindoline O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum lycopersicum, 101246092, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Solanum lycopersicum, 101261765, cytochrome P450 98A3  [EC], ['EC:1.14.14.96'], KO:K09754
Solanum lycopersicum, 101247849, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Solanum lycopersicum, 101262063, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Solanum lycopersicum, 101262367, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Solanum lycopersicum, 101254287, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Solanum lycopersicum, 101246087, caffeoylshikimate esterase isoform X2  [EC], ['EC:3.1.1.-'], KO:K18368
Solanum lycopersicum, 101266812, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Solanum lycopersicum, 101256743, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Solanum lycopersicum, 101255589, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Solanum lycopersicum, 101252173, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Solanum lycopersicum, 101265690, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Solanum lycopersicum, 101253032, caffeoyl-CoA O-methyltransferase 5  [EC], ['EC:2.1.1.104'], KO:K00588
Solanum lycopersicum, 101255734, AnthOMT; flavonoid 3',5'-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Solanum lycopersicum, 101260278, caffeoyl-CoA O-methyltransferase 6  [EC], ['EC:2.1.1.104'], KO:K00588
Solanum lycopersicum, 101266196, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Solanum lycopersicum, 101245167, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Solanum lycopersicum, 101248393, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Solanum lycopersicum, 101248678, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Solanum lycopersicum, 101265187, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Solanum lycopersicum, 101265977, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Solanum lycopersicum, 101253088, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Solanum lycopersicum, 101264010, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Solanum lycopersicum, 100125904, CCR1; cinnamoyl-CoA reductase  [EC], ['EC:1.2.1.44'], KO:K09753
Solanum lycopersicum, 778359, CCR2; cinnamoyl-CoA reductase  [EC], ['EC:1.2.1.44'], KO:K09753
Solanum lycopersicum, 101247788, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Solanum lycopersicum, 101249418, cytochrome P450 84A1  [EC], ['EC:1.14.-.-'], KO:K09755
Solanum lycopersicum, 101251452, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Solanum lycopersicum, 101261963, CTOMT1; catechol-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Solanum lycopersicum, 101247834, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Solanum lycopersicum, 101258157, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Solanum lycopersicum, 101262824, caffeic acid 3-O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Solanum lycopersicum, 101249618, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Solanum lycopersicum, 101250635, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Solanum lycopersicum, 101245999, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Solanum lycopersicum, 101248800, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Solanum lycopersicum, 101249426, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Solanum lycopersicum, 101263982, probable cinnamyl alcohol dehydrogenase 9  [EC], ['EC:1.1.1.195'], KO:K00083
Solanum lycopersicum, 101256448, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Solanum lycopersicum, 101265606, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Solanum lycopersicum, 101249763, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Solanum lycopersicum, 101260517, 1-Cys peroxiredoxin A  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Solanum lycopersicum, 101265956, peroxidase 40  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101268131, peroxidase N-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101251409, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101247550, peroxidase 60-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101247248, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101260463, peroxidase N  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101267376, peroxidase 25  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101246312, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101267763, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101265285, peroxidase 43-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101249969, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101253648, peroxidase 42  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101245610, peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101247181, peroxidase 7  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101266098, peroxidase 66  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101254970, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101244246, peroxidase 63  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101255060, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101257228, peroxidase 51  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101267754, peroxidase 51  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101252368, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101266719, peroxidase 6  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101268099, peroxidase 9  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101245155, peroxidase 43 isoform X2  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101248973, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101264425, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101245257, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101244958, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101267810, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101249874, peroxidase 21  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101265787, peroxidase 70-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101248236, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101253636, peroxidase 43-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101258436, peroxidase 15-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101246783, lignin-forming anionic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101266294, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101250356, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101254854, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101243845, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101261786, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101265182, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101258529, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101244438, peroxidase superfamily protein precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101247989, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101246796, peroxidase 27  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101265614, peroxidase 27  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101261998, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101261698, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101254073, peroxidase 46 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101246908, peroxidase 70  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101260194, peroxidase 17  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101268682, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101253684, peroxidase 12 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101253377, peroxidase 12 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101244233, peroxidase 10 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101244376, peroxidase 3 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 544084, CEVI-1; peroxidase precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 544293, cevi16; peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101250523, peroxidase 3 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101244162, peroxidase 51 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101244141, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101244289, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101244668, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101244682, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101244951, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101245316, TAP2; suberization-associated anionic peroxidase 2 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101245815, TMP1; suberization-associated anionic peroxidase 1 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101246070, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101246220, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101247048, peroxidase 45-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101247879, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101248159, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101248408, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101249612, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101249975, peroxidase 10  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101259768, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101261260, lignin-forming anionic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101261825, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101264212, peroxidase 9  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101265511, suberization-associated anionic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101267473, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101267856, peroxidase 70-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101268153, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101268440, peroxidase 70-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 543959, TPX2; peroxidase precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101248494, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101263035, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101255893, peroxidase 24  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 112940330, lignin-forming anionic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 112940333, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 112940337, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 112940153, peroxidase 70-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 112940155, peroxidase 70-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101264739, peroxidase 16  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101249936, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101260035, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101250232, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101246453, probable peroxidase 61  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101266746, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101251503, peroxidase 21  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum lycopersicum, 101256157, anthocyanidin 3-O-glucosyltransferase 5  [EC], ['EC:2.4.1.111'], KO:K12356
Solanum lycopersicum, 101261193, anthocyanidin 3-O-glucosyltransferase 5  [EC], ['EC:2.4.1.111'], KO:K12356
Solanum lycopersicum, 101255827, furcatin hydrolase-like  [EC], ['EC:3.2.1.21'], KO:K01188
Solanum lycopersicum, 101248047, beta-glucosidase 11 isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Solanum lycopersicum, 101251735, beta-glucosidase 42  [EC], ['EC:3.2.1.21'], KO:K01188
Solanum lycopersicum, 101256510, beta-glucosidase 40  [EC], ['EC:3.2.1.21'], KO:K01188
Solanum lycopersicum, 101262329, putative beta-glucosidase 41  [EC], ['EC:3.2.1.21'], KO:K01188
Solanum lycopersicum, 101248330, beta-glucosidase 11-like  [EC], ['EC:3.2.1.21'], KO:K01188
Solanum lycopersicum, 100191127, beta-glucosidase 01 precursor  [EC], ['EC:3.2.1.21'], KO:K01188
Solanum lycopersicum, 101255017, beta-glucosidase 31-like  [EC], ['EC:3.2.1.21'], KO:K01188
Solanum lycopersicum, 101254239, uncharacterized protein LOC101254239  [EC], ['EC:3.2.1.21'], KO:K05349
Solanum lycopersicum, 101256554, uncharacterized protein LOC101256554 isoform X2  [EC], ['EC:3.2.1.21'], KO:K05349
Solanum lycopersicum, 101250040, uncharacterized protein LOC101250040  [EC], ['EC:3.2.1.21'], KO:K05349
Solanum lycopersicum, 101247513, uncharacterized protein LOC101247513  [EC], ['EC:3.2.1.21'], KO:K05349
Solanum lycopersicum, 101265834, uncharacterized protein LOC101265834 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Solanum lycopersicum, 101266947, uncharacterized protein LOC101266947  [EC], ['EC:3.2.1.21'], KO:K05349
Solanum lycopersicum, 101259510, LOW QUALITY PROTEIN: uncharacterized protein LOC101259510  [EC], ['EC:3.2.1.21'], KO:K05349
Solanum lycopersicum, 101263519, uncharacterized protein LOC101263519  [EC], ['EC:3.2.1.21'], KO:K05349
Solanum lycopersicum, 101260057, uncharacterized protein LOC101260057  [EC], ['EC:3.2.1.21'], KO:K05349
Solanum lycopersicum, 101266643, uncharacterized protein LOC101266643  [EC], ['EC:3.2.1.21'], KO:K05349
Solanum lycopersicum, 101257526, beta-glucosidase 18 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Solanum lycopersicum, 104645804, beta-glucosidase 18  [EC], ['EC:3.2.1.21'], KO:K05350
Solanum lycopersicum, 104645805, beta-glucosidase 18 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Solanum lycopersicum, 101255272, beta-glucosidase 46  [EC], ['EC:3.2.1.21'], KO:K05350
Solanum lycopersicum, 543698, beta-mannosidase precursor  [EC], ['EC:3.2.1.21'], KO:K05350
Solanum lycopersicum, 101245862, beta-glucosidase 18-like  [EC], ['EC:3.2.1.21'], KO:K05350
Solanum lycopersicum, 101246223, beta-glucosidase 44-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Solanum lycopersicum, 101248595, beta-glucosidase 18-like  [EC], ['EC:3.2.1.21'], KO:K05350
Solanum lycopersicum, 101261369, LOW QUALITY PROTEIN: feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Solanum lycopersicum, 101266300, feruloyl CoA ortho-hydroxylase 2  [EC], ['EC:1.14.11.61'], KO:K06892
Solanum lycopersicum, 101266599, feruloyl CoA ortho-hydroxylase 2  [EC], ['EC:1.14.11.61'], KO:K06892
Solanum lycopersicum, 101262487, feruloyl CoA ortho-hydroxylase 2-like  [EC], ['EC:1.14.11.61'], KO:K06892
Solanum lycopersicum, 101266903, feruloyl CoA ortho-hydroxylase 2-like  [EC], ['EC:1.14.11.61'], KO:K06892
Solanum lycopersicum, 101257511, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Solanum lycopersicum, 101258702, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Solanum lycopersicum, 544103, twi1; scopoletin glucosyltransferase  [EC], ['EC:2.4.1.128'], KO:K23260
