Selaginella moellendorffii, SELMODRAFT_270496, hypothetical protein  [EC], ['EC:2.3.1.74'], KO:K00660
Selaginella moellendorffii, SELMODRAFT_450208, BAHDd3; BAHD family acyltransferase, clade IV  [EC], ['EC:2.3.1.133'], KO:K13065
Selaginella moellendorffii, SELMODRAFT_135306, hypothetical protein  [EC], ['EC:2.3.1.133'], KO:K13065
Selaginella moellendorffii, SELMODRAFT_431269, hypothetical protein  [EC], ['EC:2.3.1.133'], KO:K13065
Selaginella moellendorffii, SELMODRAFT_450736, BAHDb6a-2; BAHD family acyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Selaginella moellendorffii, SELMODRAFT_431285, hypothetical protein  [EC], ['EC:2.3.1.133'], KO:K13065
Selaginella moellendorffii, SELMODRAFT_431276, hypothetical protein  [EC], ['EC:2.3.1.133'], KO:K13065
Selaginella moellendorffii, SELMODRAFT_450724, BAHDb5b-2; BAHD family acyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Selaginella moellendorffii, SELMODRAFT_450723, BAHDb5a-2; BAHD family acyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Selaginella moellendorffii, SELMODRAFT_450737, BAHDb6b; BAHD family acyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Selaginella moellendorffii, SELMODRAFT_450757, BAHDb8b; BAHD family acyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Selaginella moellendorffii, SELMODRAFT_450942, C3'H1-1; p-coumaroyl shikimate/quinate 3'-hydroxylase  [EC], ['EC:1.14.14.96'], KO:K09754
Selaginella moellendorffii, SELMODRAFT_450943, C3'H1-2; p-coumaroyl shikimate/quinate 3'-hydroxylase  [EC], ['EC:1.14.14.96'], KO:K09754
Selaginella moellendorffii, SELMODRAFT_158563, CCoAMT1-2; hypothetical protein  [EC], ['EC:2.1.1.104'], KO:K00588
Selaginella moellendorffii, SELMODRAFT_266699, CCoAMT2-1; hypothetical protein  [EC], ['EC:2.1.1.104'], KO:K00588
Selaginella moellendorffii, SELMODRAFT_271191, CCoAMT1-1; hypothetical protein  [EC], ['EC:2.1.1.104'], KO:K00588
Selaginella moellendorffii, SELMODRAFT_405144, CCoAMT3-1; hypothetical protein  [EC], ['EC:2.1.1.104'], KO:K00588
Selaginella moellendorffii, SELMODRAFT_101771, CCoAMT2-2; hypothetical protein  [EC], ['EC:2.1.1.104'], KO:K00588
